siteid,sitename,datacreationdate,aqi,status,level_0,co,index,no,no2,o3,pm10,pm2.5,so2
26,Miaoli,2024-05-31 03:00,44,Good,229.0,0.22,229.0,1.3,11.0,0.2,23.0,10.0,2.0
25,Toufen,2024-05-31 03:00,36,Good,230.0,0.28,230.0,1.5,4.5,6.7,22.0,9.0,1.5
24,Hsinchu,2024-05-31 03:00,35,Good,231.0,0.31,231.0,0.9,9.4,17.4,15.0,9.0,1.7
23,Zhudong,2024-05-31 03:00,54,Moderate,232.0,0.29,232.0,0.6,4.6,8.1,24.0,16.0,0.4
22,Hukou,2024-05-31 03:00,51,Moderate,233.0,0.21,233.0,0.6,10.6,17.4,24.0,17.0,6.1
21,Longtan,2024-05-31 03:00,59,Moderate,234.0,0.39,234.0,0.7,15.8,4.8,31.0,18.0,1.7
20,Pingzhen,2024-05-31 03:00,44,Good,235.0,0.36,235.0,0.8,23.7,4.0,25.0,15.0,0.8
19,Guanyin,2024-05-31 03:00,35,Good,236.0,0.25,236.0,0.4,8.6,19.3,15.0,19.0,3.0
18,Dayuan,2024-05-31 03:00,49,Good,237.0,0.29,237.0,1.9,9.8,17.8,20.0,16.0,1.5
17,Taoyuan,2024-05-31 03:00,49,Good,238.0,0.49,238.0,2.0,20.0,8.0,25.0,22.0,3.9
16,Datong,2024-05-31 03:00,38,Good,239.0,1.33,239.0,15.5,13.3,4.8,17.0,12.0,1.2
15,Songshan,2024-05-31 03:00,44,Good,240.0,0.35,240.0,2.3,13.6,5.7,13.0,13.0,0.8
14,Guting,2024-05-31 03:00,25,Good,241.0,0.48,241.0,1.2,3.6,7.7,16.0,7.0,
13,Wanhua,2024-05-31 03:00,31,Good,242.0,0.63,242.0,2.1,8.8,7.5,18.0,6.0,0.7
12,Zhongshan,2024-05-31 03:00,31,Good,243.0,0.59,243.0,6.8,10.0,7.3,16.0,7.0,1.3
11,Shilin,2024-05-31 03:00,39,Good,244.0,0.27,244.0,1.5,11.1,9.0,14.0,11.0,0.2
10,Tamsui,2024-05-31 03:00,36,Good,245.0,0.19,245.0,2.8,14.7,7.1,34.0,12.0,2.3
9,Linkou,2024-05-31 03:00,33,Good,246.0,0.15,246.0,0.9,19.9,14.3,7.0,14.0,1.0
8,Cailiao,2024-05-31 03:00,37,Good,247.0,0.37,247.0,1.0,19.1,2.5,12.0,11.0,1.1
7,Xinzhuang,2024-05-31 03:00,53,Moderate,248.0,0.36,248.0,1.8,16.2,7.8,20.0,20.0,0.5
6,Banqiao,2024-05-31 03:00,40,Good,249.0,0.52,249.0,1.7,18.4,4.6,24.0,10.0,1.0
5,Tucheng,2024-05-31 03:00,55,Moderate,250.0,0.52,250.0,1.2,14.7,3.8,34.0,12.0,1.4
4,Xindian,2024-05-31 03:00,37,Good,251.0,0.43,251.0,1.8,2.7,9.2,14.0,14.0,0.7
3,Wanli,2024-05-31 03:00,24,Good,252.0,0.25,252.0,1.1,6.7,4.3,40.0,7.0,0.5
2,Xizhi,2024-05-31 03:00,43,Good,253.0,0.43,253.0,3.9,15.5,1.6,23.0,16.0,5.3
1,Keelung,2024-05-31 03:00,23,Good,254.0,0.4,254.0,2.3,11.3,2.1,12.0,11.0,1.4
313,Pingtung（fangshan）,2024-05-31 02:00,25,Good,255.0,,255.0,,1.4,26.2,,0.0,
312,Taichung（Rilana Elementary）,2024-05-31 02:00,26,Good,256.0,,256.0,,10.6,9.7,,6.0,
311,New Taipei(Shulin),2024-05-31 02:00,52,Moderate,257.0,,257.0,,11.3,3.4,,19.0,
204,Pingtung（Liuqiu）,2024-05-31 02:00,25,Good,258.0,,258.0,,0.6,26.1,,8.0,
203,Tainan（Madou）,2024-05-31 02:00,18,Good,259.0,,259.0,,3.8,22.4,,6.0,
202,Kaohsiung（Hunei）,2024-05-31 02:00,16,Good,260.0,,260.0,,6.4,16.3,,6.0,
201,Changhua（Yuanlin）,2024-05-31 02:00,40,Good,261.0,,261.0,,6.8,15.3,,10.0,
85,Dacheng,2024-05-31 02:00,18,Good,262.0,,262.0,,5.6,15.0,,5.0,
84,FugueiCape,2024-05-31 02:00,28,Good,263.0,,263.0,,9.5,21.2,,7.0,
83,Mailiao,2024-05-31 02:00,22,Good,264.0,,264.0,,5.6,18.0,,7.0,
80,Guanshan,2024-05-31 02:00,21,Good,265.0,,265.0,,1.7,4.4,,3.0,
78,Magong,2024-05-31 02:00,27,Good,266.0,,266.0,,2.1,30.7,,1.0,
77,Kinmen,2024-05-31 02:00,78,Moderate,267.0,,267.0,,25.7,4.9,,26.0,
75,Matsu,2024-05-31 02:00,38,Good,268.0,,268.0,,15.6,25.7,,9.0,
72,Puli,2024-05-31 02:00,33,Good,269.0,,269.0,,3.1,7.1,,8.0,
71,Fuxing,2024-05-31 02:00,18,Good,270.0,,270.0,,5.6,21.3,,3.0,
70,Yonghe,2024-05-31 02:00,59,Moderate,271.0,,271.0,,5.4,7.6,,12.0,
69,Zhushan,2024-05-31 02:00,24,Good,272.0,,272.0,,5.7,3.6,,3.0,
68,Zhongli,2024-05-31 02:00,51,Moderate,273.0,,273.0,,26.1,8.8,,19.0,
67,Sanchong,2024-05-31 02:00,39,Good,274.0,,274.0,,17.0,2.5,,11.0,
66,Dongshan,2024-05-31 02:00,24,Good,275.0,,275.0,,4.0,6.9,,7.0,
65,Yilan,2024-05-31 02:00,19,Good,276.0,,276.0,,2.8,8.8,,6.0,
64,Yangming,2024-05-31 02:00,25,Good,277.0,,277.0,,3.2,29.9,,8.0,
63,Hualien,2024-05-31 02:00,22,Good,278.0,,278.0,,1.1,17.0,,6.0,
62,Taitung,2024-05-31 02:00,17,Good,279.0,,279.0,,4.4,8.5,,1.0,
61,Hengchun,2024-05-31 02:00,25,Good,280.0,,280.0,,1.0,24.7,,3.0,
60,Chaozhou,2024-05-31 02:00,18,Good,281.0,,281.0,,1.4,16.4,,0.0,
59,Pingtung,2024-05-31 02:00,21,Good,282.0,,282.0,,3.1,22.4,,1.0,
58,Xiaogang,2024-05-31 02:00,33,Good,283.0,,283.0,,6.2,20.5,,4.0,
57,Qianzhen,2024-05-31 02:00,16,Good,284.0,,284.0,,6.9,20.0,,0.0,
56,Qianjin,2024-05-31 02:00,18,Good,285.0,,285.0,,6.3,19.5,,2.0,
54,Zuoying,2024-05-31 02:00,29,Good,286.0,,286.0,,7.1,18.0,,6.0,
53,Nanzi,2024-05-31 02:00,22,Good,287.0,,287.0,,13.4,14.4,,3.0,
52,Linyuan,2024-05-31 02:00,27,Good,288.0,,288.0,,1.8,22.3,,5.0,
51,Daliao,2024-05-31 02:00,23,Good,289.0,,289.0,,2.4,19.9,,5.0,
50,Fengshan,2024-05-31 02:00,21,Good,290.0,,290.0,,1.7,23.9,,0.0,
49,Renwu,2024-05-31 02:00,24,Good,291.0,,291.0,,3.5,23.4,,4.0,
48,Qiaotou,2024-05-31 02:00,18,Good,292.0,,292.0,,6.6,18.2,,3.0,
47,Meinong,2024-05-31 02:00,18,Good,293.0,,293.0,,1.5,23.1,,0.0,
46,Tainan,2024-05-31 02:00,28,Good,294.0,,294.0,,7.6,18.8,,9.0,
45,Annan,2024-05-31 02:00,25,Good,295.0,,295.0,,8.0,18.9,,6.0,
44,Shanhua,2024-05-31 02:00,26,Good,296.0,,296.0,,1.5,22.3,,6.0,
43,Xinying,2024-05-31 02:00,20,Good,297.0,,297.0,,3.4,18.7,,3.0,
42,Chiayi,2024-05-31 02:00,20,Good,298.0,,298.0,,2.2,20.4,,3.0,
41,Taixi,2024-05-31 02:00,21,Good,299.0,,299.0,,4.1,20.6,,3.0,
40,Puzi,2024-05-31 02:00,19,Good,300.0,,300.0,,5.5,16.8,,,
39,Xingang,2024-05-31 02:00,25,Good,301.0,,301.0,,2.4,22.1,,5.0,
38,Lunbei,2024-05-31 02:00,22,Good,302.0,,302.0,,3.1,15.0,,4.0,
37,Douliu,2024-05-31 02:00,23,Good,303.0,,303.0,,11.3,6.0,,5.0,
36,Nantou,2024-05-31 02:00,27,Good,304.0,,304.0,,7.0,3.2,,5.0,
35,Erlin,2024-05-31 02:00,45,Good,305.0,,305.0,,10.8,4.5,,15.0,
34,Xianxi,2024-05-31 02:00,32,Good,306.0,,306.0,,9.0,6.6,,11.0,
33,Changhua,2024-05-31 02:00,27,Good,307.0,,307.0,,5.0,20.3,,3.0,
32,Xitun,2024-05-31 02:00,31,Good,308.0,,308.0,,8.1,8.7,,6.0,
31,Zhongming,2024-05-31 02:00,26,Good,309.0,,309.0,,5.2,11.4,,7.0,
30,Dali,2024-05-31 02:00,36,Good,310.0,,310.0,,5.0,10.1,,7.0,
29,Shalu,2024-05-31 02:00,28,Good,311.0,,311.0,,9.3,15.6,,5.0,
28,Fengyuan,2024-05-31 02:00,22,Good,312.0,,312.0,,4.2,19.3,,3.0,
27,Sanyi,2024-05-31 02:00,26,Good,313.0,,313.0,,2.9,18.0,,6.0,
26,Miaoli,2024-05-31 02:00,46,Good,314.0,,314.0,,10.8,5.2,,16.0,
25,Toufen,2024-05-31 02:00,38,Good,315.0,,315.0,,5.9,9.4,,11.0,
24,Hsinchu,2024-05-31 02:00,34,Good,316.0,,316.0,,12.7,18.9,,11.0,
23,Zhudong,2024-05-31 02:00,54,Moderate,317.0,,317.0,,4.5,8.3,,16.0,
22,Hukou,2024-05-31 02:00,49,Good,318.0,,318.0,,16.8,12.0,,14.0,
21,Longtan,2024-05-31 02:00,59,Moderate,319.0,,319.0,,22.4,0.1,,20.0,
20,Pingzhen,2024-05-31 02:00,41,Good,320.0,,320.0,,20.6,15.5,,16.0,
19,Guanyin,2024-05-31 02:00,31,Good,321.0,,321.0,,7.6,18.4,,11.0,
18,Dayuan,2024-05-31 02:00,46,Good,322.0,,322.0,,10.1,16.2,,21.0,
17,Taoyuan,2024-05-31 02:00,45,Good,323.0,,323.0,,18.2,14.4,,18.0,
16,Datong,2024-05-31 02:00,40,Good,324.0,,324.0,,18.1,2.3,,14.0,
15,Songshan,2024-05-31 02:00,46,Good,325.0,,325.0,,12.0,9.7,,15.0,
14,Guting,2024-05-31 02:00,25,Good,326.0,,326.0,,4.8,8.6,,5.0,
13,Wanhua,2024-05-31 02:00,35,Good,327.0,,327.0,,12.8,6.6,,9.0,
12,Zhongshan,2024-05-31 02:00,34,Good,328.0,,328.0,,11.0,6.6,,11.0,
11,Shilin,2024-05-31 02:00,39,Good,329.0,,329.0,,14.5,8.9,,15.0,
10,Tamsui,2024-05-31 02:00,36,Good,330.0,,330.0,,15.8,8.7,,11.0,
9,Linkou,2024-05-31 02:00,31,Good,331.0,,331.0,,,14.3,,12.0,
8,Cailiao,2024-05-31 02:00,36,Good,332.0,,332.0,,17.9,2.1,,12.0,
7,Xinzhuang,2024-05-31 02:00,50,Good,333.0,,333.0,,17.1,8.8,,15.0,
6,Banqiao,2024-05-31 02:00,42,Good,334.0,,334.0,,20.9,2.8,,14.0,
5,Tucheng,2024-05-31 02:00,57,Moderate,335.0,,335.0,,18.6,1.9,,16.0,
4,Xindian,2024-05-31 02:00,35,Good,336.0,,336.0,,3.9,9.9,,9.0,
3,Wanli,2024-05-31 02:00,26,Good,337.0,,337.0,,10.9,6.3,,6.0,
2,Xizhi,2024-05-31 02:00,43,Good,338.0,,338.0,,16.0,0.6,,11.0,
1,Keelung,2024-05-31 02:00,22,Good,339.0,,339.0,,13.6,1.8,,4.0,
313,Pingtung（fangshan）,2024-05-31 01:00,26,Good,340.0,,340.0,,1.8,29.2,,2.0,
312,Taichung（Rilana Elementary）,2024-05-31 01:00,28,Good,341.0,,341.0,,8.8,19.7,,6.0,
311,New Taipei(Shulin),2024-05-31 01:00,51,Moderate,342.0,,342.0,,7.9,8.8,,12.0,
204,Pingtung（Liuqiu）,2024-05-31 01:00,26,Good,343.0,,343.0,,0.9,24.2,,5.0,
203,Tainan（Madou）,2024-05-31 01:00,19,Good,344.0,,344.0,,4.6,18.2,,4.0,
202,Kaohsiung（Hunei）,2024-05-31 01:00,15,Good,345.0,,345.0,,8.3,15.6,,4.0,
201,Changhua（Yuanlin）,2024-05-31 01:00,44,Good,346.0,,346.0,,7.9,14.4,,12.0,
85,Dacheng,2024-05-31 01:00,20,Good,347.0,,347.0,,6.0,12.3,,5.0,
84,FugueiCape,2024-05-31 01:00,30,Good,348.0,,348.0,,5.4,28.8,,5.0,
83,Mailiao,2024-05-31 01:00,22,Good,349.0,,349.0,,6.1,17.0,,5.0,
80,Guanshan,2024-05-31 01:00,18,Good,350.0,,350.0,,1.7,6.0,,2.0,
78,Magong,2024-05-31 01:00,27,Good,351.0,,351.0,,2.6,29.7,,1.0,
77,Kinmen,2024-05-31 01:00,76,Moderate,352.0,,352.0,,25.9,2.8,,30.0,
75,Matsu,2024-05-31 01:00,39,Good,353.0,,353.0,,14.9,28.6,,12.0,
72,Puli,2024-05-31 01:00,35,Good,354.0,,354.0,,3.8,8.9,,10.0,
71,Fuxing,2024-05-31 01:00,20,Good,355.0,,355.0,,12.2,14.3,,5.0,
70,Yonghe,2024-05-31 01:00,59,Moderate,356.0,,356.0,,10.1,6.5,,16.0,
69,Zhushan,2024-05-31 01:00,30,Good,357.0,,357.0,,4.3,5.1,,5.0,
68,Zhongli,2024-05-31 01:00,46,Good,358.0,,358.0,,22.9,12.4,,13.0,
67,Sanchong,2024-05-31 01:00,50,Good,359.0,,359.0,,30.3,2.6,,16.0,
66,Dongshan,2024-05-31 01:00,24,Good,360.0,,360.0,,3.7,8.9,,12.0,
65,Yilan,2024-05-31 01:00,23,Good,361.0,,361.0,,2.7,8.0,,9.0,
64,Yangming,2024-05-31 01:00,25,Good,362.0,,362.0,,2.3,29.9,,11.0,
63,Hualien,2024-05-31 01:00,25,Good,363.0,,363.0,,1.7,15.4,,7.0,
62,Taitung,2024-05-31 01:00,19,Good,364.0,,364.0,,1.9,9.7,,1.0,
61,Hengchun,2024-05-31 01:00,27,Good,365.0,,365.0,,0.8,27.6,,1.0,
60,Chaozhou,2024-05-31 01:00,19,Good,366.0,,366.0,,0.7,22.3,,0.0,
59,Pingtung,2024-05-31 01:00,21,Good,367.0,,367.0,,2.5,24.8,,4.0,
58,Xiaogang,2024-05-31 01:00,40,Good,368.0,,368.0,,20.1,13.3,,24.0,
57,Qianzhen,2024-05-31 01:00,18,Good,369.0,,369.0,,11.4,14.9,,3.0,
56,Qianjin,2024-05-31 01:00,19,Good,370.0,,370.0,,9.5,17.8,,2.0,
54,Zuoying,2024-05-31 01:00,31,Good,371.0,,371.0,,7.7,17.7,,8.0,
53,Nanzi,2024-05-31 01:00,19,Good,372.0,,372.0,,11.2,17.4,,4.0,
52,Linyuan,2024-05-31 01:00,29,Good,373.0,,373.0,,0.8,26.9,,0.0,
51,Daliao,2024-05-31 01:00,24,Good,374.0,,374.0,,1.8,23.5,,4.0,
50,Fengshan,2024-05-31 01:00,21,Good,375.0,,375.0,,5.1,21.4,,3.0,
49,Renwu,2024-05-31 01:00,24,Good,376.0,,376.0,,7.1,22.9,,5.0,
48,Qiaotou,2024-05-31 01:00,19,Good,377.0,,377.0,,9.9,16.5,,6.0,
47,Meinong,2024-05-31 01:00,19,Good,378.0,,378.0,,2.3,19.2,,4.0,
46,Tainan,2024-05-31 01:00,28,Good,379.0,,379.0,,11.3,15.5,,7.0,
45,Annan,2024-05-31 01:00,26,Good,380.0,,380.0,,11.6,16.7,,6.0,
44,Shanhua,2024-05-31 01:00,27,Good,381.0,,381.0,,2.8,17.9,,9.0,
43,Xinying,2024-05-31 01:00,22,Good,382.0,,382.0,,3.1,20.6,,2.0,
42,Chiayi,2024-05-31 01:00,22,Good,383.0,,383.0,,5.7,13.8,,4.0,
41,Taixi,2024-05-31 01:00,21,Good,384.0,,384.0,,4.9,18.4,,3.0,
40,Puzi,2024-05-31 01:00,19,Good,385.0,,385.0,,5.9,16.4,,,
39,Xingang,2024-05-31 01:00,27,Good,386.0,,386.0,,3.5,19.5,,7.0,
38,Lunbei,2024-05-31 01:00,26,Good,387.0,,387.0,,2.7,13.8,,4.0,
37,Douliu,2024-05-31 01:00,25,Good,388.0,,388.0,,2.7,9.4,,5.0,
36,Nantou,2024-05-31 01:00,26,Good,389.0,,389.0,,5.5,5.3,,5.0,
35,Erlin,2024-05-31 01:00,47,Good,390.0,,390.0,,8.3,8.8,,10.0,
34,Xianxi,2024-05-31 01:00,35,Good,391.0,,391.0,,4.1,14.4,,5.0,
33,Changhua,2024-05-31 01:00,33,Good,392.0,,392.0,,8.7,15.9,,6.0,
32,Xitun,2024-05-31 01:00,34,Good,393.0,,393.0,,9.8,7.7,,10.0,
31,Zhongming,2024-05-31 01:00,27,Good,394.0,,394.0,,6.6,11.8,,6.0,
30,Dali,2024-05-31 01:00,39,Good,395.0,,395.0,,7.0,8.4,,9.0,
29,Shalu,2024-05-31 01:00,33,Good,396.0,,396.0,,8.5,16.6,,8.0,
28,Fengyuan,2024-05-31 01:00,24,Good,397.0,,397.0,,4.9,18.3,,6.0,
27,Sanyi,2024-05-31 01:00,29,Good,398.0,,398.0,,2.1,17.6,,6.0,
26,Miaoli,2024-05-31 01:00,44,Good,399.0,,399.0,,13.0,7.9,,13.0,
25,Toufen,2024-05-31 01:00,40,Good,400.0,,400.0,,8.6,11.7,,12.0,
24,Hsinchu,2024-05-31 01:00,33,Good,401.0,,401.0,,10.8,25.6,,12.0,
23,Zhudong,2024-05-31 01:00,53,Moderate,402.0,,402.0,,5.5,7.7,,19.0,
22,Hukou,2024-05-31 01:00,50,Good,403.0,,403.0,,7.8,21.5,,13.0,
21,Longtan,2024-05-31 01:00,57,Moderate,404.0,,404.0,,24.2,0.5,,21.0,
20,Pingzhen,2024-05-31 01:00,40,Good,405.0,,405.0,,24.2,14.4,,12.0,
19,Guanyin,2024-05-31 01:00,30,Good,406.0,,406.0,,4.9,31.9,,7.0,
18,Dayuan,2024-05-31 01:00,41,Good,407.0,,407.0,,11.2,22.6,,11.0,
17,Taoyuan,2024-05-31 01:00,43,Good,408.0,,408.0,,12.0,22.3,,11.0,
16,Datong,2024-05-31 01:00,37,Good,409.0,,409.0,,16.3,3.9,,10.0,
15,Songshan,2024-05-31 01:00,46,Good,410.0,,410.0,,21.2,4.5,,12.0,
14,Guting,2024-05-31 01:00,27,Good,411.0,,411.0,,6.7,8.3,,8.0,
13,Wanhua,2024-05-31 01:00,39,Good,412.0,,412.0,,10.9,8.1,,9.0,
12,Zhongshan,2024-05-31 01:00,33,Good,413.0,,413.0,,13.3,8.2,,11.0,
11,Shilin,2024-05-31 01:00,38,Good,414.0,,414.0,,23.4,4.4,,12.0,
10,Tamsui,2024-05-31 01:00,36,Good,415.0,,415.0,,11.5,11.8,,10.0,
9,Linkou,2024-05-31 01:00,30,Good,416.0,,416.0,,,18.9,,9.0,
8,Cailiao,2024-05-31 01:00,33,Good,417.0,,417.0,,18.3,7.8,,13.0,
7,Xinzhuang,2024-05-31 01:00,50,Good,418.0,,418.0,,20.4,8.7,,22.0,
6,Banqiao,2024-05-31 01:00,42,Good,419.0,,419.0,,25.0,2.9,,13.0,
5,Tucheng,2024-05-31 01:00,59,Moderate,420.0,,420.0,,20.4,4.0,,19.0,
4,Xindian,2024-05-31 01:00,36,Good,421.0,,421.0,,5.0,8.6,,12.0,
3,Wanli,2024-05-31 01:00,28,Good,422.0,,422.0,,6.1,6.8,,9.0,
2,Xizhi,2024-05-31 01:00,44,Good,423.0,,423.0,,18.7,0.4,,13.0,
1,Keelung,2024-05-31 01:00,28,Good,424.0,,424.0,,17.5,0.7,,7.0,
313,Pingtung（fangshan）,2024-05-31 00:00,27,Good,425.0,,425.0,,1.0,31.2,,3.0,
312,Taichung（Rilana Elementary）,2024-05-31 00:00,31,Good,426.0,,426.0,,8.6,21.5,,7.0,
311,New Taipei(Shulin),2024-05-31 00:00,54,Moderate,427.0,,427.0,,13.1,4.6,,16.0,
204,Pingtung（Liuqiu）,2024-05-31 00:00,26,Good,428.0,,428.0,,0.7,25.8,,6.0,
203,Tainan（Madou）,2024-05-31 00:00,22,Good,429.0,,429.0,,13.0,15.4,,3.0,
202,Kaohsiung（Hunei）,2024-05-31 00:00,17,Good,430.0,,430.0,,8.5,14.4,,6.0,
201,Changhua（Yuanlin）,2024-05-31 00:00,44,Good,431.0,,431.0,,9.2,14.7,,11.0,
85,Dacheng,2024-05-31 00:00,25,Good,432.0,,432.0,,5.8,13.7,,6.0,
84,FugueiCape,2024-05-31 00:00,31,Good,433.0,,433.0,,5.5,27.1,,8.0,
83,Mailiao,2024-05-31 00:00,24,Good,434.0,,434.0,,7.4,15.6,,7.0,
80,Guanshan,2024-05-31 00:00,15,Good,435.0,,435.0,,1.9,6.5,,2.0,
78,Magong,2024-05-31 00:00,27,Good,436.0,,436.0,,3.8,29.2,,1.0,
77,Kinmen,2024-05-31 00:00,73,Moderate,437.0,,437.0,,19.3,9.8,,25.0,
75,Matsu,2024-05-31 00:00,39,Good,438.0,,438.0,,16.0,24.1,,11.0,
72,Puli,2024-05-31 00:00,36,Good,439.0,,439.0,,5.6,7.1,,8.0,
71,Fuxing,2024-05-31 00:00,19,Good,440.0,,440.0,,8.3,20.1,,0.0,
70,Yonghe,2024-05-31 00:00,58,Moderate,441.0,,441.0,,8.8,8.2,,48.0,
69,Zhushan,2024-05-31 00:00,36,Good,442.0,,442.0,,4.6,5.2,,6.0,
68,Zhongli,2024-05-31 00:00,47,Good,443.0,,443.0,,22.8,13.6,,16.0,
67,Sanchong,2024-05-31 00:00,43,Good,444.0,,444.0,,26.6,2.2,,11.0,
66,Dongshan,2024-05-31 00:00,24,Good,445.0,,445.0,,2.7,12.2,,6.0,
65,Yilan,2024-05-31 00:00,27,Good,446.0,,446.0,,3.0,11.6,,4.0,
64,Yangming,2024-05-31 00:00,25,Good,447.0,,447.0,,2.3,34.1,,7.0,
63,Hualien,2024-05-31 00:00,26,Good,448.0,,448.0,,2.2,17.2,,4.0,
62,Taitung,2024-05-31 00:00,20,Good,449.0,,449.0,,1.8,14.4,,3.0,
61,Hengchun,2024-05-31 00:00,28,Good,450.0,,450.0,,0.9,28.4,,3.0,
60,Chaozhou,2024-05-31 00:00,20,Good,451.0,,451.0,,2.6,21.3,,3.0,
59,Pingtung,2024-05-31 00:00,22,Good,452.0,,452.0,,4.4,22.7,,4.0,
58,Xiaogang,2024-05-31 00:00,26,Good,453.0,,453.0,,8.1,20.5,,7.0,
57,Qianzhen,2024-05-31 00:00,17,Good,454.0,,454.0,,9.9,20.0,,5.0,
56,Qianjin,2024-05-31 00:00,19,Good,455.0,,455.0,,9.7,20.4,,0.0,
54,Zuoying,2024-05-31 00:00,31,Good,456.0,,456.0,,9.1,20.8,,12.0,
53,Nanzi,2024-05-31 00:00,25,Good,457.0,,457.0,,15.8,14.9,,6.0,
52,Linyuan,2024-05-31 00:00,30,Good,458.0,,458.0,,0.7,30.3,,1.0,
51,Daliao,2024-05-31 00:00,25,Good,459.0,,459.0,,1.8,26.2,,3.0,
50,Fengshan,2024-05-31 00:00,22,Good,460.0,,460.0,,5.9,23.5,,4.0,
49,Renwu,2024-05-31 00:00,26,Good,461.0,,461.0,,9.5,20.9,,8.0,
48,Qiaotou,2024-05-31 00:00,19,Good,462.0,,462.0,,10.9,17.3,,7.0,
47,Meinong,2024-05-31 00:00,20,Good,463.0,,463.0,,2.7,11.8,,8.0,
46,Tainan,2024-05-31 00:00,29,Good,464.0,,464.0,,12.0,15.0,,10.0,
45,Annan,2024-05-31 00:00,30,Good,465.0,,465.0,,12.8,15.5,,5.0,
44,Shanhua,2024-05-31 00:00,27,Good,466.0,,466.0,,2.8,17.4,,11.0,
43,Xinying,2024-05-31 00:00,24,Good,467.0,,467.0,,3.5,19.5,,0.0,
42,Chiayi,2024-05-31 00:00,24,Good,468.0,,468.0,,6.1,14.6,,4.0,
41,Taixi,2024-05-31 00:00,23,Good,469.0,,469.0,,5.9,16.3,,3.0,
40,Puzi,2024-05-31 00:00,21,Good,470.0,,470.0,,5.4,18.1,,,
39,Xingang,2024-05-31 00:00,29,Good,471.0,,471.0,,3.8,19.9,,6.0,
38,Lunbei,2024-05-31 00:00,31,Good,472.0,,472.0,,5.3,14.3,,7.0,
37,Douliu,2024-05-31 00:00,28,Good,473.0,,473.0,,3.0,10.9,,7.0,
36,Nantou,2024-05-31 00:00,25,Good,474.0,,474.0,,5.7,7.0,,7.0,
35,Erlin,2024-05-31 00:00,51,Moderate,475.0,,475.0,,8.6,13.2,,11.0,
34,Xianxi,2024-05-31 00:00,38,Good,476.0,,476.0,,3.7,20.0,,4.0,
33,Changhua,2024-05-31 00:00,36,Good,477.0,,477.0,,11.1,12.4,,9.0,
32,Xitun,2024-05-31 00:00,35,Good,478.0,,478.0,,16.0,5.5,,11.0,
31,Zhongming,2024-05-31 00:00,27,Good,479.0,,479.0,,9.3,12.0,,8.0,
30,Dali,2024-05-31 00:00,40,Good,480.0,,480.0,,8.2,9.7,,12.0,
29,Shalu,2024-05-31 00:00,35,Good,481.0,,481.0,,8.0,22.6,,5.0,
28,Fengyuan,2024-05-31 00:00,27,Good,482.0,,482.0,,4.6,21.4,,5.0,
27,Sanyi,2024-05-31 00:00,32,Good,483.0,,483.0,,1.5,23.7,,7.0,
26,Miaoli,2024-05-31 00:00,43,Good,484.0,,484.0,,6.8,25.8,,17.0,
25,Toufen,2024-05-31 00:00,39,Good,485.0,,485.0,,7.2,22.4,,14.0,
24,Hsinchu,2024-05-31 00:00,35,Good,486.0,,486.0,,9.6,31.6,,13.0,
23,Zhudong,2024-05-31 00:00,54,Moderate,487.0,,487.0,,6.3,8.6,,17.0,
22,Hukou,2024-05-31 00:00,53,Moderate,488.0,,488.0,,15.8,13.1,,19.0,
21,Longtan,2024-05-31 00:00,56,Moderate,489.0,,489.0,,19.3,7.5,,19.0,
20,Pingzhen,2024-05-31 00:00,40,Good,490.0,,490.0,,24.0,13.8,,13.0,
19,Guanyin,2024-05-31 00:00,30,Good,491.0,,491.0,,6.9,30.9,,10.0,
18,Dayuan,2024-05-31 00:00,41,Good,492.0,,492.0,,13.5,23.2,,19.0,
17,Taoyuan,2024-05-31 00:00,44,Good,493.0,,493.0,,8.9,32.5,,13.0,
16,Datong,2024-05-31 00:00,37,Good,494.0,,494.0,,20.0,1.8,,12.0,
15,Songshan,2024-05-31 00:00,48,Good,495.0,,495.0,,25.7,2.9,,15.0,
14,Guting,2024-05-31 00:00,28,Good,496.0,,496.0,,10.4,7.9,,9.0,
13,Wanhua,2024-05-31 00:00,39,Good,497.0,,497.0,,14.5,7.6,,10.0,
12,Zhongshan,2024-05-31 00:00,32,Good,498.0,,498.0,,16.6,5.3,,9.0,
11,Shilin,2024-05-31 00:00,38,Good,499.0,,499.0,,23.0,3.0,,14.0,
10,Tamsui,2024-05-31 00:00,37,Good,500.0,,500.0,,9.9,24.0,,12.0,
9,Linkou,2024-05-31 00:00,31,Good,501.0,,501.0,,14.6,27.3,,11.0,
8,Cailiao,2024-05-31 00:00,43,Good,502.0,,502.0,,26.0,3.4,,15.0,
7,Xinzhuang,2024-05-31 00:00,45,Good,503.0,,503.0,,19.4,13.1,,17.0,
6,Banqiao,2024-05-31 00:00,50,Good,504.0,,504.0,,30.0,1.7,,13.0,
5,Tucheng,2024-05-31 00:00,58,Moderate,505.0,,505.0,,21.7,4.2,,21.0,
4,Xindian,2024-05-31 00:00,36,Good,506.0,,506.0,,6.3,10.6,,13.0,
3,Wanli,2024-05-31 00:00,28,Good,507.0,,507.0,,6.7,4.5,,6.0,
2,Xizhi,2024-05-31 00:00,42,Good,508.0,,508.0,,19.8,0.5,,13.0,
1,Keelung,2024-05-31 00:00,27,Good,509.0,,509.0,,16.7,0.4,,8.0,
313,Pingtung（fangshan）,2024-05-30 23:00,28,Good,510.0,,510.0,,2.3,21.0,,1.0,
