siteid,sitename,datacreationdate,aqi,status,level_0,co,index,no,no2,o3,pm10,pm2.5,so2
33,Changhua,2024-05-31 05:00,18,Good,52.0,0.22,52.0,1.3,7.4,8.0,21.0,5.0,0.5
32,Xitun,2024-05-31 05:00,24,Good,53.0,0.24,53.0,0.7,8.7,4.7,19.0,7.0,0.9
31,Zhongming,2024-05-31 05:00,23,Good,54.0,0.26,54.0,0.7,3.9,10.2,21.0,5.0,1.2
30,Dali,2024-05-31 05:00,21,Good,55.0,0.39,55.0,1.2,4.8,7.3,15.0,6.0,1.4
29,Shalu,2024-05-31 05:00,22,Good,56.0,0.31,56.0,0.2,6.5,12.6,33.0,6.0,1.1
28,Fengyuan,2024-05-31 05:00,18,Good,57.0,0.22,57.0,1.0,4.4,12.8,16.0,3.0,0.7
27,Sanyi,2024-05-31 05:00,21,Good,58.0,0.17,58.0,1.0,0.8,17.4,13.0,5.0,0.6
26,Miaoli,2024-05-31 05:00,38,Good,59.0,0.23,59.0,1.2,9.1,2.9,25.0,10.0,0.9
25,Toufen,2024-05-31 05:00,34,Good,60.0,0.26,60.0,1.4,8.5,3.0,26.0,11.0,1.4
24,Hsinchu,2024-05-31 05:00,33,Good,61.0,0.28,61.0,0.8,10.8,3.1,15.0,13.0,1.0
23,Zhudong,2024-05-31 05:00,52,Moderate,62.0,0.34,62.0,0.4,4.9,6.5,23.0,18.0,2.8
22,Hukou,2024-05-31 05:00,50,Good,63.0,0.23,63.0,0.5,13.0,9.3,27.0,15.0,3.4
21,Longtan,2024-05-31 05:00,54,Moderate,64.0,0.4,64.0,0.3,10.7,4.1,32.0,11.0,1.2
20,Pingzhen,2024-05-31 05:00,53,Moderate,65.0,0.4,65.0,0.1,19.8,3.1,31.0,20.0,2.0
19,Guanyin,2024-05-31 05:00,44,Good,66.0,0.19,66.0,0.1,13.1,9.3,18.0,15.0,2.2
18,Dayuan,2024-05-31 05:00,52,Moderate,67.0,0.36,67.0,1.3,25.2,3.6,26.0,17.0,2.2
17,Taoyuan,2024-05-31 05:00,57,Moderate,68.0,0.39,68.0,0.9,20.9,0.0,26.0,22.0,1.5
16,Datong,2024-05-31 05:00,38,Good,69.0,1.18,69.0,14.6,8.4,5.0,19.0,10.0,1.8
15,Songshan,2024-05-31 05:00,41,Good,70.0,0.57,70.0,9.1,8.9,7.0,22.0,11.0,0.6
14,Guting,2024-05-31 05:00,23,Good,71.0,0.45,71.0,1.6,4.0,5.9,17.0,7.0,0.7
13,Wanhua,2024-05-31 05:00,28,Good,72.0,0.55,72.0,1.6,5.8,7.2,21.0,6.0,0.5
12,Zhongshan,2024-05-31 05:00,26,Good,73.0,0.86,73.0,7.5,5.9,6.8,20.0,5.0,0.7
11,Shilin,2024-05-31 05:00,42,Good,74.0,0.34,74.0,1.0,10.0,5.4,27.0,11.0,0.9
10,Tamsui,2024-05-31 05:00,38,Good,75.0,0.25,75.0,1.3,17.7,3.8,28.0,11.0,3.6
9,Linkou,2024-05-31 05:00,36,Good,76.0,0.24,76.0,7.0,18.3,13.0,30.0,11.0,1.3
8,Cailiao,2024-05-31 05:00,32,Good,77.0,0.41,77.0,1.3,13.1,2.1,23.0,8.0,1.1
7,Xinzhuang,2024-05-31 05:00,55,Moderate,78.0,0.48,78.0,0.3,16.2,3.9,13.0,20.0,0.8
6,Banqiao,2024-05-31 05:00,41,Good,79.0,0.58,79.0,0.9,16.5,2.6,22.0,15.0,2.3
5,Tucheng,2024-05-31 05:00,56,Moderate,80.0,0.65,80.0,1.8,13.2,1.2,28.0,19.0,1.8
4,Xindian,2024-05-31 05:00,35,Good,81.0,0.38,81.0,1.7,3.2,7.3,18.0,9.0,0.9
3,Wanli,2024-05-31 05:00,22,Good,82.0,0.24,82.0,1.7,6.1,3.9,18.0,5.0,0.2
2,Xizhi,2024-05-31 05:00,46,Good,83.0,0.6,83.0,14.7,13.7,1.7,23.0,16.0,1.8
1,Keelung,2024-05-31 05:00,24,Good,84.0,0.48,84.0,4.8,10.9,1.5,20.0,7.0,1.2
313,Pingtung（fangshan）,2024-05-31 04:00,22,Good,85.0,0.09,85.0,0.0,1.8,17.5,19.0,0.0,0.0
312,Taichung（Rilana Elementary）,2024-05-31 04:00,20,Good,86.0,0.05,86.0,0.2,9.3,8.9,40.0,1.0,0.5
311,New Taipei(Shulin),2024-05-31 04:00,51,Moderate,87.0,0.47,87.0,1.8,6.5,5.5,22.0,15.0,2.7
204,Pingtung（Liuqiu）,2024-05-31 04:00,24,Good,88.0,0.11,88.0,1.3,0.6,24.4,9.0,7.0,0.7
203,Tainan（Madou）,2024-05-31 04:00,18,Good,89.0,0.17,89.0,1.2,3.2,19.0,15.0,5.0,0.4
202,Kaohsiung（Hunei）,2024-05-31 04:00,16,Good,90.0,0.18,90.0,2.6,6.2,14.1,15.0,4.0,0.5
201,Changhua（Yuanlin）,2024-05-31 04:00,36,Good,91.0,0.28,91.0,0.9,7.3,9.2,26.0,14.0,2.2
85,Dacheng,2024-05-31 04:00,15,Good,92.0,0.1,92.0,0.6,0.9,20.5,19.0,2.0,1.0
84,FugueiCape,2024-05-31 04:00,32,Good,93.0,0.13,93.0,0.1,6.0,18.1,26.0,15.0,0.2
83,Mailiao,2024-05-31 04:00,19,Good,94.0,0.17,94.0,0.0,2.2,21.0,17.0,3.0,1.2
80,Guanshan,2024-05-31 04:00,23,Good,95.0,0.12,95.0,0.3,1.9,3.7,6.0,5.0,0.6
78,Magong,2024-05-31 04:00,25,Good,96.0,0.18,96.0,1.3,3.6,25.1,4.0,1.0,1.0
77,Kinmen,2024-05-31 04:00,83,Moderate,97.0,0.37,97.0,0.5,26.0,3.7,38.0,32.0,1.7
75,Matsu,2024-05-31 04:00,40,Good,98.0,0.18,98.0,0.5,4.2,37.5,19.0,17.0,0.7
72,Puli,2024-05-31 04:00,30,Good,99.0,0.32,99.0,1.6,2.4,5.8,15.0,6.0,1.0
71,Fuxing,2024-05-31 04:00,18,Good,100.0,0.33,100.0,2.7,3.7,20.2,12.0,2.0,2.2
70,Yonghe,2024-05-31 04:00,41,Good,101.0,0.82,101.0,7.6,3.8,7.4,13.0,6.0,0.8
69,Zhushan,2024-05-31 04:00,26,Good,102.0,0.21,102.0,0.5,4.0,3.4,13.0,7.0,1.1
68,Zhongli,2024-05-31 04:00,54,Moderate,103.0,1.08,103.0,22.9,19.2,3.4,19.0,20.0,1.8
67,Sanchong,2024-05-31 04:00,39,Good,104.0,2.07,104.0,77.7,8.8,6.4,20.0,11.0,1.2
66,Dongshan,2024-05-31 04:00,25,Good,105.0,0.21,105.0,1.1,5.8,2.6,20.0,9.0,0.5
65,Yilan,2024-05-31 04:00,15,Good,106.0,0.2,106.0,0.4,2.7,7.0,18.0,0.0,0.9
64,Yangming,2024-05-31 04:00,28,Good,107.0,0.16,107.0,0.5,1.5,30.0,10.0,6.0,1.0
63,Hualien,2024-05-31 04:00,20,Good,108.0,0.27,108.0,0.7,1.3,6.8,14.0,4.0,0.3
62,Taitung,2024-05-31 04:00,18,Good,109.0,0.3,109.0,2.3,2.9,7.0,7.0,5.0,0.3
61,Hengchun,2024-05-31 04:00,25,Good,110.0,0.1,110.0,0.6,0.5,29.4,9.0,4.0,0.6
60,Chaozhou,2024-05-31 04:00,15,Good,111.0,0.11,111.0,0.2,1.3,15.5,13.0,2.0,0.9
59,Pingtung,2024-05-31 04:00,19,Good,112.0,0.28,112.0,0.8,3.8,15.5,13.0,2.0,0.5
58,Xiaogang,2024-05-31 04:00,31,Good,113.0,0.5,113.0,1.2,8.3,15.5,11.0,7.0,3.7
57,Qianzhen,2024-05-31 04:00,17,Good,114.0,0.7,114.0,6.6,4.5,21.1,12.0,0.0,2.5
56,Qianjin,2024-05-31 04:00,18,Good,115.0,0.16,115.0,0.5,4.3,19.9,11.0,1.0,1.2
54,Zuoying,2024-05-31 04:00,22,Good,116.0,0.25,116.0,0.7,4.4,19.8,14.0,4.0,1.6
53,Nanzi,2024-05-31 04:00,17,Good,117.0,0.28,117.0,0.8,6.1,18.5,17.0,3.0,0.6
52,Linyuan,2024-05-31 04:00,23,Good,118.0,0.1,118.0,0.7,2.2,14.4,21.0,4.0,0.8
51,Daliao,2024-05-31 04:00,19,Good,119.0,0.12,119.0,0.3,4.7,12.5,21.0,4.0,0.3
50,Fengshan,2024-05-31 04:00,20,Good,120.0,0.38,120.0,1.3,3.1,16.8,18.0,0.0,1.3
49,Renwu,2024-05-31 04:00,22,Good,121.0,0.28,121.0,1.0,2.5,22.0,7.0,3.0,
48,Qiaotou,2024-05-31 04:00,18,Good,122.0,0.39,122.0,0.5,3.2,18.0,33.0,0.0,1.5
47,Meinong,2024-05-31 04:00,17,Good,123.0,0.13,123.0,1.3,0.8,19.0,17.0,0.0,0.7
46,Tainan,2024-05-31 04:00,25,Good,124.0,0.28,124.0,0.9,4.8,19.9,19.0,7.0,1.2
45,Annan,2024-05-31 04:00,24,Good,125.0,0.32,125.0,2.6,3.3,21.5,22.0,6.0,1.2
44,Shanhua,2024-05-31 04:00,21,Good,126.0,0.09,126.0,1.2,1.8,20.8,14.0,6.0,0.2
43,Xinying,2024-05-31 04:00,19,Good,127.0,0.19,127.0,0.9,2.3,20.9,15.0,0.0,0.1
42,Chiayi,2024-05-31 04:00,19,Good,128.0,0.19,128.0,0.8,0.9,25.3,17.0,1.0,1.3
41,Taixi,2024-05-31 04:00,19,Good,129.0,0.11,129.0,1.0,2.3,21.1,16.0,0.0,1.3
40,Puzi,2024-05-31 04:00,16,Good,130.0,0.27,130.0,2.4,3.7,16.8,22.0,,1.2
39,Xingang,2024-05-31 04:00,21,Good,131.0,0.18,131.0,1.3,3.3,21.2,15.0,5.0,0.9
38,Lunbei,2024-05-31 04:00,19,Good,132.0,0.17,132.0,1.0,3.6,18.0,13.0,5.0,0.8
37,Douliu,2024-05-31 04:00,23,Good,133.0,0.27,133.0,1.3,4.4,10.8,23.0,5.0,1.7
36,Nantou,2024-05-31 04:00,28,Good,134.0,0.21,134.0,1.1,4.3,3.4,14.0,3.0,0.5
35,Erlin,2024-05-31 04:00,42,Good,135.0,0.16,135.0,1.7,3.2,17.4,17.0,8.0,0.7
34,Xianxi,2024-05-31 04:00,27,Good,136.0,0.19,136.0,1.4,6.6,11.5,11.0,5.0,0.5
33,Changhua,2024-05-31 04:00,19,Good,137.0,0.19,137.0,1.7,7.1,9.2,20.0,3.0,0.4
32,Xitun,2024-05-31 04:00,26,Good,138.0,0.21,138.0,0.8,8.1,5.4,22.0,6.0,1.1
31,Zhongming,2024-05-31 04:00,25,Good,139.0,0.29,139.0,1.0,4.6,8.5,18.0,8.0,1.2
30,Dali,2024-05-31 04:00,24,Good,140.0,0.28,140.0,0.6,4.3,7.5,14.0,2.0,1.6
29,Shalu,2024-05-31 04:00,24,Good,141.0,0.27,141.0,0.3,7.1,12.0,31.0,5.0,1.2
28,Fengyuan,2024-05-31 04:00,18,Good,142.0,0.22,142.0,1.0,4.2,14.3,20.0,3.0,0.8
27,Sanyi,2024-05-31 04:00,23,Good,143.0,0.19,143.0,1.2,1.0,18.2,18.0,6.0,0.8
26,Miaoli,2024-05-31 04:00,40,Good,144.0,0.22,144.0,1.0,9.7,0.9,20.0,10.0,1.2
25,Toufen,2024-05-31 04:00,34,Good,145.0,0.27,145.0,1.5,6.0,6.1,26.0,9.0,1.3
24,Hsinchu,2024-05-31 04:00,32,Good,146.0,0.34,146.0,0.7,12.0,5.4,23.0,9.0,3.9
23,Zhudong,2024-05-31 04:00,53,Moderate,147.0,0.31,147.0,0.5,4.7,5.9,21.0,14.0,0.1
22,Hukou,2024-05-31 04:00,49,Good,148.0,0.24,148.0,0.8,10.4,15.0,24.0,13.0,6.7
21,Longtan,2024-05-31 04:00,57,Moderate,149.0,0.32,149.0,0.4,12.5,2.5,25.0,15.0,1.4
20,Pingzhen,2024-05-31 04:00,48,Good,150.0,0.35,150.0,0.2,22.7,3.0,28.0,21.0,0.7
19,Guanyin,2024-05-31 04:00,39,Good,151.0,0.22,151.0,0.5,11.2,14.5,21.0,17.0,21.4
18,Dayuan,2024-05-31 04:00,48,Good,152.0,0.36,152.0,1.8,12.6,12.1,28.0,15.0,2.1
17,Taoyuan,2024-05-31 04:00,53,Moderate,153.0,0.49,153.0,1.9,22.7,0.0,29.0,19.0,2.0
16,Datong,2024-05-31 04:00,39,Good,154.0,1.41,154.0,20.6,8.8,5.7,21.0,12.0,1.8
15,Songshan,2024-05-31 04:00,42,Good,155.0,0.47,155.0,6.1,10.9,6.5,13.0,9.0,0.2
14,Guting,2024-05-31 04:00,24,Good,156.0,0.45,156.0,1.6,3.2,7.3,11.0,7.0,0.4
13,Wanhua,2024-05-31 04:00,30,Good,157.0,0.64,157.0,1.7,7.1,6.9,21.0,8.0,0.6
12,Zhongshan,2024-05-31 04:00,29,Good,158.0,0.84,158.0,13.7,7.0,6.8,14.0,5.0,1.0
11,Shilin,2024-05-31 04:00,41,Good,159.0,0.35,159.0,1.1,10.1,7.5,23.0,17.0,0.5
10,Tamsui,2024-05-31 04:00,37,Good,160.0,0.26,160.0,2.5,19.2,4.3,27.0,14.0,2.9
9,Linkou,2024-05-31 04:00,37,Good,161.0,0.18,161.0,0.6,22.8,8.8,13.0,12.0,0.9
8,Cailiao,2024-05-31 04:00,34,Good,162.0,0.48,162.0,1.1,13.1,3.9,18.0,8.0,0.9
7,Xinzhuang,2024-05-31 04:00,55,Moderate,163.0,0.55,163.0,3.3,16.1,6.2,13.0,20.0,0.7
6,Banqiao,2024-05-31 04:00,39,Good,164.0,0.55,164.0,1.3,16.6,2.3,17.0,12.0,1.0
5,Tucheng,2024-05-31 04:00,55,Moderate,165.0,0.65,165.0,1.5,13.0,3.1,28.0,20.0,2.3
4,Xindian,2024-05-31 04:00,37,Good,166.0,0.39,166.0,1.6,2.6,8.2,13.0,12.0,0.6
3,Wanli,2024-05-31 04:00,23,Good,167.0,0.29,167.0,1.6,6.9,5.3,27.0,6.0,0.4
2,Xizhi,2024-05-31 04:00,44,Good,168.0,0.44,168.0,3.6,15.0,0.6,27.0,15.0,4.0
1,Keelung,2024-05-31 04:00,24,Good,169.0,0.47,169.0,5.2,10.5,0.9,19.0,8.0,1.4
313,Pingtung（fangshan）,2024-05-31 03:00,23,Good,170.0,0.09,170.0,0.1,1.7,20.6,14.0,0.0,0.0
312,Taichung（Rilana Elementary）,2024-05-31 03:00,22,Good,171.0,0.1,171.0,0.3,7.3,11.2,32.0,3.0,0.6
311,New Taipei(Shulin),2024-05-31 03:00,51,Moderate,172.0,0.41,172.0,1.5,7.1,5.6,23.0,14.0,5.9
204,Pingtung（Liuqiu）,2024-05-31 03:00,24,Good,173.0,0.1,173.0,1.2,0.7,25.7,10.0,6.0,0.7
203,Tainan（Madou）,2024-05-31 03:00,17,Good,174.0,0.19,174.0,1.9,3.2,19.4,22.0,5.0,0.0
202,Kaohsiung（Hunei）,2024-05-31 03:00,18,Good,175.0,0.26,175.0,2.9,4.8,17.1,16.0,6.0,1.2
201,Changhua（Yuanlin）,2024-05-31 03:00,35,Good,176.0,0.39,176.0,5.8,8.4,8.7,22.0,8.0,1.8
85,Dacheng,2024-05-31 03:00,16,Good,177.0,0.09,177.0,0.5,4.1,20.0,18.0,4.0,1.0
84,FugueiCape,2024-05-31 03:00,27,Good,178.0,0.14,178.0,0.2,9.2,20.1,39.0,9.0,0.2
83,Mailiao,2024-05-31 03:00,21,Good,179.0,0.15,179.0,1.1,3.3,21.9,11.0,5.0,1.2
80,Guanshan,2024-05-31 03:00,23,Good,180.0,0.15,180.0,0.4,1.6,5.2,4.0,4.0,0.4
78,Magong,2024-05-31 03:00,26,Good,181.0,0.23,181.0,1.9,2.6,27.3,7.0,1.0,1.1
77,Kinmen,2024-05-31 03:00,81,Moderate,182.0,0.35,182.0,0.5,27.3,4.0,37.0,30.0,1.7
75,Matsu,2024-05-31 03:00,37,Good,183.0,0.18,183.0,0.5,5.4,40.1,24.0,11.0,0.9
72,Puli,2024-05-31 03:00,33,Good,184.0,0.25,184.0,1.5,2.1,7.9,20.0,10.0,1.0
71,Fuxing,2024-05-31 03:00,18,Good,185.0,0.33,185.0,3.1,4.0,21.1,15.0,1.0,1.8
70,Yonghe,2024-05-31 03:00,57,Moderate,186.0,0.89,186.0,7.4,4.6,7.1,11.0,9.0,0.7
69,Zhushan,2024-05-31 03:00,25,Good,187.0,0.16,187.0,0.8,4.7,3.6,10.0,6.0,1.2
68,Zhongli,2024-05-31 03:00,53,Moderate,188.0,1.14,188.0,27.7,23.0,4.0,27.0,20.0,1.7
67,Sanchong,2024-05-31 03:00,39,Good,189.0,1.21,189.0,50.4,15.1,4.1,22.0,12.0,0.8
66,Dongshan,2024-05-31 03:00,24,Good,190.0,0.26,190.0,2.3,4.8,4.7,23.0,6.0,0.5
65,Yilan,2024-05-31 03:00,17,Good,191.0,0.23,191.0,0.5,2.4,9.0,22.0,1.0,0.9
64,Yangming,2024-05-31 03:00,26,Good,192.0,0.15,192.0,0.7,2.3,30.5,10.0,7.0,0.9
63,Hualien,2024-05-31 03:00,20,Good,193.0,0.27,193.0,1.2,1.1,11.4,42.0,4.0,0.6
62,Taitung,2024-05-31 03:00,17,Good,194.0,0.34,194.0,2.9,2.8,13.0,7.0,3.0,0.2
61,Hengchun,2024-05-31 03:00,25,Good,195.0,0.1,195.0,0.7,0.6,30.1,20.0,4.0,0.6
60,Chaozhou,2024-05-31 03:00,16,Good,196.0,0.09,196.0,0.2,1.3,14.6,12.0,2.0,0.9
59,Pingtung,2024-05-31 03:00,20,Good,197.0,0.25,197.0,1.1,3.0,18.0,17.0,2.0,0.6
58,Xiaogang,2024-05-31 03:00,31,Good,198.0,0.44,198.0,2.2,6.8,20.0,19.0,6.0,5.4
57,Qianzhen,2024-05-31 03:00,17,Good,199.0,0.51,199.0,6.5,5.8,21.4,21.0,0.0,1.6
56,Qianjin,2024-05-31 03:00,18,Good,200.0,0.13,200.0,1.2,4.3,21.9,17.0,2.0,1.6
54,Zuoying,2024-05-31 03:00,26,Good,201.0,0.23,201.0,1.4,4.1,21.8,14.0,5.0,1.5
53,Nanzi,2024-05-31 03:00,18,Good,202.0,0.24,202.0,1.4,7.4,20.1,22.0,3.0,0.5
52,Linyuan,2024-05-31 03:00,26,Good,203.0,0.11,203.0,0.9,1.8,19.0,20.0,5.0,0.8
51,Daliao,2024-05-31 03:00,21,Good,204.0,0.12,204.0,0.9,3.1,16.9,17.0,4.0,0.3
50,Fengshan,2024-05-31 03:00,21,Good,205.0,0.43,205.0,1.7,1.5,22.6,25.0,0.0,1.6
49,Renwu,2024-05-31 03:00,23,Good,206.0,0.24,206.0,1.2,3.2,24.0,11.0,5.0,0.0
48,Qiaotou,2024-05-31 03:00,18,Good,207.0,0.35,207.0,1.0,3.5,18.7,14.0,0.0,1.5
47,Meinong,2024-05-31 03:00,17,Good,208.0,0.11,208.0,1.2,0.8,24.3,15.0,0.0,0.7
46,Tainan,2024-05-31 03:00,27,Good,209.0,0.28,209.0,1.1,5.3,20.6,21.0,6.0,1.5
45,Annan,2024-05-31 03:00,24,Good,210.0,0.29,210.0,3.3,5.7,21.0,26.0,6.0,0.8
44,Shanhua,2024-05-31 03:00,24,Good,211.0,0.11,211.0,1.3,2.1,20.5,18.0,3.0,0.8
