siteid,sitename,datacreationdate,aqi,status,pm2.5,pm10,o3,co,no2,no,so2
50,Fengshan,2024-05-31 00:00,22,Good,4,12,23.5,0.2,5.9,0.4,0.9
49,Renwu,2024-05-31 00:00,26,Good,8,9,20.9,0.34,9.5,0.7,1.7
48,Qiaotou,2024-05-31 00:00,19,Good,7,9,17.3,0.26,10.9,0.1,0.9
47,Meinong,2024-05-31 00:00,20,Good,8,26,11.8,0.16,2.7,1.3,0.7
46,Tainan,2024-05-31 00:00,29,Good,10,12,15,0.21,12,0.5,1.6
45,Annan,2024-05-31 00:00,30,Good,5,14,15.5,0.24,12.8,1.8,1.8
44,Shanhua,2024-05-31 00:00,27,Good,11,12,17.4,0.09,2.8,1.2,0.2
43,Xinying,2024-05-31 00:00,24,Good,0,14,19.5,0.15,3.5,0.5,0
42,Chiayi,2024-05-31 00:00,24,Good,4,15,14.6,0.17,6.1,1,1.5
41,Taixi,2024-05-31 00:00,23,Good,3,21,16.3,0.17,5.9,1,1.5
40,Puzi,2024-05-31 00:00,21,Good,,17,18.1,0.15,5.4,1.4,1.2
39,Xingang,2024-05-31 00:00,29,Good,6,15,19.9,0.12,3.8,1.5,0.4
38,Lunbei,2024-05-31 00:00,31,Good,7,13,14.3,0.15,5.3,3.6,1
37,Douliu,2024-05-31 00:00,28,Good,7,26,10.9,0.14,3,1.3,1
36,Nantou,2024-05-31 00:00,25,Good,7,30,7,0.16,5.7,0.6,0.2
35,Erlin,2024-05-31 00:00,51,Moderate,11,24,13.2,0.14,8.6,0.5,0.7
34,Xianxi,2024-05-31 00:00,38,Good,4,21,20,0.17,3.7,1.1,0.6
33,Changhua,2024-05-31 00:00,36,Good,9,23,12.4,0.26,11.1,1.3,1
32,Xitun,2024-05-31 00:00,35,Good,11,28,5.5,0.28,16,1.4,1
31,Zhongming,2024-05-31 00:00,27,Good,8,20,12,0.27,9.3,1,0.9
30,Dali,2024-05-31 00:00,40,Good,12,23,9.7,0.28,8.2,0.8,1.2
29,Shalu,2024-05-31 00:00,35,Good,5,13,22.6,0.21,8,0,0.8
28,Fengyuan,2024-05-31 00:00,27,Good,5,15,21.4,0.2,4.6,0.8,0.4
27,Sanyi,2024-05-31 00:00,32,Good,7,11,23.7,0.15,1.5,0.9,0.5
26,Miaoli,2024-05-31 00:00,43,Good,17,24,25.8,0.21,6.8,1,1.4
25,Toufen,2024-05-31 00:00,39,Good,14,32,22.4,0.25,7.2,1.3,1.5
24,Hsinchu,2024-05-31 00:00,35,Good,13,23,31.6,0.28,9.6,0.8,1.2
23,Zhudong,2024-05-31 00:00,54,Moderate,17,29,8.6,0.25,6.3,0.8,0.4
22,Hukou,2024-05-31 00:00,53,Moderate,19,21,13.1,0.3,15.8,0.8,0.6
21,Longtan,2024-05-31 00:00,56,Moderate,19,28,7.5,0.39,19.3,0.8,1
20,Pingzhen,2024-05-31 00:00,40,Good,13,32,13.8,0.32,24,0.4,0.8
19,Guanyin,2024-05-31 00:00,30,Good,10,15,30.9,0.16,6.9,0.1,1
18,Dayuan,2024-05-31 00:00,41,Good,19,24,23.2,0.33,13.5,0.8,3
17,Taoyuan,2024-05-31 00:00,44,Good,13,21,32.5,0.27,8.9,0.3,1.3
16,Datong,2024-05-31 00:00,37,Good,12,26,1.8,1.39,20,33.6,1.2
15,Songshan,2024-05-31 00:00,48,Good,15,21,2.9,0.61,25.7,13.6,0.8
14,Guting,2024-05-31 00:00,28,Good,9,17,7.9,0.32,10.4,1.7,0.4
13,Wanhua,2024-05-31 00:00,39,Good,10,17,7.6,0.39,14.5,2.9,0.4
12,Zhongshan,2024-05-31 00:00,32,Good,9,17,5.3,0.49,16.6,2.4,0.6
11,Shilin,2024-05-31 00:00,38,Good,14,21,3,0.51,23,1.7,0.5
10,Tamsui,2024-05-31 00:00,37,Good,12,19,24,0.29,9.9,1,1.3
9,Linkou,2024-05-31 00:00,31,Good,11,25,27.3,0.3,14.6,0.3,2.6
8,Cailiao,2024-05-31 00:00,43,Good,15,21,3.4,0.65,26,3.6,1
7,Xinzhuang,2024-05-31 00:00,45,Good,17,21,13.1,0.5,19.4,0.1,0.9
6,Banqiao,2024-05-31 00:00,50,Good,13,29,1.7,0.72,30,3,1
5,Tucheng,2024-05-31 00:00,58,Moderate,21,27,4.2,0.5,21.7,2.8,0.3
4,Xindian,2024-05-31 00:00,36,Good,13,21,10.6,0.24,6.3,1.2,0.9
3,Wanli,2024-05-31 00:00,28,Good,6,22,4.5,0.28,6.7,2.1,0
2,Xizhi,2024-05-31 00:00,42,Good,13,23,0.5,0.44,19.8,11.3,1.5
1,Keelung,2024-05-31 00:00,27,Good,8,21,0.4,0.51,16.7,9.2,1
313,Pingtung（fangshan）,2024-05-30 23:00,28,Good,1,14,21,0.1,2.3,0.3,0
312,Taichung（Rilana Elementary）,2024-05-30 23:00,33,Good,9,28,18.2,0.09,11.2,3.2,0.3
311,New Taipei(Shulin),2024-05-30 23:00,53,Moderate,15,25,9,0.34,11.5,1.8,1
204,Pingtung（Liuqiu）,2024-05-30 23:00,27,Good,4,11,27,0.06,1,1.2,0.4
203,Tainan（Madou）,2024-05-30 23:00,23,Good,4,15,19.1,0.15,7.3,1,
202,Kaohsiung（Hunei）,2024-05-30 23:00,18,Good,3,17,14.6,0.31,8.9,1.4,1.7
201,Changhua（Yuanlin）,2024-05-30 23:00,44,Good,14,27,16.5,0.27,9.9,0.5,1.7
85,Dacheng,2024-05-30 23:00,31,Good,5,12,15.1,0.12,5.3,0.3,0.8
84,FugueiCape,2024-05-30 23:00,34,Good,8,29,27.2,0.16,4.6,0.1,0.3
83,Mailiao,2024-05-30 23:00,25,Good,8,19,16.8,0.2,8.2,1,1.3
80,Guanshan,2024-05-30 23:00,18,Good,1,16,9.8,0.13,2.7,0.4,0.4
78,Magong,2024-05-30 23:00,28,Good,0,4,26.2,0.15,6.3,1.4,0.9
77,Kinmen,2024-05-30 23:00,74,Moderate,24,31,11.2,0.34,21.7,1,1.7
75,Matsu,2024-05-30 23:00,41,Good,11,24,39.8,0.21,5.4,0.5,1.1
72,Puli,2024-05-30 23:00,37,Good,7,20,8.8,0.25,6.9,1.6,0.9
71,Fuxing,2024-05-30 23:00,20,Good,5,7,20.1,0.17,8.2,1.4,2.2
70,Yonghe,2024-05-30 23:00,41,Good,11,16,5.9,0.49,10.4,5.4,1
69,Zhushan,2024-05-30 23:00,40,Good,7,25,7.4,0.13,4.5,0.8,0.8
68,Zhongli,2024-05-30 23:00,49,Good,17,30,14.5,0.63,24.3,16.7,2
67,Sanchong,2024-05-30 23:00,50,Good,12,22,8.2,0.84,30.9,25.2,1.1
66,Dongshan,2024-05-30 23:00,27,Good,8,28,7.5,0.7,14.7,1.7,0.4
65,Yilan,2024-05-30 23:00,31,Good,4,13,18.9,0.2,4.1,0.4,1.1
64,Yangming,2024-05-30 23:00,24,Good,9,18,33.5,0.18,3.3,0.5,0.9
63,Hualien,2024-05-30 23:00,28,Good,7,14,18.3,0.21,3.5,0.3,0.3
62,Taitung,2024-05-30 23:00,22,Good,4,18,17,0.16,3.4,1.8,0.1
61,Hengchun,2024-05-30 23:00,28,Good,5,12,24.3,0.11,2,0.6,0.6
60,Chaozhou,2024-05-30 23:00,21,Good,5,26,11,0.09,4.1,0,0.5
59,Pingtung,2024-05-30 23:00,23,Good,4,20,19.7,0.21,6.7,0.5,0.6
58,Xiaogang,2024-05-30 23:00,26,Good,10,9,27.1,0.11,4.3,0.6,9.7
57,Qianzhen,2024-05-30 23:00,18,Good,3,9,18.8,0.24,11.1,2.7,1.5
56,Qianjin,2024-05-30 23:00,23,Good,1,11,14.9,0.12,14.5,0,2.7
54,Zuoying,2024-05-30 23:00,29,Good,9,14,19,0.3,11.6,0.1,3.1
53,Nanzi,2024-05-30 23:00,22,Good,7,20,20.7,0.29,10.8,0.5,0.7
52,Linyuan,2024-05-30 23:00,30,Good,3,17,30.2,0.1,1.1,0.7,0.8
51,Daliao,2024-05-30 23:00,25,Good,2,11,23.7,0.11,2.4,0.2,0.3
50,Fengshan,2024-05-30 23:00,23,Good,5,10,22.6,0.28,5.9,0.7,0.6
49,Renwu,2024-05-30 23:00,28,Good,5,7,26.3,0.22,4.9,0.7,0.8
48,Qiaotou,2024-05-30 23:00,21,Good,3,16,22.2,0.26,7.6,0.2,0.5
47,Meinong,2024-05-30 23:00,23,Good,3,19,14.3,0.15,2.7,1.1,0.6
46,Tainan,2024-05-30 23:00,27,Good,7,14,18.8,0.19,9.9,0.6,1.6
45,Annan,2024-05-30 23:00,32,Good,7,15,19.6,0.24,10.2,1.8,1.4
44,Shanhua,2024-05-30 23:00,24,Good,6,18,20.6,0.1,2.5,0.9,0.4
43,Xinying,2024-05-30 23:00,25,Good,0,20,20.1,0.14,3.9,0.5,0
42,Chiayi,2024-05-30 23:00,26,Good,5,11,19.3,0.16,5.1,0.8,1.4
41,Taixi,2024-05-30 23:00,27,Good,5,18,17.1,0.16,5.9,1,1.4
40,Puzi,2024-05-30 23:00,22,Good,,19,14.5,0.22,8.5,2.4,1.6
39,Xingang,2024-05-30 23:00,32,Good,11,17,21.9,0.12,3.4,1.4,0.6
38,Lunbei,2024-05-30 23:00,35,Good,8,15,16.6,0.15,3.7,1.1,0.8
37,Douliu,2024-05-30 23:00,29,Good,12,23,14.1,0.19,5.7,1.3,1.2
36,Nantou,2024-05-30 23:00,26,Good,7,27,7.2,0.21,7.7,0.6,0.3
35,Erlin,2024-05-30 23:00,55,Moderate,14,38,17.1,0.13,5.5,1.6,0.5
34,Xianxi,2024-05-30 23:00,43,Good,18,28,22.9,0.23,5.4,1.3,0.6
33,Changhua,2024-05-30 23:00,37,Good,10,25,15.8,0.26,10.2,1.5,0.9
32,Xitun,2024-05-30 23:00,34,Good,7,25,8,0.3,16.5,1.2,1
31,Zhongming,2024-05-30 23:00,28,Good,5,19,14.1,0.29,11,1.2,1.1
30,Dali,2024-05-30 23:00,39,Good,12,22,10.8,0.27,10,1.1,1.2
29,Shalu,2024-05-30 23:00,39,Good,7,21,22.6,0.26,11.7,0.2,0.9
28,Fengyuan,2024-05-30 23:00,31,Good,4,16,28.2,0.18,4.4,0.9,0.5
27,Sanyi,2024-05-30 23:00,36,Good,5,13,30.9,0.13,0.4,1,0.5
26,Miaoli,2024-05-30 23:00,41,Good,16,30,27.3,0.19,7.7,1.2,1.4
25,Toufen,2024-05-30 23:00,39,Good,14,24,19.6,0.29,8.3,1.3,1.4
24,Hsinchu,2024-05-30 23:00,36,Good,7,29,33.3,0.32,10.3,0.6,1.1
23,Zhudong,2024-05-30 23:00,54,Moderate,14,27,10.5,0.28,7.2,0.5,0.3
22,Hukou,2024-05-30 23:00,53,Moderate,12,25,25,0.26,9.1,0.4,0.8
21,Longtan,2024-05-30 23:00,56,Moderate,19,31,15.3,0.39,16.3,0.3,1.7
20,Pingzhen,2024-05-30 23:00,39,Good,11,28,19,0.32,19.2,0,0.7
19,Guanyin,2024-05-30 23:00,31,Good,12,17,24,0.18,11.2,0.1,1
18,Dayuan,2024-05-30 23:00,39,Good,12,28,16.9,0.31,18.8,1,1.1
17,Taoyuan,2024-05-30 23:00,44,Good,15,21,30.9,0.28,13.5,0.4,1.5
16,Datong,2024-05-30 23:00,50,Good,18,28,3.5,1.91,30.6,55.1,1.8
15,Songshan,2024-05-30 23:00,45,Good,18,19,9,0.53,23.6,8.6,1.2
14,Guting,2024-05-30 23:00,28,Good,4,14,6.8,0.35,11.2,2.6,0.8
13,Wanhua,2024-05-30 23:00,38,Good,11,18,4.9,0.54,21.5,3.4,0.8
12,Zhongshan,2024-05-30 23:00,35,Good,13,25,9.5,0.51,21.8,1.3,1.1
11,Shilin,2024-05-30 23:00,42,Good,12,22,8.4,0.47,25.2,2.2,0.9
10,Tamsui,2024-05-30 23:00,36,Good,12,21,24.4,0.33,14.3,1.1,1.2
9,Linkou,2024-05-30 23:00,31,Good,11,22,30.5,0.34,,,2.5
8,Cailiao,2024-05-30 23:00,38,Good,9,20,18.8,0.58,23.2,0.5,1.7
7,Xinzhuang,2024-05-30 23:00,42,Good,17,25,12.7,0.56,23.4,0.7,1.6
6,Banqiao,2024-05-30 23:00,43,Good,17,30,9.4,0.59,26.2,1,1.2
5,Tucheng,2024-05-30 23:00,57,Moderate,19,33,5.3,0.55,24.6,2.7,0.5
4,Xindian,2024-05-30 23:00,34,Good,9,12,12,0.31,8.8,1.8,0.8
3,Wanli,2024-05-30 23:00,28,Good,4,21,5.4,0.27,7.1,2,0.2
2,Xizhi,2024-05-30 23:00,43,Good,17,26,1.4,0.56,23.3,13.6,0.7
1,Keelung,2024-05-30 23:00,30,Good,8,27,0.4,0.61,18.3,9.8,1.3
313,Pingtung（fangshan）,2024-05-30 22:00,30,Good,0,12,22.7,0.1,2.7,0.4,0
312,Taichung（Rilana Elementary）,2024-05-30 22:00,36,Good,10,25,17.4,0.1,12.7,2.7,0.3
311,New Taipei(Shulin),2024-05-30 22:00,52,Moderate,19,26,7,0.39,15.6,2.1,1
204,Pingtung（Liuqiu）,2024-05-30 22:00,27,Good,5,6,28.6,0.07,1.3,1.1,0.5
203,Tainan（Madou）,2024-05-30 22:00,25,Good,6,14,19.2,0.16,7.5,1.1,0.2
202,Kaohsiung（Hunei）,2024-05-30 22:00,19,Good,5,10,16.3,0.26,8.8,1.3,1.8
201,Changhua（Yuanlin）,2024-05-30 22:00,43,Good,16,27,16.2,0.32,12.3,0.4,1.7
85,Dacheng,2024-05-30 22:00,35,Good,3,15,16.2,0.11,4.7,0.5,0.6
84,FugueiCape,2024-05-30 22:00,36,Good,5,27,33.2,0.13,1.8,0,0.3
83,Mailiao,2024-05-30 22:00,30,Good,6,16,17.4,0.24,8.9,1.8,1.1
80,Guanshan,2024-05-30 22:00,20,Good,3,10,14.8,0.13,3.2,0.4,0.4
78,Magong,2024-05-30 22:00,29,Good,0,7,24.8,0.2,7.8,1.7,0.8
77,Kinmen,2024-05-30 22:00,76,Moderate,23,24,16.4,0.35,17.1,0.6,1.7
75,Matsu,2024-05-30 22:00,42,Good,12,23,37.1,0.22,8.7,0.8,1.4
72,Puli,2024-05-30 22:00,39,Good,10,25,9.4,0.31,8.2,1.5,0.9
71,Fuxing,2024-05-30 22:00,20,Good,6,10,20.3,0.33,12.1,1.8,1.8
70,Yonghe,2024-05-30 22:00,42,Good,13,18,6,0.72,19.9,6.3,1.5
69,Zhushan,2024-05-30 22:00,41,Good,11,27,7.8,0.18,6.1,0.7,0.9
68,Zhongli,2024-05-30 22:00,48,Good,12,25,16.8,0.86,28.1,27.2,2.3
67,Sanchong,2024-05-30 22:00,54,Moderate,11,18,11.7,0.76,35.8,28.4,1.3
66,Dongshan,2024-05-30 22:00,31,Good,7,24,21.2,0.32,3.7,0.8,0.3
65,Yilan,2024-05-30 22:00,34,Good,4,9,20.1,0.31,6.6,1.1,1.4
64,Yangming,2024-05-30 22:00,24,Good,7,14,27.9,0.2,3.6,0.5,0.7
63,Hualien,2024-05-30 22:00,29,Good,10,12,18.4,0.25,4.6,0.7,0.3
62,Taitung,2024-05-30 22:00,24,Good,1,13,22.3,0.19,3.9,1.8,0
61,Hengchun,2024-05-30 22:00,29,Good,1,7,26.5,0.11,1.6,0.6,0.6
60,Chaozhou,2024-05-30 22:00,24,Good,2,23,12.8,0.1,3.9,0.3,0.6
59,Pingtung,2024-05-30 22:00,25,Good,6,19,23.1,0.24,7.5,0.7,0.6
58,Xiaogang,2024-05-30 22:00,25,Good,9,14,23.9,0.22,9.7,1.1,2.4
57,Qianzhen,2024-05-30 22:00,22,Good,2,10,18.2,0.35,13.3,3.5,2.2
56,Qianjin,2024-05-30 22:00,21,Good,3,12,19.9,0.22,10.2,0,4.3
54,Zuoying,2024-05-30 22:00,29,Good,10,15,18.2,0.4,13.6,0.1,2.3
53,Nanzi,2024-05-30 22:00,24,Good,3,16,23.5,0.18,9.7,0.4,0.6
52,Linyuan,2024-05-30 22:00,31,Good,3,15,30.5,0.1,1,0.6,0.7
51,Daliao,2024-05-30 22:00,26,Good,2,11,25.1,0.11,3.1,0.3,0.3
50,Fengshan,2024-05-30 22:00,24,Good,6,19,25.1,0.31,6,0.9,0.7
49,Renwu,2024-05-30 22:00,28,Good,5,7,30,0.17,3.7,0.8,0.8
48,Qiaotou,2024-05-30 22:00,22,Good,4,10,21.7,0.39,8.6,0.4,0.9
47,Meinong,2024-05-30 22:00,26,Good,4,19,14.9,0.14,3.1,1.3,0.6
46,Tainan,2024-05-30 22:00,28,Good,8,22,17.2,0.24,13.7,0.6,1.6
45,Annan,2024-05-30 22:00,34,Good,7,21,17.7,0.24,11.6,2,1.3
44,Shanhua,2024-05-30 22:00,25,Good,9,12,20.8,0.1,2.7,0.9,0.7
43,Xinying,2024-05-30 22:00,26,Good,2,15,20.9,0.15,4,0.3,0
42,Chiayi,2024-05-30 22:00,27,Good,6,15,21.2,0.14,4.9,1,1.4
41,Taixi,2024-05-30 22:00,32,Good,6,16,20.2,0.15,5,1.1,1.3
40,Puzi,2024-05-30 22:00,25,Good,,19,17.6,0.18,6.6,2.2,1.3
39,Xingang,2024-05-30 22:00,33,Good,8,15,24.1,0.12,3.7,1.7,0.8
38,Lunbei,2024-05-30 22:00,37,Good,9,14,19.8,0.15,4,1.1,0.9
37,Douliu,2024-05-30 22:00,26,Good,9,24,16.1,0.25,10.3,1.3,1.7
36,Nantou,2024-05-30 22:00,29,Good,4,22,9.8,0.2,7.2,0.9,0.2
35,Erlin,2024-05-30 22:00,56,Moderate,17,26,20.5,0.18,5.1,1.9,0.6
34,Xianxi,2024-05-30 22:00,39,Good,16,32,27.4,0.23,5.4,1.6,0.9
33,Changhua,2024-05-30 22:00,39,Good,12,17,20.6,0.23,8.6,1.5,0.7
32,Xitun,2024-05-30 22:00,38,Good,9,24,15.4,0.31,14.9,0.8,1
31,Zhongming,2024-05-30 22:00,30,Good,8,15,14.7,0.36,12.3,1.4,0.9
30,Dali,2024-05-30 22:00,37,Good,11,16,11.5,0.33,10.9,2,1.3
29,Shalu,2024-05-30 22:00,41,Good,13,20,19.5,0.37,16.7,0.4,1
28,Fengyuan,2024-05-30 22:00,38,Good,3,17,20.4,0.2,6.7,1,0.4
27,Sanyi,2024-05-30 22:00,39,Good,5,12,31,0.13,0.4,1.1,0.5
26,Miaoli,2024-05-30 22:00,41,Good,10,28,26.2,0.2,8.8,1.2,1.3
25,Toufen,2024-05-30 22:00,39,Good,13,27,31.4,0.25,6.8,1.3,1.5
24,Hsinchu,2024-05-30 22:00,38,Good,9,27,34.3,0.31,12.3,0.7,1.7
23,Zhudong,2024-05-30 22:00,55,Moderate,13,23,11,0.29,8.2,0.6,0.3
22,Hukou,2024-05-30 22:00,56,Moderate,16,23,31,0.23,6.2,0.2,1
21,Longtan,2024-05-30 22:00,56,Moderate,16,30,20.6,0.4,18.4,0.3,2.1
20,Pingzhen,2024-05-30 22:00,40,Good,9,28,27.1,0.29,15,0,1
19,Guanyin,2024-05-30 22:00,32,Good,11,15,31.2,0.16,7.7,0.2,0.7
18,Dayuan,2024-05-30 22:00,40,Good,13,31,18.2,0.34,18.1,1.2,1.5
17,Taoyuan,2024-05-30 22:00,44,Good,17,27,23.7,0.39,19.5,0.4,2.3
16,Datong,2024-05-30 22:00,52,Moderate,9,20,12.7,1.45,33.3,19.1,1.7
15,Songshan,2024-05-30 22:00,43,Good,17,24,6.9,0.62,26.5,9.7,1.1
14,Guting,2024-05-30 22:00,31,Good,9,16,10.6,0.36,14,2.1,0.7
13,Wanhua,2024-05-30 22:00,45,Good,19,26,23,0.64,27.3,1,1.8
12,Zhongshan,2024-05-30 22:00,47,Good,11,17,16.6,0.64,28.1,4.6,1.3
11,Shilin,2024-05-30 22:00,38,Good,11,22,15.5,0.34,23.7,0.9,1.1
10,Tamsui,2024-05-30 22:00,36,Good,10,20,13.9,0.44,16.8,1.6,1.2
9,Linkou,2024-05-30 22:00,33,Good,12,21,34,0.31,15.8,0,2.1
8,Cailiao,2024-05-30 22:00,33,Good,8,22,29.6,0.42,20,0.4,1.6
7,Xinzhuang,2024-05-30 22:00,40,Good,17,24,16.6,0.56,22.8,0.3,2.4
6,Banqiao,2024-05-30 22:00,43,Good,12,29,12.2,0.55,26.8,0.9,1.9
5,Tucheng,2024-05-30 22:00,56,Moderate,18,30,6.7,0.54,26.8,2.5,0.7
4,Xindian,2024-05-30 22:00,33,Good,13,18,10.2,0.33,10.6,2.3,0.7
3,Wanli,2024-05-30 22:00,29,Good,4,30,7.4,0.25,7.8,2,0.1
2,Xizhi,2024-05-30 22:00,43,Good,14,25,3.7,0.56,26.6,7.3,0.8
1,Keelung,2024-05-30 22:00,30,Good,9,22,0.4,0.59,18.4,11.5,1.5
313,Pingtung（fangshan）,2024-05-30 21:00,31,Good,1,8,25.5,0.09,3.6,0.3,0
312,Taichung（Rilana Elementary）,2024-05-30 21:00,41,Good,11,29,28.5,0.07,8,1.2,0.3
311,New Taipei(Shulin),2024-05-30 21:00,52,Moderate,19,33,6.8,0.46,20.7,3.1,1.2
204,Pingtung（Liuqiu）,2024-05-30 21:00,28,Good,6,11,28.8,0.07,1,1.3,0.6
203,Tainan（Madou）,2024-05-30 21:00,28,Good,9,22,12.2,0.25,17.4,2,0.3
202,Kaohsiung（Hunei）,2024-05-30 21:00,22,Good,8,17,12.4,0.34,13.2,1.8,1.5
201,Changhua（Yuanlin）,2024-05-30 21:00,40,Good,11,29,19.2,0.4,11.3,0.8,1.7
85,Dacheng,2024-05-30 21:00,41,Good,4,13,19.3,0.09,4.4,0.2,0.6
84,FugueiCape,2024-05-30 21:00,38,Good,9,21,30.3,0.15,3.7,0.1,0.2
83,Mailiao,2024-05-30 21:00,35,Good,7,18,20.8,0.22,6.9,0.5,1
80,Guanshan,2024-05-30 21:00,23,Good,4,1,18.1,0.13,3.5,0.3,0.4
78,Magong,2024-05-30 21:00,32,Good,0,16,28.7,0.18,5.7,1.5,0.9
77,Kinmen,2024-05-30 21:00,77,Moderate,21,29,26.5,0.34,13.7,0.6,1.5
75,Matsu,2024-05-30 21:00,44,Good,13,21,36.5,0.22,5.8,0.6,0.9
72,Puli,2024-05-30 21:00,41,Good,11,23,17.9,0.32,7.6,1.5,1.1
71,Fuxing,2024-05-30 21:00,21,Good,6,16,20.7,0.28,10.7,1.9,4.3
70,Yonghe,2024-05-30 21:00,50,Good,14,18,12.1,0.97,30.2,7.2,1.8
69,Zhushan,2024-05-30 21:00,39,Good,14,21,11.6,0.22,7.3,0.8,0.9
68,Zhongli,2024-05-30 21:00,48,Good,14,32,18.3,0.76,26.1,21,3.4
67,Sanchong,2024-05-30 21:00,60,Moderate,11,21,6.6,1.44,44.4,71.3,1.3
66,Dongshan,2024-05-30 21:00,34,Good,5,14,25.6,0.19,4,0.7,0.3
65,Yilan,2024-05-30 21:00,38,Good,8,10,27.2,0.23,3.8,0.4,1
64,Yangming,2024-05-30 21:00,25,Good,5,7,29.4,0.17,1.6,0.4,0.7
63,Hualien,2024-05-30 21:00,29,Good,12,4,20.8,0.26,5.3,0.6,0.3
62,Taitung,2024-05-30 21:00,26,Good,3,16,24,0.22,5,1.9,0.1
61,Hengchun,2024-05-30 21:00,30,Good,2,5,28.2,0.1,1.4,0.6,0.6
60,Chaozhou,2024-05-30 21:00,26,Good,4,21,17,0.1,4,0.1,0.7
59,Pingtung,2024-05-30 21:00,26,Good,10,22,22.5,0.27,8.6,0.9,0.6
58,Xiaogang,2024-05-30 21:00,23,Good,6,20,18.6,0.5,14,1,3.6
57,Qianzhen,2024-05-30 21:00,23,Good,6,16,17.4,0.41,14.8,6.7,5.2
56,Qianjin,2024-05-30 21:00,21,Good,4,12,22.6,0.16,9.5,0.1,3.2
54,Zuoying,2024-05-30 21:00,28,Good,7,17,21.6,0.34,10.2,0,1.3
53,Nanzi,2024-05-30 21:00,27,Good,7,17,19.9,0.23,12.9,1.1,3.3
52,Linyuan,2024-05-30 21:00,31,Good,3,23,32.1,0.11,1,0.5,0.9
51,Daliao,2024-05-30 21:00,27,Good,3,10,26.5,0.12,3.8,0.4,0.4
50,Fengshan,2024-05-30 21:00,24,Good,9,19,24.5,0.34,7.7,1.2,1.8
49,Renwu,2024-05-30 21:00,28,Good,8,8,29.4,0.18,4.4,0.8,0.9
48,Qiaotou,2024-05-30 21:00,22,Good,6,16,20.9,0.22,9.2,0.2,1.5
47,Meinong,2024-05-30 21:00,28,Good,6,19,17.4,0.17,4.4,1,0.6
46,Tainan,2024-05-30 21:00,31,Good,9,24,13.5,0.33,16,0.8,1.3
45,Annan,2024-05-30 21:00,38,Good,17,28,14.7,0.35,16.9,2.3,1.3
44,Shanhua,2024-05-30 21:00,26,Good,7,14,20,0.1,3.2,0.9,0.5
43,Xinying,2024-05-30 21:00,29,Good,0,16,21.8,0.15,4.5,0.5,0.2
42,Chiayi,2024-05-30 21:00,32,Good,5,11,25.2,0.15,3.9,1.1,1.1
41,Taixi,2024-05-30 21:00,38,Good,5,20,26.1,0.15,3.7,0.9,1.4
40,Puzi,2024-05-30 21:00,27,Good,,14,20.2,0.19,7.3,2.3,1.1
39,Xingang,2024-05-30 21:00,35,Good,10,20,25.1,0.12,4.1,1.4,0.7
38,Lunbei,2024-05-30 21:00,36,Good,13,17,24.3,0.19,4.5,1.1,0.8
37,Douliu,2024-05-30 21:00,32,Good,10,23,13.9,0.26,12,1.3,1.4
36,Nantou,2024-05-30 21:00,35,Good,6,21,14.2,0.24,8.5,0.9,0.3
35,Erlin,2024-05-30 21:00,54,Moderate,17,33,21.2,0.16,5.2,1.7,0.6
34,Xianxi,2024-05-30 21:00,41,Good,12,27,27.7,0.22,6.9,1.5,1.3
33,Changhua,2024-05-30 21:00,46,Good,9,21,28,0.28,8.3,1.5,0.7
32,Xitun,2024-05-30 21:00,45,Good,11,22,24.8,0.27,12.7,0.9,1.2
31,Zhongming,2024-05-30 21:00,32,Good,5,14,24.1,0.31,8.9,0.8,1.1
30,Dali,2024-05-30 21:00,42,Good,9,14,15.4,0.38,11.3,1.9,1.1
29,Shalu,2024-05-30 21:00,44,Good,12,28,24.6,0.38,14.3,0.2,1.2
28,Fengyuan,2024-05-30 21:00,44,Good,5,18,16.1,0.2,8.3,1.3,0.4
27,Sanyi,2024-05-30 21:00,44,Good,7,12,30.3,0.14,1,1.1,0.5
26,Miaoli,2024-05-30 21:00,45,Good,10,30,31.2,0.23,7.5,1.2,1
25,Toufen,2024-05-30 21:00,44,Good,9,23,40.4,0.24,4.9,1.4,1.6
24,Hsinchu,2024-05-30 21:00,42,Good,7,26,39.6,0.28,8.1,0.7,1.1
23,Zhudong,2024-05-30 21:00,56,Moderate,19,28,16.4,0.3,9.5,0.5,0.8
22,Hukou,2024-05-30 21:00,56,Moderate,18,24,33.1,0.24,5.5,0.6,0.8
21,Longtan,2024-05-30 21:00,55,Moderate,19,32,23,0.39,18.6,0.2,1.6
20,Pingzhen,2024-05-30 21:00,43,Good,15,32,23.3,0.32,20.8,0,2.5
19,Guanyin,2024-05-30 21:00,34,Good,6,16,33.6,0.19,8.5,0.4,1.6
18,Dayuan,2024-05-30 21:00,38,Good,13,24,21.9,0.32,15.7,1.3,1.6
17,Taoyuan,2024-05-30 21:00,42,Good,15,25,26.9,0.4,18.6,0.4,2.2
16,Datong,2024-05-30 21:00,47,Good,10,21,18,1.26,28.2,18.8,1.6
15,Songshan,2024-05-30 21:00,45,Good,17,22,6.7,0.62,27.3,10.9,0.9
14,Guting,2024-05-30 21:00,31,Good,13,21,10.6,0.46,18.2,1.8,0.8
13,Wanhua,2024-05-30 21:00,47,Good,10,19,16.3,0.69,28.6,1.1,1.1
12,Zhongshan,2024-05-30 21:00,43,Good,10,21,18.7,0.72,26.6,6.9,1.1
