siteid,sitename,datacreationdate,aqi,status,pm2.5,pm10,so2,o3,no2,no,co
52,Linyuan,2024-05-27 16:00,22,Good,3,13,0.8,22.5,2.3,1.1,0.09
51,Daliao,2024-05-27 16:00,21,Good,6,15,0.8,21.5,4.2,1.3,0.12
50,Fengshan,2024-05-27 16:00,23,Good,10,17,2.3,17.9,10.9,4.7,0.38
49,Renwu,2024-05-27 16:00,32,Good,10,17,1,20.9,9.2,2.4,0.19
48,Qiaotou,2024-05-27 16:00,14,Good,3,11,0.6,21.2,2.4,2,0.07
47,Meinong,2024-05-27 16:00,17,Good,1,9,1.1,27.7,2.6,0.6,0.12
46,Tainan,2024-05-27 16:00,29,Good,6,10,0.5,20.4,3.1,1.3,0.1
45,Annan,2024-05-27 16:00,22,Good,3,14,0.1,21.3,2.3,0.9,0.13
44,Shanhua,2024-05-27 16:00,19,Good,6,16,1.2,23.7,5.1,1.9,0.09
43,Xinying,2024-05-27 16:00,19,Good,6,22,0.3,29.4,6.8,2.1,0.24
42,Chiayi,2024-05-27 16:00,18,Good,1,10,1.1,24.6,3,1.1,0.12
41,Taixi,2024-05-27 16:00,22,Good,6,,1.2,32.2,2.4,1,0.11
40,Puzi,2024-05-27 16:00,20,Good,6,14,0.8,26.8,6.5,3.3,0.19
39,Xingang,2024-05-27 16:00,21,Good,5,17,0.1,33.2,3.8,1.7,0.17
38,Lunbei,2024-05-27 16:00,19,Good,3,11,1.2,34.3,3.1,0.6,0.14
37,Douliu,2024-05-27 16:00,17,Good,3,11,1,33.6,4,1.5,0.19
36,Nantou,2024-05-27 16:00,18,Good,1,9,0.3,25,2.7,1.3,0.1
35,Erlin,2024-05-27 16:00,25,Good,6,12,0,35.6,1.7,1,0.13
34,Xianxi,2024-05-27 16:00,22,Good,3,12,1.8,34.7,3.5,2.1,0.12
33,Changhua,2024-05-27 16:00,10,Good,0,7,0.5,,,,0.1
32,Xitun,2024-05-27 16:00,27,Good,6,13,1.1,26.5,6.7,3.4,0.12
31,Zhongming,2024-05-27 16:00,19,Good,3,8,0.8,27.3,5.4,2.7,0.16
30,Dali,2024-05-27 16:00,24,Good,3,7,1.1,23,5.8,2,0.18
29,Shalu,2024-05-27 16:00,20,Good,4,10,0.6,30.8,5.7,1.9,0.16
28,Fengyuan,2024-05-27 16:00,23,Good,2,5,1.1,26.8,2.3,1.3,0.13
27,Sanyi,2024-05-27 16:00,22,Good,1,6,0.6,27.6,0.9,1.3,0.1
26,Miaoli,2024-05-27 16:00,22,Good,4,11,0.7,21.3,2.5,2.6,0.12
25,Toufen,2024-05-27 16:00,23,Good,1,9,0.9,25.7,3,2.3,0.13
24,Hsinchu,2024-05-27 16:00,22,Good,3,5,0.2,24.3,8,3.1,0.21
23,Zhudong,2024-05-27 16:00,28,Good,4,14,0.4,22.3,5.7,1.8,0.15
22,Hukou,2024-05-27 16:00,36,Good,5,10,1.2,24.6,8.9,3.8,0.15
21,Longtan,2024-05-27 16:00,26,Good,4,15,0.6,22.5,6.9,2.2,0.16
20,Pingzhen,2024-05-27 16:00,21,Good,1,15,0,17.3,12.8,4.6,0.19
19,Guanyin,2024-05-27 16:00,32,Good,5,6,0.4,27.1,4.1,1,0.11
18,Dayuan,2024-05-27 16:00,25,Good,3,15,0.3,26.4,6.4,2.5,0.15
17,Taoyuan,2024-05-27 16:00,27,Good,0,,0.8,25.8,7.8,2.1,0.19
16,Datong,2024-05-27 16:00,58,Moderate,16,24,0.9,11.6,25.7,25.4,0.99
15,Songshan,2024-05-27 16:00,43,Good,5,0,,32.7,17.6,3.6,0.3
14,Guting,2024-05-27 16:00,56,Moderate,18,23,1.2,15.9,38.8,30.5,0.46
13,Wanhua,2024-05-27 16:00,44,Good,10,21,0.5,22.1,19.7,4.9,0.37
12,Zhongshan,2024-05-27 16:00,40,Good,6,17,0.4,,24.1,8.2,0.42
11,Shilin,2024-05-27 16:00,44,Good,7,12,1.1,22.3,12.4,3.7,0.21
10,Tamsui,2024-05-27 16:00,31,Good,4,12,1.1,23.7,9.1,3.2,0.23
9,Linkou,2024-05-27 16:00,32,Good,6,12,0.2,16.8,18.4,11.4,0.29
8,Cailiao,2024-05-27 16:00,37,Good,8,16,0.9,21.1,14.1,2.7,0.3
7,Xinzhuang,2024-05-27 16:00,40,Good,9,6,0.2,27.8,9.2,3.1,0.22
6,Banqiao,2024-05-27 16:00,33,Good,7,6,0.2,23.9,10.4,3.6,
5,Tucheng,2024-05-27 16:00,49,Good,8,26,0.4,19.7,13.6,3.8,0.21
4,Xindian,2024-05-27 16:00,47,Good,15,14,0.9,34.9,16.5,2.6,0.36
3,Wanli,2024-05-27 16:00,31,Good,7,11,1.1,30.4,10,2.2,0.21
2,Xizhi,2024-05-27 16:00,41,Good,10,18,0.5,23.7,19.5,5.5,0.24
1,Keelung,2024-05-27 16:00,31,Good,11,18,0.9,32.8,6.6,1.5,0.22
