siteid,sitename,datacreationdate,aqi,status,o3,co,pm10,no
1,Keelung,2024-05-28 05:00,26,Good,2.3,0.23,32,1.4
313,Pingtung（fangshan）,2024-05-28 04:00,19,Good,9.7,0.14,23,0
312,Taichung（Rilana Elementary）,2024-05-28 04:00,13,Good,13.2,0.13,8,0.5
311,New Taipei(Shulin),2024-05-28 04:00,34,Good,3,0.19,32,3.4
204,Pingtung（Liuqiu）,2024-05-28 04:00,15,Good,15.7,0.05,10,0.7
203,Tainan（Madou）,2024-05-28 04:00,22,Good,1.9,0.2,28,1.3
202,Kaohsiung（Hunei）,2024-05-28 04:00,33,Good,2.1,0.35,25,3.2
201,Changhua（Yuanlin）,2024-05-28 04:00,28,Good,11.1,0.11,20,0.2
85,Dacheng,2024-05-28 04:00,15,Good,13.6,0.08,13,1.6
84,FugueiCape,2024-05-28 04:00,29,Good,16.1,0.12,31,0
83,Mailiao,2024-05-28 04:00,18,Good,10.8,0.15,18,0.6
80,Guanshan,2024-05-28 04:00,20,Good,5.9,0.09,17,0.9
78,Magong,2024-05-28 04:00,16,Good,17.5,0.09,13,0.2
77,Kinmen,2024-05-28 04:00,35,Good,5.1,0.17,21,0.8
75,Matsu,2024-05-28 04:00,29,Good,49.6,0.18,9,0.5
72,Puli,2024-05-28 04:00,18,Good,2.9,0.11,20,1
71,Fuxing,2024-05-28 04:00,27,Good,2.1,0.18,7,1.4
70,Yonghe,2024-05-28 04:00,19,Good,4.1,0.23,16,1.5
69,Zhushan,2024-05-28 04:00,27,Good,1.9,0.07,35,0.7
68,Zhongli,2024-05-28 04:00,23,Good,16.2,0.12,9,2.4
67,Sanchong,2024-05-28 04:00,34,Good,3.3,0.31,21,10.9
66,Dongshan,2024-05-28 04:00,29,Good,5.2,0.16,32,0.7
65,Yilan,2024-05-28 04:00,16,Good,8.7,0.14,22,0.6
64,Yangming,2024-05-28 04:00,19,Good,19.6,0.13,10,0.7
63,Hualien,2024-05-28 04:00,30,Good,5.8,0.19,11,0.6
62,Taitung,2024-05-28 04:00,21,Good,8.1,0.09,21,0.8
61,Hengchun,2024-05-28 04:00,19,Good,17,0.09,14,0.5
60,Chaozhou,2024-05-28 04:00,21,Good,0.3,0.11,21,2.8
59,Pingtung,2024-05-28 04:00,22,Good,3.9,0.1,27,0.6
58,Xiaogang,2024-05-28 04:00,30,Good,0.3,0.25,12,4.1
57,Qianzhen,2024-05-28 04:00,25,Good,2.1,0.23,17,2.1
56,Qianjin,2024-05-28 04:00,20,Good,5.3,0.14,10,1.2
54,Zuoying,2024-05-28 04:00,27,Good,8.8,0.17,16,0.7
53,Nanzi,2024-05-28 04:00,22,Good,,0.24,25,18.2
52,Linyuan,2024-05-28 04:00,26,Good,4.1,0.19,28,1.1
51,Daliao,2024-05-28 04:00,21,Good,2.4,0.16,21,1.2
50,Fengshan,2024-05-28 04:00,18,Good,3.8,0.21,17,1.1
49,Renwu,2024-05-28 04:00,23,Good,4.1,0.25,15,0.9
48,Qiaotou,2024-05-28 04:00,27,Good,0.4,0.2,20,3
47,Meinong,2024-05-28 04:00,17,Good,3.9,0.11,16,0.7
46,Tainan,2024-05-28 04:00,34,Good,4.3,0.21,30,1.7
45,Annan,2024-05-28 04:00,34,Good,6.4,0.23,21,1.1
44,Shanhua,2024-05-28 04:00,19,Good,4.9,0.1,21,2
43,Xinying,2024-05-28 04:00,20,Good,11,0.13,19,1.8
42,Chiayi,2024-05-28 04:00,14,Good,15.3,0.09,9,1
41,Taixi,2024-05-28 04:00,19,Good,11.8,0.14,21,0.7
40,Puzi,2024-05-28 04:00,31,Good,3.4,0.15,21,1.8
39,Xingang,2024-05-28 04:00,26,Good,10.7,0.12,14,0.7
38,Lunbei,2024-05-28 04:00,23,Good,7.8,0.16,16,0.3
37,Douliu,2024-05-28 04:00,19,Good,12.6,0.1,12,0.7
36,Nantou,2024-05-28 04:00,20,Good,4.9,0.09,24,1.2
35,Erlin,2024-05-28 04:00,19,Good,10.1,0.13,19,0.5
34,Xianxi,2024-05-28 04:00,16,Good,7.6,0.14,19,0
33,Changhua,2024-05-28 04:00,16,Good,9.2,0.12,12,0.3
32,Xitun,2024-05-28 04:00,18,Good,6.8,0.11,13,1.1
31,Zhongming,2024-05-28 04:00,14,Good,13.6,0.13,13,1.5
30,Dali,2024-05-28 04:00,18,Good,14.5,0.1,7,0
29,Shalu,2024-05-28 04:00,26,Good,10.2,0.12,13,0.4
28,Fengyuan,2024-05-28 04:00,19,Good,18.9,0.1,8,0.5
27,Sanyi,2024-05-28 04:00,20,Good,19.6,0.1,10,1.5
26,Miaoli,2024-05-28 04:00,19,Good,18.1,0.05,5,0.1
25,Toufen,2024-05-28 04:00,19,Good,18.3,0.1,10,1.1
24,Hsinchu,2024-05-28 04:00,19,Good,18,0.11,4,0.6
23,Zhudong,2024-05-28 04:00,15,Good,21.2,0.08,13,0.3
22,Hukou,2024-05-28 04:00,24,Good,17.6,0.11,10,
21,Longtan,2024-05-28 04:00,19,Good,17.7,0.09,17,1.1
20,Pingzhen,2024-05-28 04:00,13,Good,17.2,0.1,11,1.5
19,Guanyin,2024-05-28 04:00,20,Good,15.9,0.09,13,2.4
18,Dayuan,2024-05-28 04:00,19,Good,17.5,0.11,16,0.9
17,Taoyuan,2024-05-28 04:00,43,Good,0.7,0.38,28,4.7
16,Datong,2024-05-28 04:00,43,Good,3.4,0.31,21,2.5
15,Songshan,2024-05-28 04:00,35,Good,6.8,0.22,19,0.8
14,Guting,2024-05-28 04:00,23,Good,4.4,0.18,26,0.9
13,Wanhua,2024-05-28 04:00,23,Good,6.1,0.21,21,1.3
12,Zhongshan,2024-05-28 04:00,30,Good,3.7,0.24,17,0.5
11,Shilin,2024-05-28 04:00,32,Good,1.1,0.32,20,3.1
10,Tamsui,2024-05-28 04:00,27,Good,3.2,0.5,25,5.5
9,Linkou,2024-05-28 04:00,18,Good,9.2,0.16,12,4.2
8,Cailiao,2024-05-28 04:00,27,Good,3,0.25,19,1.8
7,Xinzhuang,2024-05-28 04:00,38,Good,0,0.44,24,6
6,Banqiao,2024-05-28 04:00,20,Good,0.7,0.38,21,4.8
5,Tucheng,2024-05-28 04:00,37,Good,,0.37,30,7
4,Xindian,2024-05-28 04:00,26,Good,6.6,0.16,24,0.5
3,Wanli,2024-05-28 04:00,25,Good,5.3,0.31,17,0.5
2,Xizhi,2024-05-28 04:00,31,Good,0.3,0.29,25,11.5
1,Keelung,2024-05-28 04:00,26,Good,3.9,0.21,27,0.8
