siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5
201,Changhua（Yuanlin）,2024-05-31 04:00,36,Good,9.2,7.3,14
85,Dacheng,2024-05-31 04:00,15,Good,20.5,0.9,2
84,FugueiCape,2024-05-31 04:00,32,Good,18.1,6,15
83,Mailiao,2024-05-31 04:00,19,Good,21,2.2,3
80,Guanshan,2024-05-31 04:00,23,Good,3.7,1.9,5
78,Magong,2024-05-31 04:00,25,Good,25.1,3.6,1
77,Kinmen,2024-05-31 04:00,83,Moderate,3.7,26,32
75,Matsu,2024-05-31 04:00,40,Good,37.5,4.2,17
72,Puli,2024-05-31 04:00,30,Good,5.8,2.4,6
71,Fuxing,2024-05-31 04:00,18,Good,20.2,3.7,2
70,Yonghe,2024-05-31 04:00,41,Good,7.4,3.8,6
69,Zhushan,2024-05-31 04:00,26,Good,3.4,4,7
68,Zhongli,2024-05-31 04:00,54,Moderate,3.4,19.2,20
67,Sanchong,2024-05-31 04:00,39,Good,6.4,8.8,11
66,Dongshan,2024-05-31 04:00,25,Good,2.6,5.8,9
65,Yilan,2024-05-31 04:00,15,Good,7,2.7,0
64,Yangming,2024-05-31 04:00,28,Good,30,1.5,6
63,Hualien,2024-05-31 04:00,20,Good,6.8,1.3,4
62,Taitung,2024-05-31 04:00,18,Good,7,2.9,5
61,Hengchun,2024-05-31 04:00,25,Good,29.4,0.5,4
60,Chaozhou,2024-05-31 04:00,15,Good,15.5,1.3,2
59,Pingtung,2024-05-31 04:00,19,Good,15.5,3.8,2
58,Xiaogang,2024-05-31 04:00,31,Good,15.5,8.3,7
57,Qianzhen,2024-05-31 04:00,17,Good,21.1,4.5,0
56,Qianjin,2024-05-31 04:00,18,Good,19.9,4.3,1
54,Zuoying,2024-05-31 04:00,22,Good,19.8,4.4,4
53,Nanzi,2024-05-31 04:00,17,Good,18.5,6.1,3
52,Linyuan,2024-05-31 04:00,23,Good,14.4,2.2,4
51,Daliao,2024-05-31 04:00,19,Good,12.5,4.7,4
50,Fengshan,2024-05-31 04:00,20,Good,16.8,3.1,0
49,Renwu,2024-05-31 04:00,22,Good,22,2.5,3
48,Qiaotou,2024-05-31 04:00,18,Good,18,3.2,0
47,Meinong,2024-05-31 04:00,17,Good,19,0.8,0
46,Tainan,2024-05-31 04:00,25,Good,19.9,4.8,7
45,Annan,2024-05-31 04:00,24,Good,21.5,3.3,6
