site_id,site_name,created_date,PM2.5,SO2,O3
204,Pingtung（Liuqiu）,2024-05-25 04:00,18.0,0.8,15.9
203,Tainan（Madou）,2024-05-25 04:00,18.0,0.4,1.1
202,Kaohsiung（Hunei）,2024-05-25 04:00,15.0,0.4,9.3
201,Changhua（Yuanlin）,2024-05-25 04:00,12.0,1.8,8.9
85,Dacheng,2024-05-25 04:00,26.0,1.5,1.7
84,FugueiCape,2024-05-25 04:00,2.0,0.2,12.9
83,Mailiao,2024-05-25 04:00,18.0,1.6,1.4
80,Guanshan,2024-05-25 04:00,0.0,0.6,20.8
78,Magong,2024-05-25 04:00,1.0,1.0,27.2
77,Kinmen,2024-05-25 04:00,19.0,0.6,22.9
75,Matsu,2024-05-25 04:00,8.0,0.4,30.9
72,Puli,2024-05-25 04:00,5.0,1.7,7.0
71,Fuxing,2024-05-25 04:00,13.0,0.9,23.4
70,Yonghe,2024-05-25 04:00,7.0,0.6,6.7
69,Zhushan,2024-05-25 04:00,10.0,0.6,6.0
68,Zhongli,2024-05-25 04:00,7.0,0.9,2.3
67,Sanchong,2024-05-25 04:00,6.0,0.5,3.1
66,Dongshan,2024-05-25 04:00,4.0,0.0,13.2
65,Yilan,2024-05-25 04:00,0.0,0.8,13.1
64,Yangming,2024-05-25 04:00,1.0,0.4,28.2
63,Hualien,2024-05-25 04:00,10.0,0.5,17.2
62,Taitung,2024-05-25 04:00,0.0,0.8,24.9
61,Hengchun,2024-05-25 04:00,2.0,0.3,29.1
60,Chaozhou,2024-05-25 04:00,20.0,0.4,5.8
59,Pingtung,2024-05-25 04:00,11.0,0.7,7.8
58,Xiaogang,2024-05-25 04:00,18.0,1.5,12.7
57,Qianzhen,2024-05-25 04:00,11.0,0.9,23.8
56,Qianjin,2024-05-25 04:00,12.0,1.2,14.6
54,Zuoying,2024-05-25 04:00,17.0,,17.0
53,Nanzi,2024-05-25 04:00,19.0,0.9,11.2
52,Linyuan,2024-05-25 04:00,21.0,2.5,8.5
51,Daliao,2024-05-25 04:00,23.0,6.0,4.1
50,Fengshan,2024-05-25 04:00,11.0,0.9,17.3
49,Renwu,2024-05-25 04:00,17.0,1.5,14.5
48,Qiaotou,2024-05-25 04:00,19.0,1.1,14.6
47,Meinong,2024-05-25 04:00,16.0,0.7,13.0
46,Tainan,2024-05-25 04:00,14.0,1.3,16.8
45,Annan,2024-05-25 04:00,26.0,1.3,2.2
44,Shanhua,2024-05-25 04:00,21.0,0.8,3.1
43,Xinying,2024-05-25 04:00,19.0,2.1,0.3
42,Chiayi,2024-05-25 04:00,16.0,6.7,6.3
41,Taixi,2024-05-25 04:00,20.0,1.5,0.9
40,Puzi,2024-05-25 04:00,21.0,0.8,0.0
39,Xingang,2024-05-25 04:00,21.0,1.1,3.9
38,Lunbei,2024-05-25 04:00,25.0,0.8,0.4
37,Douliu,2024-05-25 04:00,10.0,1.2,6.4
36,Nantou,2024-05-25 04:00,7.0,0.0,3.6
35,Erlin,2024-05-25 04:00,22.0,1.7,1.4
34,Xianxi,2024-05-25 04:00,10.0,1.0,2.5
33,Changhua,2024-05-25 04:00,10.0,1.0,2.1
32,Xitun,2024-05-25 04:00,10.0,1.7,8.3
31,Zhongming,2024-05-25 04:00,7.0,1.1,7.9
30,Dali,2024-05-25 04:00,9.0,0.7,5.9
29,Shalu,2024-05-25 04:00,11.0,1.1,13.5
28,Fengyuan,2024-05-25 04:00,4.0,0.8,18.7
27,Sanyi,2024-05-25 04:00,2.0,0.7,9.5
26,Miaoli,2024-05-25 04:00,7.0,1.0,0.5
25,Toufen,2024-05-25 04:00,7.0,1.6,4.6
24,Hsinchu,2024-05-25 04:00,4.0,,4.7
