siteid,sitename,datacreationdate,aqi,status,co,no,no2,o3,pm10,pm2.5,so2
23,Zhudong,2024-05-31 05:00,52,Moderate,0.34,0.4,4.9,6.5,23.0,18.0,2.8
22,Hukou,2024-05-31 05:00,50,Good,0.23,0.5,13.0,9.3,27.0,15.0,3.4
21,Longtan,2024-05-31 05:00,54,Moderate,0.4,0.3,10.7,4.1,32.0,11.0,1.2
20,Pingzhen,2024-05-31 05:00,53,Moderate,0.4,0.1,19.8,3.1,31.0,20.0,2.0
19,Guanyin,2024-05-31 05:00,44,Good,0.19,0.1,13.1,9.3,18.0,15.0,2.2
18,Dayuan,2024-05-31 05:00,52,Moderate,0.36,1.3,25.2,3.6,26.0,17.0,2.2
17,Taoyuan,2024-05-31 05:00,57,Moderate,0.39,0.9,20.9,0.0,26.0,22.0,1.5
16,Datong,2024-05-31 05:00,38,Good,1.18,14.6,8.4,5.0,19.0,10.0,1.8
15,Songshan,2024-05-31 05:00,41,Good,0.57,9.1,8.9,7.0,22.0,11.0,0.6
14,Guting,2024-05-31 05:00,23,Good,0.45,1.6,4.0,5.9,17.0,7.0,0.7
13,Wanhua,2024-05-31 05:00,28,Good,0.55,1.6,5.8,7.2,21.0,6.0,0.5
12,Zhongshan,2024-05-31 05:00,26,Good,0.86,7.5,5.9,6.8,20.0,5.0,0.7
11,Shilin,2024-05-31 05:00,42,Good,0.34,1.0,10.0,5.4,27.0,11.0,0.9
10,Tamsui,2024-05-31 05:00,38,Good,0.25,1.3,17.7,3.8,28.0,11.0,3.6
9,Linkou,2024-05-31 05:00,36,Good,0.24,7.0,18.3,13.0,30.0,11.0,1.3
8,Cailiao,2024-05-31 05:00,32,Good,0.41,1.3,13.1,2.1,23.0,8.0,1.1
7,Xinzhuang,2024-05-31 05:00,55,Moderate,0.48,0.3,16.2,3.9,13.0,20.0,0.8
6,Banqiao,2024-05-31 05:00,41,Good,0.58,0.9,16.5,2.6,22.0,15.0,2.3
5,Tucheng,2024-05-31 05:00,56,Moderate,0.65,1.8,13.2,1.2,28.0,19.0,1.8
4,Xindian,2024-05-31 05:00,35,Good,0.38,1.7,3.2,7.3,18.0,9.0,0.9
3,Wanli,2024-05-31 05:00,22,Good,0.24,1.7,6.1,3.9,18.0,5.0,0.2
2,Xizhi,2024-05-31 05:00,46,Good,0.6,14.7,13.7,1.7,23.0,16.0,1.8
1,Keelung,2024-05-31 05:00,24,Good,0.48,4.8,10.9,1.5,20.0,7.0,1.2
313,Pingtung（fangshan）,2024-05-31 04:00,22,Good,0.09,0.0,1.8,17.5,19.0,0.0,0.0
312,Taichung（Rilana Elementary）,2024-05-31 04:00,20,Good,0.05,0.2,9.3,8.9,40.0,1.0,0.5
311,New Taipei(Shulin),2024-05-31 04:00,51,Moderate,0.47,1.8,6.5,5.5,22.0,15.0,2.7
204,Pingtung（Liuqiu）,2024-05-31 04:00,24,Good,0.11,1.3,0.6,24.4,9.0,7.0,0.7
203,Tainan（Madou）,2024-05-31 04:00,18,Good,0.17,1.2,3.2,19.0,15.0,5.0,0.4
202,Kaohsiung（Hunei）,2024-05-31 04:00,16,Good,0.18,2.6,6.2,14.1,15.0,4.0,0.5
201,Changhua（Yuanlin）,2024-05-31 04:00,36,Good,0.28,0.9,7.3,9.2,26.0,14.0,2.2
85,Dacheng,2024-05-31 04:00,15,Good,0.1,0.6,0.9,20.5,19.0,2.0,1.0
84,FugueiCape,2024-05-31 04:00,32,Good,0.13,0.1,6.0,18.1,26.0,15.0,0.2
83,Mailiao,2024-05-31 04:00,19,Good,0.17,0.0,2.2,21.0,17.0,3.0,1.2
80,Guanshan,2024-05-31 04:00,23,Good,0.12,0.3,1.9,3.7,6.0,5.0,0.6
78,Magong,2024-05-31 04:00,25,Good,0.18,1.3,3.6,25.1,4.0,1.0,1.0
77,Kinmen,2024-05-31 04:00,83,Moderate,0.37,0.5,26.0,3.7,38.0,32.0,1.7
75,Matsu,2024-05-31 04:00,40,Good,0.18,0.5,4.2,37.5,19.0,17.0,0.7
72,Puli,2024-05-31 04:00,30,Good,0.32,1.6,2.4,5.8,15.0,6.0,1.0
71,Fuxing,2024-05-31 04:00,18,Good,0.33,2.7,3.7,20.2,12.0,2.0,2.2
70,Yonghe,2024-05-31 04:00,41,Good,0.82,7.6,3.8,7.4,13.0,6.0,0.8
69,Zhushan,2024-05-31 04:00,26,Good,0.21,0.5,4.0,3.4,13.0,7.0,1.1
68,Zhongli,2024-05-31 04:00,54,Moderate,1.08,22.9,19.2,3.4,19.0,20.0,1.8
67,Sanchong,2024-05-31 04:00,39,Good,2.07,77.7,8.8,6.4,20.0,11.0,1.2
66,Dongshan,2024-05-31 04:00,25,Good,0.21,1.1,5.8,2.6,20.0,9.0,0.5
65,Yilan,2024-05-31 04:00,15,Good,0.2,0.4,2.7,7.0,18.0,0.0,0.9
64,Yangming,2024-05-31 04:00,28,Good,0.16,0.5,1.5,30.0,10.0,6.0,1.0
63,Hualien,2024-05-31 04:00,20,Good,0.27,0.7,1.3,6.8,14.0,4.0,0.3
62,Taitung,2024-05-31 04:00,18,Good,0.3,2.3,2.9,7.0,7.0,5.0,0.3
61,Hengchun,2024-05-31 04:00,25,Good,0.1,0.6,0.5,29.4,9.0,4.0,0.6
60,Chaozhou,2024-05-31 04:00,15,Good,0.11,0.2,1.3,15.5,13.0,2.0,0.9
59,Pingtung,2024-05-31 04:00,19,Good,0.28,0.8,3.8,15.5,13.0,2.0,0.5
58,Xiaogang,2024-05-31 04:00,31,Good,0.5,1.2,8.3,15.5,11.0,7.0,3.7
57,Qianzhen,2024-05-31 04:00,17,Good,0.7,6.6,4.5,21.1,12.0,0.0,2.5
56,Qianjin,2024-05-31 04:00,18,Good,0.16,0.5,4.3,19.9,11.0,1.0,1.2
54,Zuoying,2024-05-31 04:00,22,Good,0.25,0.7,4.4,19.8,14.0,4.0,1.6
53,Nanzi,2024-05-31 04:00,17,Good,0.28,0.8,6.1,18.5,17.0,3.0,0.6
52,Linyuan,2024-05-31 04:00,23,Good,0.1,0.7,2.2,14.4,21.0,4.0,0.8
51,Daliao,2024-05-31 04:00,19,Good,0.12,0.3,4.7,12.5,21.0,4.0,0.3
50,Fengshan,2024-05-31 04:00,20,Good,0.38,1.3,3.1,16.8,18.0,0.0,1.3
49,Renwu,2024-05-31 04:00,22,Good,0.28,1.0,2.5,22.0,7.0,3.0,
48,Qiaotou,2024-05-31 04:00,18,Good,0.39,0.5,3.2,18.0,33.0,0.0,1.5
47,Meinong,2024-05-31 04:00,17,Good,0.13,1.3,0.8,19.0,17.0,0.0,0.7
46,Tainan,2024-05-31 04:00,25,Good,0.28,0.9,4.8,19.9,19.0,7.0,1.2
