siteid,sitename,datacreationdate,aqi,status,co,no,no2,o3,pm10,pm2.5,so2
312,Taichung（Rilana Elementary）,2024-05-31 02:00,26,Good,,,10.6,9.7,,6.0,
311,New Taipei(Shulin),2024-05-31 02:00,52,Moderate,,,11.3,3.4,,19.0,
204,Pingtung（Liuqiu）,2024-05-31 02:00,25,Good,,,0.6,26.1,,8.0,
203,Tainan（Madou）,2024-05-31 02:00,18,Good,,,3.8,22.4,,6.0,
202,Kaohsiung（Hunei）,2024-05-31 02:00,16,Good,,,6.4,16.3,,6.0,
201,Changhua（Yuanlin）,2024-05-31 02:00,40,Good,,,6.8,15.3,,10.0,
85,Dacheng,2024-05-31 02:00,18,Good,,,5.6,15.0,,5.0,
84,FugueiCape,2024-05-31 02:00,28,Good,,,9.5,21.2,,7.0,
83,Mailiao,2024-05-31 02:00,22,Good,,,5.6,18.0,,7.0,
80,Guanshan,2024-05-31 02:00,21,Good,,,1.7,4.4,,3.0,
78,Magong,2024-05-31 02:00,27,Good,,,2.1,30.7,,1.0,
77,Kinmen,2024-05-31 02:00,78,Moderate,,,25.7,4.9,,26.0,
75,Matsu,2024-05-31 02:00,38,Good,,,15.6,25.7,,9.0,
72,Puli,2024-05-31 02:00,33,Good,,,3.1,7.1,,8.0,
71,Fuxing,2024-05-31 02:00,18,Good,,,5.6,21.3,,3.0,
70,Yonghe,2024-05-31 02:00,59,Moderate,,,5.4,7.6,,12.0,
69,Zhushan,2024-05-31 02:00,24,Good,,,5.7,3.6,,3.0,
68,Zhongli,2024-05-31 02:00,51,Moderate,,,26.1,8.8,,19.0,
67,Sanchong,2024-05-31 02:00,39,Good,,,17.0,2.5,,11.0,
66,Dongshan,2024-05-31 02:00,24,Good,,,4.0,6.9,,7.0,
65,Yilan,2024-05-31 02:00,19,Good,,,2.8,8.8,,6.0,
64,Yangming,2024-05-31 02:00,25,Good,,,3.2,29.9,,8.0,
63,Hualien,2024-05-31 02:00,22,Good,,,1.1,17.0,,6.0,
62,Taitung,2024-05-31 02:00,17,Good,,,4.4,8.5,,1.0,
61,Hengchun,2024-05-31 02:00,25,Good,,,1.0,24.7,,3.0,
60,Chaozhou,2024-05-31 02:00,18,Good,,,1.4,16.4,,0.0,
59,Pingtung,2024-05-31 02:00,21,Good,,,3.1,22.4,,1.0,
58,Xiaogang,2024-05-31 02:00,33,Good,,,6.2,20.5,,4.0,
57,Qianzhen,2024-05-31 02:00,16,Good,,,6.9,20.0,,0.0,
56,Qianjin,2024-05-31 02:00,18,Good,,,6.3,19.5,,2.0,
54,Zuoying,2024-05-31 02:00,29,Good,,,7.1,18.0,,6.0,
53,Nanzi,2024-05-31 02:00,22,Good,,,13.4,14.4,,3.0,
52,Linyuan,2024-05-31 02:00,27,Good,,,1.8,22.3,,5.0,
51,Daliao,2024-05-31 02:00,23,Good,,,2.4,19.9,,5.0,
50,Fengshan,2024-05-31 02:00,21,Good,,,1.7,23.9,,0.0,
49,Renwu,2024-05-31 02:00,24,Good,,,3.5,23.4,,4.0,
48,Qiaotou,2024-05-31 02:00,18,Good,,,6.6,18.2,,3.0,
47,Meinong,2024-05-31 02:00,18,Good,,,1.5,23.1,,0.0,
46,Tainan,2024-05-31 02:00,28,Good,,,7.6,18.8,,9.0,
45,Annan,2024-05-31 02:00,25,Good,,,8.0,18.9,,6.0,
44,Shanhua,2024-05-31 02:00,26,Good,,,1.5,22.3,,6.0,
43,Xinying,2024-05-31 02:00,20,Good,,,3.4,18.7,,3.0,
42,Chiayi,2024-05-31 02:00,20,Good,,,2.2,20.4,,3.0,
41,Taixi,2024-05-31 02:00,21,Good,,,4.1,20.6,,3.0,
40,Puzi,2024-05-31 02:00,19,Good,,,5.5,16.8,,,
39,Xingang,2024-05-31 02:00,25,Good,,,2.4,22.1,,5.0,
38,Lunbei,2024-05-31 02:00,22,Good,,,3.1,15.0,,4.0,
37,Douliu,2024-05-31 02:00,23,Good,,,11.3,6.0,,5.0,
36,Nantou,2024-05-31 02:00,27,Good,,,7.0,3.2,,5.0,
35,Erlin,2024-05-31 02:00,45,Good,,,10.8,4.5,,15.0,
34,Xianxi,2024-05-31 02:00,32,Good,,,9.0,6.6,,11.0,
33,Changhua,2024-05-31 02:00,27,Good,,,5.0,20.3,,3.0,
32,Xitun,2024-05-31 02:00,31,Good,,,8.1,8.7,,6.0,
31,Zhongming,2024-05-31 02:00,26,Good,,,5.2,11.4,,7.0,
30,Dali,2024-05-31 02:00,36,Good,,,5.0,10.1,,7.0,
29,Shalu,2024-05-31 02:00,28,Good,,,9.3,15.6,,5.0,
28,Fengyuan,2024-05-31 02:00,22,Good,,,4.2,19.3,,3.0,
27,Sanyi,2024-05-31 02:00,26,Good,,,2.9,18.0,,6.0,
26,Miaoli,2024-05-31 02:00,46,Good,,,10.8,5.2,,16.0,
25,Toufen,2024-05-31 02:00,38,Good,,,5.9,9.4,,11.0,
24,Hsinchu,2024-05-31 02:00,34,Good,,,12.7,18.9,,11.0,
23,Zhudong,2024-05-31 02:00,54,Moderate,,,4.5,8.3,,16.0,
22,Hukou,2024-05-31 02:00,49,Good,,,16.8,12.0,,14.0,
21,Longtan,2024-05-31 02:00,59,Moderate,,,22.4,0.1,,20.0,
20,Pingzhen,2024-05-31 02:00,41,Good,,,20.6,15.5,,16.0,
19,Guanyin,2024-05-31 02:00,31,Good,,,7.6,18.4,,11.0,
18,Dayuan,2024-05-31 02:00,46,Good,,,10.1,16.2,,21.0,
17,Taoyuan,2024-05-31 02:00,45,Good,,,18.2,14.4,,18.0,
16,Datong,2024-05-31 02:00,40,Good,,,18.1,2.3,,14.0,
15,Songshan,2024-05-31 02:00,46,Good,,,12.0,9.7,,15.0,
14,Guting,2024-05-31 02:00,25,Good,,,4.8,8.6,,5.0,
13,Wanhua,2024-05-31 02:00,35,Good,,,12.8,6.6,,9.0,
12,Zhongshan,2024-05-31 02:00,34,Good,,,11.0,6.6,,11.0,
11,Shilin,2024-05-31 02:00,39,Good,,,14.5,8.9,,15.0,
10,Tamsui,2024-05-31 02:00,36,Good,,,15.8,8.7,,11.0,
9,Linkou,2024-05-31 02:00,31,Good,,,,14.3,,12.0,
8,Cailiao,2024-05-31 02:00,36,Good,,,17.9,2.1,,12.0,
7,Xinzhuang,2024-05-31 02:00,50,Good,,,17.1,8.8,,15.0,
6,Banqiao,2024-05-31 02:00,42,Good,,,20.9,2.8,,14.0,
5,Tucheng,2024-05-31 02:00,57,Moderate,,,18.6,1.9,,16.0,
4,Xindian,2024-05-31 02:00,35,Good,,,3.9,9.9,,9.0,
3,Wanli,2024-05-31 02:00,26,Good,,,10.9,6.3,,6.0,
2,Xizhi,2024-05-31 02:00,43,Good,,,16.0,0.6,,11.0,
1,Keelung,2024-05-31 02:00,22,Good,,,13.6,1.8,,4.0,
313,Pingtung（fangshan）,2024-05-31 01:00,26,Good,,,1.8,29.2,,2.0,
312,Taichung（Rilana Elementary）,2024-05-31 01:00,28,Good,,,8.8,19.7,,6.0,
311,New Taipei(Shulin),2024-05-31 01:00,51,Moderate,,,7.9,8.8,,12.0,
204,Pingtung（Liuqiu）,2024-05-31 01:00,26,Good,,,0.9,24.2,,5.0,
203,Tainan（Madou）,2024-05-31 01:00,19,Good,,,4.6,18.2,,4.0,
202,Kaohsiung（Hunei）,2024-05-31 01:00,15,Good,,,8.3,15.6,,4.0,
201,Changhua（Yuanlin）,2024-05-31 01:00,44,Good,,,7.9,14.4,,12.0,
85,Dacheng,2024-05-31 01:00,20,Good,,,6.0,12.3,,5.0,
84,FugueiCape,2024-05-31 01:00,30,Good,,,5.4,28.8,,5.0,
83,Mailiao,2024-05-31 01:00,22,Good,,,6.1,17.0,,5.0,
80,Guanshan,2024-05-31 01:00,18,Good,,,1.7,6.0,,2.0,
78,Magong,2024-05-31 01:00,27,Good,,,2.6,29.7,,1.0,
77,Kinmen,2024-05-31 01:00,76,Moderate,,,25.9,2.8,,30.0,
75,Matsu,2024-05-31 01:00,39,Good,,,14.9,28.6,,12.0,
72,Puli,2024-05-31 01:00,35,Good,,,3.8,8.9,,10.0,
71,Fuxing,2024-05-31 01:00,20,Good,,,12.2,14.3,,5.0,
70,Yonghe,2024-05-31 01:00,59,Moderate,,,10.1,6.5,,16.0,
69,Zhushan,2024-05-31 01:00,30,Good,,,4.3,5.1,,5.0,
68,Zhongli,2024-05-31 01:00,46,Good,,,22.9,12.4,,13.0,
67,Sanchong,2024-05-31 01:00,50,Good,,,30.3,2.6,,16.0,
66,Dongshan,2024-05-31 01:00,24,Good,,,3.7,8.9,,12.0,
65,Yilan,2024-05-31 01:00,23,Good,,,2.7,8.0,,9.0,
64,Yangming,2024-05-31 01:00,25,Good,,,2.3,29.9,,11.0,
63,Hualien,2024-05-31 01:00,25,Good,,,1.7,15.4,,7.0,
62,Taitung,2024-05-31 01:00,19,Good,,,1.9,9.7,,1.0,
61,Hengchun,2024-05-31 01:00,27,Good,,,0.8,27.6,,1.0,
60,Chaozhou,2024-05-31 01:00,19,Good,,,0.7,22.3,,0.0,
59,Pingtung,2024-05-31 01:00,21,Good,,,2.5,24.8,,4.0,
58,Xiaogang,2024-05-31 01:00,40,Good,,,20.1,13.3,,24.0,
57,Qianzhen,2024-05-31 01:00,18,Good,,,11.4,14.9,,3.0,
56,Qianjin,2024-05-31 01:00,19,Good,,,9.5,17.8,,2.0,
54,Zuoying,2024-05-31 01:00,31,Good,,,7.7,17.7,,8.0,
53,Nanzi,2024-05-31 01:00,19,Good,,,11.2,17.4,,4.0,
52,Linyuan,2024-05-31 01:00,29,Good,,,0.8,26.9,,0.0,
51,Daliao,2024-05-31 01:00,24,Good,,,1.8,23.5,,4.0,
50,Fengshan,2024-05-31 01:00,21,Good,,,5.1,21.4,,3.0,
49,Renwu,2024-05-31 01:00,24,Good,,,7.1,22.9,,5.0,
48,Qiaotou,2024-05-31 01:00,19,Good,,,9.9,16.5,,6.0,
47,Meinong,2024-05-31 01:00,19,Good,,,2.3,19.2,,4.0,
46,Tainan,2024-05-31 01:00,28,Good,,,11.3,15.5,,7.0,
45,Annan,2024-05-31 01:00,26,Good,,,11.6,16.7,,6.0,
44,Shanhua,2024-05-31 01:00,27,Good,,,2.8,17.9,,9.0,
43,Xinying,2024-05-31 01:00,22,Good,,,3.1,20.6,,2.0,
42,Chiayi,2024-05-31 01:00,22,Good,,,5.7,13.8,,4.0,
41,Taixi,2024-05-31 01:00,21,Good,,,4.9,18.4,,3.0,
40,Puzi,2024-05-31 01:00,19,Good,,,5.9,16.4,,,
39,Xingang,2024-05-31 01:00,27,Good,,,3.5,19.5,,7.0,
38,Lunbei,2024-05-31 01:00,26,Good,,,2.7,13.8,,4.0,
37,Douliu,2024-05-31 01:00,25,Good,,,2.7,9.4,,5.0,
36,Nantou,2024-05-31 01:00,26,Good,,,5.5,5.3,,5.0,
35,Erlin,2024-05-31 01:00,47,Good,,,8.3,8.8,,10.0,
34,Xianxi,2024-05-31 01:00,35,Good,,,4.1,14.4,,5.0,
33,Changhua,2024-05-31 01:00,33,Good,,,8.7,15.9,,6.0,
32,Xitun,2024-05-31 01:00,34,Good,,,9.8,7.7,,10.0,
31,Zhongming,2024-05-31 01:00,27,Good,,,6.6,11.8,,6.0,
30,Dali,2024-05-31 01:00,39,Good,,,7.0,8.4,,9.0,
29,Shalu,2024-05-31 01:00,33,Good,,,8.5,16.6,,8.0,
28,Fengyuan,2024-05-31 01:00,24,Good,,,4.9,18.3,,6.0,
27,Sanyi,2024-05-31 01:00,29,Good,,,2.1,17.6,,6.0,
26,Miaoli,2024-05-31 01:00,44,Good,,,13.0,7.9,,13.0,
25,Toufen,2024-05-31 01:00,40,Good,,,8.6,11.7,,12.0,
24,Hsinchu,2024-05-31 01:00,33,Good,,,10.8,25.6,,12.0,
23,Zhudong,2024-05-31 01:00,53,Moderate,,,5.5,7.7,,19.0,
22,Hukou,2024-05-31 01:00,50,Good,,,7.8,21.5,,13.0,
21,Longtan,2024-05-31 01:00,57,Moderate,,,24.2,0.5,,21.0,
20,Pingzhen,2024-05-31 01:00,40,Good,,,24.2,14.4,,12.0,
19,Guanyin,2024-05-31 01:00,30,Good,,,4.9,31.9,,7.0,
18,Dayuan,2024-05-31 01:00,41,Good,,,11.2,22.6,,11.0,
17,Taoyuan,2024-05-31 01:00,43,Good,,,12.0,22.3,,11.0,
16,Datong,2024-05-31 01:00,37,Good,,,16.3,3.9,,10.0,
15,Songshan,2024-05-31 01:00,46,Good,,,21.2,4.5,,12.0,
14,Guting,2024-05-31 01:00,27,Good,,,6.7,8.3,,8.0,
13,Wanhua,2024-05-31 01:00,39,Good,,,10.9,8.1,,9.0,
12,Zhongshan,2024-05-31 01:00,33,Good,,,13.3,8.2,,11.0,
11,Shilin,2024-05-31 01:00,38,Good,,,23.4,4.4,,12.0,
10,Tamsui,2024-05-31 01:00,36,Good,,,11.5,11.8,,10.0,
9,Linkou,2024-05-31 01:00,30,Good,,,,18.9,,9.0,
8,Cailiao,2024-05-31 01:00,33,Good,,,18.3,7.8,,13.0,
7,Xinzhuang,2024-05-31 01:00,50,Good,,,20.4,8.7,,22.0,
6,Banqiao,2024-05-31 01:00,42,Good,,,25.0,2.9,,13.0,
5,Tucheng,2024-05-31 01:00,59,Moderate,,,20.4,4.0,,19.0,
4,Xindian,2024-05-31 01:00,36,Good,,,5.0,8.6,,12.0,
3,Wanli,2024-05-31 01:00,28,Good,,,6.1,6.8,,9.0,
2,Xizhi,2024-05-31 01:00,44,Good,,,18.7,0.4,,13.0,
1,Keelung,2024-05-31 01:00,28,Good,,,17.5,0.7,,7.0,
313,Pingtung（fangshan）,2024-05-31 00:00,27,Good,,,1.0,31.2,,3.0,
312,Taichung（Rilana Elementary）,2024-05-31 00:00,31,Good,,,8.6,21.5,,7.0,
311,New Taipei(Shulin),2024-05-31 00:00,54,Moderate,,,13.1,4.6,,16.0,
204,Pingtung（Liuqiu）,2024-05-31 00:00,26,Good,,,0.7,25.8,,6.0,
203,Tainan（Madou）,2024-05-31 00:00,22,Good,,,13.0,15.4,,3.0,
202,Kaohsiung（Hunei）,2024-05-31 00:00,17,Good,,,8.5,14.4,,6.0,
201,Changhua（Yuanlin）,2024-05-31 00:00,44,Good,,,9.2,14.7,,11.0,
85,Dacheng,2024-05-31 00:00,25,Good,,,5.8,13.7,,6.0,
84,FugueiCape,2024-05-31 00:00,31,Good,,,5.5,27.1,,8.0,
83,Mailiao,2024-05-31 00:00,24,Good,,,7.4,15.6,,7.0,
80,Guanshan,2024-05-31 00:00,15,Good,,,1.9,6.5,,2.0,
78,Magong,2024-05-31 00:00,27,Good,,,3.8,29.2,,1.0,
77,Kinmen,2024-05-31 00:00,73,Moderate,,,19.3,9.8,,25.0,
75,Matsu,2024-05-31 00:00,39,Good,,,16.0,24.1,,11.0,
72,Puli,2024-05-31 00:00,36,Good,,,5.6,7.1,,8.0,
71,Fuxing,2024-05-31 00:00,19,Good,,,8.3,20.1,,0.0,
70,Yonghe,2024-05-31 00:00,58,Moderate,,,8.8,8.2,,48.0,
69,Zhushan,2024-05-31 00:00,36,Good,,,4.6,5.2,,6.0,
68,Zhongli,2024-05-31 00:00,47,Good,,,22.8,13.6,,16.0,
67,Sanchong,2024-05-31 00:00,43,Good,,,26.6,2.2,,11.0,
66,Dongshan,2024-05-31 00:00,24,Good,,,2.7,12.2,,6.0,
65,Yilan,2024-05-31 00:00,27,Good,,,3.0,11.6,,4.0,
64,Yangming,2024-05-31 00:00,25,Good,,,2.3,34.1,,7.0,
63,Hualien,2024-05-31 00:00,26,Good,,,2.2,17.2,,4.0,
62,Taitung,2024-05-31 00:00,20,Good,,,1.8,14.4,,3.0,
61,Hengchun,2024-05-31 00:00,28,Good,,,0.9,28.4,,3.0,
60,Chaozhou,2024-05-31 00:00,20,Good,,,2.6,21.3,,3.0,
59,Pingtung,2024-05-31 00:00,22,Good,,,4.4,22.7,,4.0,
58,Xiaogang,2024-05-31 00:00,26,Good,,,8.1,20.5,,7.0,
57,Qianzhen,2024-05-31 00:00,17,Good,,,9.9,20.0,,5.0,
56,Qianjin,2024-05-31 00:00,19,Good,,,9.7,20.4,,0.0,
54,Zuoying,2024-05-31 00:00,31,Good,,,9.1,20.8,,12.0,
53,Nanzi,2024-05-31 00:00,25,Good,,,15.8,14.9,,6.0,
52,Linyuan,2024-05-31 00:00,30,Good,,,0.7,30.3,,1.0,
51,Daliao,2024-05-31 00:00,25,Good,,,1.8,26.2,,3.0,
50,Fengshan,2024-05-31 00:00,22,Good,,,5.9,23.5,,4.0,
49,Renwu,2024-05-31 00:00,26,Good,,,9.5,20.9,,8.0,
48,Qiaotou,2024-05-31 00:00,19,Good,,,10.9,17.3,,7.0,
47,Meinong,2024-05-31 00:00,20,Good,,,2.7,11.8,,8.0,
46,Tainan,2024-05-31 00:00,29,Good,,,12.0,15.0,,10.0,
45,Annan,2024-05-31 00:00,30,Good,,,12.8,15.5,,5.0,
44,Shanhua,2024-05-31 00:00,27,Good,,,2.8,17.4,,11.0,
43,Xinying,2024-05-31 00:00,24,Good,,,3.5,19.5,,0.0,
42,Chiayi,2024-05-31 00:00,24,Good,,,6.1,14.6,,4.0,
41,Taixi,2024-05-31 00:00,23,Good,,,5.9,16.3,,3.0,
40,Puzi,2024-05-31 00:00,21,Good,,,5.4,18.1,,,
39,Xingang,2024-05-31 00:00,29,Good,,,3.8,19.9,,6.0,
38,Lunbei,2024-05-31 00:00,31,Good,,,5.3,14.3,,7.0,
37,Douliu,2024-05-31 00:00,28,Good,,,3.0,10.9,,7.0,
36,Nantou,2024-05-31 00:00,25,Good,,,5.7,7.0,,7.0,
35,Erlin,2024-05-31 00:00,51,Moderate,,,8.6,13.2,,11.0,
34,Xianxi,2024-05-31 00:00,38,Good,,,3.7,20.0,,4.0,
33,Changhua,2024-05-31 00:00,36,Good,,,11.1,12.4,,9.0,
32,Xitun,2024-05-31 00:00,35,Good,,,16.0,5.5,,11.0,
31,Zhongming,2024-05-31 00:00,27,Good,,,9.3,12.0,,8.0,
30,Dali,2024-05-31 00:00,40,Good,,,8.2,9.7,,12.0,
29,Shalu,2024-05-31 00:00,35,Good,,,8.0,22.6,,5.0,
28,Fengyuan,2024-05-31 00:00,27,Good,,,4.6,21.4,,5.0,
27,Sanyi,2024-05-31 00:00,32,Good,,,1.5,23.7,,7.0,
26,Miaoli,2024-05-31 00:00,43,Good,,,6.8,25.8,,17.0,
25,Toufen,2024-05-31 00:00,39,Good,,,7.2,22.4,,14.0,
24,Hsinchu,2024-05-31 00:00,35,Good,,,9.6,31.6,,13.0,
23,Zhudong,2024-05-31 00:00,54,Moderate,,,6.3,8.6,,17.0,
22,Hukou,2024-05-31 00:00,53,Moderate,,,15.8,13.1,,19.0,
21,Longtan,2024-05-31 00:00,56,Moderate,,,19.3,7.5,,19.0,
20,Pingzhen,2024-05-31 00:00,40,Good,,,24.0,13.8,,13.0,
19,Guanyin,2024-05-31 00:00,30,Good,,,6.9,30.9,,10.0,
18,Dayuan,2024-05-31 00:00,41,Good,,,13.5,23.2,,19.0,
17,Taoyuan,2024-05-31 00:00,44,Good,,,8.9,32.5,,13.0,
16,Datong,2024-05-31 00:00,37,Good,,,20.0,1.8,,12.0,
15,Songshan,2024-05-31 00:00,48,Good,,,25.7,2.9,,15.0,
14,Guting,2024-05-31 00:00,28,Good,,,10.4,7.9,,9.0,
13,Wanhua,2024-05-31 00:00,39,Good,,,14.5,7.6,,10.0,
12,Zhongshan,2024-05-31 00:00,32,Good,,,16.6,5.3,,9.0,
11,Shilin,2024-05-31 00:00,38,Good,,,23.0,3.0,,14.0,
10,Tamsui,2024-05-31 00:00,37,Good,,,9.9,24.0,,12.0,
9,Linkou,2024-05-31 00:00,31,Good,,,14.6,27.3,,11.0,
8,Cailiao,2024-05-31 00:00,43,Good,,,26.0,3.4,,15.0,
7,Xinzhuang,2024-05-31 00:00,45,Good,,,19.4,13.1,,17.0,
6,Banqiao,2024-05-31 00:00,50,Good,,,30.0,1.7,,13.0,
5,Tucheng,2024-05-31 00:00,58,Moderate,,,21.7,4.2,,21.0,
4,Xindian,2024-05-31 00:00,36,Good,,,6.3,10.6,,13.0,
3,Wanli,2024-05-31 00:00,28,Good,,,6.7,4.5,,6.0,
2,Xizhi,2024-05-31 00:00,42,Good,,,19.8,0.5,,13.0,
1,Keelung,2024-05-31 00:00,27,Good,,,16.7,0.4,,8.0,
313,Pingtung（fangshan）,2024-05-30 23:00,28,Good,,,2.3,21.0,,1.0,
312,Taichung（Rilana Elementary）,2024-05-30 23:00,33,Good,,,11.2,18.2,,9.0,
311,New Taipei(Shulin),2024-05-30 23:00,53,Moderate,,,11.5,9.0,,15.0,
204,Pingtung（Liuqiu）,2024-05-30 23:00,27,Good,,,1.0,27.0,,4.0,
203,Tainan（Madou）,2024-05-30 23:00,23,Good,,,7.3,19.1,,4.0,
202,Kaohsiung（Hunei）,2024-05-30 23:00,18,Good,,,8.9,14.6,,3.0,
201,Changhua（Yuanlin）,2024-05-30 23:00,44,Good,,,9.9,16.5,,14.0,
85,Dacheng,2024-05-30 23:00,31,Good,,,5.3,15.1,,5.0,
84,FugueiCape,2024-05-30 23:00,34,Good,,,4.6,27.2,,8.0,
83,Mailiao,2024-05-30 23:00,25,Good,,,8.2,16.8,,8.0,
80,Guanshan,2024-05-30 23:00,18,Good,,,2.7,9.8,,1.0,
78,Magong,2024-05-30 23:00,28,Good,,,6.3,26.2,,0.0,
77,Kinmen,2024-05-30 23:00,74,Moderate,,,21.7,11.2,,24.0,
75,Matsu,2024-05-30 23:00,41,Good,,,5.4,39.8,,11.0,
72,Puli,2024-05-30 23:00,37,Good,,,6.9,8.8,,7.0,
71,Fuxing,2024-05-30 23:00,20,Good,,,8.2,20.1,,5.0,
70,Yonghe,2024-05-30 23:00,41,Good,,,10.4,5.9,,11.0,
69,Zhushan,2024-05-30 23:00,40,Good,,,4.5,7.4,,7.0,
68,Zhongli,2024-05-30 23:00,49,Good,,,24.3,14.5,,17.0,
67,Sanchong,2024-05-30 23:00,50,Good,,,30.9,8.2,,12.0,
66,Dongshan,2024-05-30 23:00,27,Good,,,14.7,7.5,,8.0,
65,Yilan,2024-05-30 23:00,31,Good,,,4.1,18.9,,4.0,
64,Yangming,2024-05-30 23:00,24,Good,,,3.3,33.5,,9.0,
63,Hualien,2024-05-30 23:00,28,Good,,,3.5,18.3,,7.0,
62,Taitung,2024-05-30 23:00,22,Good,,,3.4,17.0,,4.0,
61,Hengchun,2024-05-30 23:00,28,Good,,,2.0,24.3,,5.0,
60,Chaozhou,2024-05-30 23:00,21,Good,,,4.1,11.0,,5.0,
59,Pingtung,2024-05-30 23:00,23,Good,,,6.7,19.7,,4.0,
58,Xiaogang,2024-05-30 23:00,26,Good,,,4.3,27.1,,10.0,
57,Qianzhen,2024-05-30 23:00,18,Good,,,11.1,18.8,,3.0,
56,Qianjin,2024-05-30 23:00,23,Good,,,14.5,14.9,,1.0,
54,Zuoying,2024-05-30 23:00,29,Good,,,11.6,19.0,,9.0,
53,Nanzi,2024-05-30 23:00,22,Good,,,10.8,20.7,,7.0,
52,Linyuan,2024-05-30 23:00,30,Good,,,1.1,30.2,,3.0,
51,Daliao,2024-05-30 23:00,25,Good,,,2.4,23.7,,2.0,
50,Fengshan,2024-05-30 23:00,23,Good,,,5.9,22.6,,5.0,
49,Renwu,2024-05-30 23:00,28,Good,,,4.9,26.3,,5.0,
48,Qiaotou,2024-05-30 23:00,21,Good,,,7.6,22.2,,3.0,
47,Meinong,2024-05-30 23:00,23,Good,,,2.7,14.3,,3.0,
46,Tainan,2024-05-30 23:00,27,Good,,,9.9,18.8,,7.0,
45,Annan,2024-05-30 23:00,32,Good,,,10.2,19.6,,7.0,
44,Shanhua,2024-05-30 23:00,24,Good,,,2.5,20.6,,6.0,
43,Xinying,2024-05-30 23:00,25,Good,,,3.9,20.1,,0.0,
42,Chiayi,2024-05-30 23:00,26,Good,,,5.1,19.3,,5.0,
41,Taixi,2024-05-30 23:00,27,Good,,,5.9,17.1,,5.0,
40,Puzi,2024-05-30 23:00,22,Good,,,8.5,14.5,,,
39,Xingang,2024-05-30 23:00,32,Good,,,3.4,21.9,,11.0,
38,Lunbei,2024-05-30 23:00,35,Good,,,3.7,16.6,,8.0,
37,Douliu,2024-05-30 23:00,29,Good,,,5.7,14.1,,12.0,
36,Nantou,2024-05-30 23:00,26,Good,,,7.7,7.2,,7.0,
35,Erlin,2024-05-30 23:00,55,Moderate,,,5.5,17.1,,14.0,
34,Xianxi,2024-05-30 23:00,43,Good,,,5.4,22.9,,18.0,
33,Changhua,2024-05-30 23:00,37,Good,,,10.2,15.8,,10.0,
32,Xitun,2024-05-30 23:00,34,Good,,,16.5,8.0,,7.0,
31,Zhongming,2024-05-30 23:00,28,Good,,,11.0,14.1,,5.0,
30,Dali,2024-05-30 23:00,39,Good,,,10.0,10.8,,12.0,
29,Shalu,2024-05-30 23:00,39,Good,,,11.7,22.6,,7.0,
28,Fengyuan,2024-05-30 23:00,31,Good,,,4.4,28.2,,4.0,
27,Sanyi,2024-05-30 23:00,36,Good,,,0.4,30.9,,5.0,
26,Miaoli,2024-05-30 23:00,41,Good,,,7.7,27.3,,16.0,
25,Toufen,2024-05-30 23:00,39,Good,,,8.3,19.6,,14.0,
24,Hsinchu,2024-05-30 23:00,36,Good,,,10.3,33.3,,7.0,
23,Zhudong,2024-05-30 23:00,54,Moderate,,,7.2,10.5,,14.0,
22,Hukou,2024-05-30 23:00,53,Moderate,,,9.1,25.0,,12.0,
21,Longtan,2024-05-30 23:00,56,Moderate,,,16.3,15.3,,19.0,
20,Pingzhen,2024-05-30 23:00,39,Good,,,19.2,19.0,,11.0,
19,Guanyin,2024-05-30 23:00,31,Good,,,11.2,24.0,,12.0,
18,Dayuan,2024-05-30 23:00,39,Good,,,18.8,16.9,,12.0,
17,Taoyuan,2024-05-30 23:00,44,Good,,,13.5,30.9,,15.0,
16,Datong,2024-05-30 23:00,50,Good,,,30.6,3.5,,18.0,
15,Songshan,2024-05-30 23:00,45,Good,,,23.6,9.0,,18.0,
14,Guting,2024-05-30 23:00,28,Good,,,11.2,6.8,,4.0,
13,Wanhua,2024-05-30 23:00,38,Good,,,21.5,4.9,,11.0,
12,Zhongshan,2024-05-30 23:00,35,Good,,,21.8,9.5,,13.0,
11,Shilin,2024-05-30 23:00,42,Good,,,25.2,8.4,,12.0,
10,Tamsui,2024-05-30 23:00,36,Good,,,14.3,24.4,,12.0,
9,Linkou,2024-05-30 23:00,31,Good,,,,30.5,,11.0,
8,Cailiao,2024-05-30 23:00,38,Good,,,23.2,18.8,,9.0,
7,Xinzhuang,2024-05-30 23:00,42,Good,,,23.4,12.7,,17.0,
6,Banqiao,2024-05-30 23:00,43,Good,,,26.2,9.4,,17.0,
5,Tucheng,2024-05-30 23:00,57,Moderate,,,24.6,5.3,,19.0,
4,Xindian,2024-05-30 23:00,34,Good,,,8.8,12.0,,9.0,
3,Wanli,2024-05-30 23:00,28,Good,,,7.1,5.4,,4.0,
2,Xizhi,2024-05-30 23:00,43,Good,,,23.3,1.4,,17.0,
1,Keelung,2024-05-30 23:00,30,Good,,,18.3,0.4,,8.0,
313,Pingtung（fangshan）,2024-05-30 22:00,30,Good,,,2.7,22.7,,0.0,
312,Taichung（Rilana Elementary）,2024-05-30 22:00,36,Good,,,12.7,17.4,,10.0,
311,New Taipei(Shulin),2024-05-30 22:00,52,Moderate,,,15.6,7.0,,19.0,
204,Pingtung（Liuqiu）,2024-05-30 22:00,27,Good,,,1.3,28.6,,5.0,
203,Tainan（Madou）,2024-05-30 22:00,25,Good,,,7.5,19.2,,6.0,
202,Kaohsiung（Hunei）,2024-05-30 22:00,19,Good,,,8.8,16.3,,5.0,
