level_0,aqi,co,datacreationdate,index,no,no2,o3,pm10,pm2.5,siteid,sitename,so2,status
55,21,0.39,2024-05-31 05:00,55,1.2,4.8,7.3,15.0,6.0,30,Dali,1.4,Good
56,22,0.31,2024-05-31 05:00,56,0.2,6.5,12.6,33.0,6.0,29,Shalu,1.1,Good
57,18,0.22,2024-05-31 05:00,57,1.0,4.4,12.8,16.0,3.0,28,Fengyuan,0.7,Good
58,21,0.17,2024-05-31 05:00,58,1.0,0.8,17.4,13.0,5.0,27,Sanyi,0.6,Good
59,38,0.23,2024-05-31 05:00,59,1.2,9.1,2.9,25.0,10.0,26,Miaoli,0.9,Good
60,34,0.26,2024-05-31 05:00,60,1.4,8.5,3.0,26.0,11.0,25,Toufen,1.4,Good
61,33,0.28,2024-05-31 05:00,61,0.8,10.8,3.1,15.0,13.0,24,Hsinchu,1.0,Good
62,52,0.34,2024-05-31 05:00,62,0.4,4.9,6.5,23.0,18.0,23,Zhudong,2.8,Moderate
63,50,0.23,2024-05-31 05:00,63,0.5,13.0,9.3,27.0,15.0,22,Hukou,3.4,Good
64,54,0.4,2024-05-31 05:00,64,0.3,10.7,4.1,32.0,11.0,21,Longtan,1.2,Moderate
65,53,0.4,2024-05-31 05:00,65,0.1,19.8,3.1,31.0,20.0,20,Pingzhen,2.0,Moderate
66,44,0.19,2024-05-31 05:00,66,0.1,13.1,9.3,18.0,15.0,19,Guanyin,2.2,Good
67,52,0.36,2024-05-31 05:00,67,1.3,25.2,3.6,26.0,17.0,18,Dayuan,2.2,Moderate
68,57,0.39,2024-05-31 05:00,68,0.9,20.9,0.0,26.0,22.0,17,Taoyuan,1.5,Moderate
69,38,1.18,2024-05-31 05:00,69,14.6,8.4,5.0,19.0,10.0,16,Datong,1.8,Good
70,41,0.57,2024-05-31 05:00,70,9.1,8.9,7.0,22.0,11.0,15,Songshan,0.6,Good
71,23,0.45,2024-05-31 05:00,71,1.6,4.0,5.9,17.0,7.0,14,Guting,0.7,Good
72,28,0.55,2024-05-31 05:00,72,1.6,5.8,7.2,21.0,6.0,13,Wanhua,0.5,Good
73,26,0.86,2024-05-31 05:00,73,7.5,5.9,6.8,20.0,5.0,12,Zhongshan,0.7,Good
74,42,0.34,2024-05-31 05:00,74,1.0,10.0,5.4,27.0,11.0,11,Shilin,0.9,Good
75,38,0.25,2024-05-31 05:00,75,1.3,17.7,3.8,28.0,11.0,10,Tamsui,3.6,Good
76,36,0.24,2024-05-31 05:00,76,7.0,18.3,13.0,30.0,11.0,9,Linkou,1.3,Good
77,32,0.41,2024-05-31 05:00,77,1.3,13.1,2.1,23.0,8.0,8,Cailiao,1.1,Good
78,55,0.48,2024-05-31 05:00,78,0.3,16.2,3.9,13.0,20.0,7,Xinzhuang,0.8,Moderate
79,41,0.58,2024-05-31 05:00,79,0.9,16.5,2.6,22.0,15.0,6,Banqiao,2.3,Good
80,56,0.65,2024-05-31 05:00,80,1.8,13.2,1.2,28.0,19.0,5,Tucheng,1.8,Moderate
81,35,0.38,2024-05-31 05:00,81,1.7,3.2,7.3,18.0,9.0,4,Xindian,0.9,Good
82,22,0.24,2024-05-31 05:00,82,1.7,6.1,3.9,18.0,5.0,3,Wanli,0.2,Good
83,46,0.6,2024-05-31 05:00,83,14.7,13.7,1.7,23.0,16.0,2,Xizhi,1.8,Good
84,24,0.48,2024-05-31 05:00,84,4.8,10.9,1.5,20.0,7.0,1,Keelung,1.2,Good
85,22,0.09,2024-05-31 04:00,85,0.0,1.8,17.5,19.0,0.0,313,Pingtung（fangshan）,0.0,Good
86,20,0.05,2024-05-31 04:00,86,0.2,9.3,8.9,40.0,1.0,312,Taichung（Rilana Elementary）,0.5,Good
