siteid,sitename,datacreationdate,aqi,status,index,co,no,no2,o3,pm10,pm2.5,so2
10,Tamsui,2024-05-31 00:00,37,Good,245.0,0.29,1.0,9.9,24.0,19.0,12.0,1.3
9,Linkou,2024-05-31 00:00,31,Good,246.0,0.3,0.3,14.6,27.3,25.0,11.0,2.6
8,Cailiao,2024-05-31 00:00,43,Good,247.0,0.65,3.6,26.0,3.4,21.0,15.0,1.0
7,Xinzhuang,2024-05-31 00:00,45,Good,248.0,0.5,0.1,19.4,13.1,21.0,17.0,0.9
6,Banqiao,2024-05-31 00:00,50,Good,249.0,0.72,3.0,30.0,1.7,29.0,13.0,1.0
5,Tucheng,2024-05-31 00:00,58,Moderate,250.0,0.5,2.8,21.7,4.2,27.0,21.0,0.3
4,Xindian,2024-05-31 00:00,36,Good,251.0,0.24,1.2,6.3,10.6,21.0,13.0,0.9
3,Wanli,2024-05-31 00:00,28,Good,252.0,0.28,2.1,6.7,4.5,22.0,6.0,0.0
2,Xizhi,2024-05-31 00:00,42,Good,253.0,0.44,11.3,19.8,0.5,23.0,13.0,1.5
1,Keelung,2024-05-31 00:00,27,Good,254.0,0.51,9.2,16.7,0.4,21.0,8.0,1.0
313,Pingtung（fangshan）,2024-05-30 23:00,28,Good,255.0,0.1,0.3,2.3,21.0,14.0,1.0,0.0
312,Taichung（Rilana Elementary）,2024-05-30 23:00,33,Good,256.0,0.09,3.2,11.2,18.2,28.0,9.0,0.3
311,New Taipei(Shulin),2024-05-30 23:00,53,Moderate,257.0,0.34,1.8,11.5,9.0,25.0,15.0,1.0
204,Pingtung（Liuqiu）,2024-05-30 23:00,27,Good,258.0,0.06,1.2,1.0,27.0,11.0,4.0,0.4
203,Tainan（Madou）,2024-05-30 23:00,23,Good,259.0,0.15,1.0,7.3,19.1,15.0,4.0,0.5
202,Kaohsiung（Hunei）,2024-05-30 23:00,18,Good,260.0,0.31,1.4,8.9,14.6,17.0,3.0,1.7
201,Changhua（Yuanlin）,2024-05-30 23:00,44,Good,261.0,0.27,0.5,9.9,16.5,27.0,14.0,1.7
85,Dacheng,2024-05-30 23:00,31,Good,262.0,0.12,0.3,5.3,15.1,12.0,5.0,0.8
84,FugueiCape,2024-05-30 23:00,34,Good,263.0,0.16,0.1,4.6,27.2,29.0,8.0,0.3
83,Mailiao,2024-05-30 23:00,25,Good,264.0,0.2,1.0,8.2,16.8,19.0,8.0,1.3
80,Guanshan,2024-05-30 23:00,18,Good,265.0,0.13,0.4,2.7,9.8,16.0,1.0,0.4
78,Magong,2024-05-30 23:00,28,Good,266.0,0.15,1.4,6.3,26.2,4.0,0.0,0.9
77,Kinmen,2024-05-30 23:00,74,Moderate,267.0,0.34,1.0,21.7,11.2,31.0,24.0,1.7
75,Matsu,2024-05-30 23:00,41,Good,268.0,0.21,0.5,5.4,39.8,24.0,11.0,1.1
72,Puli,2024-05-30 23:00,37,Good,269.0,0.25,1.6,6.9,8.8,20.0,7.0,0.9
71,Fuxing,2024-05-30 23:00,20,Good,270.0,0.17,1.4,8.2,20.1,7.0,5.0,2.2
70,Yonghe,2024-05-30 23:00,41,Good,271.0,0.49,5.4,10.4,5.9,16.0,11.0,1.0
69,Zhushan,2024-05-30 23:00,40,Good,272.0,0.13,0.8,4.5,7.4,25.0,7.0,0.8
68,Zhongli,2024-05-30 23:00,49,Good,273.0,0.63,16.7,24.3,14.5,30.0,17.0,2.0
67,Sanchong,2024-05-30 23:00,50,Good,274.0,0.84,25.2,30.9,8.2,22.0,12.0,1.1
66,Dongshan,2024-05-30 23:00,27,Good,275.0,0.7,1.7,14.7,7.5,28.0,8.0,0.4
65,Yilan,2024-05-30 23:00,31,Good,276.0,0.2,0.4,4.1,18.9,13.0,4.0,1.1
64,Yangming,2024-05-30 23:00,24,Good,277.0,0.18,0.5,3.3,33.5,18.0,9.0,0.9
63,Hualien,2024-05-30 23:00,28,Good,278.0,0.21,0.3,3.5,18.3,14.0,7.0,0.3
62,Taitung,2024-05-30 23:00,22,Good,279.0,0.16,1.8,3.4,17.0,18.0,4.0,0.1
61,Hengchun,2024-05-30 23:00,28,Good,280.0,0.11,0.6,2.0,24.3,12.0,5.0,0.6
60,Chaozhou,2024-05-30 23:00,21,Good,281.0,0.09,0.0,4.1,11.0,26.0,5.0,0.5
59,Pingtung,2024-05-30 23:00,23,Good,282.0,0.21,0.5,6.7,19.7,20.0,4.0,0.6
58,Xiaogang,2024-05-30 23:00,26,Good,283.0,0.11,0.6,4.3,27.1,9.0,10.0,9.7
57,Qianzhen,2024-05-30 23:00,18,Good,284.0,0.24,2.7,11.1,18.8,9.0,3.0,1.5
56,Qianjin,2024-05-30 23:00,23,Good,285.0,0.12,0.0,14.5,14.9,11.0,1.0,2.7
54,Zuoying,2024-05-30 23:00,29,Good,286.0,0.3,0.1,11.6,19.0,14.0,9.0,3.1
53,Nanzi,2024-05-30 23:00,22,Good,287.0,0.29,0.5,10.8,20.7,20.0,7.0,0.7
52,Linyuan,2024-05-30 23:00,30,Good,288.0,0.1,0.7,1.1,30.2,17.0,3.0,0.8
51,Daliao,2024-05-30 23:00,25,Good,289.0,0.11,0.2,2.4,23.7,11.0,2.0,0.3
50,Fengshan,2024-05-30 23:00,23,Good,290.0,0.28,0.7,5.9,22.6,10.0,5.0,0.6
49,Renwu,2024-05-30 23:00,28,Good,291.0,0.22,0.7,4.9,26.3,7.0,5.0,0.8
48,Qiaotou,2024-05-30 23:00,21,Good,292.0,0.26,0.2,7.6,22.2,16.0,3.0,0.5
47,Meinong,2024-05-30 23:00,23,Good,293.0,0.15,1.1,2.7,14.3,19.0,3.0,0.6
46,Tainan,2024-05-30 23:00,27,Good,294.0,0.19,0.6,9.9,18.8,14.0,7.0,1.6
45,Annan,2024-05-30 23:00,32,Good,295.0,0.24,1.8,10.2,19.6,15.0,7.0,1.4
44,Shanhua,2024-05-30 23:00,24,Good,296.0,0.1,0.9,2.5,20.6,18.0,6.0,0.4
43,Xinying,2024-05-30 23:00,25,Good,297.0,0.14,0.5,3.9,20.1,20.0,0.0,0.0
42,Chiayi,2024-05-30 23:00,26,Good,298.0,0.16,0.8,5.1,19.3,11.0,5.0,1.4
41,Taixi,2024-05-30 23:00,27,Good,299.0,0.16,1.0,5.9,17.1,18.0,5.0,1.4
40,Puzi,2024-05-30 23:00,22,Good,300.0,0.22,2.4,8.5,14.5,19.0,,1.6
39,Xingang,2024-05-30 23:00,32,Good,301.0,0.12,1.4,3.4,21.9,17.0,11.0,0.6
38,Lunbei,2024-05-30 23:00,35,Good,302.0,0.15,1.1,3.7,16.6,15.0,8.0,0.8
37,Douliu,2024-05-30 23:00,29,Good,303.0,0.19,1.3,5.7,14.1,23.0,12.0,1.2
36,Nantou,2024-05-30 23:00,26,Good,304.0,0.21,0.6,7.7,7.2,27.0,7.0,0.3
35,Erlin,2024-05-30 23:00,55,Moderate,305.0,0.13,1.6,5.5,17.1,38.0,14.0,0.5
34,Xianxi,2024-05-30 23:00,43,Good,306.0,0.23,1.3,5.4,22.9,28.0,18.0,0.6
33,Changhua,2024-05-30 23:00,37,Good,307.0,0.26,1.5,10.2,15.8,25.0,10.0,0.9
32,Xitun,2024-05-30 23:00,34,Good,308.0,0.3,1.2,16.5,8.0,25.0,7.0,1.0
31,Zhongming,2024-05-30 23:00,28,Good,309.0,0.29,1.2,11.0,14.1,19.0,5.0,1.1
30,Dali,2024-05-30 23:00,39,Good,310.0,0.27,1.1,10.0,10.8,22.0,12.0,1.2
29,Shalu,2024-05-30 23:00,39,Good,311.0,0.26,0.2,11.7,22.6,21.0,7.0,0.9
28,Fengyuan,2024-05-30 23:00,31,Good,312.0,0.18,0.9,4.4,28.2,16.0,4.0,0.5
27,Sanyi,2024-05-30 23:00,36,Good,313.0,0.13,1.0,0.4,30.9,13.0,5.0,0.5
26,Miaoli,2024-05-30 23:00,41,Good,314.0,0.19,1.2,7.7,27.3,30.0,16.0,1.4
25,Toufen,2024-05-30 23:00,39,Good,315.0,0.29,1.3,8.3,19.6,24.0,14.0,1.4
24,Hsinchu,2024-05-30 23:00,36,Good,316.0,0.32,0.6,10.3,33.3,29.0,7.0,1.1
23,Zhudong,2024-05-30 23:00,54,Moderate,317.0,0.28,0.5,7.2,10.5,27.0,14.0,0.3
22,Hukou,2024-05-30 23:00,53,Moderate,318.0,0.26,0.4,9.1,25.0,25.0,12.0,0.8
21,Longtan,2024-05-30 23:00,56,Moderate,319.0,0.39,0.3,16.3,15.3,31.0,19.0,1.7
20,Pingzhen,2024-05-30 23:00,39,Good,320.0,0.32,0.0,19.2,19.0,28.0,11.0,0.7
19,Guanyin,2024-05-30 23:00,31,Good,321.0,0.18,0.1,11.2,24.0,17.0,12.0,1.0
18,Dayuan,2024-05-30 23:00,39,Good,322.0,0.31,1.0,18.8,16.9,28.0,12.0,1.1
17,Taoyuan,2024-05-30 23:00,44,Good,323.0,0.28,0.4,13.5,30.9,21.0,15.0,1.5
16,Datong,2024-05-30 23:00,50,Good,324.0,1.91,55.1,30.6,3.5,28.0,18.0,1.8
15,Songshan,2024-05-30 23:00,45,Good,325.0,0.53,8.6,23.6,9.0,19.0,18.0,1.2
14,Guting,2024-05-30 23:00,28,Good,326.0,0.35,2.6,11.2,6.8,14.0,4.0,0.8
13,Wanhua,2024-05-30 23:00,38,Good,327.0,0.54,3.4,21.5,4.9,18.0,11.0,0.8
12,Zhongshan,2024-05-30 23:00,35,Good,328.0,0.51,1.3,21.8,9.5,25.0,13.0,1.1
11,Shilin,2024-05-30 23:00,42,Good,329.0,0.47,2.2,25.2,8.4,22.0,12.0,0.9
10,Tamsui,2024-05-30 23:00,36,Good,330.0,0.33,1.1,14.3,24.4,21.0,12.0,1.2
9,Linkou,2024-05-30 23:00,31,Good,331.0,0.34,21.9,21.1,30.5,22.0,11.0,2.5
8,Cailiao,2024-05-30 23:00,38,Good,332.0,0.58,0.5,23.2,18.8,20.0,9.0,1.7
7,Xinzhuang,2024-05-30 23:00,42,Good,333.0,0.56,0.7,23.4,12.7,25.0,17.0,1.6
6,Banqiao,2024-05-30 23:00,43,Good,334.0,0.59,1.0,26.2,9.4,30.0,17.0,1.2
5,Tucheng,2024-05-30 23:00,57,Moderate,335.0,0.55,2.7,24.6,5.3,33.0,19.0,0.5
4,Xindian,2024-05-30 23:00,34,Good,336.0,0.31,1.8,8.8,12.0,12.0,9.0,0.8
3,Wanli,2024-05-30 23:00,28,Good,337.0,0.27,2.0,7.1,5.4,21.0,4.0,0.2
2,Xizhi,2024-05-30 23:00,43,Good,338.0,0.56,13.6,23.3,1.4,26.0,17.0,0.7
1,Keelung,2024-05-30 23:00,30,Good,339.0,0.61,9.8,18.3,0.4,27.0,8.0,1.3
313,Pingtung（fangshan）,2024-05-31 06:00,21,Good,340.0,,0.9,2.8,,,0.0,0.2
312,Taichung（Rilana Elementary）,2024-05-31 06:00,19,Good,341.0,,4.2,10.4,6.1,,1.0,0.0
311,New Taipei(Shulin),2024-05-31 06:00,54,Moderate,342.0,,3.4,8.8,4.2,,21.0,0.5
204,Pingtung（Liuqiu）,2024-05-31 06:00,21,Good,343.0,,1.0,1.7,16.5,,4.0,0.4
203,Tainan（Madou）,2024-05-31 06:00,17,Good,344.0,,0.5,3.8,15.5,,1.0,0.5
202,Kaohsiung（Hunei）,2024-05-31 06:00,16,Good,345.0,,1.2,5.6,13.3,,4.0,1.1
201,Changhua（Yuanlin）,2024-05-31 06:00,35,Good,346.0,,1.8,7.1,10.0,,7.0,1.6
85,Dacheng,2024-05-31 06:00,15,Good,347.0,,0.8,2.8,17.4,,0.0,1.5
84,FugueiCape,2024-05-31 06:00,31,Good,348.0,,0.5,4.8,16.8,,10.0,0.4
83,Mailiao,2024-05-31 06:00,17,Good,349.0,,0.7,3.7,19.4,,2.0,0.9
80,Guanshan,2024-05-31 06:00,25,Good,350.0,,2.1,2.6,2.9,,6.0,0.2
78,Magong,2024-05-31 06:00,24,Good,351.0,,0.6,7.6,18.0,,3.0,0.9
77,Kinmen,2024-05-31 06:00,85,Moderate,352.0,,5.8,27.9,1.6,,30.0,1.3
75,Matsu,2024-05-31 06:00,51,Moderate,353.0,,0.9,6.7,31.2,,24.0,0.6
72,Puli,2024-05-31 06:00,27,Good,354.0,,1.8,2.7,5.5,,9.0,0.7
71,Fuxing,2024-05-31 06:00,18,Good,355.0,,1.2,7.2,12.2,,0.0,7.9
70,Yonghe,2024-05-31 06:00,40,Good,356.0,,6.0,7.1,4.9,,8.0,0.8
69,Zhushan,2024-05-31 06:00,30,Good,357.0,,2.2,4.3,4.0,,12.0,0.6
68,Zhongli,2024-05-31 06:00,57,Moderate,358.0,,15.2,12.5,5.5,,19.0,1.4
67,Sanchong,2024-05-31 06:00,35,Good,359.0,,36.7,11.9,2.9,,10.0,0.5
66,Dongshan,2024-05-31 06:00,25,Good,360.0,,1.3,4.1,5.8,,9.0,0.2
65,Yilan,2024-05-31 06:00,16,Good,361.0,,0.8,3.0,9.1,,3.0,1.0
64,Yangming,2024-05-31 06:00,28,Good,362.0,,0.8,1.2,28.4,,5.0,0.6
63,Hualien,2024-05-31 06:00,18,Good,363.0,,2.3,4.2,3.9,,5.0,0.3
62,Taitung,2024-05-31 06:00,20,Good,364.0,,2.1,2.9,5.7,,6.0,0.5
61,Hengchun,2024-05-31 06:00,25,Good,365.0,,0.3,0.9,25.7,,4.0,0.0
60,Chaozhou,2024-05-31 06:00,19,Good,366.0,,1.7,1.5,14.8,,0.0,0.5
59,Pingtung,2024-05-31 06:00,17,Good,367.0,,0.7,5.3,9.4,,2.0,0.5
58,Xiaogang,2024-05-31 06:00,26,Good,368.0,,2.0,14.5,5.9,,10.0,4.7
57,Qianzhen,2024-05-31 06:00,30,Good,369.0,,0.9,8.2,13.4,,3.0,12.2
56,Qianjin,2024-05-31 06:00,16,Good,370.0,,0.5,7.6,12.3,,2.0,1.4
54,Zuoying,2024-05-31 06:00,20,Good,371.0,,0.7,5.5,15.1,,5.0,1.0
53,Nanzi,2024-05-31 06:00,23,Good,372.0,,2.7,14.2,6.2,,2.0,0.5
52,Linyuan,2024-05-31 06:00,19,Good,373.0,,0.0,2.7,13.6,,1.0,0.9
51,Daliao,2024-05-31 06:00,16,Good,374.0,,1.2,8.9,4.4,,8.0,0.3
50,Fengshan,2024-05-31 06:00,18,Good,375.0,,0.1,4.8,13.1,,0.0,0.5
49,Renwu,2024-05-31 06:00,20,Good,376.0,,0.2,4.0,20.9,,1.0,1.4
48,Qiaotou,2024-05-31 06:00,16,Good,377.0,,1.1,6.2,12.3,,2.0,0.3
47,Meinong,2024-05-31 06:00,17,Good,378.0,,0.8,1.5,16.2,,1.0,0.0
46,Tainan,2024-05-31 06:00,23,Good,379.0,,1.2,6.1,17.2,,5.0,0.4
45,Annan,2024-05-31 06:00,22,Good,380.0,,0.8,5.7,19.6,,4.0,0.2
44,Shanhua,2024-05-31 06:00,18,Good,381.0,,0.7,2.8,18.1,,3.0,0.3
43,Xinying,2024-05-31 06:00,19,Good,382.0,,0.8,2.3,21.4,,0.0,0.8
42,Chiayi,2024-05-31 06:00,19,Good,383.0,,0.7,1.9,22.5,,0.0,1.0
41,Taixi,2024-05-31 06:00,18,Good,384.0,,0.6,2.3,22.1,,0.0,1.0
40,Puzi,2024-05-31 06:00,16,Good,385.0,,1.4,4.4,21.9,,,0.9
39,Xingang,2024-05-31 06:00,20,Good,386.0,,,,,,,2.1
38,Lunbei,2024-05-31 06:00,19,Good,387.0,,0.4,4.2,17.1,,4.0,0.8
37,Douliu,2024-05-31 06:00,23,Good,388.0,,0.8,3.6,9.0,,4.0,0.6
36,Nantou,2024-05-31 06:00,30,Good,389.0,,1.6,4.8,3.1,,2.0,0.2
35,Erlin,2024-05-31 06:00,38,Good,390.0,,1.1,8.7,6.2,,9.0,1.4
34,Xianxi,2024-05-31 06:00,26,Good,391.0,,2.4,9.6,8.1,,5.0,0.7
33,Changhua,2024-05-31 06:00,18,Good,392.0,,0.6,5.0,14.6,,4.0,0.8
32,Xitun,2024-05-31 06:00,25,Good,393.0,,1.4,8.0,6.3,,8.0,0.7
31,Zhongming,2024-05-31 06:00,23,Good,394.0,,1.3,4.8,7.7,,6.0,1.4
30,Dali,2024-05-31 06:00,19,Good,395.0,,1.5,7.0,5.8,,6.0,0.9
29,Shalu,2024-05-31 06:00,21,Good,396.0,,1.1,5.1,19.3,,5.0,0.5
28,Fengyuan,2024-05-31 06:00,17,Good,397.0,,1.2,4.2,16.8,,2.0,1.0
27,Sanyi,2024-05-31 06:00,19,Good,398.0,,1.3,0.9,18.0,,2.0,0.5
26,Miaoli,2024-05-31 06:00,36,Good,399.0,,2.0,7.4,5.5,,11.0,0.9
25,Toufen,2024-05-31 06:00,32,Good,400.0,,2.0,4.7,5.2,,8.0,0.7
24,Hsinchu,2024-05-31 06:00,32,Good,401.0,,4.5,13.3,2.5,,9.0,0.3
23,Zhudong,2024-05-31 06:00,45,Good,402.0,,1.4,5.0,3.9,,3.0,0.8
22,Hukou,2024-05-31 06:00,51,Moderate,403.0,,6.3,16.6,4.6,,16.0,0.3
21,Longtan,2024-05-31 06:00,51,Moderate,404.0,,3.2,11.4,6.4,,11.0,0.1
20,Pingzhen,2024-05-31 06:00,52,Moderate,405.0,,2.4,15.0,5.1,,14.0,0.5
19,Guanyin,2024-05-31 06:00,44,Good,406.0,,2.2,11.6,10.9,,11.0,0.2
18,Dayuan,2024-05-31 06:00,49,Good,407.0,,1.8,19.3,6.3,,13.0,1.2
17,Taoyuan,2024-05-31 06:00,57,Moderate,408.0,,4.6,17.5,5.2,,16.0,2.5
16,Datong,2024-05-31 06:00,38,Good,409.0,,10.6,9.9,4.1,,12.0,1.0
15,Songshan,2024-05-31 06:00,41,Good,410.0,,1.8,9.1,6.3,,13.0,
14,Guting,2024-05-31 06:00,26,Good,411.0,,2.3,7.2,3.8,,11.0,1.9
13,Wanhua,2024-05-31 06:00,28,Good,412.0,,1.4,6.4,6.4,,10.0,0.0
12,Zhongshan,2024-05-31 06:00,26,Good,413.0,,1.3,7.6,6.2,,9.0,0.1
11,Shilin,2024-05-31 06:00,41,Good,414.0,,1.9,9.7,5.1,,12.0,0.6
10,Tamsui,2024-05-31 06:00,40,Good,415.0,,2.6,16.9,,,14.0,1.8
9,Linkou,2024-05-31 06:00,40,Good,416.0,,10.9,24.4,8.4,,17.0,0.8
8,Cailiao,2024-05-31 06:00,32,Good,417.0,,3.0,11.7,3.9,,12.0,0.6
7,Xinzhuang,2024-05-31 06:00,61,Moderate,418.0,,2.2,15.7,4.4,,26.0,1.5
6,Banqiao,2024-05-31 06:00,40,Good,419.0,,4.3,17.1,4.2,,12.0,0.5
5,Tucheng,2024-05-31 06:00,57,Moderate,420.0,,22.0,12.8,3.1,,20.0,0.3
4,Xindian,2024-05-31 06:00,36,Good,421.0,,1.7,4.3,9.8,,11.0,1.2
3,Wanli,2024-05-31 06:00,21,Good,422.0,,1.5,5.0,6.3,,6.0,0.3
2,Xizhi,2024-05-31 06:00,47,Good,423.0,,15.1,10.5,2.5,,13.0,0.6
1,Keelung,2024-05-31 06:00,27,Good,424.0,,4.5,10.3,2.9,,9.0,0.5
313,Pingtung（fangshan）,2024-05-31 05:00,21,Good,425.0,,0.3,2.1,15.7,,0.0,0.0
312,Taichung（Rilana Elementary）,2024-05-31 05:00,19,Good,426.0,,1.3,10.5,7.5,,3.0,0.0
311,New Taipei(Shulin),2024-05-31 05:00,53,Moderate,427.0,,0.5,5.5,6.0,,17.0,0.3
204,Pingtung（Liuqiu）,2024-05-31 05:00,23,Good,428.0,,1.1,0.6,21.6,,6.0,0.4
203,Tainan（Madou）,2024-05-31 05:00,17,Good,429.0,,0.4,2.6,17.6,,2.0,0.1
202,Kaohsiung（Hunei）,2024-05-31 05:00,17,Good,430.0,,1.1,4.2,14.6,,6.0,1.8
201,Changhua（Yuanlin）,2024-05-31 05:00,36,Good,431.0,,1.4,5.8,10.9,,12.0,1.6
85,Dacheng,2024-05-31 05:00,15,Good,432.0,,0.9,1.7,19.3,,2.0,1.2
84,FugueiCape,2024-05-31 05:00,32,Good,433.0,,0.1,5.2,20.2,,9.0,0.6
83,Mailiao,2024-05-31 05:00,17,Good,434.0,,0.6,2.1,22.0,,3.0,0.9
80,Guanshan,2024-05-31 05:00,24,Good,435.0,,1.9,2.4,2.3,,8.0,0.3
78,Magong,2024-05-31 05:00,25,Good,436.0,,0.1,4.3,24.5,,1.0,0.7
77,Kinmen,2024-05-31 05:00,84,Moderate,437.0,,2.0,28.1,1.6,,33.0,2.2
75,Matsu,2024-05-31 05:00,43,Good,438.0,,1.0,5.8,29.9,,19.0,0.6
72,Puli,2024-05-31 05:00,27,Good,439.0,,1.5,2.3,5.1,,6.0,0.8
71,Fuxing,2024-05-31 05:00,18,Good,440.0,,1.1,5.2,15.4,,2.0,3.9
70,Yonghe,2024-05-31 05:00,41,Good,441.0,,1.7,5.3,6.0,,15.0,0.7
69,Zhushan,2024-05-31 05:00,27,Good,442.0,,1.2,4.1,2.8,,10.0,0.7
68,Zhongli,2024-05-31 05:00,56,Moderate,443.0,,8.2,15.3,5.3,,17.0,1.2
67,Sanchong,2024-05-31 05:00,36,Good,444.0,,3.4,9.9,4.6,,9.0,0.3
66,Dongshan,2024-05-31 05:00,24,Good,445.0,,2.3,6.2,2.5,,8.0,0.3
65,Yilan,2024-05-31 05:00,16,Good,446.0,,0.4,3.1,7.7,,1.0,1.3
64,Yangming,2024-05-31 05:00,28,Good,447.0,,0.7,1.4,27.4,,4.0,0.7
63,Hualien,2024-05-31 05:00,19,Good,448.0,,1.2,2.9,4.2,,4.0,0.2
62,Taitung,2024-05-31 05:00,18,Good,449.0,,1.4,1.8,7.3,,5.0,0.6
61,Hengchun,2024-05-31 05:00,25,Good,450.0,,0.6,0.5,26.0,,6.0,0.2
60,Chaozhou,2024-05-31 05:00,17,Good,451.0,,1.6,1.3,16.1,,0.0,0.5
59,Pingtung,2024-05-31 05:00,18,Good,452.0,,0.5,4.2,12.7,,1.0,0.5
58,Xiaogang,2024-05-31 05:00,23,Good,453.0,,0.7,10.5,10.5,,7.0,3.3
57,Qianzhen,2024-05-31 05:00,17,Good,454.0,,0.4,6.2,16.0,,3.0,6.1
56,Qianjin,2024-05-31 05:00,17,Good,455.0,,0.4,5.2,16.5,,1.0,0.9
54,Zuoying,2024-05-31 05:00,20,Good,456.0,,0.4,4.7,17.8,,5.0,1.1
53,Nanzi,2024-05-31 05:00,20,Good,457.0,,1.1,12.2,9.6,,3.0,0.5
52,Linyuan,2024-05-31 05:00,21,Good,458.0,,0.0,2.4,12.7,,3.0,0.9
51,Daliao,2024-05-31 05:00,18,Good,459.0,,0.6,8.4,7.2,,6.0,0.3
50,Fengshan,2024-05-31 05:00,19,Good,460.0,,0.1,4.3,13.9,,1.0,0.6
49,Renwu,2024-05-31 05:00,21,Good,461.0,,0.1,2.9,20.1,,3.0,1.0
48,Qiaotou,2024-05-31 05:00,17,Good,462.0,,0.7,4.1,16.5,,0.0,0.3
47,Meinong,2024-05-31 05:00,16,Good,463.0,,0.8,1.0,16.2,,0.0,0.0
46,Tainan,2024-05-31 05:00,26,Good,464.0,,1.0,4.4,20.1,,9.0,0.5
45,Annan,2024-05-31 05:00,24,Good,465.0,,0.6,3.4,19.9,,7.0,0.1
44,Shanhua,2024-05-31 05:00,19,Good,466.0,,0.7,1.5,20.9,,4.0,0.8
43,Xinying,2024-05-31 05:00,19,Good,467.0,,1.0,2.3,22.5,,0.0,0.9
42,Chiayi,2024-05-31 05:00,18,Good,468.0,,0.5,0.8,22.3,,0.0,0.9
41,Taixi,2024-05-31 05:00,18,Good,469.0,,0.5,2.0,20.9,,0.0,1.1
40,Puzi,2024-05-31 05:00,16,Good,470.0,,1.2,3.0,18.4,,,1.0
39,Xingang,2024-05-31 05:00,20,Good,471.0,,0.7,3.9,22.5,,5.0,1.3
38,Lunbei,2024-05-31 05:00,20,Good,472.0,,1.4,5.5,18.2,,6.0,1.4
37,Douliu,2024-05-31 05:00,23,Good,473.0,,0.7,3.8,9.4,,4.0,0.7
36,Nantou,2024-05-31 05:00,28,Good,474.0,,0.6,5.7,1.7,,1.0,0.3
35,Erlin,2024-05-31 05:00,41,Good,475.0,,0.3,5.3,12.6,,10.0,1.1
34,Xianxi,2024-05-31 05:00,26,Good,476.0,,2.0,5.9,12.5,,4.0,0.4
33,Changhua,2024-05-31 05:00,18,Good,477.0,,0.6,7.4,8.0,,5.0,0.8
32,Xitun,2024-05-31 05:00,24,Good,478.0,,1.5,8.7,4.7,,7.0,0.8
31,Zhongming,2024-05-31 05:00,23,Good,479.0,,0.7,3.9,10.2,,5.0,1.5
30,Dali,2024-05-31 05:00,21,Good,480.0,,0.2,4.8,7.3,,6.0,0.8
29,Shalu,2024-05-31 05:00,22,Good,481.0,,1.1,6.5,12.6,,6.0,0.7
28,Fengyuan,2024-05-31 05:00,18,Good,482.0,,1.0,4.4,12.8,,3.0,0.8
27,Sanyi,2024-05-31 05:00,21,Good,483.0,,1.0,0.8,17.4,,5.0,0.6
26,Miaoli,2024-05-31 05:00,38,Good,484.0,,2.5,9.1,2.9,,10.0,0.8
25,Toufen,2024-05-31 05:00,34,Good,485.0,,2.0,8.5,3.0,,11.0,0.8
24,Hsinchu,2024-05-31 05:00,33,Good,486.0,,1.2,10.8,3.1,,13.0,0.7
23,Zhudong,2024-05-31 05:00,52,Moderate,487.0,,0.8,4.9,6.5,,18.0,1.2
22,Hukou,2024-05-31 05:00,50,Good,488.0,,2.2,13.0,9.3,,15.0,0.5
21,Longtan,2024-05-31 05:00,54,Moderate,489.0,,2.0,10.7,4.1,,11.0,0.4
20,Pingzhen,2024-05-31 05:00,53,Moderate,490.0,,1.6,19.8,3.1,,20.0,0.5
19,Guanyin,2024-05-31 05:00,44,Good,491.0,,2.0,13.1,9.3,,15.0,0.3
18,Dayuan,2024-05-31 05:00,52,Moderate,492.0,,0.8,25.2,3.6,,17.0,1.3
17,Taoyuan,2024-05-31 05:00,57,Moderate,493.0,,6.1,20.9,0.0,,22.0,3.3
16,Datong,2024-05-31 05:00,38,Good,494.0,,5.4,8.4,5.0,,10.0,1.1
15,Songshan,2024-05-31 05:00,41,Good,495.0,,1.3,8.9,7.0,,11.0,
14,Guting,2024-05-31 05:00,23,Good,496.0,,1.0,4.0,5.9,,7.0,2.1
13,Wanhua,2024-05-31 05:00,28,Good,497.0,,1.1,5.8,7.2,,6.0,0.1
12,Zhongshan,2024-05-31 05:00,26,Good,498.0,,1.0,5.9,6.8,,5.0,0.1
11,Shilin,2024-05-31 05:00,42,Good,499.0,,0.5,10.0,5.4,,11.0,0.6
10,Tamsui,2024-05-31 05:00,38,Good,500.0,,1.2,17.7,3.8,,11.0,1.6
9,Linkou,2024-05-31 05:00,36,Good,501.0,,2.5,18.3,13.0,,11.0,0.8
8,Cailiao,2024-05-31 05:00,32,Good,502.0,,2.0,13.1,2.1,,8.0,0.7
7,Xinzhuang,2024-05-31 05:00,55,Moderate,503.0,,0.4,16.2,3.9,,20.0,1.5
6,Banqiao,2024-05-31 05:00,41,Good,504.0,,2.5,16.5,2.6,,15.0,0.7
5,Tucheng,2024-05-31 05:00,56,Moderate,505.0,,6.5,13.2,1.2,,19.0,0.0
4,Xindian,2024-05-31 05:00,35,Good,506.0,,1.0,3.2,7.3,,9.0,1.2
3,Wanli,2024-05-31 05:00,22,Good,507.0,,1.1,6.1,3.9,,5.0,0.3
2,Xizhi,2024-05-31 05:00,46,Good,508.0,,6.2,13.7,1.7,,16.0,0.7
1,Keelung,2024-05-31 05:00,24,Good,509.0,,2.5,10.9,1.5,,7.0,0.4
313,Pingtung（fangshan）,2024-05-31 04:00,22,Good,510.0,,0.2,1.8,17.5,,0.0,0.0
