siteid,sitename,datacreationdate,aqi,status,index,co,no,no2,o3,pm10,pm2.5,so2
30,Dali,2024-05-31 02:00,36,Good,55.0,0.18,0.0,5.0,10.1,18.0,7.0,1.1
29,Shalu,2024-05-31 02:00,28,Good,56.0,0.18,1.0,9.3,15.6,15.0,5.0,0.9
28,Fengyuan,2024-05-31 02:00,22,Good,57.0,0.15,0.6,4.2,19.3,15.0,3.0,0.9
27,Sanyi,2024-05-31 02:00,26,Good,58.0,0.15,0.7,2.9,18.0,15.0,6.0,0.6
26,Miaoli,2024-05-31 02:00,46,Good,59.0,0.23,1.8,10.8,5.2,19.0,16.0,0.9
25,Toufen,2024-05-31 02:00,38,Good,60.0,0.22,1.1,5.9,9.4,23.0,11.0,0.6
24,Hsinchu,2024-05-31 02:00,34,Good,61.0,0.28,0.9,12.7,18.9,22.0,11.0,0.6
23,Zhudong,2024-05-31 02:00,54,Moderate,62.0,0.24,0.8,4.5,8.3,29.0,16.0,0.7
22,Hukou,2024-05-31 02:00,49,Good,63.0,0.3,3.1,16.8,12.0,24.0,14.0,0.2
21,Longtan,2024-05-31 02:00,59,Moderate,64.0,0.41,9.1,22.4,0.1,33.0,20.0,0.3
20,Pingzhen,2024-05-31 02:00,41,Good,65.0,0.37,0.3,20.6,15.5,38.0,16.0,1.0
19,Guanyin,2024-05-31 02:00,31,Good,66.0,0.22,1.9,7.6,18.4,26.0,11.0,0.8
18,Dayuan,2024-05-31 02:00,46,Good,67.0,0.3,0.0,10.1,16.2,27.0,21.0,1.2
17,Taoyuan,2024-05-31 02:00,45,Good,68.0,0.4,0.6,18.2,14.4,22.0,18.0,2.2
16,Datong,2024-05-31 02:00,40,Good,69.0,0.67,12.0,18.1,2.3,29.0,14.0,1.0
15,Songshan,2024-05-31 02:00,46,Good,70.0,0.33,0.9,12.0,9.7,18.0,15.0,0.3
14,Guting,2024-05-31 02:00,25,Good,71.0,0.22,1.1,4.8,8.6,13.0,5.0,2.6
13,Wanhua,2024-05-31 02:00,35,Good,72.0,0.34,2.6,12.8,6.6,21.0,9.0,0.2
12,Zhongshan,2024-05-31 02:00,34,Good,73.0,0.34,0.9,11.0,6.6,19.0,11.0,0.4
11,Shilin,2024-05-31 02:00,39,Good,74.0,0.33,0.4,14.5,8.9,22.0,15.0,1.0
10,Tamsui,2024-05-31 02:00,36,Good,75.0,0.34,0.7,15.8,8.7,27.0,11.0,1.4
9,Linkou,2024-05-31 02:00,31,Good,76.0,0.33,0.2,11.3,14.3,26.0,12.0,2.0
8,Cailiao,2024-05-31 02:00,36,Good,77.0,0.52,1.4,17.9,2.1,15.0,12.0,1.0
7,Xinzhuang,2024-05-31 02:00,50,Good,78.0,0.45,0.9,17.1,8.8,24.0,15.0,1.2
6,Banqiao,2024-05-31 02:00,42,Good,79.0,0.5,1.5,20.9,2.8,26.0,14.0,0.6
5,Tucheng,2024-05-31 02:00,57,Moderate,80.0,0.46,4.0,18.6,1.9,23.0,16.0,0.3
4,Xindian,2024-05-31 02:00,35,Good,81.0,0.21,1.3,3.9,9.9,21.0,9.0,1.1
3,Wanli,2024-05-31 02:00,26,Good,82.0,0.34,0.8,10.9,6.3,21.0,6.0,0.4
2,Xizhi,2024-05-31 02:00,43,Good,83.0,0.49,13.2,16.0,0.6,19.0,11.0,1.2
1,Keelung,2024-05-31 02:00,22,Good,84.0,0.39,2.2,13.6,1.8,21.0,4.0,0.6
313,Pingtung（fangshan）,2024-05-31 01:00,26,Good,85.0,0.08,0.0,1.8,29.2,13.0,2.0,0.0
312,Taichung（Rilana Elementary）,2024-05-31 01:00,28,Good,86.0,0.03,2.1,8.8,19.7,12.0,6.0,0.3
311,New Taipei(Shulin),2024-05-31 01:00,51,Moderate,87.0,0.28,0.6,7.9,8.8,27.0,12.0,0.8
204,Pingtung（Liuqiu）,2024-05-31 01:00,26,Good,88.0,0.06,1.2,0.9,24.2,7.0,5.0,0.6
203,Tainan（Madou）,2024-05-31 01:00,19,Good,89.0,0.13,0.9,4.6,18.2,17.0,4.0,0.5
202,Kaohsiung（Hunei）,2024-05-31 01:00,15,Good,90.0,0.17,1.1,8.3,15.6,10.0,4.0,1.1
201,Changhua（Yuanlin）,2024-05-31 01:00,44,Good,91.0,0.22,0.5,7.9,14.4,20.0,12.0,1.6
85,Dacheng,2024-05-31 01:00,20,Good,92.0,0.13,0.1,6.0,12.3,15.0,5.0,0.9
84,FugueiCape,2024-05-31 01:00,30,Good,93.0,0.16,0.1,5.4,28.8,23.0,5.0,0.5
83,Mailiao,2024-05-31 01:00,22,Good,94.0,0.16,0.3,6.1,17.0,15.0,5.0,1.5
80,Guanshan,2024-05-31 01:00,18,Good,95.0,0.11,0.2,1.7,6.0,35.0,2.0,0.4
78,Magong,2024-05-31 01:00,27,Good,96.0,0.1,1.0,2.6,29.7,4.0,1.0,1.0
77,Kinmen,2024-05-31 01:00,76,Moderate,97.0,0.33,1.6,25.9,2.8,35.0,30.0,1.6
75,Matsu,2024-05-31 01:00,39,Good,98.0,0.2,0.8,14.9,28.6,18.0,12.0,1.3
72,Puli,2024-05-31 01:00,35,Good,99.0,0.19,1.4,3.8,8.9,22.0,10.0,0.9
71,Fuxing,2024-05-31 01:00,20,Good,100.0,0.37,1.8,12.2,14.3,8.0,5.0,1.4
70,Yonghe,2024-05-31 01:00,59,Moderate,101.0,0.37,1.7,10.1,6.5,8.0,16.0,0.9
69,Zhushan,2024-05-31 01:00,30,Good,102.0,0.12,0.6,4.3,5.1,31.0,5.0,0.8
68,Zhongli,2024-05-31 01:00,46,Good,103.0,0.61,4.5,22.9,12.4,34.0,13.0,1.7
67,Sanchong,2024-05-31 01:00,50,Good,104.0,0.86,25.4,30.3,2.6,22.0,16.0,1.1
66,Dongshan,2024-05-31 01:00,24,Good,105.0,0.31,0.6,3.7,8.9,21.0,12.0,0.6
65,Yilan,2024-05-31 01:00,23,Good,106.0,0.17,0.4,2.7,8.0,12.0,9.0,0.4
64,Yangming,2024-05-31 01:00,25,Good,107.0,0.16,0.5,2.3,29.9,17.0,11.0,0.7
63,Hualien,2024-05-31 01:00,25,Good,108.0,0.17,0.2,1.7,15.4,16.0,7.0,0.3
62,Taitung,2024-05-31 01:00,19,Good,109.0,0.12,1.6,1.9,9.7,23.0,1.0,0.0
61,Hengchun,2024-05-31 01:00,27,Good,110.0,0.1,0.5,0.8,27.6,9.0,1.0,0.3
60,Chaozhou,2024-05-31 01:00,19,Good,111.0,0.06,0.2,0.7,22.3,10.0,0.0,0.5
59,Pingtung,2024-05-31 01:00,21,Good,112.0,0.1,0.4,2.5,24.8,8.0,4.0,0.4
58,Xiaogang,2024-05-31 01:00,40,Good,113.0,0.64,4.8,20.1,13.3,23.0,24.0,16.6
57,Qianzhen,2024-05-31 01:00,18,Good,114.0,0.29,1.3,11.4,14.9,14.0,3.0,1.7
56,Qianjin,2024-05-31 01:00,19,Good,115.0,0.16,0.0,9.5,17.8,13.0,2.0,1.0
54,Zuoying,2024-05-31 01:00,31,Good,116.0,0.18,0.0,7.7,17.7,3.0,8.0,1.6
53,Nanzi,2024-05-31 01:00,19,Good,117.0,0.22,0.6,11.2,17.4,7.0,4.0,1.1
52,Linyuan,2024-05-31 01:00,29,Good,118.0,0.1,0.7,0.8,26.9,14.0,0.0,0.6
51,Daliao,2024-05-31 01:00,24,Good,119.0,0.09,0.2,1.8,23.5,11.0,4.0,0.3
50,Fengshan,2024-05-31 01:00,21,Good,120.0,0.19,0.6,5.1,21.4,8.0,3.0,0.7
49,Renwu,2024-05-31 01:00,24,Good,121.0,0.2,0.8,7.1,22.9,6.0,5.0,3.3
48,Qiaotou,2024-05-31 01:00,19,Good,122.0,0.3,0.3,9.9,16.5,7.0,6.0,1.7
47,Meinong,2024-05-31 01:00,19,Good,123.0,0.12,1.2,2.3,19.2,14.0,4.0,0.5
46,Tainan,2024-05-31 01:00,28,Good,124.0,0.19,0.5,11.3,15.5,16.0,7.0,2.3
45,Annan,2024-05-31 01:00,26,Good,125.0,0.24,1.7,11.6,16.7,11.0,6.0,2.4
44,Shanhua,2024-05-31 01:00,27,Good,126.0,0.1,1.2,2.8,17.9,13.0,9.0,0.2
43,Xinying,2024-05-31 01:00,22,Good,127.0,0.12,0.4,3.1,20.6,13.0,2.0,0.0
42,Chiayi,2024-05-31 01:00,22,Good,128.0,0.14,1.2,5.7,13.8,18.0,4.0,1.3
41,Taixi,2024-05-31 01:00,21,Good,129.0,0.15,0.9,4.9,18.4,17.0,3.0,1.6
40,Puzi,2024-05-31 01:00,19,Good,130.0,0.16,1.3,5.9,16.4,21.0,,1.4
39,Xingang,2024-05-31 01:00,27,Good,131.0,0.12,1.5,3.5,19.5,18.0,7.0,0.2
38,Lunbei,2024-05-31 01:00,26,Good,132.0,0.17,1.5,2.7,13.8,16.0,4.0,0.8
37,Douliu,2024-05-31 01:00,25,Good,133.0,0.13,1.1,2.7,9.4,23.0,5.0,0.9
36,Nantou,2024-05-31 01:00,26,Good,134.0,0.15,0.8,5.5,5.3,32.0,5.0,0.2
35,Erlin,2024-05-31 01:00,47,Good,135.0,0.16,0.8,8.3,8.8,29.0,10.0,0.4
34,Xianxi,2024-05-31 01:00,35,Good,136.0,0.18,1.2,4.1,14.4,31.0,5.0,0.4
33,Changhua,2024-05-31 01:00,33,Good,137.0,0.19,1.6,8.7,15.9,20.0,6.0,0.9
32,Xitun,2024-05-31 01:00,34,Good,138.0,0.2,1.2,9.8,7.7,29.0,10.0,0.8
31,Zhongming,2024-05-31 01:00,27,Good,139.0,0.22,1.0,6.6,11.8,21.0,6.0,0.7
30,Dali,2024-05-31 01:00,39,Good,140.0,0.23,0.6,7.0,8.4,20.0,9.0,1.2
29,Shalu,2024-05-31 01:00,33,Good,141.0,0.23,0.0,8.5,16.6,16.0,8.0,0.9
28,Fengyuan,2024-05-31 01:00,24,Good,142.0,0.19,0.8,4.9,18.3,23.0,6.0,0.0
27,Sanyi,2024-05-31 01:00,29,Good,143.0,0.17,0.9,2.1,17.6,18.0,6.0,0.5
26,Miaoli,2024-05-31 01:00,44,Good,144.0,0.25,1.5,13.0,7.9,22.0,13.0,1.2
25,Toufen,2024-05-31 01:00,40,Good,145.0,0.26,1.4,8.6,11.7,25.0,12.0,1.3
24,Hsinchu,2024-05-31 01:00,33,Good,146.0,0.28,0.9,10.8,25.6,25.0,12.0,2.0
23,Zhudong,2024-05-31 01:00,53,Moderate,147.0,0.25,0.5,5.5,7.7,37.0,19.0,0.2
22,Hukou,2024-05-31 01:00,50,Good,148.0,0.24,0.6,7.8,21.5,23.0,13.0,0.5
21,Longtan,2024-05-31 01:00,57,Moderate,149.0,0.43,5.1,24.2,0.5,44.0,21.0,0.9
20,Pingzhen,2024-05-31 01:00,40,Good,150.0,0.31,0.0,24.2,14.4,46.0,12.0,0.8
19,Guanyin,2024-05-31 01:00,30,Good,151.0,0.14,0.2,4.9,31.9,18.0,7.0,0.8
18,Dayuan,2024-05-31 01:00,41,Good,152.0,0.33,1.2,11.2,22.6,25.0,11.0,1.4
