siteid,sitename,datacreationdate,aqi,status,pm2.5,o3,no2,co,pm10,no,so2
203,Tainan（Madou）,2024-05-30 20:00,29,Good,10.0,,,,,,
202,Kaohsiung（Hunei）,2024-05-30 20:00,21,Good,4.0,,,,,,
201,Changhua（Yuanlin）,2024-05-30 20:00,42,Good,10.0,,,,,,
85,Dacheng,2024-05-30 20:00,46,Good,5.0,,,,,,
84,FugueiCape,2024-05-30 20:00,41,Good,8.0,,,,,,
83,Mailiao,2024-05-30 20:00,41,Good,7.0,,,,,,
80,Guanshan,2024-05-30 20:00,26,Good,2.0,,,,,,
78,Magong,2024-05-30 20:00,37,Good,4.0,,,,,,
77,Kinmen,2024-05-30 20:00,80,Moderate,29.0,,,,,,
75,Matsu,2024-05-30 20:00,46,Good,15.0,,,,,,
72,Puli,2024-05-30 20:00,43,Good,9.0,,,,,,
71,Fuxing,2024-05-30 20:00,21,Good,7.0,,,,,,
70,Yonghe,2024-05-30 20:00,45,Good,15.0,,,,,,
69,Zhushan,2024-05-30 20:00,40,Good,7.0,,,,,,
68,Zhongli,2024-05-30 20:00,52,Moderate,21.0,,,,,,
67,Sanchong,2024-05-30 20:00,62,Moderate,12.0,,,,,,
66,Dongshan,2024-05-30 20:00,36,Good,6.0,,,,,,
65,Yilan,2024-05-30 20:00,41,Good,6.0,,,,,,
64,Yangming,2024-05-30 20:00,25,Good,8.0,,,,,,
63,Hualien,2024-05-30 20:00,31,Good,8.0,,,,,,
62,Taitung,2024-05-30 20:00,27,Good,1.0,,,,,,
61,Hengchun,2024-05-30 20:00,31,Good,3.0,,,,,,
60,Chaozhou,2024-05-30 20:00,28,Good,6.0,,,,,,
59,Pingtung,2024-05-30 20:00,27,Good,8.0,,,,,,
58,Xiaogang,2024-05-30 20:00,25,Good,7.0,,,,,,
57,Qianzhen,2024-05-30 20:00,25,Good,6.0,,,,,,
56,Qianjin,2024-05-30 20:00,21,Good,4.0,,,,,,
54,Zuoying,2024-05-30 20:00,29,Good,10.0,,,,,,
53,Nanzi,2024-05-30 20:00,25,Good,10.0,,,,,,
52,Linyuan,2024-05-30 20:00,31,Good,5.0,,,,,,
51,Daliao,2024-05-30 20:00,27,Good,7.0,,,,,,
50,Fengshan,2024-05-30 20:00,24,Good,7.0,,,,,,
49,Renwu,2024-05-30 20:00,28,Good,7.0,,,,,,
48,Qiaotou,2024-05-30 20:00,23,Good,5.0,,,,,,
47,Meinong,2024-05-30 20:00,30,Good,8.0,,,,,,
46,Tainan,2024-05-30 20:00,31,Good,6.0,,,,,,
45,Annan,2024-05-30 20:00,33,Good,10.0,,,,,,
44,Shanhua,2024-05-30 20:00,29,Good,5.0,,,,,,
43,Xinying,2024-05-30 20:00,33,Good,1.0,,,,,,
42,Chiayi,2024-05-30 20:00,38,Good,5.0,,,,,,
41,Taixi,2024-05-30 20:00,43,Good,6.0,,,,,,
40,Puzi,2024-05-30 20:00,30,Good,,,,,,,
39,Xingang,2024-05-30 20:00,38,Good,9.0,,,,,,
38,Lunbei,2024-05-30 20:00,37,Good,11.0,,,,,,
37,Douliu,2024-05-30 20:00,38,Good,7.0,,,,,,
36,Nantou,2024-05-30 20:00,41,Good,7.0,,,,,,
35,Erlin,2024-05-30 20:00,53,Moderate,23.0,,,,,,
34,Xianxi,2024-05-30 20:00,46,Good,11.0,,,,,,
33,Changhua,2024-05-30 20:00,54,Moderate,12.0,,,,,,
32,Xitun,2024-05-30 20:00,51,Moderate,7.0,,,,,,
31,Zhongming,2024-05-30 20:00,35,Good,8.0,,,,,,
30,Dali,2024-05-30 20:00,47,Good,9.0,,,,,,
29,Shalu,2024-05-30 20:00,49,Good,11.0,,,,,,
28,Fengyuan,2024-05-30 20:00,54,Moderate,8.0,,,,,,
27,Sanyi,2024-05-30 20:00,48,Good,13.0,,,,,,
26,Miaoli,2024-05-30 20:00,50,Good,11.0,,,,,,
25,Toufen,2024-05-30 20:00,46,Good,11.0,,,,,,
24,Hsinchu,2024-05-30 20:00,44,Good,8.0,,,,,,
23,Zhudong,2024-05-30 20:00,54,Moderate,18.0,,,,,,
22,Hukou,2024-05-30 20:00,55,Moderate,18.0,,,,,,
21,Longtan,2024-05-30 20:00,52,Moderate,21.0,,,,,,
20,Pingzhen,2024-05-30 20:00,43,Good,16.0,,,,,,
19,Guanyin,2024-05-30 20:00,35,Good,7.0,,,,,,
18,Dayuan,2024-05-30 20:00,34,Good,17.0,,,,,,
17,Taoyuan,2024-05-30 20:00,40,Good,13.0,,,,,,
16,Datong,2024-05-30 20:00,51,Moderate,12.0,,,,,,
15,Songshan,2024-05-30 20:00,42,Good,12.0,,,,,,
14,Guting,2024-05-30 20:00,35,Good,11.0,,,,,,
13,Wanhua,2024-05-30 20:00,47,Good,10.0,,,,,,
12,Zhongshan,2024-05-30 20:00,51,Moderate,13.0,,,,,,
11,Shilin,2024-05-30 20:00,38,Good,11.0,,,,,,
10,Tamsui,2024-05-30 20:00,45,Good,11.0,,,,,,
9,Linkou,2024-05-30 20:00,38,Good,11.0,,,,,,
8,Cailiao,2024-05-30 20:00,35,Good,7.0,,,,,,
7,Xinzhuang,2024-05-30 20:00,38,Good,11.0,,,,,,
6,Banqiao,2024-05-30 20:00,42,Good,8.0,,,,,,
5,Tucheng,2024-05-30 20:00,55,Moderate,21.0,,,,,,
4,Xindian,2024-05-30 20:00,38,Good,10.0,,,,,,
3,Wanli,2024-05-30 20:00,35,Good,5.0,,,,,,
2,Xizhi,2024-05-30 20:00,51,Moderate,16.0,,,,,,
1,Keelung,2024-05-30 20:00,28,Good,8.0,,,,,,
313,Pingtung（fangshan）,2024-05-30 19:00,33,Good,2.0,,,,,,
312,Taichung（Rilana Elementary）,2024-05-30 19:00,48,Good,8.0,,,,,,
311,New Taipei(Shulin),2024-05-30 19:00,52,Moderate,13.0,,,,,,
204,Pingtung（Liuqiu）,2024-05-30 19:00,28,Good,8.0,,,,,,
203,Tainan（Madou）,2024-05-30 19:00,31,Good,7.0,,,,,,
202,Kaohsiung（Hunei）,2024-05-30 19:00,23,Good,2.0,,,,,,
201,Changhua（Yuanlin）,2024-05-30 19:00,46,Good,10.0,,,,,,
85,Dacheng,2024-05-30 19:00,51,Moderate,5.0,,,,,,
84,FugueiCape,2024-05-30 19:00,43,Good,8.0,,,,,,
83,Mailiao,2024-05-30 19:00,45,Good,3.0,,,,,,
80,Guanshan,2024-05-30 19:00,28,Good,5.0,,,,,,
78,Magong,2024-05-30 19:00,40,Good,7.0,,,,,,
77,Kinmen,2024-05-30 19:00,77,Moderate,32.0,,,,,,
75,Matsu,2024-05-30 19:00,47,Good,11.0,,,,,,
72,Puli,2024-05-30 19:00,47,Good,12.0,,,,,,
71,Fuxing,2024-05-30 19:00,25,Good,6.0,,,,,,
70,Yonghe,2024-05-30 19:00,35,Good,12.0,,,,,,
69,Zhushan,2024-05-30 19:00,45,Good,7.0,,,,,,
68,Zhongli,2024-05-30 19:00,52,Moderate,15.0,,,,,,
67,Sanchong,2024-05-30 19:00,60,Moderate,11.0,,,,,,
66,Dongshan,2024-05-30 19:00,38,Good,7.0,,,,,,
65,Yilan,2024-05-30 19:00,43,Good,5.0,,,,,,
64,Yangming,2024-05-30 19:00,28,Good,6.0,,,,,,
63,Hualien,2024-05-30 19:00,32,Good,9.0,,,,,,
62,Taitung,2024-05-30 19:00,29,Good,0.0,,,,,,
61,Hengchun,2024-05-30 19:00,31,Good,2.0,,,,,,
60,Chaozhou,2024-05-30 19:00,29,Good,2.0,,,,,,
59,Pingtung,2024-05-30 19:00,27,Good,4.0,,,,,,
58,Xiaogang,2024-05-30 19:00,29,Good,7.0,,,,,,
57,Qianzhen,2024-05-30 19:00,32,Good,2.0,,,,,,
56,Qianjin,2024-05-30 19:00,22,Good,2.0,,,,,,
54,Zuoying,2024-05-30 19:00,30,Good,10.0,,,,,,
53,Nanzi,2024-05-30 19:00,24,Good,10.0,,,,,,
52,Linyuan,2024-05-30 19:00,31,Good,7.0,,,,,,
51,Daliao,2024-05-30 19:00,27,Good,7.0,,,,,,
50,Fengshan,2024-05-30 19:00,25,Good,11.0,,,,,,
49,Renwu,2024-05-30 19:00,28,Good,6.0,,,,,,
48,Qiaotou,2024-05-30 19:00,24,Good,3.0,,,,,,
47,Meinong,2024-05-30 19:00,31,Good,4.0,,,,,,
46,Tainan,2024-05-30 19:00,34,Good,11.0,,,,,,
45,Annan,2024-05-30 19:00,34,Good,11.0,,,,,,
44,Shanhua,2024-05-30 19:00,31,Good,8.0,,,,,,
43,Xinying,2024-05-30 19:00,39,Good,4.0,,,,,,
42,Chiayi,2024-05-30 19:00,43,Good,4.0,,,,,,
41,Taixi,2024-05-30 19:00,47,Good,4.0,,,,,,
40,Puzi,2024-05-30 19:00,34,Good,,,,,,,
39,Xingang,2024-05-30 19:00,43,Good,12.0,,,,,,
38,Lunbei,2024-05-30 19:00,41,Good,10.0,,,,,,
37,Douliu,2024-05-30 19:00,43,Good,4.0,,,,,,
36,Nantou,2024-05-30 19:00,45,Good,7.0,,,,,,
35,Erlin,2024-05-30 19:00,51,Moderate,15.0,,,,,,
34,Xianxi,2024-05-30 19:00,50,Good,11.0,,,,,,
33,Changhua,2024-05-30 19:00,67,Moderate,12.0,,,,,,
32,Xitun,2024-05-30 19:00,64,Moderate,9.0,,,,,,
31,Zhongming,2024-05-30 19:00,37,Good,9.0,,,,,,
30,Dali,2024-05-30 19:00,58,Moderate,8.0,,,,,,
29,Shalu,2024-05-30 19:00,58,Moderate,11.0,,,,,,
28,Fengyuan,2024-05-30 19:00,71,Moderate,11.0,,,,,,
27,Sanyi,2024-05-30 19:00,51,Moderate,10.0,,,,,,
26,Miaoli,2024-05-30 19:00,67,Moderate,13.0,,,,,,
25,Toufen,2024-05-30 19:00,50,Good,10.0,,,,,,
24,Hsinchu,2024-05-30 19:00,47,Good,10.0,,,,,,
23,Zhudong,2024-05-30 19:00,58,Moderate,17.0,,,,,,
22,Hukou,2024-05-30 19:00,54,Moderate,20.0,,,,,,
21,Longtan,2024-05-30 19:00,49,Good,19.0,,,,,,
20,Pingzhen,2024-05-30 19:00,38,Good,13.0,,,,,,
19,Guanyin,2024-05-30 19:00,51,Moderate,12.0,,,,,,
18,Dayuan,2024-05-30 19:00,36,Good,15.0,,,,,,
17,Taoyuan,2024-05-30 19:00,52,Moderate,14.0,,,,,,
16,Datong,2024-05-30 19:00,48,Good,10.0,,,,,,
15,Songshan,2024-05-30 19:00,36,Good,12.0,,,,,,
14,Guting,2024-05-30 19:00,38,Good,7.0,,,,,,
13,Wanhua,2024-05-30 19:00,42,Good,11.0,,,,,,
12,Zhongshan,2024-05-30 19:00,52,Moderate,8.0,,,,,,
11,Shilin,2024-05-30 19:00,35,Good,11.0,,,,,,
10,Tamsui,2024-05-30 19:00,42,Good,11.0,,,,,,
9,Linkou,2024-05-30 19:00,40,Good,4.0,,,,,,
8,Cailiao,2024-05-30 19:00,38,Good,8.0,,,,,,
7,Xinzhuang,2024-05-30 19:00,40,Good,11.0,,,,,,
6,Banqiao,2024-05-30 19:00,41,Good,8.0,,,,,,
5,Tucheng,2024-05-30 19:00,51,Moderate,18.0,,,,,,
4,Xindian,2024-05-30 19:00,42,Good,6.0,,,,,,
3,Wanli,2024-05-30 19:00,39,Good,5.0,,,,,,
2,Xizhi,2024-05-30 19:00,52,Moderate,14.0,,,,,,
1,Keelung,2024-05-30 19:00,27,Good,4.0,,,,,,
313,Pingtung（fangshan）,2024-05-30 18:00,33,Good,0.0,,,,,,
312,Taichung（Rilana Elementary）,2024-05-30 18:00,50,Good,10.0,,,,,,
311,New Taipei(Shulin),2024-05-30 18:00,49,Good,19.0,,,,,,
204,Pingtung（Liuqiu）,2024-05-30 18:00,27,Good,7.0,,,,,,
203,Tainan（Madou）,2024-05-30 18:00,32,Good,8.0,,,,,,
202,Kaohsiung（Hunei）,2024-05-30 18:00,26,Good,6.0,,,,,,
201,Changhua（Yuanlin）,2024-05-30 18:00,52,Moderate,10.0,,,,,,
85,Dacheng,2024-05-30 18:00,64,Moderate,4.0,,,,,,
84,FugueiCape,2024-05-30 18:00,44,Good,12.0,,,,,,
83,Mailiao,2024-05-30 18:00,49,Good,8.0,,,,,,
80,Guanshan,2024-05-30 18:00,30,Good,5.0,,,,,,
78,Magong,2024-05-30 18:00,42,Good,8.0,,,,,,
77,Kinmen,2024-05-30 18:00,72,Moderate,29.0,,,,,,
75,Matsu,2024-05-30 18:00,47,Good,12.0,,,,,,
72,Puli,2024-05-30 18:00,50,Good,16.0,,,,,,
71,Fuxing,2024-05-30 18:00,23,Good,3.0,,,,,,
70,Yonghe,2024-05-30 18:00,43,Good,10.0,,,,,,
69,Zhushan,2024-05-30 18:00,53,Moderate,8.0,,,,,,
68,Zhongli,2024-05-30 18:00,55,Moderate,11.0,,,,,,
67,Sanchong,2024-05-30 18:00,56,Moderate,12.0,,,,,,
66,Dongshan,2024-05-30 18:00,39,Good,7.0,,,,,,
65,Yilan,2024-05-30 18:00,44,Good,6.0,,,,,,
64,Yangming,2024-05-30 18:00,29,Good,6.0,,,,,,
63,Hualien,2024-05-30 18:00,33,Good,11.0,,,,,,
62,Taitung,2024-05-30 18:00,31,Good,0.0,,,,,,
61,Hengchun,2024-05-30 18:00,31,Good,3.0,,,,,,
60,Chaozhou,2024-05-30 18:00,29,Good,4.0,,,,,,
59,Pingtung,2024-05-30 18:00,28,Good,3.0,,,,,,
58,Xiaogang,2024-05-30 18:00,31,Good,7.0,,,,,,
57,Qianzhen,2024-05-30 18:00,27,Good,2.0,,,,,,
56,Qianjin,2024-05-30 18:00,23,Good,1.0,,,,,,
54,Zuoying,2024-05-30 18:00,32,Good,7.0,,,,,,
53,Nanzi,2024-05-30 18:00,24,Good,7.0,,,,,,
52,Linyuan,2024-05-30 18:00,31,Good,3.0,,,,,,
51,Daliao,2024-05-30 18:00,27,Good,5.0,,,,,,
50,Fengshan,2024-05-30 18:00,26,Good,7.0,,,,,,
49,Renwu,2024-05-30 18:00,29,Good,4.0,,,,,,
48,Qiaotou,2024-05-30 18:00,26,Good,4.0,,,,,,
47,Meinong,2024-05-30 18:00,33,Good,2.0,,,,,,
46,Tainan,2024-05-30 18:00,36,Good,13.0,,,,,,
45,Annan,2024-05-30 18:00,37,Good,13.0,,,,,,
44,Shanhua,2024-05-30 18:00,35,Good,7.0,,,,,,
43,Xinying,2024-05-30 18:00,42,Good,5.0,,,,,,
42,Chiayi,2024-05-30 18:00,45,Good,4.0,,,,,,
41,Taixi,2024-05-30 18:00,50,Good,3.0,,,,,,
40,Puzi,2024-05-30 18:00,37,Good,,,,,,,
39,Xingang,2024-05-30 18:00,45,Good,8.0,,,,,,
38,Lunbei,2024-05-30 18:00,43,Good,5.0,,,,,,
37,Douliu,2024-05-30 18:00,46,Good,4.0,,,,,,
36,Nantou,2024-05-30 18:00,50,Good,6.0,,,,,,
35,Erlin,2024-05-30 18:00,61,Moderate,11.0,,,,,,
34,Xianxi,2024-05-30 18:00,54,Moderate,7.0,,,,,,
33,Changhua,2024-05-30 18:00,77,Moderate,10.0,,,,,,
32,Xitun,2024-05-30 18:00,71,Moderate,8.0,,,,,,
31,Zhongming,2024-05-30 18:00,43,Good,8.0,,,,,,
30,Dali,2024-05-30 18:00,71,Moderate,16.0,,,,,,
29,Shalu,2024-05-30 18:00,67,Moderate,10.0,,,,,,
28,Fengyuan,2024-05-30 18:00,80,Moderate,9.0,,,,,,
27,Sanyi,2024-05-30 18:00,58,Moderate,19.0,,,,,,
26,Miaoli,2024-05-30 18:00,74,Moderate,11.0,,,,,,
25,Toufen,2024-05-30 18:00,58,Moderate,8.0,,,,,,
24,Hsinchu,2024-05-30 18:00,51,Moderate,10.0,,,,,,
23,Zhudong,2024-05-30 18:00,64,Moderate,15.0,,,,,,
22,Hukou,2024-05-30 18:00,52,Moderate,17.0,,,,,,
21,Longtan,2024-05-30 18:00,46,Good,14.0,,,,,,
20,Pingzhen,2024-05-30 18:00,39,Good,13.0,,,,,,
19,Guanyin,2024-05-30 18:00,40,Good,10.0,,,,,,
18,Dayuan,2024-05-30 18:00,38,Good,10.0,,,,,,
17,Taoyuan,2024-05-30 18:00,42,Good,14.0,,,,,,
16,Datong,2024-05-30 18:00,40,Good,12.0,,,,,,
15,Songshan,2024-05-30 18:00,35,Good,11.0,,,,,,
14,Guting,2024-05-30 18:00,38,Good,9.0,,,,,,
13,Wanhua,2024-05-30 18:00,45,Good,10.0,,,,,,
12,Zhongshan,2024-05-30 18:00,38,Good,8.0,,,,,,
11,Shilin,2024-05-30 18:00,36,Good,8.0,,,,,,
10,Tamsui,2024-05-30 18:00,37,Good,9.0,,,,,,
9,Linkou,2024-05-30 18:00,41,Good,2.0,,,,,,
8,Cailiao,2024-05-30 18:00,39,Good,10.0,,,,,,
7,Xinzhuang,2024-05-30 18:00,42,Good,8.0,,,,,,
6,Banqiao,2024-05-30 18:00,43,Good,11.0,,,,,,
5,Tucheng,2024-05-30 18:00,51,Moderate,21.0,,,,,,
4,Xindian,2024-05-30 18:00,44,Good,11.0,,,,,,
3,Wanli,2024-05-30 18:00,45,Good,7.0,,,,,,
2,Xizhi,2024-05-30 18:00,48,Good,11.0,,,,,,
1,Keelung,2024-05-30 18:00,28,Good,6.0,,,,,,
313,Pingtung（fangshan）,2024-05-30 17:00,33,Good,0.0,,,,,,
312,Taichung（Rilana Elementary）,2024-05-30 17:00,50,Good,8.0,,,,,,
311,New Taipei(Shulin),2024-05-30 17:00,46,Good,17.0,,,,,,
204,Pingtung（Liuqiu）,2024-05-30 17:00,27,Good,5.0,,,,,,
203,Tainan（Madou）,2024-05-30 17:00,32,Good,7.0,,,,,,
202,Kaohsiung（Hunei）,2024-05-30 17:00,25,Good,7.0,,,,,,
201,Changhua（Yuanlin）,2024-05-30 17:00,57,Moderate,12.0,,,,,,
85,Dacheng,2024-05-30 17:00,67,Moderate,6.0,,,,,,
84,FugueiCape,2024-05-30 17:00,44,Good,8.0,,,,,,
83,Mailiao,2024-05-30 17:00,54,Moderate,11.0,,,,,,
80,Guanshan,2024-05-30 17:00,30,Good,1.0,,,,,,
78,Magong,2024-05-30 17:00,44,Good,5.0,,,,,,
77,Kinmen,2024-05-30 17:00,68,Moderate,33.0,,,,,,
75,Matsu,2024-05-30 17:00,45,Good,14.0,,,,,,
72,Puli,2024-05-30 17:00,49,Good,12.0,,,,,,
71,Fuxing,2024-05-30 17:00,23,Good,4.0,,,,,,
70,Yonghe,2024-05-30 17:00,36,Good,11.0,,,,,,
69,Zhushan,2024-05-30 17:00,58,Moderate,16.0,,,,,,
68,Zhongli,2024-05-30 17:00,55,Moderate,13.0,,,,,,
67,Sanchong,2024-05-30 17:00,55,Moderate,11.0,,,,,,
66,Dongshan,2024-05-30 17:00,38,Good,6.0,,,,,,
65,Yilan,2024-05-30 17:00,44,Good,5.0,,,,,,
64,Yangming,2024-05-30 17:00,28,Good,4.0,,,,,,
63,Hualien,2024-05-30 17:00,32,Good,7.0,,,,,,
62,Taitung,2024-05-30 17:00,32,Good,0.0,,,,,,
61,Hengchun,2024-05-30 17:00,31,Good,3.0,,,,,,
60,Chaozhou,2024-05-30 17:00,29,Good,3.0,,,,,,
59,Pingtung,2024-05-30 17:00,30,Good,3.0,,,,,,
58,Xiaogang,2024-05-30 17:00,32,Good,9.0,,,,,,
57,Qianzhen,2024-05-30 17:00,22,Good,4.0,,,,,,
56,Qianjin,2024-05-30 17:00,23,Good,4.0,,,,,,
54,Zuoying,2024-05-30 17:00,34,Good,9.0,,,,,,
53,Nanzi,2024-05-30 17:00,26,Good,3.0,,,,,,
52,Linyuan,2024-05-30 17:00,31,Good,1.0,,,,,,
51,Daliao,2024-05-30 17:00,28,Good,6.0,,,,,,
50,Fengshan,2024-05-30 17:00,27,Good,8.0,,,,,,
49,Renwu,2024-05-30 17:00,30,Good,3.0,,,,,,
48,Qiaotou,2024-05-30 17:00,27,Good,,,,,,,
47,Meinong,2024-05-30 17:00,33,Good,3.0,,,,,,
46,Tainan,2024-05-30 17:00,38,Good,9.0,,,,,,
45,Annan,2024-05-30 17:00,38,Good,10.0,,,,,,
44,Shanhua,2024-05-30 17:00,36,Good,10.0,,,,,,
43,Xinying,2024-05-30 17:00,42,Good,4.0,,,,,,
42,Chiayi,2024-05-30 17:00,47,Good,4.0,,,,,,
41,Taixi,2024-05-30 17:00,54,Moderate,6.0,,,,,,
40,Puzi,2024-05-30 17:00,39,Good,,,,,,,
39,Xingang,2024-05-30 17:00,47,Good,5.0,,,,,,
38,Lunbei,2024-05-30 17:00,44,Good,6.0,,,,,,
37,Douliu,2024-05-30 17:00,49,Good,4.0,,,,,,
36,Nantou,2024-05-30 17:00,61,Moderate,9.0,,,,,,
35,Erlin,2024-05-30 17:00,67,Moderate,16.0,,,,,,
34,Xianxi,2024-05-30 17:00,54,Moderate,8.0,,,,,,
33,Changhua,2024-05-30 17:00,80,Moderate,10.0,,,,,,
32,Xitun,2024-05-30 17:00,77,Moderate,11.0,,,,,,
31,Zhongming,2024-05-30 17:00,46,Good,14.0,,,,,,
30,Dali,2024-05-30 17:00,84,Moderate,16.0,,,,,,
29,Shalu,2024-05-30 17:00,71,Moderate,13.0,,,,,,
28,Fengyuan,2024-05-30 17:00,84,Moderate,17.0,,,,,,
27,Sanyi,2024-05-30 17:00,58,Moderate,14.0,,,,,,
26,Miaoli,2024-05-30 17:00,74,Moderate,13.0,,,,,,
25,Toufen,2024-05-30 17:00,58,Moderate,8.0,,,,,,
