siteid,sitename,datacreationdate,aqi,status,level_0,co,index,no,no2,o3,pm10,pm2.5,so2
30,Dali,2024-05-30 20:00,47,Good,55,0.39,55,1.2,4.8,21.3,15.0,6.0,1.4
29,Shalu,2024-05-30 20:00,49,Good,56,0.31,56,0.2,6.5,32.0,33.0,6.0,1.1
28,Fengyuan,2024-05-30 20:00,54,Moderate,57,0.22,57,1.0,4.4,22.9,16.0,3.0,0.7
27,Sanyi,2024-05-30 20:00,48,Good,58,0.17,58,1.0,0.8,30.9,13.0,5.0,0.6
26,Miaoli,2024-05-30 20:00,50,Good,59,0.23,59,1.2,9.1,33.6,25.0,10.0,0.9
25,Toufen,2024-05-30 20:00,46,Good,60,0.26,60,1.4,8.5,40.6,26.0,11.0,1.4
24,Hsinchu,2024-05-30 20:00,44,Good,61,0.28,61,0.8,10.8,42.9,15.0,13.0,1.0
23,Zhudong,2024-05-30 20:00,54,Moderate,62,0.34,62,0.4,4.9,21.5,23.0,18.0,2.8
22,Hukou,2024-05-30 20:00,55,Moderate,63,0.23,63,0.5,13.0,35.1,27.0,15.0,3.4
21,Longtan,2024-05-30 20:00,52,Moderate,64,0.4,64,0.3,10.7,25.7,32.0,11.0,1.2
20,Pingzhen,2024-05-30 20:00,43,Good,65,0.4,65,0.1,19.8,18.7,31.0,20.0,2.0
19,Guanyin,2024-05-30 20:00,35,Good,66,0.19,66,0.1,13.1,34.1,18.0,15.0,2.2
18,Dayuan,2024-05-30 20:00,34,Good,67,0.36,67,1.3,25.2,21.1,26.0,17.0,2.2
17,Taoyuan,2024-05-30 20:00,40,Good,68,0.39,68,0.9,20.9,26.6,26.0,22.0,1.5
16,Datong,2024-05-30 20:00,51,Moderate,69,1.18,69,14.6,8.4,11.0,19.0,10.0,1.8
15,Songshan,2024-05-30 20:00,42,Good,70,0.57,70,9.1,8.9,12.1,22.0,11.0,0.6
14,Guting,2024-05-30 20:00,35,Good,71,0.45,71,1.6,4.0,17.3,17.0,7.0,0.7
13,Wanhua,2024-05-30 20:00,47,Good,72,0.55,72,1.6,5.8,18.3,21.0,6.0,0.5
12,Zhongshan,2024-05-30 20:00,51,Moderate,73,0.86,73,7.5,5.9,10.2,20.0,5.0,0.7
11,Shilin,2024-05-30 20:00,38,Good,74,0.34,74,1.0,10.0,17.0,27.0,11.0,0.9
10,Tamsui,2024-05-30 20:00,45,Good,75,0.25,75,1.3,17.7,17.5,28.0,11.0,3.6
9,Linkou,2024-05-30 20:00,38,Good,76,0.24,76,7.0,18.3,31.5,30.0,11.0,1.3
8,Cailiao,2024-05-30 20:00,35,Good,77,0.41,77,1.3,13.1,23.5,23.0,8.0,1.1
7,Xinzhuang,2024-05-30 20:00,38,Good,78,0.48,78,0.3,16.2,18.2,13.0,20.0,0.8
6,Banqiao,2024-05-30 20:00,42,Good,79,0.58,79,0.9,16.5,20.2,22.0,15.0,2.3
5,Tucheng,2024-05-30 20:00,55,Moderate,80,0.65,80,1.8,13.2,7.9,28.0,19.0,1.8
4,Xindian,2024-05-30 20:00,38,Good,81,0.38,81,1.7,3.2,18.6,18.0,9.0,0.9
3,Wanli,2024-05-30 20:00,35,Good,82,0.24,82,1.7,6.1,14.4,18.0,5.0,0.2
2,Xizhi,2024-05-30 20:00,51,Moderate,83,0.6,83,14.7,13.7,1.1,23.0,16.0,1.8
1,Keelung,2024-05-30 20:00,28,Good,84,0.48,84,4.8,10.9,3.3,20.0,7.0,1.2
313,Pingtung（fangshan）,2024-05-30 19:00,33,Good,85,0.09,85,0.0,1.8,35.1,19.0,0.0,0.0
312,Taichung（Rilana Elementary）,2024-05-30 19:00,48,Good,86,0.05,86,0.2,9.3,41.3,40.0,1.0,0.5
311,New Taipei(Shulin),2024-05-30 19:00,52,Moderate,87,0.47,87,1.8,6.5,13.8,22.0,15.0,2.7
204,Pingtung（Liuqiu）,2024-05-30 19:00,28,Good,88,0.11,88,1.3,0.6,30.6,9.0,7.0,0.7
203,Tainan（Madou）,2024-05-30 19:00,31,Good,89,0.17,89,1.2,3.2,26.3,15.0,5.0,0.4
202,Kaohsiung（Hunei）,2024-05-30 19:00,23,Good,90,0.18,90,2.6,6.2,19.9,15.0,4.0,0.5
201,Changhua（Yuanlin）,2024-05-30 19:00,46,Good,91,0.28,91,0.9,7.3,31.6,26.0,14.0,2.2
85,Dacheng,2024-05-30 19:00,51,Moderate,92,0.1,92,0.6,0.9,35.1,19.0,2.0,1.0
84,FugueiCape,2024-05-30 19:00,43,Good,93,0.13,93,0.1,6.0,36.8,26.0,15.0,0.2
83,Mailiao,2024-05-30 19:00,45,Good,94,0.17,94,0.0,2.2,26.6,17.0,3.0,1.2
80,Guanshan,2024-05-30 19:00,28,Good,95,0.12,95,0.3,1.9,23.4,6.0,5.0,0.6
78,Magong,2024-05-30 19:00,40,Good,96,0.18,96,1.3,3.6,31.7,4.0,1.0,1.0
77,Kinmen,2024-05-30 19:00,77,Moderate,97,0.37,97,0.5,26.0,39.4,38.0,32.0,1.7
75,Matsu,2024-05-30 19:00,47,Good,98,0.18,98,0.5,4.2,44.6,19.0,17.0,0.7
72,Puli,2024-05-30 19:00,47,Good,99,0.32,99,1.6,2.4,27.4,15.0,6.0,1.0
71,Fuxing,2024-05-30 19:00,25,Good,100,0.33,100,2.7,3.7,17.4,12.0,2.0,2.2
70,Yonghe,2024-05-30 19:00,35,Good,101,0.82,101,7.6,3.8,16.6,13.0,6.0,0.8
69,Zhushan,2024-05-30 19:00,45,Good,102,0.21,102,0.5,4.0,26.2,13.0,7.0,1.1
68,Zhongli,2024-05-30 19:00,52,Moderate,103,1.08,103,22.9,19.2,11.7,19.0,20.0,1.8
67,Sanchong,2024-05-30 19:00,60,Moderate,104,2.07,104,77.7,8.8,5.3,20.0,11.0,1.2
66,Dongshan,2024-05-30 19:00,38,Good,105,0.21,105,1.1,5.8,36.4,20.0,9.0,0.5
65,Yilan,2024-05-30 19:00,43,Good,106,0.2,106,0.4,2.7,39.6,18.0,0.0,0.9
64,Yangming,2024-05-30 19:00,28,Good,107,0.16,107,0.5,1.5,19.7,10.0,6.0,1.0
63,Hualien,2024-05-30 19:00,32,Good,108,0.27,108,0.7,1.3,24.4,14.0,4.0,0.3
62,Taitung,2024-05-30 19:00,29,Good,109,0.3,109,2.3,2.9,24.8,7.0,5.0,0.3
61,Hengchun,2024-05-30 19:00,31,Good,110,0.1,110,0.6,0.5,31.9,9.0,4.0,0.6
60,Chaozhou,2024-05-30 19:00,29,Good,111,0.11,111,0.2,1.3,27.9,13.0,2.0,0.9
59,Pingtung,2024-05-30 19:00,27,Good,112,0.28,112,0.8,3.8,25.6,13.0,2.0,0.5
58,Xiaogang,2024-05-30 19:00,29,Good,113,0.5,113,1.2,8.3,22.7,11.0,7.0,3.7
57,Qianzhen,2024-05-30 19:00,32,Good,114,0.7,114,6.6,4.5,14.4,12.0,0.0,2.5
56,Qianjin,2024-05-30 19:00,22,Good,115,0.16,115,0.5,4.3,21.2,11.0,1.0,1.2
54,Zuoying,2024-05-30 19:00,30,Good,116,0.25,116,0.7,4.4,22.1,14.0,4.0,1.6
53,Nanzi,2024-05-30 19:00,24,Good,117,0.28,117,0.8,6.1,24.0,17.0,3.0,0.6
52,Linyuan,2024-05-30 19:00,31,Good,118,0.1,118,0.7,2.2,33.8,21.0,4.0,0.8
51,Daliao,2024-05-30 19:00,27,Good,119,0.12,119,0.3,4.7,28.4,21.0,4.0,0.3
50,Fengshan,2024-05-30 19:00,25,Good,120,0.38,120,1.3,3.1,22.8,18.0,0.0,1.3
49,Renwu,2024-05-30 19:00,28,Good,121,0.28,121,1.0,2.5,27.0,7.0,3.0,
48,Qiaotou,2024-05-30 19:00,24,Good,122,0.39,122,0.5,3.2,20.5,33.0,0.0,1.5
47,Meinong,2024-05-30 19:00,31,Good,123,0.13,123,1.3,0.8,31.0,17.0,0.0,0.7
46,Tainan,2024-05-30 19:00,34,Good,124,0.28,124,0.9,4.8,25.3,19.0,7.0,1.2
45,Annan,2024-05-30 19:00,34,Good,125,0.32,125,2.6,3.3,24.0,22.0,6.0,1.2
44,Shanhua,2024-05-30 19:00,31,Good,126,0.09,126,1.2,1.8,27.6,14.0,6.0,0.2
43,Xinying,2024-05-30 19:00,39,Good,127,0.19,127,0.9,2.3,30.1,15.0,0.0,0.1
42,Chiayi,2024-05-30 19:00,43,Good,128,0.19,128,0.8,0.9,33.4,17.0,1.0,1.3
41,Taixi,2024-05-30 19:00,47,Good,129,0.11,129,1.0,2.3,31.3,16.0,0.0,1.3
