siteid,sitename,datacreationdate,aqi,status,pm2.5
313,Pingtung（fangshan）,2024-05-30 21:00,31,Good,1
312,Taichung（Rilana Elementary）,2024-05-30 21:00,41,Good,11
311,New Taipei(Shulin),2024-05-30 21:00,52,Moderate,19
204,Pingtung（Liuqiu）,2024-05-30 21:00,28,Good,6
203,Tainan（Madou）,2024-05-30 21:00,28,Good,9
202,Kaohsiung（Hunei）,2024-05-30 21:00,22,Good,8
201,Changhua（Yuanlin）,2024-05-30 21:00,40,Good,11
85,Dacheng,2024-05-30 21:00,41,Good,4
84,FugueiCape,2024-05-30 21:00,38,Good,9
83,Mailiao,2024-05-30 21:00,35,Good,7
80,Guanshan,2024-05-30 21:00,23,Good,4
78,Magong,2024-05-30 21:00,32,Good,0
77,Kinmen,2024-05-30 21:00,77,Moderate,21
75,Matsu,2024-05-30 21:00,44,Good,13
72,Puli,2024-05-30 21:00,41,Good,11
71,Fuxing,2024-05-30 21:00,21,Good,6
70,Yonghe,2024-05-30 21:00,50,Good,14
69,Zhushan,2024-05-30 21:00,39,Good,14
68,Zhongli,2024-05-30 21:00,48,Good,14
67,Sanchong,2024-05-30 21:00,60,Moderate,11
66,Dongshan,2024-05-30 21:00,34,Good,5
65,Yilan,2024-05-30 21:00,38,Good,8
64,Yangming,2024-05-30 21:00,25,Good,5
63,Hualien,2024-05-30 21:00,29,Good,12
62,Taitung,2024-05-30 21:00,26,Good,3
61,Hengchun,2024-05-30 21:00,30,Good,2
60,Chaozhou,2024-05-30 21:00,26,Good,4
59,Pingtung,2024-05-30 21:00,26,Good,10
58,Xiaogang,2024-05-30 21:00,23,Good,6
57,Qianzhen,2024-05-30 21:00,23,Good,6
56,Qianjin,2024-05-30 21:00,21,Good,4
54,Zuoying,2024-05-30 21:00,28,Good,7
53,Nanzi,2024-05-30 21:00,27,Good,7
52,Linyuan,2024-05-30 21:00,31,Good,3
51,Daliao,2024-05-30 21:00,27,Good,3
50,Fengshan,2024-05-30 21:00,24,Good,9
49,Renwu,2024-05-30 21:00,28,Good,8
48,Qiaotou,2024-05-30 21:00,22,Good,6
47,Meinong,2024-05-30 21:00,28,Good,6
46,Tainan,2024-05-30 21:00,31,Good,9
45,Annan,2024-05-30 21:00,38,Good,17
44,Shanhua,2024-05-30 21:00,26,Good,7
43,Xinying,2024-05-30 21:00,29,Good,0
42,Chiayi,2024-05-30 21:00,32,Good,5
41,Taixi,2024-05-30 21:00,38,Good,5
40,Puzi,2024-05-30 21:00,27,Good,
39,Xingang,2024-05-30 21:00,35,Good,10
38,Lunbei,2024-05-30 21:00,36,Good,13
37,Douliu,2024-05-30 21:00,32,Good,10
36,Nantou,2024-05-30 21:00,35,Good,6
35,Erlin,2024-05-30 21:00,54,Moderate,17
34,Xianxi,2024-05-30 21:00,41,Good,12
33,Changhua,2024-05-30 21:00,46,Good,9
32,Xitun,2024-05-30 21:00,45,Good,11
31,Zhongming,2024-05-30 21:00,32,Good,5
30,Dali,2024-05-30 21:00,42,Good,9
29,Shalu,2024-05-30 21:00,44,Good,12
