siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5,no,so2,co,pm10
51,Daliao,2024-05-30 23:00,25,Good,23.7,2.4,2,0.2,0.3,0.11,11
50,Fengshan,2024-05-30 23:00,23,Good,22.6,5.9,5,0.7,0.6,0.28,10
49,Renwu,2024-05-30 23:00,28,Good,26.3,4.9,5,0.7,0.8,0.22,7
48,Qiaotou,2024-05-30 23:00,21,Good,22.2,7.6,3,0.2,0.5,0.26,16
47,Meinong,2024-05-30 23:00,23,Good,14.3,2.7,3,1.1,0.6,0.15,19
46,Tainan,2024-05-30 23:00,27,Good,18.8,9.9,7,0.6,1.6,0.19,14
45,Annan,2024-05-30 23:00,32,Good,19.6,10.2,7,1.8,1.4,0.24,15
44,Shanhua,2024-05-30 23:00,24,Good,20.6,2.5,6,0.9,0.4,0.1,18
43,Xinying,2024-05-30 23:00,25,Good,20.1,3.9,0,0.5,0,0.14,20
42,Chiayi,2024-05-30 23:00,26,Good,19.3,5.1,5,0.8,1.4,0.16,11
41,Taixi,2024-05-30 23:00,27,Good,17.1,5.9,5,1,1.4,0.16,18
40,Puzi,2024-05-30 23:00,22,Good,14.5,8.5,,2.4,1.6,0.22,19
39,Xingang,2024-05-30 23:00,32,Good,21.9,3.4,11,1.4,0.6,0.12,17
38,Lunbei,2024-05-30 23:00,35,Good,16.6,3.7,8,1.1,0.8,0.15,15
37,Douliu,2024-05-30 23:00,29,Good,14.1,5.7,12,1.3,1.2,0.19,23
36,Nantou,2024-05-30 23:00,26,Good,7.2,7.7,7,0.6,0.3,0.21,27
35,Erlin,2024-05-30 23:00,55,Moderate,17.1,5.5,14,1.6,0.5,0.13,38
34,Xianxi,2024-05-30 23:00,43,Good,22.9,5.4,18,1.3,0.6,0.23,28
33,Changhua,2024-05-30 23:00,37,Good,15.8,10.2,10,1.5,0.9,0.26,25
32,Xitun,2024-05-30 23:00,34,Good,8,16.5,7,1.2,1,0.3,25
31,Zhongming,2024-05-30 23:00,28,Good,14.1,11,5,1.2,1.1,0.29,19
30,Dali,2024-05-30 23:00,39,Good,10.8,10,12,1.1,1.2,0.27,22
29,Shalu,2024-05-30 23:00,39,Good,22.6,11.7,7,0.2,0.9,0.26,21
28,Fengyuan,2024-05-30 23:00,31,Good,28.2,4.4,4,0.9,0.5,0.18,16
27,Sanyi,2024-05-30 23:00,36,Good,30.9,0.4,5,1,0.5,0.13,13
26,Miaoli,2024-05-30 23:00,41,Good,27.3,7.7,16,1.2,1.4,0.19,30
25,Toufen,2024-05-30 23:00,39,Good,19.6,8.3,14,1.3,1.4,0.29,24
24,Hsinchu,2024-05-30 23:00,36,Good,33.3,10.3,7,0.6,1.1,0.32,29
23,Zhudong,2024-05-30 23:00,54,Moderate,10.5,7.2,14,0.5,0.3,0.28,27
22,Hukou,2024-05-30 23:00,53,Moderate,25,9.1,12,0.4,0.8,0.26,25
21,Longtan,2024-05-30 23:00,56,Moderate,15.3,16.3,19,0.3,1.7,0.39,31
20,Pingzhen,2024-05-30 23:00,39,Good,19,19.2,11,0,0.7,0.32,28
19,Guanyin,2024-05-30 23:00,31,Good,24,11.2,12,0.1,1,0.18,17
18,Dayuan,2024-05-30 23:00,39,Good,16.9,18.8,12,1,1.1,0.31,28
17,Taoyuan,2024-05-30 23:00,44,Good,30.9,13.5,15,0.4,1.5,0.28,21
16,Datong,2024-05-30 23:00,50,Good,3.5,30.6,18,55.1,1.8,1.91,28
15,Songshan,2024-05-30 23:00,45,Good,9,23.6,18,8.6,1.2,0.53,19
14,Guting,2024-05-30 23:00,28,Good,6.8,11.2,4,2.6,0.8,0.35,14
13,Wanhua,2024-05-30 23:00,38,Good,4.9,21.5,11,3.4,0.8,0.54,18
12,Zhongshan,2024-05-30 23:00,35,Good,9.5,21.8,13,1.3,1.1,0.51,25
11,Shilin,2024-05-30 23:00,42,Good,8.4,25.2,12,2.2,0.9,0.47,22
10,Tamsui,2024-05-30 23:00,36,Good,24.4,14.3,12,1.1,1.2,0.33,21
9,Linkou,2024-05-30 23:00,31,Good,30.5,,11,,2.5,0.34,22
8,Cailiao,2024-05-30 23:00,38,Good,18.8,23.2,9,0.5,1.7,0.58,20
7,Xinzhuang,2024-05-30 23:00,42,Good,12.7,23.4,17,0.7,1.6,0.56,25
6,Banqiao,2024-05-30 23:00,43,Good,9.4,26.2,17,1,1.2,0.59,30
5,Tucheng,2024-05-30 23:00,57,Moderate,5.3,24.6,19,2.7,0.5,0.55,33
4,Xindian,2024-05-30 23:00,34,Good,12,8.8,9,1.8,0.8,0.31,12
3,Wanli,2024-05-30 23:00,28,Good,5.4,7.1,4,2,0.2,0.27,21
2,Xizhi,2024-05-30 23:00,43,Good,1.4,23.3,17,13.6,0.7,0.56,26
1,Keelung,2024-05-30 23:00,30,Good,0.4,18.3,8,9.8,1.3,0.61,27
