siteid,sitename,datacreationdate,aqi,status,no2,pm2.5,o3,co,pm10,no,so2
1,Keelung,2024-05-30 21:00,28,Good,17.3,11.0,,,,,
313,Pingtung（fangshan）,2024-05-30 20:00,32,Good,4.5,4.0,30.6,0.11,17.0,0.1,0.1
312,Taichung（Rilana Elementary）,2024-05-30 20:00,45,Good,5.7,10.0,38.1,0.04,34.0,0.2,0.3
311,New Taipei(Shulin),2024-05-30 20:00,54,Moderate,35.1,18.0,8.4,0.55,31.0,3.8,1.8
204,Pingtung（Liuqiu）,2024-05-30 20:00,28,Good,1.4,7.0,29.6,0.08,14.0,1.3,0.6
203,Tainan（Madou）,2024-05-30 20:00,29,Good,10.5,10.0,20.1,0.2,21.0,1.3,0.3
202,Kaohsiung（Hunei）,2024-05-30 20:00,21,Good,11.7,4.0,15.1,0.27,15.0,2.0,0.6
201,Changhua（Yuanlin）,2024-05-30 20:00,42,Good,10.6,10.0,27.7,0.36,30.0,1.1,1.9
85,Dacheng,2024-05-30 20:00,46,Good,4.7,5.0,27.7,0.1,13.0,0.6,0.7
84,FugueiCape,2024-05-30 20:00,41,Good,8.3,8.0,31.1,0.15,27.0,0.2,0.3
83,Mailiao,2024-05-30 20:00,41,Good,5.7,7.0,23.2,0.2,16.0,0.4,1.0
80,Guanshan,2024-05-30 20:00,26,Good,2.9,2.0,23.4,0.11,16.0,0.4,0.5
78,Magong,2024-05-30 20:00,37,Good,4.8,4.0,32.4,0.17,8.0,1.1,0.9
77,Kinmen,2024-05-30 20:00,80,Moderate,15.1,29.0,33.0,0.37,29.0,0.5,1.5
75,Matsu,2024-05-30 20:00,46,Good,3.3,15.0,39.9,0.2,24.0,0.6,0.6
72,Puli,2024-05-30 20:00,43,Good,9.0,9.0,22.5,0.38,19.0,1.6,1.0
71,Fuxing,2024-05-30 20:00,21,Good,11.5,7.0,21.6,0.31,16.0,1.9,4.2
70,Yonghe,2024-05-30 20:00,45,Good,27.1,15.0,8.8,1.13,21.0,11.2,1.1
69,Zhushan,2024-05-30 20:00,40,Good,7.0,7.0,17.6,0.25,25.0,0.7,1.0
68,Zhongli,2024-05-30 20:00,52,Moderate,33.5,21.0,10.9,0.97,36.0,19.8,2.4
67,Sanchong,2024-05-30 20:00,62,Moderate,46.2,12.0,3.8,1.75,17.0,83.5,1.4
66,Dongshan,2024-05-30 20:00,36,Good,3.9,6.0,30.7,0.21,24.0,0.7,0.4
65,Yilan,2024-05-30 20:00,41,Good,3.6,6.0,35.3,0.24,6.0,0.3,0.9
64,Yangming,2024-05-30 20:00,25,Good,1.7,8.0,14.9,0.17,16.0,0.6,0.7
63,Hualien,2024-05-30 20:00,31,Good,6.2,8.0,21.8,0.28,8.0,0.7,0.2
62,Taitung,2024-05-30 20:00,27,Good,6.0,1.0,23.9,0.28,8.0,1.9,0.1
61,Hengchun,2024-05-30 20:00,31,Good,1.3,3.0,30.5,0.1,10.0,0.5,0.7
60,Chaozhou,2024-05-30 20:00,28,Good,4.1,6.0,23.8,0.11,23.0,0.2,0.8
59,Pingtung,2024-05-30 20:00,27,Good,8.2,8.0,24.2,0.28,14.0,0.7,0.6
58,Xiaogang,2024-05-30 20:00,25,Good,10.1,7.0,24.2,0.26,11.0,0.7,2.4
57,Qianzhen,2024-05-30 20:00,25,Good,15.8,6.0,17.2,0.5,16.0,5.5,6.1
56,Qianjin,2024-05-30 20:00,21,Good,12.7,4.0,18.7,0.18,13.0,0.1,3.2
54,Zuoying,2024-05-30 20:00,29,Good,13.0,10.0,19.7,0.33,17.0,0.3,2.4
53,Nanzi,2024-05-30 20:00,25,Good,11.5,10.0,23.5,0.2,13.0,0.6,1.0
52,Linyuan,2024-05-30 20:00,31,Good,0.7,5.0,33.4,0.11,19.0,0.7,0.8
51,Daliao,2024-05-30 20:00,27,Good,3.4,7.0,27.2,0.12,19.0,0.3,0.4
50,Fengshan,2024-05-30 20:00,24,Good,8.0,7.0,23.6,0.32,16.0,0.8,2.1
49,Renwu,2024-05-30 20:00,28,Good,6.3,7.0,28.2,0.21,6.0,0.9,
48,Qiaotou,2024-05-30 20:00,23,Good,13.7,5.0,17.9,0.31,13.0,0.1,1.3
47,Meinong,2024-05-30 20:00,30,Good,3.7,8.0,26.5,0.15,15.0,1.1,0.8
46,Tainan,2024-05-30 20:00,31,Good,10.1,6.0,22.3,0.26,14.0,0.6,1.0
45,Annan,2024-05-30 20:00,33,Good,13.1,10.0,21.2,0.29,12.0,2.1,1.1
44,Shanhua,2024-05-30 20:00,29,Good,2.6,5.0,23.4,0.09,13.0,1.0,0.4
43,Xinying,2024-05-30 20:00,33,Good,4.7,1.0,25.0,0.17,18.0,0.8,0.0
42,Chiayi,2024-05-30 20:00,38,Good,4.2,5.0,28.6,0.15,13.0,0.7,1.3
41,Taixi,2024-05-30 20:00,43,Good,2.1,6.0,30.0,0.12,16.0,0.8,1.3
40,Puzi,2024-05-30 20:00,30,Good,7.7,,23.3,0.23,20.0,3.0,1.2
39,Xingang,2024-05-30 20:00,38,Good,4.7,9.0,31.0,0.16,22.0,1.2,0.9
38,Lunbei,2024-05-30 20:00,37,Good,4.6,11.0,28.8,0.17,19.0,0.7,0.9
37,Douliu,2024-05-30 20:00,38,Good,7.6,7.0,27.2,0.25,25.0,1.4,2.1
36,Nantou,2024-05-30 20:00,41,Good,8.7,7.0,20.2,0.2,22.0,1.0,0.3
35,Erlin,2024-05-30 20:00,53,Moderate,5.7,23.0,26.8,0.17,30.0,1.7,0.6
34,Xianxi,2024-05-30 20:00,46,Good,6.8,11.0,30.3,0.2,24.0,1.2,1.1
33,Changhua,2024-05-30 20:00,54,Moderate,7.2,12.0,35.3,0.22,21.0,1.3,0.5
32,Xitun,2024-05-30 20:00,51,Moderate,9.2,7.0,31.6,0.24,19.0,0.7,0.9
31,Zhongming,2024-05-30 20:00,35,Good,9.2,8.0,30.4,0.26,21.0,0.7,1.2
30,Dali,2024-05-30 20:00,47,Good,11.8,9.0,21.3,0.39,15.0,1.2,1.4
29,Shalu,2024-05-30 20:00,49,Good,11.9,11.0,32.0,0.31,33.0,0.2,1.1
28,Fengyuan,2024-05-30 20:00,54,Moderate,6.7,8.0,22.9,0.22,16.0,1.0,0.7
27,Sanyi,2024-05-30 20:00,48,Good,2.1,13.0,30.9,0.17,13.0,1.0,0.6
26,Miaoli,2024-05-30 20:00,50,Good,7.5,11.0,33.6,0.23,25.0,1.2,0.9
25,Toufen,2024-05-30 20:00,46,Good,5.4,11.0,40.6,0.26,26.0,1.4,1.4
24,Hsinchu,2024-05-30 20:00,44,Good,8.7,8.0,42.9,0.28,15.0,0.8,1.0
23,Zhudong,2024-05-30 20:00,54,Moderate,10.9,18.0,21.5,0.34,23.0,0.4,2.8
22,Hukou,2024-05-30 20:00,55,Moderate,5.8,18.0,35.1,0.23,27.0,0.5,3.4
21,Longtan,2024-05-30 20:00,52,Moderate,19.8,21.0,25.7,0.4,32.0,0.3,1.2
20,Pingzhen,2024-05-30 20:00,43,Good,26.7,16.0,18.7,0.4,31.0,0.1,2.0
19,Guanyin,2024-05-30 20:00,35,Good,7.5,7.0,34.1,0.19,18.0,0.1,2.2
18,Dayuan,2024-05-30 20:00,34,Good,19.5,17.0,21.1,0.36,26.0,1.3,2.2
17,Taoyuan,2024-05-30 20:00,40,Good,23.0,13.0,26.6,0.39,26.0,0.9,1.5
16,Datong,2024-05-30 20:00,51,Moderate,31.9,12.0,11.0,1.18,19.0,14.6,1.8
15,Songshan,2024-05-30 20:00,42,Good,25.3,12.0,12.1,0.57,22.0,9.1,0.6
14,Guting,2024-05-30 20:00,35,Good,16.1,11.0,17.3,0.45,17.0,1.6,0.7
13,Wanhua,2024-05-30 20:00,47,Good,28.0,10.0,18.3,0.55,21.0,1.6,0.5
12,Zhongshan,2024-05-30 20:00,51,Moderate,31.8,13.0,10.2,0.86,20.0,7.5,0.7
11,Shilin,2024-05-30 20:00,38,Good,23.2,11.0,17.0,0.34,27.0,1.0,0.9
10,Tamsui,2024-05-30 20:00,45,Good,27.5,11.0,17.5,0.25,28.0,1.3,3.6
9,Linkou,2024-05-30 20:00,38,Good,7.2,11.0,31.5,0.24,30.0,7.0,1.3
8,Cailiao,2024-05-30 20:00,35,Good,21.3,7.0,23.5,0.41,23.0,1.3,1.1
7,Xinzhuang,2024-05-30 20:00,38,Good,23.4,11.0,18.2,0.48,13.0,0.3,0.8
6,Banqiao,2024-05-30 20:00,42,Good,25.1,8.0,20.2,0.58,22.0,0.9,2.3
5,Tucheng,2024-05-30 20:00,55,Moderate,35.2,21.0,7.9,0.65,28.0,1.8,1.8
4,Xindian,2024-05-30 20:00,38,Good,11.6,10.0,18.6,0.38,18.0,1.7,0.9
3,Wanli,2024-05-30 20:00,35,Good,7.7,5.0,14.4,0.24,18.0,1.7,0.2
2,Xizhi,2024-05-30 20:00,51,Moderate,31.8,16.0,1.1,0.6,23.0,14.7,1.8
1,Keelung,2024-05-30 20:00,28,Good,17.4,8.0,3.3,0.48,20.0,4.8,1.2
313,Pingtung（fangshan）,2024-05-30 19:00,33,Good,2.3,2.0,35.1,0.09,19.0,0.0,0.0
312,Taichung（Rilana Elementary）,2024-05-30 19:00,48,Good,5.1,8.0,41.3,0.05,40.0,0.2,0.5
311,New Taipei(Shulin),2024-05-30 19:00,52,Moderate,33.2,13.0,13.8,0.47,22.0,1.8,2.7
204,Pingtung（Liuqiu）,2024-05-30 19:00,28,Good,1.7,8.0,30.6,0.11,9.0,1.3,0.7
203,Tainan（Madou）,2024-05-30 19:00,31,Good,7.5,7.0,26.3,0.17,15.0,1.2,0.4
202,Kaohsiung（Hunei）,2024-05-30 19:00,23,Good,8.7,2.0,19.9,0.18,15.0,2.6,0.5
201,Changhua（Yuanlin）,2024-05-30 19:00,46,Good,8.7,10.0,31.6,0.28,26.0,0.9,2.2
85,Dacheng,2024-05-30 19:00,51,Moderate,4.8,5.0,35.1,0.1,19.0,0.6,1.0
84,FugueiCape,2024-05-30 19:00,43,Good,6.3,8.0,36.8,0.13,26.0,0.1,0.2
83,Mailiao,2024-05-30 19:00,45,Good,3.6,3.0,26.6,0.17,17.0,0.0,1.2
80,Guanshan,2024-05-30 19:00,28,Good,3.6,5.0,23.4,0.12,6.0,0.3,0.6
78,Magong,2024-05-30 19:00,40,Good,5.0,7.0,31.7,0.18,4.0,1.3,1.0
77,Kinmen,2024-05-30 19:00,77,Moderate,15.5,32.0,39.4,0.37,38.0,0.5,1.7
75,Matsu,2024-05-30 19:00,47,Good,2.0,11.0,44.6,0.18,19.0,0.5,0.7
72,Puli,2024-05-30 19:00,47,Good,6.7,12.0,27.4,0.32,15.0,1.6,1.0
71,Fuxing,2024-05-30 19:00,25,Good,15.9,6.0,17.4,0.33,12.0,2.7,2.2
70,Yonghe,2024-05-30 19:00,35,Good,20.6,12.0,16.6,0.82,13.0,7.6,0.8
69,Zhushan,2024-05-30 19:00,45,Good,5.6,7.0,26.2,0.21,13.0,0.5,1.1
68,Zhongli,2024-05-30 19:00,52,Moderate,33.7,15.0,11.7,1.08,19.0,22.9,1.8
67,Sanchong,2024-05-30 19:00,60,Moderate,43.3,11.0,5.3,2.07,20.0,77.7,1.2
66,Dongshan,2024-05-30 19:00,38,Good,4.8,7.0,36.4,0.21,20.0,1.1,0.5
65,Yilan,2024-05-30 19:00,43,Good,3.0,5.0,39.6,0.2,18.0,0.4,0.9
64,Yangming,2024-05-30 19:00,28,Good,1.5,6.0,19.7,0.16,10.0,0.5,1.0
63,Hualien,2024-05-30 19:00,32,Good,6.6,9.0,24.4,0.27,14.0,0.7,0.3
62,Taitung,2024-05-30 19:00,29,Good,6.2,0.0,24.8,0.3,7.0,2.3,0.3
61,Hengchun,2024-05-30 19:00,31,Good,1.7,2.0,31.9,0.1,9.0,0.6,0.6
60,Chaozhou,2024-05-30 19:00,29,Good,3.2,2.0,27.9,0.11,13.0,0.2,0.9
59,Pingtung,2024-05-30 19:00,27,Good,7.3,4.0,25.6,0.28,13.0,0.8,0.5
58,Xiaogang,2024-05-30 19:00,29,Good,10.1,7.0,22.7,0.5,11.0,1.2,3.7
57,Qianzhen,2024-05-30 19:00,32,Good,19.7,2.0,14.4,0.7,12.0,6.6,2.5
56,Qianjin,2024-05-30 19:00,22,Good,11.3,2.0,21.2,0.16,11.0,0.5,1.2
54,Zuoying,2024-05-30 19:00,30,Good,12.2,10.0,22.1,0.25,14.0,0.7,1.6
53,Nanzi,2024-05-30 19:00,24,Good,12.6,10.0,24.0,0.28,17.0,0.8,0.6
52,Linyuan,2024-05-30 19:00,31,Good,0.8,7.0,33.8,0.1,21.0,0.7,0.8
51,Daliao,2024-05-30 19:00,27,Good,3.8,7.0,28.4,0.12,21.0,0.3,0.3
50,Fengshan,2024-05-30 19:00,25,Good,10.1,11.0,22.8,0.38,18.0,1.3,1.3
49,Renwu,2024-05-30 19:00,28,Good,8.3,6.0,27.0,0.28,7.0,1.0,
48,Qiaotou,2024-05-30 19:00,24,Good,12.9,3.0,20.5,0.39,33.0,0.5,1.5
47,Meinong,2024-05-30 19:00,31,Good,2.6,4.0,31.0,0.13,17.0,1.3,0.7
46,Tainan,2024-05-30 19:00,34,Good,10.5,11.0,25.3,0.28,19.0,0.9,1.2
45,Annan,2024-05-30 19:00,34,Good,12.8,11.0,24.0,0.32,22.0,2.6,1.2
44,Shanhua,2024-05-30 19:00,31,Good,2.4,8.0,27.6,0.09,14.0,1.2,0.2
43,Xinying,2024-05-30 19:00,39,Good,5.1,4.0,30.1,0.19,15.0,0.9,0.1
42,Chiayi,2024-05-30 19:00,43,Good,4.9,4.0,33.4,0.19,17.0,0.8,1.3
41,Taixi,2024-05-30 19:00,47,Good,1.8,4.0,31.3,0.11,16.0,1.0,1.3
40,Puzi,2024-05-30 19:00,34,Good,9.4,,34.0,0.27,22.0,2.4,1.2
39,Xingang,2024-05-30 19:00,43,Good,5.2,12.0,39.0,0.18,15.0,1.3,0.9
38,Lunbei,2024-05-30 19:00,41,Good,4.2,10.0,34.5,0.17,13.0,1.0,0.8
37,Douliu,2024-05-30 19:00,43,Good,6.3,4.0,34.5,0.27,23.0,1.3,1.7
36,Nantou,2024-05-30 19:00,45,Good,6.7,7.0,25.6,0.21,14.0,1.1,0.5
35,Erlin,2024-05-30 19:00,51,Moderate,3.8,15.0,37.7,0.16,17.0,1.7,0.7
34,Xianxi,2024-05-30 19:00,50,Good,6.1,11.0,35.4,0.19,11.0,1.4,0.5
33,Changhua,2024-05-30 19:00,67,Moderate,7.0,12.0,39.0,0.19,20.0,1.7,0.4
32,Xitun,2024-05-30 19:00,64,Moderate,6.5,9.0,37.5,0.21,22.0,0.8,1.1
31,Zhongming,2024-05-30 19:00,37,Good,9.7,9.0,31.4,0.29,18.0,1.0,1.2
30,Dali,2024-05-30 19:00,58,Moderate,8.7,8.0,26.8,0.28,14.0,0.6,1.6
29,Shalu,2024-05-30 19:00,58,Moderate,8.6,11.0,40.6,0.27,31.0,0.3,1.2
28,Fengyuan,2024-05-30 19:00,71,Moderate,6.0,11.0,35.2,0.22,20.0,1.0,0.8
27,Sanyi,2024-05-30 19:00,51,Moderate,3.1,10.0,37.7,0.19,18.0,1.2,0.8
26,Miaoli,2024-05-30 19:00,67,Moderate,7.1,13.0,40.4,0.22,20.0,1.0,1.2
25,Toufen,2024-05-30 19:00,50,Good,6.0,10.0,39.4,0.27,26.0,1.5,1.3
24,Hsinchu,2024-05-30 19:00,47,Good,18.5,10.0,35.7,0.34,23.0,0.7,3.9
23,Zhudong,2024-05-30 19:00,58,Moderate,9.4,17.0,30.1,0.31,21.0,0.5,0.1
22,Hukou,2024-05-30 19:00,54,Moderate,6.6,20.0,33.9,0.24,24.0,0.8,6.7
21,Longtan,2024-05-30 19:00,49,Good,16.0,19.0,35.4,0.32,25.0,0.4,1.4
20,Pingzhen,2024-05-30 19:00,38,Good,19.8,13.0,23.6,0.35,28.0,0.2,0.7
19,Guanyin,2024-05-30 19:00,51,Moderate,12.9,12.0,31.8,0.22,21.0,0.5,21.4
18,Dayuan,2024-05-30 19:00,36,Good,19.5,15.0,26.0,0.36,28.0,1.8,2.1
17,Taoyuan,2024-05-30 19:00,52,Moderate,33.4,14.0,12.0,0.49,29.0,1.9,2.0
16,Datong,2024-05-30 19:00,48,Good,29.8,10.0,14.0,1.41,21.0,20.6,1.8
15,Songshan,2024-05-30 19:00,36,Good,21.8,12.0,17.5,0.47,13.0,6.1,0.2
14,Guting,2024-05-30 19:00,38,Good,15.3,7.0,24.8,0.45,11.0,1.6,0.4
13,Wanhua,2024-05-30 19:00,42,Good,25.5,11.0,21.2,0.64,21.0,1.7,0.6
12,Zhongshan,2024-05-30 19:00,52,Moderate,32.7,8.0,11.4,0.84,14.0,13.7,1.0
11,Shilin,2024-05-30 19:00,35,Good,20.2,11.0,21.0,0.35,23.0,1.1,0.5
10,Tamsui,2024-05-30 19:00,42,Good,25.4,11.0,21.2,0.26,27.0,2.5,2.9
9,Linkou,2024-05-30 19:00,40,Good,3.9,4.0,36.3,0.18,13.0,0.6,0.9
8,Cailiao,2024-05-30 19:00,38,Good,20.7,8.0,25.6,0.48,18.0,1.1,0.9
