siteid,sitename,datacreationdate,aqi,status,no2,pm2.5,o3,co,pm10,no,so2
49,Renwu,2024-05-30 18:00,29,Good,,,30.7,0.24,11.0,1.2,0.0
48,Qiaotou,2024-05-30 18:00,26,Good,,,24.2,0.35,14.0,1.0,1.5
47,Meinong,2024-05-30 18:00,33,Good,,,33.0,0.11,15.0,1.2,0.7
46,Tainan,2024-05-30 18:00,36,Good,,,31.6,0.28,21.0,1.1,1.5
45,Annan,2024-05-30 18:00,37,Good,,,29.3,0.29,26.0,3.3,0.8
44,Shanhua,2024-05-30 18:00,35,Good,,,33.4,0.11,18.0,1.3,0.8
43,Xinying,2024-05-30 18:00,42,Good,,,38.7,0.25,17.0,0.9,0.3
42,Chiayi,2024-05-30 18:00,45,Good,,,36.6,0.18,15.0,1.2,1.4
41,Taixi,2024-05-30 18:00,50,Good,,,31.5,0.11,17.0,1.3,1.4
40,Puzi,2024-05-30 18:00,37,Good,,,31.4,0.24,17.0,3.1,1.1
39,Xingang,2024-05-30 18:00,45,Good,,,38.5,0.14,14.0,1.9,0.8
38,Lunbei,2024-05-30 18:00,43,Good,,,32.6,0.16,9.0,1.6,1.1
37,Douliu,2024-05-30 18:00,46,Good,,,30.7,0.21,10.0,1.8,1.6
36,Nantou,2024-05-30 18:00,50,Good,,,27.3,0.18,14.0,1.6,0.5
35,Erlin,2024-05-30 18:00,61,Moderate,,,43.7,0.14,17.0,1.8,0.9
34,Xianxi,2024-05-30 18:00,54,Moderate,,,43.7,0.18,20.0,1.6,1.3
33,Changhua,2024-05-30 18:00,77,Moderate,,,42.5,0.21,30.0,1.8,0.5
32,Xitun,2024-05-30 18:00,71,Moderate,,,42.9,0.18,28.0,0.9,1.2
31,Zhongming,2024-05-30 18:00,43,Good,,,35.8,0.28,23.0,1.3,1.3
30,Dali,2024-05-30 18:00,71,Moderate,,,35.2,0.35,21.0,1.1,1.8
29,Shalu,2024-05-30 18:00,67,Moderate,,,44.3,0.27,34.0,0.5,1.5
28,Fengyuan,2024-05-30 18:00,80,Moderate,,,43.4,0.27,24.0,2.5,0.9
27,Sanyi,2024-05-30 18:00,58,Moderate,,,46.7,0.25,36.0,1.3,1.4
26,Miaoli,2024-05-30 18:00,74,Moderate,,,46.2,0.22,23.0,1.3,2.0
25,Toufen,2024-05-30 18:00,58,Moderate,,,43.5,0.28,22.0,1.5,1.5
24,Hsinchu,2024-05-30 18:00,51,Moderate,,,45.2,0.31,15.0,0.9,1.7
23,Zhudong,2024-05-30 18:00,64,Moderate,,,37.2,0.29,24.0,0.6,0.4
22,Hukou,2024-05-30 18:00,52,Moderate,,,36.3,0.21,24.0,0.6,6.1
21,Longtan,2024-05-30 18:00,46,Good,,,30.2,0.39,31.0,0.7,1.7
20,Pingzhen,2024-05-30 18:00,39,Good,,,29.4,0.36,25.0,0.8,0.8
19,Guanyin,2024-05-30 18:00,40,Good,,,36.0,0.25,15.0,0.4,3.0
18,Dayuan,2024-05-30 18:00,38,Good,,,31.0,0.29,20.0,1.9,1.5
17,Taoyuan,2024-05-30 18:00,42,Good,,,21.5,0.49,25.0,2.0,3.9
16,Datong,2024-05-30 18:00,40,Good,,,18.8,1.33,17.0,15.5,1.2
15,Songshan,2024-05-30 18:00,35,Good,,,26.4,0.35,13.0,2.3,0.8
14,Guting,2024-05-30 18:00,38,Good,,,28.5,0.48,16.0,1.2,
13,Wanhua,2024-05-30 18:00,45,Good,,,23.5,0.63,18.0,2.1,0.7
12,Zhongshan,2024-05-30 18:00,38,Good,,,20.9,0.59,16.0,6.8,1.3
11,Shilin,2024-05-30 18:00,36,Good,,,28.3,0.27,14.0,1.5,0.2
10,Tamsui,2024-05-30 18:00,37,Good,,,24.5,0.19,34.0,2.8,2.3
9,Linkou,2024-05-30 18:00,41,Good,,,39.9,0.15,7.0,0.9,1.0
8,Cailiao,2024-05-30 18:00,39,Good,,,30.8,0.37,12.0,1.0,1.1
7,Xinzhuang,2024-05-30 18:00,42,Good,,,27.6,0.36,20.0,1.8,0.5
6,Banqiao,2024-05-30 18:00,43,Good,,,27.2,0.52,24.0,1.7,1.0
5,Tucheng,2024-05-30 18:00,51,Moderate,,,29.1,0.52,34.0,1.2,1.4
4,Xindian,2024-05-30 18:00,44,Good,,,30.5,0.43,14.0,1.8,0.7
3,Wanli,2024-05-30 18:00,45,Good,,,36.4,0.25,40.0,1.1,0.5
2,Xizhi,2024-05-30 18:00,48,Good,,,14.4,0.43,23.0,3.9,5.3
1,Keelung,2024-05-30 18:00,28,Good,,,15.3,0.4,12.0,2.3,1.4
313,Pingtung（fangshan）,2024-05-30 17:00,33,Good,,,,,,,
312,Taichung（Rilana Elementary）,2024-05-30 17:00,50,Good,,,,,,,
311,New Taipei(Shulin),2024-05-30 17:00,46,Good,,,,,,,
204,Pingtung（Liuqiu）,2024-05-30 17:00,27,Good,,,,,,,
203,Tainan（Madou）,2024-05-30 17:00,32,Good,,,,,,,
202,Kaohsiung（Hunei）,2024-05-30 17:00,25,Good,,,,,,,
201,Changhua（Yuanlin）,2024-05-30 17:00,57,Moderate,,,,,,,
85,Dacheng,2024-05-30 17:00,67,Moderate,,,,,,,
84,FugueiCape,2024-05-30 17:00,44,Good,,,,,,,
83,Mailiao,2024-05-30 17:00,54,Moderate,,,,,,,
80,Guanshan,2024-05-30 17:00,30,Good,,,,,,,
78,Magong,2024-05-30 17:00,44,Good,,,,,,,
77,Kinmen,2024-05-30 17:00,68,Moderate,,,,,,,
75,Matsu,2024-05-30 17:00,45,Good,,,,,,,
72,Puli,2024-05-30 17:00,49,Good,,,,,,,
71,Fuxing,2024-05-30 17:00,23,Good,,,,,,,
70,Yonghe,2024-05-30 17:00,36,Good,,,,,,,
69,Zhushan,2024-05-30 17:00,58,Moderate,,,,,,,
68,Zhongli,2024-05-30 17:00,55,Moderate,,,,,,,
67,Sanchong,2024-05-30 17:00,55,Moderate,,,,,,,
66,Dongshan,2024-05-30 17:00,38,Good,,,,,,,
65,Yilan,2024-05-30 17:00,44,Good,,,,,,,
64,Yangming,2024-05-30 17:00,28,Good,,,,,,,
63,Hualien,2024-05-30 17:00,32,Good,,,,,,,
62,Taitung,2024-05-30 17:00,32,Good,,,,,,,
61,Hengchun,2024-05-30 17:00,31,Good,,,,,,,
60,Chaozhou,2024-05-30 17:00,29,Good,,,,,,,
59,Pingtung,2024-05-30 17:00,30,Good,,,,,,,
58,Xiaogang,2024-05-30 17:00,32,Good,,,,,,,
57,Qianzhen,2024-05-30 17:00,22,Good,,,,,,,
56,Qianjin,2024-05-30 17:00,23,Good,,,,,,,
54,Zuoying,2024-05-30 17:00,34,Good,,,,,,,
53,Nanzi,2024-05-30 17:00,26,Good,,,,,,,
52,Linyuan,2024-05-30 17:00,31,Good,,,,,,,
51,Daliao,2024-05-30 17:00,28,Good,,,,,,,
50,Fengshan,2024-05-30 17:00,27,Good,,,,,,,
49,Renwu,2024-05-30 17:00,30,Good,,,,,,,
48,Qiaotou,2024-05-30 17:00,27,Good,,,,,,,
47,Meinong,2024-05-30 17:00,33,Good,,,,,,,
46,Tainan,2024-05-30 17:00,38,Good,,,,,,,
45,Annan,2024-05-30 17:00,38,Good,,,,,,,
44,Shanhua,2024-05-30 17:00,36,Good,,,,,,,
43,Xinying,2024-05-30 17:00,42,Good,,,,,,,
42,Chiayi,2024-05-30 17:00,47,Good,,,,,,,
41,Taixi,2024-05-30 17:00,54,Moderate,,,,,,,
40,Puzi,2024-05-30 17:00,39,Good,,,,,,,
39,Xingang,2024-05-30 17:00,47,Good,,,,,,,
38,Lunbei,2024-05-30 17:00,44,Good,,,,,,,
37,Douliu,2024-05-30 17:00,49,Good,,,,,,,
36,Nantou,2024-05-30 17:00,61,Moderate,,,,,,,
35,Erlin,2024-05-30 17:00,67,Moderate,,,,,,,
34,Xianxi,2024-05-30 17:00,54,Moderate,,,,,,,
33,Changhua,2024-05-30 17:00,80,Moderate,,,,,,,
32,Xitun,2024-05-30 17:00,77,Moderate,,,,,,,
31,Zhongming,2024-05-30 17:00,46,Good,,,,,,,
30,Dali,2024-05-30 17:00,84,Moderate,,,,,,,
29,Shalu,2024-05-30 17:00,71,Moderate,,,,,,,
28,Fengyuan,2024-05-30 17:00,84,Moderate,,,,,,,
27,Sanyi,2024-05-30 17:00,58,Moderate,,,,,,,
26,Miaoli,2024-05-30 17:00,74,Moderate,,,,,,,
25,Toufen,2024-05-30 17:00,58,Moderate,,,,,,,
24,Hsinchu,2024-05-30 17:00,49,Good,,,,,,,
23,Zhudong,2024-05-30 17:00,64,Moderate,,,,,,,
22,Hukou,2024-05-30 17:00,51,Moderate,,,,,,,
21,Longtan,2024-05-30 17:00,44,Good,,,,,,,
20,Pingzhen,2024-05-30 17:00,39,Good,,,,,,,
19,Guanyin,2024-05-30 17:00,42,Good,,,,,,,
18,Dayuan,2024-05-30 17:00,38,Good,,,,,,,
17,Taoyuan,2024-05-30 17:00,44,Good,,,,,,,
16,Datong,2024-05-30 17:00,55,Moderate,,,,,,,
15,Songshan,2024-05-30 17:00,37,Good,,,,,,,
14,Guting,2024-05-30 17:00,37,Good,,,,,,,
13,Wanhua,2024-05-30 17:00,39,Good,,,,,,,
12,Zhongshan,2024-05-30 17:00,33,Good,,,,,,,
11,Shilin,2024-05-30 17:00,36,Good,,,,,,,
10,Tamsui,2024-05-30 17:00,37,Good,,,,,,,
9,Linkou,2024-05-30 17:00,39,Good,,,,,,,
8,Cailiao,2024-05-30 17:00,38,Good,,,,,,,
7,Xinzhuang,2024-05-30 17:00,42,Good,,,,,,,
6,Banqiao,2024-05-30 17:00,44,Good,,,,,,,
5,Tucheng,2024-05-30 17:00,51,Moderate,,,,,,,
4,Xindian,2024-05-30 17:00,44,Good,,,,,,,
3,Wanli,2024-05-30 17:00,44,Good,,,,,,,
2,Xizhi,2024-05-30 17:00,37,Good,,,,,,,
1,Keelung,2024-05-30 17:00,29,Good,,,,,,,
313,Pingtung（fangshan）,2024-05-30 16:00,32,Good,,,,,,,
312,Taichung（Rilana Elementary）,2024-05-30 16:00,49,Good,,,,,,,
311,New Taipei(Shulin),2024-05-30 16:00,43,Good,,,,,,,
204,Pingtung（Liuqiu）,2024-05-30 16:00,27,Good,,,,,,,
203,Tainan（Madou）,2024-05-30 16:00,31,Good,,,,,,,
202,Kaohsiung（Hunei）,2024-05-30 16:00,25,Good,,,,,,,
201,Changhua（Yuanlin）,2024-05-30 16:00,59,Moderate,,,,,,,
85,Dacheng,2024-05-30 16:00,61,Moderate,,,,,,,
84,FugueiCape,2024-05-30 16:00,44,Good,,,,,,,
83,Mailiao,2024-05-30 16:00,54,Moderate,,,,,,,
80,Guanshan,2024-05-30 16:00,28,Good,,,,,,,
78,Magong,2024-05-30 16:00,44,Good,,,,,,,
77,Kinmen,2024-05-30 16:00,64,Moderate,,,,,,,
75,Matsu,2024-05-30 16:00,44,Good,,,,,,,
72,Puli,2024-05-30 16:00,50,Good,,,,,,,
71,Fuxing,2024-05-30 16:00,23,Good,,,,,,,
70,Yonghe,2024-05-30 16:00,35,Good,,,,,,,
69,Zhushan,2024-05-30 16:00,63,Moderate,,,,,,,
68,Zhongli,2024-05-30 16:00,53,Moderate,,,,,,,
67,Sanchong,2024-05-30 16:00,56,Moderate,,,,,,,
66,Dongshan,2024-05-30 16:00,36,Good,,,,,,,
65,Yilan,2024-05-30 16:00,44,Good,,,,,,,
64,Yangming,2024-05-30 16:00,28,Good,,,,,,,
63,Hualien,2024-05-30 16:00,31,Good,,,,,,,
62,Taitung,2024-05-30 16:00,34,Good,,,,,,,
61,Hengchun,2024-05-30 16:00,32,Good,,,,,,,
60,Chaozhou,2024-05-30 16:00,29,Good,,,,,,,
59,Pingtung,2024-05-30 16:00,29,Good,,,,,,,
58,Xiaogang,2024-05-30 16:00,32,Good,,,,,,,
57,Qianzhen,2024-05-30 16:00,21,Good,,,,,,,
56,Qianjin,2024-05-30 16:00,23,Good,,,,,,,
54,Zuoying,2024-05-30 16:00,36,Good,,,,,,,
53,Nanzi,2024-05-30 16:00,27,Good,,,,,,,
52,Linyuan,2024-05-30 16:00,31,Good,,,,,,,
51,Daliao,2024-05-30 16:00,28,Good,,,,,,,
50,Fengshan,2024-05-30 16:00,27,Good,,,,,,,
49,Renwu,2024-05-30 16:00,30,Good,,,,,,,
48,Qiaotou,2024-05-30 16:00,27,Good,,,,,,,
47,Meinong,2024-05-30 16:00,32,Good,,,,,,,
46,Tainan,2024-05-30 16:00,40,Good,,,,,,,
45,Annan,2024-05-30 16:00,38,Good,,,,,,,
44,Shanhua,2024-05-30 16:00,35,Good,,,,,,,
43,Xinying,2024-05-30 16:00,42,Good,,,,,,,
42,Chiayi,2024-05-30 16:00,49,Good,,,,,,,
41,Taixi,2024-05-30 16:00,58,Moderate,,,,,,,
40,Puzi,2024-05-30 16:00,40,Good,,,,,,,
39,Xingang,2024-05-30 16:00,49,Good,,,,,,,
38,Lunbei,2024-05-30 16:00,48,Good,,,,,,,
37,Douliu,2024-05-30 16:00,51,Moderate,,,,,,,
36,Nantou,2024-05-30 16:00,64,Moderate,,,,,,,
35,Erlin,2024-05-30 16:00,64,Moderate,,,,,,,
34,Xianxi,2024-05-30 16:00,54,Moderate,,,,,,,
33,Changhua,2024-05-30 16:00,80,Moderate,,,,,,,
32,Xitun,2024-05-30 16:00,74,Moderate,,,,,,,
31,Zhongming,2024-05-30 16:00,44,Good,,,,,,,
30,Dali,2024-05-30 16:00,87,Moderate,,,,,,,
29,Shalu,2024-05-30 16:00,67,Moderate,,,,,,,
28,Fengyuan,2024-05-30 16:00,77,Moderate,,,,,,,
27,Sanyi,2024-05-30 16:00,50,Good,,,,,,,
26,Miaoli,2024-05-30 16:00,61,Moderate,,,,,,,
25,Toufen,2024-05-30 16:00,50,Good,,,,,,,
24,Hsinchu,2024-05-30 16:00,45,Good,,,,,,,
23,Zhudong,2024-05-30 16:00,60,Moderate,,,,,,,
22,Hukou,2024-05-30 16:00,54,Moderate,,,,,,,
21,Longtan,2024-05-30 16:00,48,Good,,,,,,,
20,Pingzhen,2024-05-30 16:00,38,Good,,,,,,,
19,Guanyin,2024-05-30 16:00,41,Good,,,,,,,
18,Dayuan,2024-05-30 16:00,36,Good,,,,,,,
17,Taoyuan,2024-05-30 16:00,43,Good,,,,,,,
16,Datong,2024-05-30 16:00,40,Good,,,,,,,
15,Songshan,2024-05-30 16:00,31,Good,,,,,,,
14,Guting,2024-05-30 16:00,34,Good,,,,,,,
13,Wanhua,2024-05-30 16:00,35,Good,,,,,,,
12,Zhongshan,2024-05-30 16:00,31,Good,,,,,,,
11,Shilin,2024-05-30 16:00,34,Good,,,,,,,
10,Tamsui,2024-05-30 16:00,38,Good,,,,,,,
9,Linkou,2024-05-30 16:00,36,Good,,,,,,,
8,Cailiao,2024-05-30 16:00,36,Good,,,,,,,
7,Xinzhuang,2024-05-30 16:00,40,Good,,,,,,,
6,Banqiao,2024-05-30 16:00,38,Good,,,,,,,
5,Tucheng,2024-05-30 16:00,48,Good,,,,,,,
4,Xindian,2024-05-30 16:00,42,Good,,,,,,,
3,Wanli,2024-05-30 16:00,46,Good,,,,,,,
2,Xizhi,2024-05-30 16:00,36,Good,,,,,,,
1,Keelung,2024-05-30 16:00,29,Good,,,,,,,
313,Pingtung（fangshan）,2024-05-31 05:00,21,Good,2.1,0.0,,,,,
312,Taichung（Rilana Elementary）,2024-05-31 05:00,19,Good,10.5,3.0,,,,,
311,New Taipei(Shulin),2024-05-31 05:00,53,Moderate,5.5,17.0,,,,,
204,Pingtung（Liuqiu）,2024-05-31 05:00,23,Good,0.6,6.0,,,,,
203,Tainan（Madou）,2024-05-31 05:00,17,Good,2.6,2.0,,,,,
202,Kaohsiung（Hunei）,2024-05-31 05:00,17,Good,4.2,6.0,,,,,
201,Changhua（Yuanlin）,2024-05-31 05:00,36,Good,5.8,12.0,,,,,
85,Dacheng,2024-05-31 05:00,15,Good,1.7,2.0,,,,,
84,FugueiCape,2024-05-31 05:00,32,Good,5.2,9.0,,,,,
83,Mailiao,2024-05-31 05:00,17,Good,2.1,3.0,,,,,
80,Guanshan,2024-05-31 05:00,24,Good,2.4,8.0,,,,,
78,Magong,2024-05-31 05:00,25,Good,4.3,1.0,,,,,
77,Kinmen,2024-05-31 05:00,84,Moderate,28.1,33.0,,,,,
75,Matsu,2024-05-31 05:00,43,Good,5.8,19.0,,,,,
72,Puli,2024-05-31 05:00,27,Good,2.3,6.0,,,,,
71,Fuxing,2024-05-31 05:00,18,Good,5.2,2.0,,,,,
70,Yonghe,2024-05-31 05:00,41,Good,5.3,15.0,,,,,
69,Zhushan,2024-05-31 05:00,27,Good,4.1,10.0,,,,,
68,Zhongli,2024-05-31 05:00,56,Moderate,15.3,17.0,,,,,
67,Sanchong,2024-05-31 05:00,36,Good,9.9,9.0,,,,,
66,Dongshan,2024-05-31 05:00,24,Good,6.2,8.0,,,,,
65,Yilan,2024-05-31 05:00,16,Good,3.1,1.0,,,,,
64,Yangming,2024-05-31 05:00,28,Good,1.4,4.0,,,,,
63,Hualien,2024-05-31 05:00,19,Good,2.9,4.0,,,,,
62,Taitung,2024-05-31 05:00,18,Good,1.8,5.0,,,,,
61,Hengchun,2024-05-31 05:00,25,Good,0.5,6.0,,,,,
60,Chaozhou,2024-05-31 05:00,17,Good,1.3,0.0,,,,,
59,Pingtung,2024-05-31 05:00,18,Good,4.2,1.0,,,,,
58,Xiaogang,2024-05-31 05:00,23,Good,10.5,7.0,,,,,
57,Qianzhen,2024-05-31 05:00,17,Good,6.2,3.0,,,,,
56,Qianjin,2024-05-31 05:00,17,Good,5.2,1.0,,,,,
54,Zuoying,2024-05-31 05:00,20,Good,4.7,5.0,,,,,
53,Nanzi,2024-05-31 05:00,20,Good,12.2,3.0,,,,,
52,Linyuan,2024-05-31 05:00,21,Good,2.4,3.0,,,,,
51,Daliao,2024-05-31 05:00,18,Good,8.4,6.0,,,,,
50,Fengshan,2024-05-31 05:00,19,Good,4.3,1.0,,,,,
49,Renwu,2024-05-31 05:00,21,Good,2.9,3.0,,,,,
48,Qiaotou,2024-05-31 05:00,17,Good,4.1,0.0,,,,,
47,Meinong,2024-05-31 05:00,16,Good,1.0,0.0,,,,,
46,Tainan,2024-05-31 05:00,26,Good,4.4,9.0,,,,,
45,Annan,2024-05-31 05:00,24,Good,3.4,7.0,,,,,
44,Shanhua,2024-05-31 05:00,19,Good,1.5,4.0,,,,,
43,Xinying,2024-05-31 05:00,19,Good,2.3,0.0,,,,,
42,Chiayi,2024-05-31 05:00,18,Good,0.8,0.0,,,,,
41,Taixi,2024-05-31 05:00,18,Good,2.0,0.0,,,,,
40,Puzi,2024-05-31 05:00,16,Good,3.0,,,,,,
39,Xingang,2024-05-31 05:00,20,Good,3.9,5.0,,,,,
38,Lunbei,2024-05-31 05:00,20,Good,5.5,6.0,,,,,
37,Douliu,2024-05-31 05:00,23,Good,3.8,4.0,,,,,
36,Nantou,2024-05-31 05:00,28,Good,5.7,1.0,,,,,
35,Erlin,2024-05-31 05:00,41,Good,5.3,10.0,,,,,
34,Xianxi,2024-05-31 05:00,26,Good,5.9,4.0,,,,,
33,Changhua,2024-05-31 05:00,18,Good,7.4,5.0,,,,,
32,Xitun,2024-05-31 05:00,24,Good,8.7,7.0,,,,,
31,Zhongming,2024-05-31 05:00,23,Good,3.9,5.0,,,,,
30,Dali,2024-05-31 05:00,21,Good,4.8,6.0,,,,,
29,Shalu,2024-05-31 05:00,22,Good,6.5,6.0,,,,,
28,Fengyuan,2024-05-31 05:00,18,Good,4.4,3.0,,,,,
27,Sanyi,2024-05-31 05:00,21,Good,0.8,5.0,,,,,
26,Miaoli,2024-05-31 05:00,38,Good,9.1,10.0,,,,,
25,Toufen,2024-05-31 05:00,34,Good,8.5,11.0,,,,,
24,Hsinchu,2024-05-31 05:00,33,Good,10.8,13.0,,,,,
23,Zhudong,2024-05-31 05:00,52,Moderate,4.9,18.0,,,,,
22,Hukou,2024-05-31 05:00,50,Good,13.0,15.0,,,,,
21,Longtan,2024-05-31 05:00,54,Moderate,10.7,11.0,,,,,
20,Pingzhen,2024-05-31 05:00,53,Moderate,19.8,20.0,,,,,
19,Guanyin,2024-05-31 05:00,44,Good,13.1,15.0,,,,,
18,Dayuan,2024-05-31 05:00,52,Moderate,25.2,17.0,,,,,
17,Taoyuan,2024-05-31 05:00,57,Moderate,20.9,22.0,,,,,
16,Datong,2024-05-31 05:00,38,Good,8.4,10.0,,,,,
15,Songshan,2024-05-31 05:00,41,Good,8.9,11.0,,,,,
14,Guting,2024-05-31 05:00,23,Good,4.0,7.0,,,,,
13,Wanhua,2024-05-31 05:00,28,Good,5.8,6.0,,,,,
12,Zhongshan,2024-05-31 05:00,26,Good,5.9,5.0,,,,,
11,Shilin,2024-05-31 05:00,42,Good,10.0,11.0,,,,,
10,Tamsui,2024-05-31 05:00,38,Good,17.7,11.0,,,,,
9,Linkou,2024-05-31 05:00,36,Good,18.3,11.0,,,,,
8,Cailiao,2024-05-31 05:00,32,Good,13.1,8.0,,,,,
7,Xinzhuang,2024-05-31 05:00,55,Moderate,16.2,20.0,,,,,
6,Banqiao,2024-05-31 05:00,41,Good,16.5,15.0,,,,,
5,Tucheng,2024-05-31 05:00,56,Moderate,13.2,19.0,,,,,
4,Xindian,2024-05-31 05:00,35,Good,3.2,9.0,,,,,
3,Wanli,2024-05-31 05:00,22,Good,6.1,5.0,,,,,
2,Xizhi,2024-05-31 05:00,46,Good,13.7,16.0,,,,,
1,Keelung,2024-05-31 05:00,24,Good,10.9,7.0,,,,,
313,Pingtung（fangshan）,2024-05-31 04:00,22,Good,1.8,0.0,,,,,
312,Taichung（Rilana Elementary）,2024-05-31 04:00,20,Good,9.3,1.0,,,,,
311,New Taipei(Shulin),2024-05-31 04:00,51,Moderate,6.5,15.0,,,,,
204,Pingtung（Liuqiu）,2024-05-31 04:00,24,Good,0.6,7.0,,,,,
203,Tainan（Madou）,2024-05-31 04:00,18,Good,3.2,5.0,,,,,
202,Kaohsiung（Hunei）,2024-05-31 04:00,16,Good,6.2,4.0,,,,,
201,Changhua（Yuanlin）,2024-05-31 04:00,36,Good,7.3,14.0,,,,,
85,Dacheng,2024-05-31 04:00,15,Good,0.9,2.0,,,,,
84,FugueiCape,2024-05-31 04:00,32,Good,6.0,15.0,,,,,
83,Mailiao,2024-05-31 04:00,19,Good,2.2,3.0,,,,,
80,Guanshan,2024-05-31 04:00,23,Good,1.9,5.0,,,,,
78,Magong,2024-05-31 04:00,25,Good,3.6,1.0,,,,,
77,Kinmen,2024-05-31 04:00,83,Moderate,26.0,32.0,,,,,
75,Matsu,2024-05-31 04:00,40,Good,4.2,17.0,,,,,
72,Puli,2024-05-31 04:00,30,Good,2.4,6.0,,,,,
71,Fuxing,2024-05-31 04:00,18,Good,3.7,2.0,,,,,
70,Yonghe,2024-05-31 04:00,41,Good,3.8,6.0,,,,,
69,Zhushan,2024-05-31 04:00,26,Good,4.0,7.0,,,,,
68,Zhongli,2024-05-31 04:00,54,Moderate,19.2,20.0,,,,,
67,Sanchong,2024-05-31 04:00,39,Good,8.8,11.0,,,,,
66,Dongshan,2024-05-31 04:00,25,Good,5.8,9.0,,,,,
65,Yilan,2024-05-31 04:00,15,Good,2.7,0.0,,,,,
64,Yangming,2024-05-31 04:00,28,Good,1.5,6.0,,,,,
63,Hualien,2024-05-31 04:00,20,Good,1.3,4.0,,,,,
62,Taitung,2024-05-31 04:00,18,Good,2.9,5.0,,,,,
61,Hengchun,2024-05-31 04:00,25,Good,0.5,4.0,,,,,
60,Chaozhou,2024-05-31 04:00,15,Good,1.3,2.0,,,,,
59,Pingtung,2024-05-31 04:00,19,Good,3.8,2.0,,,,,
58,Xiaogang,2024-05-31 04:00,31,Good,8.3,7.0,,,,,
57,Qianzhen,2024-05-31 04:00,17,Good,4.5,0.0,,,,,
56,Qianjin,2024-05-31 04:00,18,Good,4.3,1.0,,,,,
54,Zuoying,2024-05-31 04:00,22,Good,4.4,4.0,,,,,
53,Nanzi,2024-05-31 04:00,17,Good,6.1,3.0,,,,,
52,Linyuan,2024-05-31 04:00,23,Good,2.2,4.0,,,,,
51,Daliao,2024-05-31 04:00,19,Good,4.7,4.0,,,,,
50,Fengshan,2024-05-31 04:00,20,Good,3.1,0.0,,,,,
49,Renwu,2024-05-31 04:00,22,Good,2.5,3.0,,,,,
48,Qiaotou,2024-05-31 04:00,18,Good,3.2,0.0,,,,,
47,Meinong,2024-05-31 04:00,17,Good,0.8,0.0,,,,,
46,Tainan,2024-05-31 04:00,25,Good,4.8,7.0,,,,,
45,Annan,2024-05-31 04:00,24,Good,3.3,6.0,,,,,
44,Shanhua,2024-05-31 04:00,21,Good,1.8,6.0,,,,,
43,Xinying,2024-05-31 04:00,19,Good,2.3,0.0,,,,,
42,Chiayi,2024-05-31 04:00,19,Good,0.9,1.0,,,,,
41,Taixi,2024-05-31 04:00,19,Good,2.3,0.0,,,,,
40,Puzi,2024-05-31 04:00,16,Good,3.7,,,,,,
39,Xingang,2024-05-31 04:00,21,Good,3.3,5.0,,,,,
38,Lunbei,2024-05-31 04:00,19,Good,3.6,5.0,,,,,
37,Douliu,2024-05-31 04:00,23,Good,4.4,5.0,,,,,
36,Nantou,2024-05-31 04:00,28,Good,4.3,3.0,,,,,
35,Erlin,2024-05-31 04:00,42,Good,3.2,8.0,,,,,
34,Xianxi,2024-05-31 04:00,27,Good,6.6,5.0,,,,,
33,Changhua,2024-05-31 04:00,19,Good,7.1,3.0,,,,,
32,Xitun,2024-05-31 04:00,26,Good,8.1,6.0,,,,,
31,Zhongming,2024-05-31 04:00,25,Good,4.6,8.0,,,,,
30,Dali,2024-05-31 04:00,24,Good,4.3,2.0,,,,,
29,Shalu,2024-05-31 04:00,24,Good,7.1,5.0,,,,,
28,Fengyuan,2024-05-31 04:00,18,Good,4.2,3.0,,,,,
27,Sanyi,2024-05-31 04:00,23,Good,1.0,6.0,,,,,
26,Miaoli,2024-05-31 04:00,40,Good,9.7,10.0,,,,,
25,Toufen,2024-05-31 04:00,34,Good,6.0,9.0,,,,,
24,Hsinchu,2024-05-31 04:00,32,Good,12.0,9.0,,,,,
23,Zhudong,2024-05-31 04:00,53,Moderate,4.7,14.0,,,,,
22,Hukou,2024-05-31 04:00,49,Good,10.4,13.0,,,,,
21,Longtan,2024-05-31 04:00,57,Moderate,12.5,15.0,,,,,
20,Pingzhen,2024-05-31 04:00,48,Good,22.7,21.0,,,,,
19,Guanyin,2024-05-31 04:00,39,Good,11.2,17.0,,,,,
18,Dayuan,2024-05-31 04:00,48,Good,12.6,15.0,,,,,
17,Taoyuan,2024-05-31 04:00,53,Moderate,22.7,19.0,,,,,
16,Datong,2024-05-31 04:00,39,Good,8.8,12.0,,,,,
15,Songshan,2024-05-31 04:00,42,Good,10.9,9.0,,,,,
14,Guting,2024-05-31 04:00,24,Good,3.2,7.0,,,,,
13,Wanhua,2024-05-31 04:00,30,Good,7.1,8.0,,,,,
12,Zhongshan,2024-05-31 04:00,29,Good,7.0,5.0,,,,,
11,Shilin,2024-05-31 04:00,41,Good,10.1,17.0,,,,,
10,Tamsui,2024-05-31 04:00,37,Good,19.2,14.0,,,,,
9,Linkou,2024-05-31 04:00,37,Good,22.8,12.0,,,,,
8,Cailiao,2024-05-31 04:00,34,Good,13.1,8.0,,,,,
7,Xinzhuang,2024-05-31 04:00,55,Moderate,16.1,20.0,,,,,
6,Banqiao,2024-05-31 04:00,39,Good,16.6,12.0,,,,,
5,Tucheng,2024-05-31 04:00,55,Moderate,13.0,20.0,,,,,
4,Xindian,2024-05-31 04:00,37,Good,2.6,12.0,,,,,
3,Wanli,2024-05-31 04:00,23,Good,6.9,6.0,,,,,
