siteid,sitename,datacreationdate,aqi,status,o3,co,pm10,no,so2
10,Tamsui,2024-05-30 20:00,45,Good,17.5,0.25,28,1.3,3.6
9,Linkou,2024-05-30 20:00,38,Good,31.5,0.24,30,7,1.3
8,Cailiao,2024-05-30 20:00,35,Good,23.5,0.41,23,1.3,1.1
7,Xinzhuang,2024-05-30 20:00,38,Good,18.2,0.48,13,0.3,0.8
6,Banqiao,2024-05-30 20:00,42,Good,20.2,0.58,22,0.9,2.3
5,Tucheng,2024-05-30 20:00,55,Moderate,7.9,0.65,28,1.8,1.8
4,Xindian,2024-05-30 20:00,38,Good,18.6,0.38,18,1.7,0.9
3,Wanli,2024-05-30 20:00,35,Good,14.4,0.24,18,1.7,0.2
2,Xizhi,2024-05-30 20:00,51,Moderate,1.1,0.6,23,14.7,1.8
1,Keelung,2024-05-30 20:00,28,Good,3.3,0.48,20,4.8,1.2
313,Pingtung（fangshan）,2024-05-30 19:00,33,Good,35.1,0.09,19,0,0
312,Taichung（Rilana Elementary）,2024-05-30 19:00,48,Good,41.3,0.05,40,0.2,0.5
311,New Taipei(Shulin),2024-05-30 19:00,52,Moderate,13.8,0.47,22,1.8,2.7
204,Pingtung（Liuqiu）,2024-05-30 19:00,28,Good,30.6,0.11,9,1.3,0.7
203,Tainan（Madou）,2024-05-30 19:00,31,Good,26.3,0.17,15,1.2,0.4
202,Kaohsiung（Hunei）,2024-05-30 19:00,23,Good,19.9,0.18,15,2.6,0.5
201,Changhua（Yuanlin）,2024-05-30 19:00,46,Good,31.6,0.28,26,0.9,2.2
85,Dacheng,2024-05-30 19:00,51,Moderate,35.1,0.1,19,0.6,1
84,FugueiCape,2024-05-30 19:00,43,Good,36.8,0.13,26,0.1,0.2
83,Mailiao,2024-05-30 19:00,45,Good,26.6,0.17,17,0,1.2
80,Guanshan,2024-05-30 19:00,28,Good,23.4,0.12,6,0.3,0.6
78,Magong,2024-05-30 19:00,40,Good,31.7,0.18,4,1.3,1
77,Kinmen,2024-05-30 19:00,77,Moderate,39.4,0.37,38,0.5,1.7
75,Matsu,2024-05-30 19:00,47,Good,44.6,0.18,19,0.5,0.7
72,Puli,2024-05-30 19:00,47,Good,27.4,0.32,15,1.6,1
71,Fuxing,2024-05-30 19:00,25,Good,17.4,0.33,12,2.7,2.2
70,Yonghe,2024-05-30 19:00,35,Good,16.6,0.82,13,7.6,0.8
69,Zhushan,2024-05-30 19:00,45,Good,26.2,0.21,13,0.5,1.1
68,Zhongli,2024-05-30 19:00,52,Moderate,11.7,1.08,19,22.9,1.8
67,Sanchong,2024-05-30 19:00,60,Moderate,5.3,2.07,20,77.7,1.2
66,Dongshan,2024-05-30 19:00,38,Good,36.4,0.21,20,1.1,0.5
65,Yilan,2024-05-30 19:00,43,Good,39.6,0.2,18,0.4,0.9
64,Yangming,2024-05-30 19:00,28,Good,19.7,0.16,10,0.5,1
63,Hualien,2024-05-30 19:00,32,Good,24.4,0.27,14,0.7,0.3
62,Taitung,2024-05-30 19:00,29,Good,24.8,0.3,7,2.3,0.3
61,Hengchun,2024-05-30 19:00,31,Good,31.9,0.1,9,0.6,0.6
60,Chaozhou,2024-05-30 19:00,29,Good,27.9,0.11,13,0.2,0.9
59,Pingtung,2024-05-30 19:00,27,Good,25.6,0.28,13,0.8,0.5
