pm10,o3,co,no2,no,so2,siteid,sitename,datacreationdate,aqi,status,pm2.5
23.0,14.4,0.11,1.8,1.8,0.0,62,Taitung,2024-05-31 00:00,20,Good,
15.0,28.4,0.1,0.9,0.5,0.6,61,Hengchun,2024-05-31 00:00,28,Good,
16.0,21.3,0.07,2.6,0.2,0.6,60,Chaozhou,2024-05-31 00:00,20,Good,
16.0,22.7,0.12,4.4,0.5,0.5,59,Pingtung,2024-05-31 00:00,22,Good,
7.0,20.5,0.21,8.1,0.8,8.3,58,Xiaogang,2024-05-31 00:00,26,Good,
11.0,20.0,0.13,9.9,2.1,0.9,57,Qianzhen,2024-05-31 00:00,17,Good,
5.0,20.4,0.1,9.7,0.0,1.3,56,Qianjin,2024-05-31 00:00,19,Good,
8.0,20.8,0.14,9.1,0.0,1.9,54,Zuoying,2024-05-31 00:00,31,Good,
15.0,14.9,0.36,15.8,0.7,1.6,53,Nanzi,2024-05-31 00:00,25,Good,
28.0,30.3,0.09,0.7,0.6,0.6,52,Linyuan,2024-05-31 00:00,30,Good,
11.0,26.2,0.09,1.8,0.2,0.3,51,Daliao,2024-05-31 00:00,25,Good,
12.0,23.5,0.2,5.9,0.4,0.9,50,Fengshan,2024-05-31 00:00,22,Good,
9.0,20.9,0.34,9.5,0.7,1.7,49,Renwu,2024-05-31 00:00,26,Good,
9.0,17.3,0.26,10.9,0.1,0.9,48,Qiaotou,2024-05-31 00:00,19,Good,
26.0,11.8,0.16,2.7,1.3,0.7,47,Meinong,2024-05-31 00:00,20,Good,
12.0,15.0,0.21,12.0,0.5,1.6,46,Tainan,2024-05-31 00:00,29,Good,
14.0,15.5,0.24,12.8,1.8,1.8,45,Annan,2024-05-31 00:00,30,Good,
12.0,17.4,0.09,2.8,1.2,0.2,44,Shanhua,2024-05-31 00:00,27,Good,
14.0,19.5,0.15,3.5,0.5,0.0,43,Xinying,2024-05-31 00:00,24,Good,
15.0,14.6,0.17,6.1,1.0,1.5,42,Chiayi,2024-05-31 00:00,24,Good,
21.0,16.3,0.17,5.9,1.0,1.5,41,Taixi,2024-05-31 00:00,23,Good,
17.0,18.1,0.15,5.4,1.4,1.2,40,Puzi,2024-05-31 00:00,21,Good,
15.0,19.9,0.12,3.8,1.5,0.4,39,Xingang,2024-05-31 00:00,29,Good,
13.0,14.3,0.15,5.3,3.6,1.0,38,Lunbei,2024-05-31 00:00,31,Good,
26.0,10.9,0.14,3.0,1.3,1.0,37,Douliu,2024-05-31 00:00,28,Good,
30.0,7.0,0.16,5.7,0.6,0.2,36,Nantou,2024-05-31 00:00,25,Good,
24.0,13.2,0.14,8.6,0.5,0.7,35,Erlin,2024-05-31 00:00,51,Moderate,
21.0,20.0,0.17,3.7,1.1,0.6,34,Xianxi,2024-05-31 00:00,38,Good,
23.0,12.4,0.26,11.1,1.3,1.0,33,Changhua,2024-05-31 00:00,36,Good,
28.0,5.5,0.28,16.0,1.4,1.0,32,Xitun,2024-05-31 00:00,35,Good,
20.0,12.0,0.27,9.3,1.0,0.9,31,Zhongming,2024-05-31 00:00,27,Good,
23.0,9.7,0.28,8.2,0.8,1.2,30,Dali,2024-05-31 00:00,40,Good,
13.0,22.6,0.21,8.0,0.0,0.8,29,Shalu,2024-05-31 00:00,35,Good,
15.0,21.4,0.2,4.6,0.8,0.4,28,Fengyuan,2024-05-31 00:00,27,Good,
11.0,23.7,0.15,1.5,0.9,0.5,27,Sanyi,2024-05-31 00:00,32,Good,
24.0,25.8,0.21,6.8,1.0,1.4,26,Miaoli,2024-05-31 00:00,43,Good,
32.0,22.4,0.25,7.2,1.3,1.5,25,Toufen,2024-05-31 00:00,39,Good,
23.0,31.6,0.28,9.6,0.8,1.2,24,Hsinchu,2024-05-31 00:00,35,Good,
29.0,8.6,0.25,6.3,0.8,0.4,23,Zhudong,2024-05-31 00:00,54,Moderate,
21.0,13.1,0.3,15.8,0.8,0.6,22,Hukou,2024-05-31 00:00,53,Moderate,
28.0,7.5,0.39,19.3,0.8,1.0,21,Longtan,2024-05-31 00:00,56,Moderate,
32.0,13.8,0.32,24.0,0.4,0.8,20,Pingzhen,2024-05-31 00:00,40,Good,
15.0,30.9,0.16,6.9,0.1,1.0,19,Guanyin,2024-05-31 00:00,30,Good,
24.0,23.2,0.33,13.5,0.8,3.0,18,Dayuan,2024-05-31 00:00,41,Good,
21.0,32.5,0.27,8.9,0.3,1.3,17,Taoyuan,2024-05-31 00:00,44,Good,
26.0,1.8,1.39,20.0,33.6,1.2,16,Datong,2024-05-31 00:00,37,Good,
21.0,2.9,0.61,25.7,13.6,0.8,15,Songshan,2024-05-31 00:00,48,Good,
17.0,7.9,0.32,10.4,1.7,0.4,14,Guting,2024-05-31 00:00,28,Good,
17.0,7.6,0.39,14.5,2.9,0.4,13,Wanhua,2024-05-31 00:00,39,Good,
17.0,5.3,0.49,16.6,2.4,0.6,12,Zhongshan,2024-05-31 00:00,32,Good,
21.0,3.0,0.51,23.0,1.7,0.5,11,Shilin,2024-05-31 00:00,38,Good,
19.0,24.0,0.29,9.9,1.0,1.3,10,Tamsui,2024-05-31 00:00,37,Good,
25.0,27.3,0.3,14.6,0.3,2.6,9,Linkou,2024-05-31 00:00,31,Good,
21.0,3.4,0.65,26.0,3.6,1.0,8,Cailiao,2024-05-31 00:00,43,Good,
21.0,13.1,0.5,19.4,0.1,0.9,7,Xinzhuang,2024-05-31 00:00,45,Good,
29.0,1.7,0.72,30.0,3.0,1.0,6,Banqiao,2024-05-31 00:00,50,Good,
27.0,4.2,0.5,21.7,2.8,0.3,5,Tucheng,2024-05-31 00:00,58,Moderate,
21.0,10.6,0.24,6.3,1.2,0.9,4,Xindian,2024-05-31 00:00,36,Good,
22.0,4.5,0.28,6.7,2.1,0.0,3,Wanli,2024-05-31 00:00,28,Good,
23.0,0.5,0.44,19.8,11.3,1.5,2,Xizhi,2024-05-31 00:00,42,Good,
21.0,0.4,0.51,16.7,9.2,1.0,1,Keelung,2024-05-31 00:00,27,Good,
14.0,21.0,0.1,2.3,0.3,0.0,313,Pingtung（fangshan）,2024-05-30 23:00,28,Good,
28.0,18.2,0.09,11.2,3.2,0.3,312,Taichung（Rilana Elementary）,2024-05-30 23:00,33,Good,
25.0,9.0,0.34,11.5,1.8,1.0,311,New Taipei(Shulin),2024-05-30 23:00,53,Moderate,
11.0,27.0,0.06,1.0,1.2,0.4,204,Pingtung（Liuqiu）,2024-05-30 23:00,27,Good,
15.0,19.1,0.15,7.3,1.0,,203,Tainan（Madou）,2024-05-30 23:00,23,Good,
17.0,14.6,0.31,8.9,1.4,1.7,202,Kaohsiung（Hunei）,2024-05-30 23:00,18,Good,
27.0,16.5,0.27,9.9,0.5,1.7,201,Changhua（Yuanlin）,2024-05-30 23:00,44,Good,
12.0,15.1,0.12,5.3,0.3,0.8,85,Dacheng,2024-05-30 23:00,31,Good,
29.0,27.2,0.16,4.6,0.1,0.3,84,FugueiCape,2024-05-30 23:00,34,Good,
19.0,16.8,0.2,8.2,1.0,1.3,83,Mailiao,2024-05-30 23:00,25,Good,
16.0,9.8,0.13,2.7,0.4,0.4,80,Guanshan,2024-05-30 23:00,18,Good,
4.0,26.2,0.15,6.3,1.4,0.9,78,Magong,2024-05-30 23:00,28,Good,
31.0,11.2,0.34,21.7,1.0,1.7,77,Kinmen,2024-05-30 23:00,74,Moderate,
24.0,39.8,0.21,5.4,0.5,1.1,75,Matsu,2024-05-30 23:00,41,Good,
20.0,8.8,0.25,6.9,1.6,0.9,72,Puli,2024-05-30 23:00,37,Good,
7.0,20.1,0.17,8.2,1.4,2.2,71,Fuxing,2024-05-30 23:00,20,Good,
16.0,5.9,0.49,10.4,5.4,1.0,70,Yonghe,2024-05-30 23:00,41,Good,
25.0,7.4,0.13,4.5,0.8,0.8,69,Zhushan,2024-05-30 23:00,40,Good,
30.0,14.5,0.63,24.3,16.7,2.0,68,Zhongli,2024-05-30 23:00,49,Good,
22.0,8.2,0.84,30.9,25.2,1.1,67,Sanchong,2024-05-30 23:00,50,Good,
28.0,7.5,0.7,14.7,1.7,0.4,66,Dongshan,2024-05-30 23:00,27,Good,
13.0,18.9,0.2,4.1,0.4,1.1,65,Yilan,2024-05-30 23:00,31,Good,
18.0,33.5,0.18,3.3,0.5,0.9,64,Yangming,2024-05-30 23:00,24,Good,
14.0,18.3,0.21,3.5,0.3,0.3,63,Hualien,2024-05-30 23:00,28,Good,
18.0,17.0,0.16,3.4,1.8,0.1,62,Taitung,2024-05-30 23:00,22,Good,
12.0,24.3,0.11,2.0,0.6,0.6,61,Hengchun,2024-05-30 23:00,28,Good,
26.0,11.0,0.09,4.1,0.0,0.5,60,Chaozhou,2024-05-30 23:00,21,Good,
20.0,19.7,0.21,6.7,0.5,0.6,59,Pingtung,2024-05-30 23:00,23,Good,
9.0,27.1,0.11,4.3,0.6,9.7,58,Xiaogang,2024-05-30 23:00,26,Good,
9.0,18.8,0.24,11.1,2.7,1.5,57,Qianzhen,2024-05-30 23:00,18,Good,
11.0,14.9,0.12,14.5,0.0,2.7,56,Qianjin,2024-05-30 23:00,23,Good,
14.0,19.0,0.3,11.6,0.1,3.1,54,Zuoying,2024-05-30 23:00,29,Good,
20.0,20.7,0.29,10.8,0.5,0.7,53,Nanzi,2024-05-30 23:00,22,Good,
17.0,30.2,0.1,1.1,0.7,0.8,52,Linyuan,2024-05-30 23:00,30,Good,
11.0,23.7,0.11,2.4,0.2,0.3,51,Daliao,2024-05-30 23:00,25,Good,
10.0,22.6,0.28,5.9,0.7,0.6,50,Fengshan,2024-05-30 23:00,23,Good,
7.0,26.3,0.22,4.9,0.7,0.8,49,Renwu,2024-05-30 23:00,28,Good,
16.0,22.2,0.26,7.6,0.2,0.5,48,Qiaotou,2024-05-30 23:00,21,Good,
19.0,14.3,0.15,2.7,1.1,0.6,47,Meinong,2024-05-30 23:00,23,Good,
14.0,18.8,0.19,9.9,0.6,1.6,46,Tainan,2024-05-30 23:00,27,Good,
15.0,19.6,0.24,10.2,1.8,1.4,45,Annan,2024-05-30 23:00,32,Good,
18.0,20.6,0.1,2.5,0.9,0.4,44,Shanhua,2024-05-30 23:00,24,Good,
20.0,20.1,0.14,3.9,0.5,0.0,43,Xinying,2024-05-30 23:00,25,Good,
11.0,19.3,0.16,5.1,0.8,1.4,42,Chiayi,2024-05-30 23:00,26,Good,
18.0,17.1,0.16,5.9,1.0,1.4,41,Taixi,2024-05-30 23:00,27,Good,
19.0,14.5,0.22,8.5,2.4,1.6,40,Puzi,2024-05-30 23:00,22,Good,
17.0,21.9,0.12,3.4,1.4,0.6,39,Xingang,2024-05-30 23:00,32,Good,
15.0,16.6,0.15,3.7,1.1,0.8,38,Lunbei,2024-05-30 23:00,35,Good,
23.0,14.1,0.19,5.7,1.3,1.2,37,Douliu,2024-05-30 23:00,29,Good,
27.0,7.2,0.21,7.7,0.6,0.3,36,Nantou,2024-05-30 23:00,26,Good,
38.0,17.1,0.13,5.5,1.6,0.5,35,Erlin,2024-05-30 23:00,55,Moderate,
28.0,22.9,0.23,5.4,1.3,0.6,34,Xianxi,2024-05-30 23:00,43,Good,
25.0,15.8,0.26,10.2,1.5,0.9,33,Changhua,2024-05-30 23:00,37,Good,
25.0,8.0,0.3,16.5,1.2,1.0,32,Xitun,2024-05-30 23:00,34,Good,
19.0,14.1,0.29,11.0,1.2,1.1,31,Zhongming,2024-05-30 23:00,28,Good,
22.0,10.8,0.27,10.0,1.1,1.2,30,Dali,2024-05-30 23:00,39,Good,
21.0,22.6,0.26,11.7,0.2,0.9,29,Shalu,2024-05-30 23:00,39,Good,
16.0,28.2,0.18,4.4,0.9,0.5,28,Fengyuan,2024-05-30 23:00,31,Good,
13.0,30.9,0.13,0.4,1.0,0.5,27,Sanyi,2024-05-30 23:00,36,Good,
30.0,27.3,0.19,7.7,1.2,1.4,26,Miaoli,2024-05-30 23:00,41,Good,
24.0,19.6,0.29,8.3,1.3,1.4,25,Toufen,2024-05-30 23:00,39,Good,
29.0,33.3,0.32,10.3,0.6,1.1,24,Hsinchu,2024-05-30 23:00,36,Good,
27.0,10.5,0.28,7.2,0.5,0.3,23,Zhudong,2024-05-30 23:00,54,Moderate,
25.0,25.0,0.26,9.1,0.4,0.8,22,Hukou,2024-05-30 23:00,53,Moderate,
31.0,15.3,0.39,16.3,0.3,1.7,21,Longtan,2024-05-30 23:00,56,Moderate,
28.0,19.0,0.32,19.2,0.0,0.7,20,Pingzhen,2024-05-30 23:00,39,Good,
17.0,24.0,0.18,11.2,0.1,1.0,19,Guanyin,2024-05-30 23:00,31,Good,
28.0,16.9,0.31,18.8,1.0,1.1,18,Dayuan,2024-05-30 23:00,39,Good,
21.0,30.9,0.28,13.5,0.4,1.5,17,Taoyuan,2024-05-30 23:00,44,Good,
28.0,3.5,1.91,30.6,55.1,1.8,16,Datong,2024-05-30 23:00,50,Good,
19.0,9.0,0.53,23.6,8.6,1.2,15,Songshan,2024-05-30 23:00,45,Good,
14.0,6.8,0.35,11.2,2.6,0.8,14,Guting,2024-05-30 23:00,28,Good,
18.0,4.9,0.54,21.5,3.4,0.8,13,Wanhua,2024-05-30 23:00,38,Good,
25.0,9.5,0.51,21.8,1.3,1.1,12,Zhongshan,2024-05-30 23:00,35,Good,
22.0,8.4,0.47,25.2,2.2,0.9,11,Shilin,2024-05-30 23:00,42,Good,
21.0,24.4,0.33,14.3,1.1,1.2,10,Tamsui,2024-05-30 23:00,36,Good,
22.0,30.5,0.34,,,2.5,9,Linkou,2024-05-30 23:00,31,Good,
20.0,18.8,0.58,23.2,0.5,1.7,8,Cailiao,2024-05-30 23:00,38,Good,
25.0,12.7,0.56,23.4,0.7,1.6,7,Xinzhuang,2024-05-30 23:00,42,Good,
30.0,9.4,0.59,26.2,1.0,1.2,6,Banqiao,2024-05-30 23:00,43,Good,
33.0,5.3,0.55,24.6,2.7,0.5,5,Tucheng,2024-05-30 23:00,57,Moderate,
12.0,12.0,0.31,8.8,1.8,0.8,4,Xindian,2024-05-30 23:00,34,Good,
21.0,5.4,0.27,7.1,2.0,0.2,3,Wanli,2024-05-30 23:00,28,Good,
26.0,1.4,0.56,23.3,13.6,0.7,2,Xizhi,2024-05-30 23:00,43,Good,
27.0,0.4,0.61,18.3,9.8,1.3,1,Keelung,2024-05-30 23:00,30,Good,
12.0,22.7,0.1,2.7,0.4,0.0,313,Pingtung（fangshan）,2024-05-30 22:00,30,Good,
25.0,17.4,0.1,12.7,2.7,0.3,312,Taichung（Rilana Elementary）,2024-05-30 22:00,36,Good,
26.0,7.0,0.39,15.6,2.1,1.0,311,New Taipei(Shulin),2024-05-30 22:00,52,Moderate,
6.0,28.6,0.07,1.3,1.1,0.5,204,Pingtung（Liuqiu）,2024-05-30 22:00,27,Good,
14.0,19.2,0.16,7.5,1.1,0.2,203,Tainan（Madou）,2024-05-30 22:00,25,Good,
10.0,16.3,0.26,8.8,1.3,1.8,202,Kaohsiung（Hunei）,2024-05-30 22:00,19,Good,
27.0,16.2,0.32,12.3,0.4,1.7,201,Changhua（Yuanlin）,2024-05-30 22:00,43,Good,
15.0,16.2,0.11,4.7,0.5,0.6,85,Dacheng,2024-05-30 22:00,35,Good,
27.0,33.2,0.13,1.8,0.0,0.3,84,FugueiCape,2024-05-30 22:00,36,Good,
16.0,17.4,0.24,8.9,1.8,1.1,83,Mailiao,2024-05-30 22:00,30,Good,
10.0,14.8,0.13,3.2,0.4,0.4,80,Guanshan,2024-05-30 22:00,20,Good,
7.0,24.8,0.2,7.8,1.7,0.8,78,Magong,2024-05-30 22:00,29,Good,
24.0,16.4,0.35,17.1,0.6,1.7,77,Kinmen,2024-05-30 22:00,76,Moderate,
23.0,37.1,0.22,8.7,0.8,1.4,75,Matsu,2024-05-30 22:00,42,Good,
25.0,9.4,0.31,8.2,1.5,0.9,72,Puli,2024-05-30 22:00,39,Good,
10.0,20.3,0.33,12.1,1.8,1.8,71,Fuxing,2024-05-30 22:00,20,Good,
18.0,6.0,0.72,19.9,6.3,1.5,70,Yonghe,2024-05-30 22:00,42,Good,
27.0,7.8,0.18,6.1,0.7,0.9,69,Zhushan,2024-05-30 22:00,41,Good,
25.0,16.8,0.86,28.1,27.2,2.3,68,Zhongli,2024-05-30 22:00,48,Good,
18.0,11.7,0.76,35.8,28.4,1.3,67,Sanchong,2024-05-30 22:00,54,Moderate,
24.0,21.2,0.32,3.7,0.8,0.3,66,Dongshan,2024-05-30 22:00,31,Good,
9.0,20.1,0.31,6.6,1.1,1.4,65,Yilan,2024-05-30 22:00,34,Good,
14.0,27.9,0.2,3.6,0.5,0.7,64,Yangming,2024-05-30 22:00,24,Good,
12.0,18.4,0.25,4.6,0.7,0.3,63,Hualien,2024-05-30 22:00,29,Good,
13.0,22.3,0.19,3.9,1.8,0.0,62,Taitung,2024-05-30 22:00,24,Good,
7.0,26.5,0.11,1.6,0.6,0.6,61,Hengchun,2024-05-30 22:00,29,Good,
23.0,12.8,0.1,3.9,0.3,0.6,60,Chaozhou,2024-05-30 22:00,24,Good,
19.0,23.1,0.24,7.5,0.7,0.6,59,Pingtung,2024-05-30 22:00,25,Good,
14.0,23.9,0.22,9.7,1.1,2.4,58,Xiaogang,2024-05-30 22:00,25,Good,
10.0,18.2,0.35,13.3,3.5,2.2,57,Qianzhen,2024-05-30 22:00,22,Good,
12.0,19.9,0.22,10.2,0.0,4.3,56,Qianjin,2024-05-30 22:00,21,Good,
15.0,18.2,0.4,13.6,0.1,2.3,54,Zuoying,2024-05-30 22:00,29,Good,
16.0,23.5,0.18,9.7,0.4,0.6,53,Nanzi,2024-05-30 22:00,24,Good,
15.0,30.5,0.1,1.0,0.6,0.7,52,Linyuan,2024-05-30 22:00,31,Good,
11.0,25.1,0.11,3.1,0.3,0.3,51,Daliao,2024-05-30 22:00,26,Good,
19.0,25.1,0.31,6.0,0.9,0.7,50,Fengshan,2024-05-30 22:00,24,Good,
7.0,30.0,0.17,3.7,0.8,0.8,49,Renwu,2024-05-30 22:00,28,Good,
10.0,21.7,0.39,8.6,0.4,0.9,48,Qiaotou,2024-05-30 22:00,22,Good,
19.0,14.9,0.14,3.1,1.3,0.6,47,Meinong,2024-05-30 22:00,26,Good,
22.0,17.2,0.24,13.7,0.6,1.6,46,Tainan,2024-05-30 22:00,28,Good,
21.0,17.7,0.24,11.6,2.0,1.3,45,Annan,2024-05-30 22:00,34,Good,
12.0,20.8,0.1,2.7,0.9,0.7,44,Shanhua,2024-05-30 22:00,25,Good,
15.0,20.9,0.15,4.0,0.3,0.0,43,Xinying,2024-05-30 22:00,26,Good,
15.0,21.2,0.14,4.9,1.0,1.4,42,Chiayi,2024-05-30 22:00,27,Good,
16.0,20.2,0.15,5.0,1.1,1.3,41,Taixi,2024-05-30 22:00,32,Good,
19.0,17.6,0.18,6.6,2.2,1.3,40,Puzi,2024-05-30 22:00,25,Good,
15.0,24.1,0.12,3.7,1.7,0.8,39,Xingang,2024-05-30 22:00,33,Good,
14.0,19.8,0.15,4.0,1.1,0.9,38,Lunbei,2024-05-30 22:00,37,Good,
24.0,16.1,0.25,10.3,1.3,1.7,37,Douliu,2024-05-30 22:00,26,Good,
22.0,9.8,0.2,7.2,0.9,0.2,36,Nantou,2024-05-30 22:00,29,Good,
26.0,20.5,0.18,5.1,1.9,0.6,35,Erlin,2024-05-30 22:00,56,Moderate,
32.0,27.4,0.23,5.4,1.6,0.9,34,Xianxi,2024-05-30 22:00,39,Good,
17.0,20.6,0.23,8.6,1.5,0.7,33,Changhua,2024-05-30 22:00,39,Good,
24.0,15.4,0.31,14.9,0.8,1.0,32,Xitun,2024-05-30 22:00,38,Good,
15.0,14.7,0.36,12.3,1.4,0.9,31,Zhongming,2024-05-30 22:00,30,Good,
16.0,11.5,0.33,10.9,2.0,1.3,30,Dali,2024-05-30 22:00,37,Good,
20.0,19.5,0.37,16.7,0.4,1.0,29,Shalu,2024-05-30 22:00,41,Good,
17.0,20.4,0.2,6.7,1.0,0.4,28,Fengyuan,2024-05-30 22:00,38,Good,
12.0,31.0,0.13,0.4,1.1,0.5,27,Sanyi,2024-05-30 22:00,39,Good,
28.0,26.2,0.2,8.8,1.2,1.3,26,Miaoli,2024-05-30 22:00,41,Good,
27.0,31.4,0.25,6.8,1.3,1.5,25,Toufen,2024-05-30 22:00,39,Good,
27.0,34.3,0.31,12.3,0.7,1.7,24,Hsinchu,2024-05-30 22:00,38,Good,
23.0,11.0,0.29,8.2,0.6,0.3,23,Zhudong,2024-05-30 22:00,55,Moderate,
23.0,31.0,0.23,6.2,0.2,1.0,22,Hukou,2024-05-30 22:00,56,Moderate,
30.0,20.6,0.4,18.4,0.3,2.1,21,Longtan,2024-05-30 22:00,56,Moderate,
28.0,27.1,0.29,15.0,0.0,1.0,20,Pingzhen,2024-05-30 22:00,40,Good,
15.0,31.2,0.16,7.7,0.2,0.7,19,Guanyin,2024-05-30 22:00,32,Good,
31.0,18.2,0.34,18.1,1.2,1.5,18,Dayuan,2024-05-30 22:00,40,Good,
27.0,23.7,0.39,19.5,0.4,2.3,17,Taoyuan,2024-05-30 22:00,44,Good,
20.0,12.7,1.45,33.3,19.1,1.7,16,Datong,2024-05-30 22:00,52,Moderate,
24.0,6.9,0.62,26.5,9.7,1.1,15,Songshan,2024-05-30 22:00,43,Good,
16.0,10.6,0.36,14.0,2.1,0.7,14,Guting,2024-05-30 22:00,31,Good,
26.0,23.0,0.64,27.3,1.0,1.8,13,Wanhua,2024-05-30 22:00,45,Good,
17.0,16.6,0.64,28.1,4.6,1.3,12,Zhongshan,2024-05-30 22:00,47,Good,
22.0,15.5,0.34,23.7,0.9,1.1,11,Shilin,2024-05-30 22:00,38,Good,
20.0,13.9,0.44,16.8,1.6,1.2,10,Tamsui,2024-05-30 22:00,36,Good,
21.0,34.0,0.31,15.8,0.0,2.1,9,Linkou,2024-05-30 22:00,33,Good,
22.0,29.6,0.42,20.0,0.4,1.6,8,Cailiao,2024-05-30 22:00,33,Good,
24.0,16.6,0.56,22.8,0.3,2.4,7,Xinzhuang,2024-05-30 22:00,40,Good,
29.0,12.2,0.55,26.8,0.9,1.9,6,Banqiao,2024-05-30 22:00,43,Good,
30.0,6.7,0.54,26.8,2.5,0.7,5,Tucheng,2024-05-30 22:00,56,Moderate,
18.0,10.2,0.33,10.6,2.3,0.7,4,Xindian,2024-05-30 22:00,33,Good,
30.0,7.4,0.25,7.8,2.0,0.1,3,Wanli,2024-05-30 22:00,29,Good,
25.0,3.7,0.56,26.6,7.3,0.8,2,Xizhi,2024-05-30 22:00,43,Good,
22.0,0.4,0.59,18.4,11.5,1.5,1,Keelung,2024-05-30 22:00,30,Good,
8.0,25.5,0.09,3.6,0.3,0.0,313,Pingtung（fangshan）,2024-05-30 21:00,31,Good,1.0
29.0,28.5,0.07,8.0,1.2,0.3,312,Taichung（Rilana Elementary）,2024-05-30 21:00,41,Good,11.0
33.0,6.8,0.46,20.7,3.1,1.2,311,New Taipei(Shulin),2024-05-30 21:00,52,Moderate,19.0
11.0,28.8,0.07,1.0,1.3,0.6,204,Pingtung（Liuqiu）,2024-05-30 21:00,28,Good,6.0
22.0,12.2,0.25,17.4,2.0,0.3,203,Tainan（Madou）,2024-05-30 21:00,28,Good,9.0
17.0,12.4,0.34,13.2,1.8,1.5,202,Kaohsiung（Hunei）,2024-05-30 21:00,22,Good,8.0
29.0,19.2,0.4,11.3,0.8,1.7,201,Changhua（Yuanlin）,2024-05-30 21:00,40,Good,11.0
13.0,19.3,0.09,4.4,0.2,0.6,85,Dacheng,2024-05-30 21:00,41,Good,4.0
21.0,30.3,0.15,3.7,0.1,0.2,84,FugueiCape,2024-05-30 21:00,38,Good,9.0
18.0,20.8,0.22,6.9,0.5,1.0,83,Mailiao,2024-05-30 21:00,35,Good,7.0
1.0,18.1,0.13,3.5,0.3,0.4,80,Guanshan,2024-05-30 21:00,23,Good,4.0
16.0,28.7,0.18,5.7,1.5,0.9,78,Magong,2024-05-30 21:00,32,Good,0.0
29.0,26.5,0.34,13.7,0.6,1.5,77,Kinmen,2024-05-30 21:00,77,Moderate,21.0
21.0,36.5,0.22,5.8,0.6,0.9,75,Matsu,2024-05-30 21:00,44,Good,13.0
23.0,17.9,0.32,7.6,1.5,1.1,72,Puli,2024-05-30 21:00,41,Good,11.0
16.0,20.7,0.28,10.7,1.9,4.3,71,Fuxing,2024-05-30 21:00,21,Good,6.0
18.0,12.1,0.97,30.2,7.2,1.8,70,Yonghe,2024-05-30 21:00,50,Good,14.0
21.0,11.6,0.22,7.3,0.8,0.9,69,Zhushan,2024-05-30 21:00,39,Good,14.0
32.0,18.3,0.76,26.1,21.0,3.4,68,Zhongli,2024-05-30 21:00,48,Good,14.0
21.0,6.6,1.44,44.4,71.3,1.3,67,Sanchong,2024-05-30 21:00,60,Moderate,11.0
14.0,25.6,0.19,4.0,0.7,0.3,66,Dongshan,2024-05-30 21:00,34,Good,5.0
10.0,27.2,0.23,3.8,0.4,1.0,65,Yilan,2024-05-30 21:00,38,Good,8.0
7.0,29.4,0.17,1.6,0.4,0.7,64,Yangming,2024-05-30 21:00,25,Good,5.0
4.0,20.8,0.26,5.3,0.6,0.3,63,Hualien,2024-05-30 21:00,29,Good,12.0
16.0,24.0,0.22,5.0,1.9,0.1,62,Taitung,2024-05-30 21:00,26,Good,3.0
5.0,28.2,0.1,1.4,0.6,0.6,61,Hengchun,2024-05-30 21:00,30,Good,2.0
21.0,17.0,0.1,4.0,0.1,0.7,60,Chaozhou,2024-05-30 21:00,26,Good,4.0
22.0,22.5,0.27,8.6,0.9,0.6,59,Pingtung,2024-05-30 21:00,26,Good,10.0
20.0,18.6,0.5,14.0,1.0,3.6,58,Xiaogang,2024-05-30 21:00,23,Good,6.0
16.0,17.4,0.41,14.8,6.7,5.2,57,Qianzhen,2024-05-30 21:00,23,Good,6.0
12.0,22.6,0.16,9.5,0.1,3.2,56,Qianjin,2024-05-30 21:00,21,Good,4.0
17.0,21.6,0.34,10.2,0.0,1.3,54,Zuoying,2024-05-30 21:00,28,Good,7.0
17.0,19.9,0.23,12.9,1.1,3.3,53,Nanzi,2024-05-30 21:00,27,Good,7.0
23.0,32.1,0.11,1.0,0.5,0.9,52,Linyuan,2024-05-30 21:00,31,Good,3.0
10.0,26.5,0.12,3.8,0.4,0.4,51,Daliao,2024-05-30 21:00,27,Good,3.0
19.0,24.5,0.34,7.7,1.2,1.8,50,Fengshan,2024-05-30 21:00,24,Good,9.0
8.0,29.4,0.18,4.4,0.8,0.9,49,Renwu,2024-05-30 21:00,28,Good,8.0
16.0,20.9,0.22,9.2,0.2,1.5,48,Qiaotou,2024-05-30 21:00,22,Good,6.0
19.0,17.4,0.17,4.4,1.0,0.6,47,Meinong,2024-05-30 21:00,28,Good,6.0
24.0,13.5,0.33,16.0,0.8,1.3,46,Tainan,2024-05-30 21:00,31,Good,9.0
28.0,14.7,0.35,16.9,2.3,1.3,45,Annan,2024-05-30 21:00,38,Good,17.0
14.0,20.0,0.1,3.2,0.9,0.5,44,Shanhua,2024-05-30 21:00,26,Good,7.0
16.0,21.8,0.15,4.5,0.5,0.2,43,Xinying,2024-05-30 21:00,29,Good,0.0
11.0,25.2,0.15,3.9,1.1,1.1,42,Chiayi,2024-05-30 21:00,32,Good,5.0
20.0,26.1,0.15,3.7,0.9,1.4,41,Taixi,2024-05-30 21:00,38,Good,5.0
14.0,20.2,0.19,7.3,2.3,1.1,40,Puzi,2024-05-30 21:00,27,Good,
20.0,25.1,0.12,4.1,1.4,0.7,39,Xingang,2024-05-30 21:00,35,Good,10.0
17.0,24.3,0.19,4.5,1.1,0.8,38,Lunbei,2024-05-30 21:00,36,Good,13.0
23.0,13.9,0.26,12.0,1.3,1.4,37,Douliu,2024-05-30 21:00,32,Good,10.0
