pm10,o3,co,no2,no,so2,siteid,sitename,datacreationdate,aqi,status,pm2.5
26.0,17.4,0.27,10.6,2.1,0.4,22,Hukou,2024-05-31 03:00,51,Moderate,
27.0,4.8,0.32,15.8,4.3,0.2,21,Longtan,2024-05-31 03:00,59,Moderate,
34.0,4.0,0.41,23.7,1.3,1.1,20,Pingzhen,2024-05-31 03:00,44,Good,
25.0,19.3,0.22,8.6,1.5,0.4,19,Guanyin,2024-05-31 03:00,35,Good,
32.0,17.8,0.3,9.8,0.1,1.4,18,Dayuan,2024-05-31 03:00,49,Good,
31.0,8.0,0.44,20.0,1.1,2.0,17,Taoyuan,2024-05-31 03:00,49,Good,
18.0,4.8,0.57,13.3,8.6,1.0,16,Datong,2024-05-31 03:00,38,Good,
18.0,5.7,0.34,13.6,2.0,0.0,15,Songshan,2024-05-31 03:00,44,Good,
15.0,7.7,0.19,3.6,1.0,2.4,14,Guting,2024-05-31 03:00,25,Good,
21.0,7.5,0.28,8.8,1.6,0.1,13,Wanhua,2024-05-31 03:00,31,Good,
18.0,7.3,0.3,10.0,1.0,0.3,12,Zhongshan,2024-05-31 03:00,31,Good,
21.0,9.0,0.32,11.1,0.4,0.8,11,Shilin,2024-05-31 03:00,39,Good,
22.0,7.1,0.34,14.7,1.0,1.6,10,Tamsui,2024-05-31 03:00,36,Good,
21.0,14.3,0.37,19.9,7.6,1.4,9,Linkou,2024-05-31 03:00,33,Good,
24.0,2.5,0.5,19.1,1.8,0.8,8,Cailiao,2024-05-31 03:00,37,Good,
19.0,7.8,0.41,16.2,0.4,0.8,7,Xinzhuang,2024-05-31 03:00,53,Moderate,
27.0,4.6,0.43,18.4,0.9,0.7,6,Banqiao,2024-05-31 03:00,40,Good,
30.0,3.8,0.38,14.7,1.8,0.1,5,Tucheng,2024-05-31 03:00,55,Moderate,
18.0,9.2,0.19,2.7,1.1,1.1,4,Xindian,2024-05-31 03:00,37,Good,
20.0,4.3,0.3,6.7,0.8,0.3,3,Wanli,2024-05-31 03:00,24,Good,
21.0,1.6,0.43,15.5,9.0,0.8,2,Xizhi,2024-05-31 03:00,43,Good,
22.0,2.1,0.37,11.3,2.0,0.5,1,Keelung,2024-05-31 03:00,23,Good,
10.0,26.2,0.09,1.4,0.0,0.0,313,Pingtung（fangshan）,2024-05-31 02:00,25,Good,
18.0,9.7,,10.6,0.8,0.1,312,Taichung（Rilana Elementary）,2024-05-31 02:00,26,Good,
24.0,3.4,0.33,11.3,4.4,0.4,311,New Taipei(Shulin),2024-05-31 02:00,52,Moderate,
5.0,26.1,0.07,0.6,1.3,0.4,204,Pingtung（Liuqiu）,2024-05-31 02:00,25,Good,
10.0,22.4,0.1,3.8,0.2,0.4,203,Tainan（Madou）,2024-05-31 02:00,18,Good,
6.0,16.3,0.24,6.4,1.0,,202,Kaohsiung（Hunei）,2024-05-31 02:00,16,Good,
17.0,15.3,0.2,6.8,1.0,1.7,201,Changhua（Yuanlin）,2024-05-31 02:00,40,Good,
10.0,15.0,0.1,5.6,0.3,1.3,85,Dacheng,2024-05-31 02:00,18,Good,
27.0,21.2,0.21,9.5,0.2,0.6,84,FugueiCape,2024-05-31 02:00,28,Good,
16.0,18.0,0.13,5.6,0.4,1.3,83,Mailiao,2024-05-31 02:00,22,Good,
30.0,4.4,0.1,1.7,1.9,0.1,80,Guanshan,2024-05-31 02:00,21,Good,
3.0,30.7,0.09,2.1,0.5,0.5,78,Magong,2024-05-31 02:00,27,Good,
30.0,4.9,0.36,25.7,1.6,1.2,77,Kinmen,2024-05-31 02:00,78,Moderate,
7.0,25.7,0.18,15.6,1.1,1.5,75,Matsu,2024-05-31 02:00,38,Good,
24.0,7.1,0.18,3.1,1.6,0.9,72,Puli,2024-05-31 02:00,33,Good,
7.0,21.3,0.12,5.6,0.8,3.7,71,Fuxing,2024-05-31 02:00,18,Good,
12.0,7.6,0.24,5.4,1.3,0.7,70,Yonghe,2024-05-31 02:00,59,Moderate,
25.0,3.6,0.11,5.7,1.0,0.7,69,Zhushan,2024-05-31 02:00,24,Good,
30.0,8.8,0.62,26.1,4.0,2.2,68,Zhongli,2024-05-31 02:00,51,Moderate,
18.0,2.5,0.52,17.0,4.8,0.7,67,Sanchong,2024-05-31 02:00,39,Good,
20.0,6.9,0.3,4.0,0.8,0.3,66,Dongshan,2024-05-31 02:00,24,Good,
19.0,8.8,0.15,2.8,0.5,1.6,65,Yilan,2024-05-31 02:00,19,Good,
14.0,29.9,0.17,3.2,0.8,0.7,64,Yangming,2024-05-31 02:00,25,Good,
6.0,17.0,0.16,1.1,0.8,0.3,63,Hualien,2024-05-31 02:00,22,Good,
22.0,8.5,0.1,4.4,1.6,0.6,62,Taitung,2024-05-31 02:00,17,Good,
18.0,24.7,0.07,1.0,0.3,0.1,61,Hengchun,2024-05-31 02:00,25,Good,
12.0,16.4,0.07,1.4,1.8,0.5,60,Chaozhou,2024-05-31 02:00,18,Good,
5.0,22.4,0.1,3.1,0.5,0.5,59,Pingtung,2024-05-31 02:00,21,Good,
7.0,20.5,0.1,6.2,0.6,1.0,58,Xiaogang,2024-05-31 02:00,33,Good,
8.0,20.0,0.11,6.9,0.8,4.8,57,Qianzhen,2024-05-31 02:00,16,Good,
9.0,19.5,0.14,6.3,0.4,1.8,56,Qianjin,2024-05-31 02:00,18,Good,
6.0,18.0,0.15,7.1,0.5,1.7,54,Zuoying,2024-05-31 02:00,29,Good,
5.0,14.4,0.12,13.4,0.9,4.4,53,Nanzi,2024-05-31 02:00,22,Good,
11.0,22.3,0.1,1.8,0.0,0.8,52,Linyuan,2024-05-31 02:00,27,Good,
7.0,19.9,0.09,2.4,0.2,0.4,51,Daliao,2024-05-31 02:00,23,Good,
5.0,23.9,0.1,1.7,0.1,0.5,50,Fengshan,2024-05-31 02:00,21,Good,
3.0,23.4,0.1,3.5,0.0,1.8,49,Renwu,2024-05-31 02:00,24,Good,
6.0,18.2,0.11,6.6,0.9,1.6,48,Qiaotou,2024-05-31 02:00,18,Good,
14.0,23.1,0.1,1.5,0.5,0.0,47,Meinong,2024-05-31 02:00,18,Good,
15.0,18.8,0.2,7.6,0.7,1.4,46,Tainan,2024-05-31 02:00,28,Good,
16.0,18.9,0.21,8.0,0.7,1.1,45,Annan,2024-05-31 02:00,25,Good,
10.0,22.3,0.07,1.5,0.5,0.3,44,Shanhua,2024-05-31 02:00,26,Good,
11.0,18.7,0.12,3.4,1.2,0.8,43,Xinying,2024-05-31 02:00,20,Good,
13.0,20.4,0.09,2.2,0.7,1.1,42,Chiayi,2024-05-31 02:00,20,Good,
17.0,20.6,0.13,4.1,0.3,1.0,41,Taixi,2024-05-31 02:00,21,Good,
21.0,16.8,0.12,5.5,1.3,1.4,40,Puzi,2024-05-31 02:00,19,Good,
15.0,22.1,0.11,2.4,1.3,1.0,39,Xingang,2024-05-31 02:00,25,Good,
15.0,15.0,0.13,3.1,0.1,0.4,38,Lunbei,2024-05-31 02:00,22,Good,
29.0,6.0,0.18,11.3,1.7,1.1,37,Douliu,2024-05-31 02:00,23,Good,
32.0,3.2,0.16,7.0,0.1,0.1,36,Nantou,2024-05-31 02:00,27,Good,
26.0,4.5,0.18,10.8,0.6,1.5,35,Erlin,2024-05-31 02:00,45,Good,
21.0,6.6,0.23,9.0,1.7,0.2,34,Xianxi,2024-05-31 02:00,32,Good,
17.0,20.3,0.12,5.0,0.4,0.6,33,Changhua,2024-05-31 02:00,27,Good,
21.0,8.7,0.18,8.1,1.3,0.7,32,Xitun,2024-05-31 02:00,31,Good,
19.0,11.4,0.22,5.2,0.6,1.4,31,Zhongming,2024-05-31 02:00,26,Good,
18.0,10.1,0.18,5.0,0.0,1.1,30,Dali,2024-05-31 02:00,36,Good,
15.0,15.6,0.18,9.3,1.0,0.9,29,Shalu,2024-05-31 02:00,28,Good,
15.0,19.3,0.15,4.2,0.6,0.9,28,Fengyuan,2024-05-31 02:00,22,Good,
15.0,18.0,0.15,2.9,0.7,0.6,27,Sanyi,2024-05-31 02:00,26,Good,
19.0,5.2,0.23,10.8,1.8,0.9,26,Miaoli,2024-05-31 02:00,46,Good,
23.0,9.4,0.22,5.9,1.1,0.6,25,Toufen,2024-05-31 02:00,38,Good,
22.0,18.9,0.28,12.7,0.9,0.6,24,Hsinchu,2024-05-31 02:00,34,Good,
29.0,8.3,0.24,4.5,0.8,0.7,23,Zhudong,2024-05-31 02:00,54,Moderate,
24.0,12.0,0.3,16.8,3.1,0.2,22,Hukou,2024-05-31 02:00,49,Good,
33.0,0.1,0.41,22.4,9.1,0.3,21,Longtan,2024-05-31 02:00,59,Moderate,
38.0,15.5,0.37,20.6,0.3,1.0,20,Pingzhen,2024-05-31 02:00,41,Good,
26.0,18.4,0.22,7.6,1.9,0.8,19,Guanyin,2024-05-31 02:00,31,Good,
27.0,16.2,0.3,10.1,0.0,1.2,18,Dayuan,2024-05-31 02:00,46,Good,
22.0,14.4,0.4,18.2,0.6,2.2,17,Taoyuan,2024-05-31 02:00,45,Good,
29.0,2.3,0.67,18.1,12.0,1.0,16,Datong,2024-05-31 02:00,40,Good,
18.0,9.7,0.33,12.0,0.9,0.3,15,Songshan,2024-05-31 02:00,46,Good,
13.0,8.6,0.22,4.8,1.1,,14,Guting,2024-05-31 02:00,25,Good,
21.0,6.6,0.34,12.8,2.6,0.2,13,Wanhua,2024-05-31 02:00,35,Good,
19.0,6.6,0.34,11.0,0.9,0.4,12,Zhongshan,2024-05-31 02:00,34,Good,
22.0,8.9,0.33,14.5,0.4,1.0,11,Shilin,2024-05-31 02:00,39,Good,
27.0,8.7,0.34,15.8,0.7,1.4,10,Tamsui,2024-05-31 02:00,36,Good,
26.0,14.3,0.33,,,2.0,9,Linkou,2024-05-31 02:00,31,Good,
15.0,2.1,0.52,17.9,1.4,1.0,8,Cailiao,2024-05-31 02:00,36,Good,
