siteid,datacreationdate,aqi,status,pm2.5,no2,so2,o3,co,pm10,no
19,2024-05-27 08:00,69,Moderate,21,10.7,1.6,17,0.27,36,3.3
18,2024-05-27 08:00,49,Good,13,15,1.4,10.8,0.36,32,8.1
17,2024-05-27 08:00,53,Moderate,14,23.8,4.2,5.9,0.82,38,16.3
16,2024-05-27 08:00,43,Good,18,19,0.8,3.9,1.36,28,48.3
15,2024-05-27 08:00,44,Good,16,9.5,0.6,10.3,0.35,26,8.5
14,2024-05-27 08:00,18,Good,2,7.3,0.9,8.7,0.31,18,6.2
13,2024-05-27 08:00,30,Good,12,11.2,0.3,8.6,0.41,15,9.5
12,2024-05-27 08:00,34,Good,12,15.7,0.5,7.5,0.7,22,15.7
11,2024-05-27 08:00,37,Good,14,15.1,0.9,9,0.45,22,8.9
10,2024-05-27 08:00,38,Good,10,10,0.2,10.5,0.38,35,6.2
9,2024-05-27 08:00,40,Good,8,15.5,0.5,6.8,0.48,20,17.9
8,2024-05-27 08:00,25,Good,10,13.2,0.6,8.3,0.56,19,9.2
7,2024-05-27 08:00,39,Good,8,8.7,0.1,7.8,0.41,21,7.3
6,2024-05-27 08:00,23,Good,7,11.6,0.3,5.3,0.53,24,12.4
5,2024-05-27 08:00,44,Good,15,16.7,0.4,7.5,0.61,33,13.8
4,2024-05-27 08:00,29,Good,12,8.4,0.5,6.5,0.38,22,9.4
3,2024-05-27 08:00,17,Good,6,5.2,1.2,17.1,0.24,15,3.6
2,2024-05-27 08:00,48,Good,19,29.6,0.4,16.3,0.51,35,10.1
1,2024-05-27 08:00,23,Good,5,7.8,1,11.9,0.31,21,5.7
313,2024-05-27 07:00,9,Good,0,4.1,0.2,9,0.09,14,2.9
312,2024-05-27 07:00,51,Moderate,9,8.2,0.3,9.5,0.24,22,3.5
311,2024-05-27 07:00,45,Good,18,8.4,0.1,3.8,0.33,32,9.7
204,2024-05-27 07:00,17,Good,7,6.3,0.9,2.2,0.14,17,3.5
203,2024-05-27 07:00,22,Good,2,5,0.7,3,0.15,19,3.2
202,2024-05-27 07:00,23,Good,5,10,1.2,1.4,0.21,15,10.6
201,2024-05-27 07:00,65,Moderate,13,9.2,1.8,9.5,0.27,24,2.1
85,2024-05-27 07:00,55,Moderate,6,7.7,1,7.4,0.15,23,3.1
84,2024-05-27 07:00,30,Good,4,2.4,0.3,20.9,0.14,17,0.3
83,2024-05-27 07:00,59,Moderate,13,5.8,1.8,5.9,0.3,27,4.3
80,2024-05-27 07:00,20,Good,4,2.5,0.9,4.8,0.11,20,1.7
78,2024-05-27 07:00,16,Good,0,4.2,1,18.5,0.13,4,0.9
77,2024-05-27 07:00,9,Good,4,3.6,0.4,14,0.15,3,0.8
75,2024-05-27 07:00,34,Good,10,3.9,0.8,21.8,0.11,15,0.4
72,2024-05-27 07:00,68,Moderate,18,3.9,1,3.3,0.27,40,3.4
71,2024-05-27 07:00,14,Good,1,8.3,0.7,5.9,0.28,11,4.1
70,2024-05-27 07:00,29,Good,11,6.6,0.9,4.6,0.44,20,6.8
69,2024-05-27 07:00,46,Good,8,6.5,1.1,4.7,0.2,28,2.9
68,2024-05-27 07:00,55,Moderate,19,17,0.9,2.6,1.48,28,68.5
67,2024-05-27 07:00,32,Good,8,16.7,1.1,2.5,1,26,54.5
66,2024-05-27 07:00,27,Good,6,3.6,0.1,3,0.2,35,4.8
65,2024-05-27 07:00,23,Good,6,3,2,6.4,0.18,18,2
64,2024-05-27 07:00,22,Good,5,2.2,0.7,19.1,0.17,9,0.7
63,2024-05-27 07:00,26,Good,8,2.3,0.4,4,0.15,12,2.2
62,2024-05-27 07:00,18,Good,3,3.1,0.2,4.8,0.14,25,2
61,2024-05-27 07:00,12,Good,4,1.4,,14,0.1,8,0.9
60,2024-05-27 07:00,25,Good,8,4.1,0.8,1,0.13,21,9.5
59,2024-05-27 07:00,17,Good,2,4.9,0.3,5.1,0.14,20,2.3
58,2024-05-27 07:00,26,Good,8,9.7,0.2,1.6,0.23,10,9.3
57,2024-05-27 07:00,17,Good,3,9.4,1.3,5.4,0.31,14,5
56,2024-05-27 07:00,17,Good,6,7.4,0.3,6.3,0.29,18,2.7
54,2024-05-27 07:00,26,Good,7,5.6,0.7,8.6,0.2,9,1.6
53,2024-05-27 07:00,22,Good,7,13.2,0.9,1.6,0.21,17,10.9
52,2024-05-27 07:00,26,Good,5,4.6,0.9,4.3,0.14,25,1.9
51,2024-05-27 07:00,25,Good,5,7.8,10.2,1.6,0.2,18,6.7
50,2024-05-27 07:00,18,Good,2,5.9,1.1,5.1,0.24,20,2.6
49,2024-05-27 07:00,39,Good,22,10,5.9,5.6,0.25,38,3.7
48,2024-05-27 07:00,21,Good,7,8.3,0.8,4,0.16,8,4.6
47,2024-05-27 07:00,13,Good,0,4.6,1.1,4,0.17,17,3.7
46,2024-05-27 07:00,43,Good,12,7.1,0.6,8.1,0.15,12,2.2
45,2024-05-27 07:00,33,Good,7,7.6,0.2,5.2,0.21,14,4.8
44,2024-05-27 07:00,21,Good,3,4.5,0.8,4.2,0.11,13,3.4
43,2024-05-27 07:00,26,Good,0,4.5,0.3,5.7,0.2,21,3.1
42,2024-05-27 07:00,27,Good,9,7.5,1.1,4.9,0.23,27,3.3
41,2024-05-27 07:00,53,Moderate,12,11,1.3,5.4,0.29,27,3.1
40,2024-05-27 07:00,45,Good,7,12.3,1.2,3.9,0.21,26,7.5
39,2024-05-27 07:00,45,Good,8,6.2,0.3,6.8,0.21,27,4.1
38,2024-05-27 07:00,60,Moderate,14,5.9,1.1,3.1,0.22,25,3.3
37,2024-05-27 07:00,42,Good,8,5.2,0.9,8.2,0.18,19,1.9
36,2024-05-27 07:00,48,Good,8,5.1,0.4,3,0.19,28,3.1
35,2024-05-27 07:00,60,Moderate,18,7.5,0.5,4.5,0.22,36,3.5
34,2024-05-27 07:00,61,Moderate,21,9.5,1.1,8.1,0.3,34,1.4
33,2024-05-27 07:00,47,Good,12,8.3,2.6,10.6,0.24,16,1.8
32,2024-05-27 07:00,64,Moderate,22,7.5,0.9,4.7,0.25,40,3.2
31,2024-05-27 07:00,58,Moderate,16,7.2,0.8,7.6,0.32,29,2.6
30,2024-05-27 07:00,67,Moderate,18,9.3,1,3.6,0.35,28,4.3
29,2024-05-27 07:00,61,Moderate,15,8.2,0.4,10.8,0.25,28,1.6
28,2024-05-27 07:00,48,Good,6,3.9,1.4,19,0.16,14,2
27,2024-05-27 07:00,41,Good,7,1.8,0.8,18.9,0.14,13,1.3
26,2024-05-27 07:00,54,Moderate,17,7.1,0.9,6.7,0.23,20,5.7
25,2024-05-27 07:00,54,Moderate,14,6.3,0.9,4.4,0.29,32,4.8
24,2024-05-27 07:00,50,Good,18,12.1,0.4,3.3,0.37,31,7.3
23,2024-05-27 07:00,47,Good,10,4.7,1,6.9,0.22,26,2.6
22,2024-05-27 07:00,66,Moderate,23,15,0.8,6.7,0.31,31,7.5
21,2024-05-27 07:00,48,Good,12,7.8,0.7,5.2,0.27,22,10.7
20,2024-05-27 07:00,45,Good,11,10.3,0.7,8.4,0.33,24,3.6
19,2024-05-27 07:00,70,Moderate,23,16.2,1.8,6.7,0.35,42,9.4
18,2024-05-27 07:00,53,Moderate,13,13.4,1.5,7.4,0.36,30,6.3
17,2024-05-27 07:00,54,Moderate,16,18.1,3.6,3.8,0.55,33,10.4
16,2024-05-27 07:00,39,Good,15,12.9,0.5,3.2,0.6,28,19.5
15,2024-05-27 07:00,41,Good,15,8.3,0.4,4.7,0.32,32,7.9
14,2024-05-27 07:00,19,Good,3,4.3,1,6.8,0.25,20,3.1
13,2024-05-27 07:00,30,Good,11,8.1,0.2,6.9,0.29,23,4.7
12,2024-05-27 07:00,32,Good,10,11.8,0.3,4.3,0.45,22,9.9
11,2024-05-27 07:00,39,Good,16,8.2,0.7,5.9,0.33,21,4.1
10,2024-05-27 07:00,40,Good,9,8.7,0.1,5.8,0.31,24,3.3
9,2024-05-27 07:00,42,Good,7,7.4,0.4,10.6,0.23,17,5.8
8,2024-05-27 07:00,24,Good,10,8,0.5,7.9,0.35,21,3.3
7,2024-05-27 07:00,44,Good,9,6.5,0.1,5.4,0.27,22,5.1
6,2024-05-27 07:00,23,Good,6,7.1,0.2,3.4,0.35,23,6.6
5,2024-05-27 07:00,44,Good,17,11.7,0.2,2.6,0.42,32,13.9
4,2024-05-27 07:00,27,Good,9,6.4,0.5,5.9,0.25,22,4.7
3,2024-05-27 07:00,17,Good,2,2,1,9.9,0.18,17,2.1
2,2024-05-27 07:00,32,Good,10,14.4,0.3,5,0.37,30,13.1
1,2024-05-27 07:00,24,Good,6,8.9,0.8,3.5,0.39,25,16
313,2024-05-27 06:00,8,Good,0,4.8,0.1,4.8,0.08,9,2.1
312,2024-05-27 06:00,55,Moderate,17,11.3,0.3,5.1,0.3,36,5.2
311,2024-05-27 06:00,44,Good,12,3.8,0,4.8,0.21,31,1.9
204,2024-05-27 06:00,16,Good,4,7.2,0.8,2.3,0.12,17,1.4
203,2024-05-27 06:00,23,Good,1,7.7,1.6,1.6,0.14,23,3
202,2024-05-27 06:00,26,Good,9,9.6,1.1,1.7,0.17,19,5.3
201,2024-05-27 06:00,70,Moderate,14,9.8,1.6,8.2,0.25,28,1.1
85,2024-05-27 06:00,58,Moderate,24,11.1,0.8,4.4,0.26,37,3.4
84,2024-05-27 06:00,31,Good,5,1.3,0.3,20.9,0.12,23,0.1
83,2024-05-27 06:00,62,Moderate,18,8.4,1.8,5.3,0.28,31,1.5
80,2024-05-27 06:00,20,Good,2,2.4,0.8,4.2,0.09,18,0.8
78,2024-05-27 06:00,16,Good,0,3.5,0.9,20.1,0.13,6,0.4
77,2024-05-27 06:00,12,Good,5,7.3,0.7,14.5,0.14,7,0.9
75,2024-05-27 06:00,35,Good,10,4.2,0.9,24.6,0.12,17,0.3
72,2024-05-27 06:00,71,Moderate,17,3.9,0.9,3,0.24,39,2.1
71,2024-05-27 06:00,14,Good,0,6.8,0.9,7,0.18,16,2.1
70,2024-05-27 06:00,28,Good,8,5.1,0.8,6.1,0.29,19,2.9
69,2024-05-27 06:00,51,Moderate,11,6.1,1.1,3.9,0.16,34,1.6
68,2024-05-27 06:00,55,Moderate,18,12.6,0.7,4.9,0.67,36,15.3
67,2024-05-27 06:00,33,Good,9,8.7,0.9,3.8,0.36,19,13.9
66,2024-05-27 06:00,25,Good,3,4.8,0.2,1.3,0.17,31,4.3
65,2024-05-27 06:00,22,Good,9,3.8,2.3,3.7,0.17,17,1
64,2024-05-27 06:00,22,Good,4,2.2,0.8,19.5,0.15,8,0.6
63,2024-05-27 06:00,28,Good,6,3.1,0.4,3,0.13,10,1.1
62,2024-05-27 06:00,17,Good,1,2.8,0.2,5.3,0.1,19,0.8
61,2024-05-27 06:00,12,Good,5,1.9,,13.3,0.1,11,0.7
60,2024-05-27 06:00,26,Good,3,4.4,0.5,1.4,0.13,22,8.5
59,2024-05-27 06:00,18,Good,4,4.2,0.1,5.6,0.11,11,0.8
58,2024-05-27 06:00,28,Good,6,8.3,0.2,2.4,0.16,11,2.2
57,2024-05-27 06:00,19,Good,3,7.3,1.5,6.9,0.15,13,0.8
56,2024-05-27 06:00,18,Good,5,7.7,0.3,5.5,0.21,15,0.7
54,2024-05-27 06:00,27,Good,5,5.2,1,9.3,0.15,10,0.8
53,2024-05-27 06:00,18,Good,2,11.8,0.8,2.4,0.15,14,4.3
52,2024-05-27 06:00,25,Good,7,5.7,0.7,2.1,0.14,27,1
51,2024-05-27 06:00,19,Good,5,7.5,2.2,1.6,0.12,19,3.4
50,2024-05-27 06:00,18,Good,2,4.8,1.3,7.3,0.17,18,1.1
49,2024-05-27 06:00,32,Good,15,8.3,3.1,9.8,0.15,26,0.3
48,2024-05-27 06:00,23,Good,5,7,0.7,6,0.11,10,1.3
47,2024-05-27 06:00,13,Good,1,4.3,1.1,5.6,0.15,15,1.4
46,2024-05-27 06:00,42,Good,13,7.4,1.3,8.5,0.11,14,1
45,2024-05-27 06:00,36,Good,7,6.2,0,5.9,0.17,16,1.2
44,2024-05-27 06:00,24,Good,6,4.2,0.9,4.2,0.09,10,1.5
43,2024-05-27 06:00,29,Good,2,3.9,0.4,6,0.13,22,1.9
42,2024-05-27 06:00,27,Good,8,5.6,1.3,5.3,0.15,26,0.9
41,2024-05-27 06:00,57,Moderate,15,13.1,1.2,3.9,0.29,33,1
40,2024-05-27 06:00,49,Good,8,14.6,1,5,0.2,28,6.9
39,2024-05-27 06:00,51,Moderate,8,7.1,0.5,10.6,0.23,28,2.3
38,2024-05-27 06:00,63,Moderate,15,8,1.1,2,0.27,29,3.2
37,2024-05-27 06:00,43,Good,9,6.3,1,9.2,0.13,20,1.1
36,2024-05-27 06:00,53,Moderate,10,5.2,0.3,3.4,0.17,34,1.4
35,2024-05-27 06:00,62,Moderate,14,7.5,0.2,3.5,0.21,43,2
34,2024-05-27 06:00,57,Moderate,24,12.1,0.9,3.9,0.34,45,1.7
33,2024-05-27 06:00,51,Moderate,11,6.5,2,9.9,0.18,14,1.6
32,2024-05-27 06:00,65,Moderate,17,8,1,4.3,0.23,40,1.6
31,2024-05-27 06:00,58,Moderate,21,5.8,0.6,9.3,0.29,25,1.4
30,2024-05-27 06:00,69,Moderate,23,9.8,1,4.4,0.32,32,2.5
29,2024-05-27 06:00,65,Moderate,17,6.9,0.4,12.4,0.23,25,0.8
28,2024-05-27 06:00,54,Moderate,11,3.8,1.2,22.2,0.18,15,0.8
27,2024-05-27 06:00,48,Good,8,1.9,0.7,19.4,0.15,14,1.1
26,2024-05-27 06:00,56,Moderate,13,6.7,0.7,3.8,0.19,26,2.3
25,2024-05-27 06:00,54,Moderate,21,5.1,0.8,5.2,0.22,36,1.7
24,2024-05-27 06:00,48,Good,16,10.5,0,3.6,0.27,30,2.2
23,2024-05-27 06:00,48,Good,12,4.4,0.8,4.2,0.2,25,1.3
22,2024-05-27 06:00,67,Moderate,23,10.3,0.7,8,0.25,30,1.9
21,2024-05-27 06:00,52,Moderate,11,8.7,0.6,3.5,0.24,26,3.4
20,2024-05-27 06:00,49,Good,11,7.8,0.4,7.1,0.28,27,1.4
19,2024-05-27 06:00,69,Moderate,22,16,0.9,3.9,0.38,43,2.7
18,2024-05-27 06:00,55,Moderate,7,11.5,1,7,0.3,26,3.2
17,2024-05-27 06:00,54,Moderate,14,14.9,2.4,3.6,0.46,29,3.2
16,2024-05-27 06:00,40,Good,10,9.8,0.5,3.3,0.44,20,18.4
15,2024-05-27 06:00,38,Good,14,8.9,0.4,3.5,0.3,27,3.7
14,2024-05-27 06:00,19,Good,4,3.6,0.9,5,0.18,21,1.4
13,2024-05-27 06:00,30,Good,8,6.2,0.3,6.7,0.23,19,1.8
12,2024-05-27 06:00,34,Good,12,12.3,0.3,3.2,0.36,20,5.3
11,2024-05-27 06:00,36,Good,5,7.1,0.6,3.5,0.25,21,2.1
10,2024-05-27 06:00,42,Good,10,14.5,0,7.4,0.44,26,4
9,2024-05-27 06:00,46,Good,10,9.7,0.7,14.7,0.27,16,4.3
8,2024-05-27 06:00,24,Good,5,6.3,0.5,5.9,0.27,21,1.1
7,2024-05-27 06:00,45,Good,13,11.4,0.2,1.9,0.37,24,9.1
6,2024-05-27 06:00,24,Good,6,6.7,0.3,3.6,0.25,21,2.3
5,2024-05-27 06:00,41,Good,14,8.1,0.2,3.6,0.28,26,5.1
4,2024-05-27 06:00,27,Good,9,3.5,0.4,7.9,0.18,23,1.3
3,2024-05-27 06:00,17,Good,5,1.7,0.8,8.4,0.16,19,1
2,2024-05-27 06:00,32,Good,11,8.9,0.3,1.8,0.3,27,12.2
1,2024-05-27 06:00,22,Good,4,6.3,0.9,1.4,0.29,28,6.9
313,2024-05-27 05:00,9,Good,0,4.6,0,5.1,0.07,10,1
312,2024-05-27 05:00,56,Moderate,16,7.9,0.5,7.4,0.22,24,1.2
311,2024-05-27 05:00,44,Good,15,3.4,0,4.8,0.2,40,0.6
