siteid,sitename,datacreationdate,aqi,status,pm2.5_x,pm2.5_y,no2,o3,co,pm10,no,so2
13,Wanhua,2024-05-30 15:00,35,Good,15.0,15.0,21.0,36.5,0.43,18.0,1.7,1.2
12,Zhongshan,2024-05-30 15:00,32,Good,9.0,9.0,19.9,35.3,0.46,18.0,4.5,1.5
11,Shilin,2024-05-30 15:00,32,Good,10.0,10.0,10.0,38.4,0.21,26.0,1.9,1.4
10,Tamsui,2024-05-30 15:00,35,Good,10.0,10.0,10.0,40.4,0.25,20.0,2.9,2.8
9,Linkou,2024-05-30 15:00,32,Good,4.0,4.0,2.6,45.3,0.16,8.0,1.1,1.6
8,Cailiao,2024-05-30 15:00,32,Good,9.0,9.0,8.0,43.7,0.24,15.0,1.0,1.6
7,Xinzhuang,2024-05-30 15:00,37,Good,7.0,7.0,8.9,47.0,0.19,16.0,1.3,0.9
6,Banqiao,2024-05-30 15:00,34,Good,7.0,7.0,13.0,45.7,0.31,21.0,1.6,1.0
5,Tucheng,2024-05-30 15:00,49,Good,15.0,15.0,20.6,52.9,0.37,26.0,2.0,0.4
4,Xindian,2024-05-30 15:00,38,Good,10.0,10.0,14.6,51.3,0.34,16.0,1.6,0.8
3,Wanli,2024-05-30 15:00,44,Good,12.0,12.0,7.5,39.4,0.21,79.0,1.7,1.2
2,Xizhi,2024-05-30 15:00,33,Good,11.0,11.0,13.2,45.4,0.22,33.0,1.4,3.2
1,Keelung,2024-05-30 15:00,38,Good,,,23.5,24.4,0.2,24.0,7.1,3.1
313,Pingtung（fangshan）,2024-05-30 14:00,33,Good,3.0,3.0,1.7,37.4,0.09,10.0,0.2,0.0
312,Taichung（Rilana Elementary）,2024-05-30 14:00,43,Good,9.0,9.0,4.6,55.3,0.11,15.0,1.0,0.7
311,New Taipei(Shulin),2024-05-30 14:00,38,Good,15.0,15.0,19.2,31.6,0.29,21.0,8.3,2.2
204,Pingtung（Liuqiu）,2024-05-30 14:00,28,Good,6.0,6.0,1.3,30.9,0.07,11.0,1.4,0.7
203,Tainan（Madou）,2024-05-30 14:00,36,Good,8.0,8.0,7.7,34.3,0.19,15.0,2.2,
202,Kaohsiung（Hunei）,2024-05-30 14:00,29,Good,1.0,1.0,6.3,22.8,0.17,11.0,3.7,1.0
201,Changhua（Yuanlin）,2024-05-30 14:00,58,Moderate,23.0,23.0,7.0,71.3,0.31,42.0,1.1,2.7
85,Dacheng,2024-05-30 14:00,46,Good,7.0,7.0,2.6,65.8,0.12,38.0,0.1,1.1
84,FugueiCape,2024-05-30 14:00,42,Good,10.0,10.0,0.6,50.7,0.15,27.0,0.2,0.7
83,Mailiao,2024-05-30 14:00,45,Good,10.0,10.0,2.7,64.0,0.16,21.0,0.2,1.9
80,Guanshan,2024-05-30 14:00,24,Good,,,1.5,33.9,0.12,,0.3,0.6
78,Magong,2024-05-30 14:00,47,Good,10.0,10.0,5.7,60.7,0.23,,1.4,1.5
77,Kinmen,2024-05-30 14:00,58,Moderate,22.0,22.0,15.2,42.5,0.26,40.0,2.0,1.5
75,Matsu,2024-05-30 14:00,42,Good,11.0,11.0,5.3,55.4,0.22,30.0,2.6,1.0
72,Puli,2024-05-30 14:00,35,Good,18.0,18.0,3.2,60.4,0.23,27.0,1.5,1.0
71,Fuxing,2024-05-30 14:00,21,Good,3.0,3.0,5.7,26.3,0.14,9.0,3.3,0.5
70,Yonghe,2024-05-30 14:00,47,Good,15.0,15.0,28.3,39.3,0.87,19.0,8.4,1.8
69,Zhushan,2024-05-30 14:00,66,Moderate,20.0,20.0,4.7,63.4,0.21,36.0,0.5,1.5
68,Zhongli,2024-05-30 14:00,42,Good,8.0,8.0,21.8,30.8,0.44,,9.6,1.1
67,Sanchong,2024-05-30 14:00,54,Moderate,7.0,7.0,35.9,24.7,0.57,15.0,36.9,1.4
66,Dongshan,2024-05-30 14:00,33,Good,7.0,7.0,3.7,41.6,0.21,23.0,2.5,0.5
65,Yilan,2024-05-30 14:00,38,Good,5.0,5.0,2.7,51.4,0.21,17.0,0.6,1.1
64,Yangming,2024-05-30 14:00,27,Good,6.0,6.0,1.1,30.5,0.16,11.0,0.6,1.2
63,Hualien,2024-05-30 14:00,26,Good,10.0,10.0,0.9,40.9,0.17,3.0,0.6,0.1
62,Taitung,2024-05-30 14:00,31,Good,4.0,4.0,1.8,36.1,0.18,11.0,2.0,0.4
61,Hengchun,2024-05-30 14:00,33,Good,1.0,1.0,0.9,33.8,0.11,4.0,0.6,0.6
60,Chaozhou,2024-05-30 14:00,25,Good,0.0,0.0,0.8,33.0,0.07,16.0,0.2,0.8
59,Pingtung,2024-05-30 14:00,25,Good,6.0,6.0,3.8,32.0,0.14,11.0,1.0,0.6
58,Xiaogang,2024-05-30 14:00,31,Good,9.0,9.0,9.2,25.4,0.13,10.0,2.8,2.8
57,Qianzhen,2024-05-30 14:00,21,Good,6.0,6.0,7.9,24.1,0.14,9.0,3.0,0.8
56,Qianjin,2024-05-30 14:00,22,Good,3.0,3.0,8.3,21.1,,7.0,2.1,1.2
54,Zuoying,2024-05-30 14:00,37,Good,8.0,8.0,7.4,25.9,0.15,9.0,1.9,1.8
53,Nanzi,2024-05-30 14:00,37,Good,3.0,3.0,13.0,21.9,0.24,12.0,3.7,2.8
52,Linyuan,2024-05-30 14:00,29,Good,2.0,2.0,1.4,33.7,0.1,18.0,1.3,0.7
51,Daliao,2024-05-30 14:00,26,Good,1.0,1.0,3.0,30.6,0.1,14.0,1.0,0.4
50,Fengshan,2024-05-30 14:00,25,Good,4.0,4.0,9.1,23.9,0.3,14.0,4.0,1.3
49,Renwu,2024-05-30 14:00,30,Good,4.0,4.0,8.3,27.7,0.2,5.0,3.0,0.0
48,Qiaotou,2024-05-30 14:00,24,Good,4.0,4.0,8.0,25.3,0.21,6.0,1.9,1.7
47,Meinong,2024-05-30 14:00,28,Good,2.0,2.0,1.5,30.6,0.11,8.0,1.4,0.8
46,Tainan,2024-05-30 14:00,41,Good,11.0,11.0,7.9,31.4,0.18,15.0,1.8,1.5
45,Annan,2024-05-30 14:00,37,Good,9.0,9.0,10.0,29.2,0.22,16.0,4.3,1.5
44,Shanhua,2024-05-30 14:00,36,Good,6.0,6.0,4.6,30.0,0.13,10.0,1.7,0.8
43,Xinying,2024-05-30 14:00,40,Good,8.0,8.0,7.9,44.1,0.22,21.0,0.7,0.9
42,Chiayi,2024-05-30 14:00,55,Moderate,10.0,10.0,4.5,65.0,0.2,23.0,1.0,2.2
41,Taixi,2024-05-30 14:00,45,Good,12.0,12.0,3.2,68.9,0.18,36.0,1.0,2.2
40,Puzi,2024-05-30 14:00,38,Good,,,3.7,37.1,0.14,12.0,1.9,1.0
39,Xingang,2024-05-30 14:00,58,Moderate,14.0,14.0,2.1,54.1,0.13,17.0,1.4,1.3
38,Lunbei,2024-05-30 14:00,58,Moderate,17.0,17.0,3.7,60.2,0.19,27.0,1.1,1.5
37,Douliu,2024-05-30 14:00,50,Good,14.0,14.0,4.2,72.0,0.24,33.0,1.2,2.1
36,Nantou,2024-05-30 14:00,51,Moderate,12.0,12.0,5.7,67.4,0.25,31.0,1.2,1.1
35,Erlin,2024-05-30 14:00,58,Moderate,22.0,22.0,1.7,70.1,0.19,38.0,1.9,2.0
34,Xianxi,2024-05-30 14:00,45,Good,13.0,13.0,1.9,63.6,0.17,49.0,1.9,1.3
33,Changhua,2024-05-30 14:00,48,Good,19.0,19.0,6.0,78.4,0.22,39.0,2.0,1.5
32,Xitun,2024-05-30 14:00,48,Good,18.0,18.0,7.0,79.7,0.28,37.0,1.0,2.3
31,Zhongming,2024-05-30 14:00,35,Good,15.0,15.0,,,0.22,35.0,,1.3
30,Dali,2024-05-30 14:00,53,Moderate,14.0,14.0,6.3,79.1,0.3,34.0,0.4,2.7
29,Shalu,2024-05-30 14:00,48,Good,17.0,17.0,6.3,73.5,0.27,40.0,0.4,2.8
28,Fengyuan,2024-05-30 14:00,50,Good,16.0,16.0,5.3,76.9,0.24,31.0,1.0,1.4
27,Sanyi,2024-05-30 14:00,41,Good,,,,66.6,,,,
26,Miaoli,2024-05-30 14:00,49,Good,14.0,14.0,3.7,62.5,0.2,15.0,0.9,1.4
25,Toufen,2024-05-30 14:00,56,Moderate,18.0,18.0,3.6,71.2,0.26,26.0,1.6,2.4
24,Hsinchu,2024-05-30 14:00,40,Good,7.0,7.0,5.4,63.2,0.23,18.0,0.9,1.5
23,Zhudong,2024-05-30 14:00,56,Moderate,18.0,18.0,8.4,76.8,0.27,34.0,0.6,0.9
22,Hukou,2024-05-30 14:00,58,Moderate,16.0,16.0,4.4,53.3,0.24,21.0,0.9,1.7
21,Longtan,2024-05-30 14:00,45,Good,12.0,12.0,13.6,,0.29,19.0,0.4,1.2
20,Pingzhen,2024-05-30 14:00,35,Good,8.0,8.0,8.5,47.7,0.22,21.0,1.2,0.7
19,Guanyin,2024-05-30 14:00,41,Good,6.0,6.0,2.5,42.6,0.13,10.0,0.5,0.5
18,Dayuan,2024-05-30 14:00,31,Good,5.0,5.0,4.9,44.3,0.2,13.0,1.9,1.1
17,Taoyuan,2024-05-30 14:00,37,Good,7.0,7.0,15.7,39.4,0.36,12.0,3.7,7.4
16,Datong,2024-05-30 14:00,33,Good,8.0,8.0,14.7,38.2,0.57,15.0,5.0,1.2
15,Songshan,2024-05-30 14:00,31,Good,9.0,9.0,6.4,43.4,0.19,11.0,1.1,1.0
14,Guting,2024-05-30 14:00,27,Good,7.0,7.0,11.7,55.2,0.28,17.0,2.2,0.0
13,Wanhua,2024-05-30 14:00,29,Good,8.0,8.0,14.9,50.0,0.37,12.0,2.0,1.0
12,Zhongshan,2024-05-30 14:00,30,Good,6.0,6.0,18.8,42.2,0.45,20.0,5.0,1.2
11,Shilin,2024-05-30 14:00,31,Good,9.0,9.0,7.1,44.0,0.19,14.0,1.8,1.0
10,Tamsui,2024-05-30 14:00,33,Good,14.0,14.0,3.6,46.7,0.19,24.0,1.3,3.9
9,Linkou,2024-05-30 14:00,30,Good,5.0,5.0,3.4,45.4,0.16,9.0,1.5,1.6
8,Cailiao,2024-05-30 14:00,30,Good,8.0,8.0,7.1,48.6,0.23,14.0,1.3,1.3
7,Xinzhuang,2024-05-30 14:00,36,Good,8.0,8.0,8.8,45.8,0.19,13.0,1.2,1.1
6,Banqiao,2024-05-30 14:00,30,Good,7.0,7.0,11.5,51.4,0.3,20.0,1.6,0.9
5,Tucheng,2024-05-30 14:00,48,Good,22.0,22.0,14.8,61.8,0.35,25.0,1.3,0.7
4,Xindian,2024-05-30 14:00,33,Good,10.0,10.0,12.5,52.8,0.32,19.0,1.1,1.2
3,Wanli,2024-05-30 14:00,37,Good,7.0,7.0,3.1,48.6,0.19,41.0,1.2,1.4
2,Xizhi,2024-05-30 14:00,30,Good,11.0,11.0,9.3,50.0,0.2,22.0,1.4,3.1
1,Keelung,2024-05-30 14:00,26,Good,11.0,11.0,15.7,34.3,0.2,,4.1,3.3
313,Pingtung（fangshan）,2024-05-30 13:00,33,Good,0.0,0.0,0.7,37.2,0.09,5.0,0.0,0.0
312,Taichung（Rilana Elementary）,2024-05-30 13:00,38,Good,12.0,12.0,5.6,66.9,0.2,27.0,1.0,0.7
311,New Taipei(Shulin),2024-05-30 13:00,38,Good,12.0,12.0,20.2,37.6,0.36,18.0,2.5,1.3
204,Pingtung（Liuqiu）,2024-05-30 13:00,28,Good,9.0,9.0,1.6,28.5,0.08,11.0,1.4,0.6
203,Tainan（Madou）,2024-05-30 13:00,37,Good,11.0,11.0,7.4,42.5,0.18,20.0,2.3,
202,Kaohsiung（Hunei）,2024-05-30 13:00,37,Good,3.0,3.0,6.8,25.1,0.26,12.0,3.3,1.0
201,Changhua（Yuanlin）,2024-05-30 13:00,55,Moderate,15.0,15.0,8.9,65.3,0.43,42.0,1.9,2.5
85,Dacheng,2024-05-30 13:00,41,Good,8.0,8.0,2.9,67.2,0.15,30.0,0.6,1.5
84,FugueiCape,2024-05-30 13:00,40,Good,10.0,10.0,1.8,52.1,0.17,30.0,0.5,1.3
83,Mailiao,2024-05-30 13:00,43,Good,9.0,9.0,3.0,67.9,0.19,21.0,0.0,2.5
80,Guanshan,2024-05-30 13:00,21,Good,0.0,0.0,1.6,35.5,0.12,6.0,0.5,0.6
78,Magong,2024-05-30 13:00,45,Good,12.0,12.0,6.4,64.3,0.28,17.0,1.7,1.5
77,Kinmen,2024-05-30 13:00,56,Moderate,24.0,24.0,16.8,35.4,0.25,45.0,2.1,1.8
75,Matsu,2024-05-30 13:00,40,Good,11.0,11.0,3.0,57.5,0.21,34.0,0.8,1.0
72,Puli,2024-05-30 13:00,29,Good,14.0,14.0,2.9,59.0,0.22,26.0,1.5,1.1
71,Fuxing,2024-05-30 13:00,22,Good,4.0,4.0,13.2,21.7,0.57,12.0,4.9,4.0
70,Yonghe,2024-05-30 13:00,37,Good,11.0,11.0,18.8,42.1,0.67,15.0,6.5,1.6
69,Zhushan,2024-05-30 13:00,62,Moderate,26.0,26.0,4.1,71.1,0.23,35.0,0.6,1.5
68,Zhongli,2024-05-30 13:00,50,Good,12.0,12.0,30.4,34.0,0.59,30.0,22.9,1.7
67,Sanchong,2024-05-30 13:00,48,Good,7.0,7.0,29.1,31.4,0.53,18.0,24.7,1.2
66,Dongshan,2024-05-30 13:00,35,Good,7.0,7.0,4.1,43.5,0.22,18.0,2.6,0.7
65,Yilan,2024-05-30 13:00,33,Good,3.0,3.0,3.1,54.2,0.25,19.0,0.8,1.4
64,Yangming,2024-05-30 13:00,28,Good,5.0,5.0,1.2,34.5,0.16,12.0,0.6,1.4
63,Hualien,2024-05-30 13:00,26,Good,5.0,5.0,1.7,41.6,0.16,3.0,0.7,0.1
62,Taitung,2024-05-30 13:00,30,Good,4.0,4.0,1.2,38.2,0.18,8.0,2.3,0.3
61,Hengchun,2024-05-30 13:00,33,Good,1.0,1.0,0.6,37.0,0.11,6.0,0.5,0.5
60,Chaozhou,2024-05-30 13:00,22,Good,0.0,0.0,0.5,31.1,0.07,7.0,0.1,0.9
59,Pingtung,2024-05-30 13:00,23,Good,6.0,6.0,5.7,29.0,0.19,9.0,1.5,1.2
58,Xiaogang,2024-05-30 13:00,31,Good,8.0,8.0,13.8,23.5,0.63,20.0,5.6,8.8
57,Qianzhen,2024-05-30 13:00,27,Good,9.0,9.0,16.2,19.2,0.56,15.0,7.9,
56,Qianjin,2024-05-30 13:00,22,Good,5.0,5.0,11.2,24.2,0.26,11.0,3.3,2.8
54,Zuoying,2024-05-30 13:00,39,Good,12.0,12.0,11.5,23.4,0.47,14.0,3.5,2.7
53,Nanzi,2024-05-30 13:00,41,Good,7.0,7.0,14.0,22.1,0.27,11.0,3.7,3.8
52,Linyuan,2024-05-30 13:00,29,Good,3.0,3.0,1.8,32.3,0.11,14.0,1.3,0.8
51,Daliao,2024-05-30 13:00,31,Good,1.0,1.0,4.5,27.6,0.12,4.0,1.6,0.6
50,Fengshan,2024-05-30 13:00,24,Good,2.0,2.0,7.0,27.9,0.34,12.0,2.5,1.3
49,Renwu,2024-05-30 13:00,34,Good,6.0,6.0,6.0,30.8,0.21,4.0,1.9,0.3
48,Qiaotou,2024-05-30 13:00,27,Good,5.0,5.0,10.3,24.7,0.28,6.0,2.6,2.1
47,Meinong,2024-05-30 13:00,26,Good,4.0,4.0,2.0,33.5,0.11,7.0,1.5,0.6
46,Tainan,2024-05-30 13:00,45,Good,10.0,10.0,6.6,34.1,0.18,11.0,1.3,1.1
45,Annan,2024-05-30 13:00,42,Good,5.0,5.0,6.0,35.6,0.2,15.0,2.8,0.7
44,Shanhua,2024-05-30 13:00,38,Good,10.0,10.0,7.7,45.7,0.21,21.0,1.8,1.4
43,Xinying,2024-05-30 13:00,42,Good,6.0,6.0,7.5,63.8,0.31,21.0,0.4,1.2
42,Chiayi,2024-05-30 13:00,60,Moderate,11.0,11.0,4.7,78.1,0.24,20.0,0.9,2.5
41,Taixi,2024-05-30 13:00,44,Good,11.0,11.0,3.3,70.2,0.19,27.0,1.1,2.7
40,Puzi,2024-05-30 13:00,36,Good,,,4.5,46.3,0.18,17.0,1.8,1.3
39,Xingang,2024-05-30 13:00,61,Moderate,12.0,12.0,3.6,62.6,0.18,29.0,1.3,1.6
38,Lunbei,2024-05-30 13:00,58,Moderate,15.0,15.0,3.9,63.0,0.22,33.0,1.1,1.7
37,Douliu,2024-05-30 13:00,53,Moderate,12.0,12.0,4.5,66.4,0.27,30.0,1.3,1.9
36,Nantou,2024-05-30 13:00,54,Moderate,14.0,14.0,5.5,61.1,0.23,30.0,1.2,0.8
35,Erlin,2024-05-30 13:00,55,Moderate,17.0,17.0,2.1,71.6,0.22,40.0,1.9,2.2
34,Xianxi,2024-05-30 13:00,40,Good,11.0,11.0,2.6,68.5,0.22,23.0,1.8,1.4
33,Changhua,2024-05-30 13:00,41,Good,16.0,16.0,7.7,76.5,0.26,40.0,1.9,2.3
32,Xitun,2024-05-30 13:00,44,Good,15.0,15.0,6.9,71.9,0.26,31.0,1.1,1.6
31,Zhongming,2024-05-30 13:00,33,Good,9.0,9.0,9.8,,,34.0,1.0,1.7
30,Dali,2024-05-30 13:00,56,Moderate,14.0,14.0,6.4,66.9,0.28,26.0,0.7,1.9
29,Shalu,2024-05-30 13:00,42,Good,13.0,13.0,5.8,73.5,0.27,28.0,0.3,1.7
28,Fengyuan,2024-05-30 13:00,48,Good,15.0,15.0,7.9,75.1,0.28,33.0,1.2,1.1
27,Sanyi,2024-05-30 13:00,33,Good,17.0,17.0,4.0,70.8,0.23,23.0,1.3,1.4
26,Miaoli,2024-05-30 13:00,49,Good,17.0,17.0,6.2,71.6,0.23,21.0,1.0,1.5
25,Toufen,2024-05-30 13:00,54,Moderate,16.0,16.0,3.9,68.4,0.24,31.0,1.8,2.1
24,Hsinchu,2024-05-30 13:00,44,Good,12.0,12.0,6.2,68.6,0.25,21.0,1.0,1.8
23,Zhudong,2024-05-30 13:00,53,Moderate,25.0,25.0,7.8,81.7,0.27,32.0,0.6,0.6
22,Hukou,2024-05-30 13:00,58,Moderate,22.0,22.0,5.0,64.2,0.25,21.0,0.9,2.2
21,Longtan,2024-05-30 13:00,44,Good,22.0,22.0,16.7,,0.4,34.0,0.2,1.3
20,Pingzhen,2024-05-30 13:00,37,Good,11.0,11.0,,49.8,0.29,21.0,,
19,Guanyin,2024-05-30 13:00,48,Good,9.0,9.0,3.1,47.7,0.13,13.0,0.6,0.7
18,Dayuan,2024-05-30 13:00,30,Good,7.0,7.0,5.3,45.2,0.2,21.0,2.2,1.3
17,Taoyuan,2024-05-30 13:00,37,Good,9.0,9.0,10.4,57.6,0.33,17.0,1.7,3.1
16,Datong,2024-05-30 13:00,36,Good,11.0,11.0,14.9,44.3,0.57,13.0,5.4,0.9
15,Songshan,2024-05-30 13:00,33,Good,7.0,7.0,6.7,50.5,0.18,11.0,1.7,1.4
14,Guting,2024-05-30 13:00,35,Good,3.0,3.0,21.4,42.2,0.26,15.0,10.6,0.0
13,Wanhua,2024-05-30 13:00,32,Good,6.0,6.0,13.9,52.5,0.34,14.0,2.5,0.6
12,Zhongshan,2024-05-30 13:00,22,Good,4.0,4.0,10.1,52.2,0.29,12.0,2.1,0.7
11,Shilin,2024-05-30 13:00,31,Good,8.0,8.0,8.1,49.3,0.2,17.0,1.8,0.9
10,Tamsui,2024-05-30 13:00,31,Good,7.0,7.0,4.6,45.5,0.19,8.0,1.4,1.8
9,Linkou,2024-05-30 13:00,28,Good,10.0,10.0,6.9,49.0,0.18,20.0,2.7,1.4
8,Cailiao,2024-05-30 13:00,27,Good,6.0,6.0,7.2,52.2,0.24,11.0,1.3,1.3
7,Xinzhuang,2024-05-30 13:00,38,Good,11.0,11.0,8.7,61.1,0.22,18.0,1.1,0.6
6,Banqiao,2024-05-30 13:00,25,Good,4.0,4.0,10.6,62.4,0.34,13.0,2.1,0.5
5,Tucheng,2024-05-30 13:00,43,Good,13.0,13.0,12.7,62.3,0.35,19.0,1.8,0.4
4,Xindian,2024-05-30 13:00,31,Good,8.0,8.0,8.8,62.7,0.26,10.0,1.4,1.0
3,Wanli,2024-05-30 13:00,36,Good,9.0,9.0,3.0,50.5,0.2,53.0,1.0,3.0
2,Xizhi,2024-05-30 13:00,26,Good,6.0,6.0,6.8,50.7,0.2,10.0,1.9,1.2
1,Keelung,2024-05-30 13:00,24,Good,5.0,5.0,9.1,43.2,0.2,17.0,2.6,3.1
313,Pingtung（fangshan）,2024-05-30 12:00,34,Good,1.0,1.0,0.6,36.2,0.08,5.0,0.0,0.0
312,Taichung（Rilana Elementary）,2024-05-30 12:00,36,Good,14.0,14.0,7.7,59.9,0.2,28.0,1.5,0.9
311,New Taipei(Shulin),2024-05-30 12:00,39,Good,8.0,8.0,15.1,38.4,0.36,17.0,1.7,0.9
204,Pingtung（Liuqiu）,2024-05-30 12:00,29,Good,4.0,4.0,1.5,28.8,0.08,11.0,1.4,0.6
203,Tainan（Madou）,2024-05-30 12:00,38,Good,7.0,7.0,5.2,38.5,0.15,18.0,1.5,
202,Kaohsiung（Hunei）,2024-05-30 12:00,43,Good,4.0,4.0,4.2,29.3,0.14,16.0,2.6,0.9
201,Changhua（Yuanlin）,2024-05-30 12:00,57,Moderate,14.0,14.0,7.4,49.4,0.33,26.0,1.6,1.9
85,Dacheng,2024-05-30 12:00,43,Good,11.0,11.0,3.5,66.2,0.17,26.0,0.7,2.2
84,FugueiCape,2024-05-30 12:00,38,Good,18.0,18.0,,47.8,0.15,33.0,,0.9
83,Mailiao,2024-05-30 12:00,48,Good,12.0,12.0,5.6,64.1,0.23,31.0,0.5,3.2
80,Guanshan,2024-05-30 12:00,19,Good,1.0,1.0,1.3,35.8,0.13,6.0,0.5,0.7
78,Magong,2024-05-30 12:00,44,Good,19.0,19.0,5.6,57.0,0.25,17.0,1.6,1.7
77,Kinmen,2024-05-30 12:00,49,Good,19.0,19.0,15.8,37.5,0.26,33.0,1.8,2.0
75,Matsu,2024-05-30 12:00,39,Good,10.0,10.0,8.0,48.5,0.22,,2.3,1.2
72,Puli,2024-05-30 12:00,26,Good,10.0,10.0,2.5,53.9,0.24,21.0,1.6,1.1
71,Fuxing,2024-05-30 12:00,22,Good,3.0,3.0,10.2,25.3,0.21,12.0,3.5,1.2
70,Yonghe,2024-05-30 12:00,42,Good,15.0,15.0,25.1,34.0,0.76,19.0,9.3,1.6
69,Zhushan,2024-05-30 12:00,57,Moderate,25.0,25.0,4.7,68.8,0.23,37.0,0.6,1.5
68,Zhongli,2024-05-30 12:00,51,Moderate,14.0,14.0,31.7,42.4,0.59,41.0,11.4,2.8
67,Sanchong,2024-05-30 12:00,52,Moderate,8.0,8.0,33.7,32.9,0.63,18.0,24.3,1.0
66,Dongshan,2024-05-30 12:00,37,Good,16.0,16.0,7.9,48.6,0.44,36.0,3.8,1.3
65,Yilan,2024-05-30 12:00,29,Good,2.0,2.0,3.5,51.6,0.28,18.0,1.0,1.4
64,Yangming,2024-05-30 12:00,27,Good,5.0,5.0,1.4,33.5,0.17,15.0,0.5,1.4
63,Hualien,2024-05-30 12:00,29,Good,4.0,4.0,2.3,38.9,0.17,9.0,0.8,0.1
62,Taitung,2024-05-30 12:00,27,Good,3.0,3.0,2.1,39.8,0.19,12.0,2.6,0.4
61,Hengchun,2024-05-30 12:00,33,Good,3.0,3.0,0.5,36.3,0.12,4.0,0.7,0.5
60,Chaozhou,2024-05-30 12:00,20,Good,0.0,0.0,1.2,30.5,0.08,3.0,0.4,1.0
59,Pingtung,2024-05-30 12:00,22,Good,1.0,1.0,3.7,29.4,0.17,11.0,1.2,0.6
58,Xiaogang,2024-05-30 12:00,32,Good,6.0,6.0,9.7,25.0,0.41,10.0,2.9,4.6
57,Qianzhen,2024-05-30 12:00,23,Good,,,14.3,19.7,0.26,13.0,6.0,
56,Qianjin,2024-05-30 12:00,24,Good,,,,23.0,,,,
54,Zuoying,2024-05-30 12:00,38,Good,7.0,7.0,9.7,24.7,0.18,11.0,2.4,1.7
53,Nanzi,2024-05-30 12:00,44,Good,12.0,12.0,15.5,25.3,0.51,19.0,4.0,10.3
52,Linyuan,2024-05-30 12:00,30,Good,5.0,5.0,1.8,32.9,0.11,17.0,1.0,0.9
51,Daliao,2024-05-30 12:00,37,Good,4.0,4.0,4.0,27.2,0.12,18.0,1.2,0.6
50,Fengshan,2024-05-30 12:00,27,Good,3.0,3.0,8.3,28.6,0.35,14.0,2.8,1.0
49,Renwu,2024-05-30 12:00,37,Good,6.0,6.0,11.1,30.0,0.31,29.0,3.4,1.8
48,Qiaotou,2024-05-30 12:00,29,Good,5.0,5.0,10.0,30.5,0.28,10.0,2.3,1.8
47,Meinong,2024-05-30 12:00,24,Good,5.0,5.0,2.3,40.0,0.12,2.0,1.4,0.8
46,Tainan,2024-05-30 12:00,48,Good,6.0,6.0,5.8,37.6,0.14,12.0,1.5,1.0
45,Annan,2024-05-30 12:00,43,Good,5.0,5.0,5.9,27.3,0.17,,2.9,0.7
44,Shanhua,2024-05-30 12:00,40,Good,6.0,6.0,7.7,46.4,0.16,13.0,1.9,1.6
43,Xinying,2024-05-30 12:00,52,Moderate,9.0,9.0,8.5,72.7,0.32,26.0,0.9,1.5
42,Chiayi,2024-05-30 12:00,65,Moderate,15.0,15.0,4.5,62.1,0.21,27.0,1.1,2.1
41,Taixi,2024-05-30 12:00,48,Good,11.0,11.0,4.0,65.3,0.22,35.0,0.9,3.0
40,Puzi,2024-05-30 12:00,41,Good,,,5.9,58.3,0.27,27.0,1.9,1.9
39,Xingang,2024-05-30 12:00,67,Moderate,18.0,18.0,3.9,72.3,0.25,35.0,1.3,1.5
38,Lunbei,2024-05-30 12:00,59,Moderate,25.0,25.0,4.5,63.0,0.27,39.0,1.2,2.3
37,Douliu,2024-05-30 12:00,58,Moderate,13.0,13.0,4.7,65.6,0.31,35.0,1.3,2.0
36,Nantou,2024-05-30 12:00,58,Moderate,13.0,13.0,6.2,66.1,0.26,24.0,0.8,0.7
35,Erlin,2024-05-30 12:00,54,Moderate,16.0,16.0,2.4,65.7,0.23,46.0,1.9,2.0
34,Xianxi,2024-05-30 12:00,38,Good,14.0,14.0,6.5,61.8,0.28,34.0,2.2,4.2
33,Changhua,2024-05-30 12:00,39,Good,10.0,10.0,8.3,69.2,0.27,37.0,1.8,1.6
32,Xitun,2024-05-30 12:00,44,Good,13.0,13.0,5.0,65.0,0.2,27.0,1.2,1.1
31,Zhongming,2024-05-30 12:00,37,Good,8.0,8.0,6.3,,0.25,23.0,1.2,1.3
30,Dali,2024-05-30 12:00,59,Moderate,16.0,16.0,6.7,66.2,0.27,23.0,0.9,1.6
29,Shalu,2024-05-30 12:00,41,Good,18.0,18.0,5.5,69.1,0.27,38.0,0.5,1.2
28,Fengyuan,2024-05-30 12:00,47,Good,15.0,15.0,7.8,70.7,0.3,33.0,1.2,1.3
27,Sanyi,2024-05-30 12:00,31,Good,6.0,6.0,2.7,58.9,0.21,12.0,1.0,1.2
26,Miaoli,2024-05-30 12:00,46,Good,18.0,18.0,9.9,82.6,0.28,35.0,1.6,2.3
25,Toufen,2024-05-30 12:00,54,Moderate,19.0,19.0,5.8,70.2,0.25,36.0,1.8,2.1
24,Hsinchu,2024-05-30 12:00,49,Good,9.0,9.0,7.2,63.1,0.27,24.0,1.2,1.5
23,Zhudong,2024-05-30 12:00,48,Good,20.0,20.0,5.4,65.9,0.24,26.0,0.7,0.1
22,Hukou,2024-05-30 12:00,56,Moderate,17.0,17.0,5.0,64.5,0.24,27.0,0.9,2.3
21,Longtan,2024-05-30 12:00,41,Good,17.0,17.0,13.2,,0.43,34.0,0.4,0.9
20,Pingzhen,2024-05-30 12:00,38,Good,,,18.7,53.6,0.34,33.0,3.8,1.6
