siteid,sitename,datacreationdate,aqi,status,pm2.5_x,pm2.5_y,no2,o3,co,pm10,no,so2
30,Dali,2024-05-30 17:00,84,Moderate,16.0,16.0,11.6,50.6,0.31,27.0,1.0,1.7
29,Shalu,2024-05-30 17:00,71,Moderate,13.0,13.0,8.3,50.2,0.23,40.0,0.6,2.3
28,Fengyuan,2024-05-30 17:00,84,Moderate,17.0,17.0,9.5,51.7,0.35,32.0,1.2,1.9
27,Sanyi,2024-05-30 17:00,58,Moderate,14.0,14.0,4.1,52.0,0.24,33.0,1.3,1.6
26,Miaoli,2024-05-30 17:00,74,Moderate,13.0,13.0,4.1,57.2,0.21,21.0,0.9,1.7
25,Toufen,2024-05-30 17:00,58,Moderate,8.0,8.0,4.7,44.1,0.23,30.0,1.6,1.4
24,Hsinchu,2024-05-30 17:00,49,Good,11.0,11.0,8.2,48.2,0.28,19.0,1.2,1.2
23,Zhudong,2024-05-30 17:00,64,Moderate,16.0,16.0,10.1,43.6,0.25,30.0,0.6,0.4
22,Hukou,2024-05-30 17:00,51,Moderate,13.0,13.0,3.6,43.1,0.2,19.0,0.6,0.8
21,Longtan,2024-05-30 17:00,44,Good,13.0,13.0,16.2,39.5,0.34,27.0,0.8,1.5
20,Pingzhen,2024-05-30 17:00,39,Good,12.0,12.0,16.0,33.3,0.32,27.0,1.0,0.5
19,Guanyin,2024-05-30 17:00,42,Good,6.0,6.0,5.5,39.4,0.18,18.0,0.7,0.4
18,Dayuan,2024-05-30 17:00,38,Good,5.0,5.0,8.7,38.8,0.24,15.0,1.8,1.4
17,Taoyuan,2024-05-30 17:00,44,Good,12.0,12.0,17.4,32.0,0.32,25.0,1.7,3.5
16,Datong,2024-05-30 17:00,55,Moderate,11.0,11.0,37.8,14.6,1.49,19.0,42.3,1.1
15,Songshan,2024-05-30 17:00,37,Good,14.0,14.0,22.1,27.6,0.35,21.0,2.8,2.1
14,Guting,2024-05-30 17:00,37,Good,8.0,8.0,13.7,43.5,0.34,16.0,1.7,
13,Wanhua,2024-05-30 17:00,39,Good,14.0,14.0,23.1,45.7,0.47,26.0,1.5,1.1
12,Zhongshan,2024-05-30 17:00,33,Good,9.0,9.0,13.4,32.7,0.3,15.0,1.7,1.3
11,Shilin,2024-05-30 17:00,36,Good,5.0,5.0,13.3,33.2,0.21,13.0,1.9,0.5
10,Tamsui,2024-05-30 17:00,37,Good,11.0,11.0,11.4,35.1,0.18,22.0,1.6,1.6
9,Linkou,2024-05-30 17:00,39,Good,5.0,5.0,4.2,39.2,0.16,9.0,0.9,1.1
8,Cailiao,2024-05-30 17:00,38,Good,10.0,10.0,18.3,38.1,0.4,21.0,1.4,1.3
7,Xinzhuang,2024-05-30 17:00,42,Good,7.0,7.0,14.4,34.0,0.27,17.0,1.2,0.7
6,Banqiao,2024-05-30 17:00,44,Good,9.0,9.0,18.2,51.9,0.46,23.0,1.5,1.1
5,Tucheng,2024-05-30 17:00,51,Moderate,12.0,12.0,12.1,58.7,0.36,16.0,1.0,1.0
4,Xindian,2024-05-30 17:00,44,Good,14.0,14.0,12.1,39.3,0.37,19.0,2.2,0.9
3,Wanli,2024-05-30 17:00,44,Good,10.0,10.0,5.5,41.8,0.2,28.0,1.5,0.6
2,Xizhi,2024-05-30 17:00,37,Good,9.0,9.0,22.8,22.6,0.34,27.0,3.4,2.9
