siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5,no,so2
7,Xinzhuang,2024-05-31 07:00,62,Moderate,10.1,15.3,20,6.4,1.3
6,Banqiao,2024-05-31 07:00,42,Good,7.8,17.9,13,8,0.7
5,Tucheng,2024-05-31 07:00,61,Moderate,3.3,15.9,22,22.2,0.4
4,Xindian,2024-05-31 07:00,36,Good,8.5,4.9,12,3.8,1.1
3,Wanli,2024-05-31 07:00,21,Good,7.6,6,5,5.2,0.5
2,Xizhi,2024-05-31 07:00,45,Good,3.3,14,12,22.7,0.6
1,Keelung,2024-05-31 07:00,28,Good,5.7,14.2,12,13.9,0.7
313,Pingtung（fangshan）,2024-05-31 06:00,21,Good,,2.8,0,0.9,0.2
312,Taichung（Rilana Elementary）,2024-05-31 06:00,19,Good,6.1,10.4,1,4.2,0
311,New Taipei(Shulin),2024-05-31 06:00,54,Moderate,4.2,8.8,21,3.4,0.5
204,Pingtung（Liuqiu）,2024-05-31 06:00,21,Good,16.5,1.7,4,1,0.4
203,Tainan（Madou）,2024-05-31 06:00,17,Good,15.5,3.8,1,0.5,0.5
202,Kaohsiung（Hunei）,2024-05-31 06:00,16,Good,13.3,5.6,4,1.2,1.1
201,Changhua（Yuanlin）,2024-05-31 06:00,35,Good,10,7.1,7,1.8,1.6
85,Dacheng,2024-05-31 06:00,15,Good,17.4,2.8,0,0.8,1.5
84,FugueiCape,2024-05-31 06:00,31,Good,16.8,4.8,10,0.5,0.4
83,Mailiao,2024-05-31 06:00,17,Good,19.4,3.7,2,0.7,0.9
80,Guanshan,2024-05-31 06:00,25,Good,2.9,2.6,6,2.1,0.2
78,Magong,2024-05-31 06:00,24,Good,18,7.6,3,0.6,0.9
77,Kinmen,2024-05-31 06:00,85,Moderate,1.6,27.9,30,5.8,1.3
75,Matsu,2024-05-31 06:00,51,Moderate,31.2,6.7,24,0.9,0.6
72,Puli,2024-05-31 06:00,27,Good,5.5,2.7,9,1.8,0.7
71,Fuxing,2024-05-31 06:00,18,Good,12.2,7.2,0,1.2,7.9
70,Yonghe,2024-05-31 06:00,40,Good,4.9,7.1,8,6,0.8
69,Zhushan,2024-05-31 06:00,30,Good,4,4.3,12,2.2,0.6
68,Zhongli,2024-05-31 06:00,57,Moderate,5.5,12.5,19,15.2,1.4
67,Sanchong,2024-05-31 06:00,35,Good,2.9,11.9,10,36.7,0.5
66,Dongshan,2024-05-31 06:00,25,Good,5.8,4.1,9,1.3,0.2
65,Yilan,2024-05-31 06:00,16,Good,9.1,3,3,0.8,1
64,Yangming,2024-05-31 06:00,28,Good,28.4,1.2,5,0.8,0.6
63,Hualien,2024-05-31 06:00,18,Good,3.9,4.2,5,2.3,0.3
62,Taitung,2024-05-31 06:00,20,Good,5.7,2.9,6,2.1,0.5
61,Hengchun,2024-05-31 06:00,25,Good,25.7,0.9,4,0.3,0
60,Chaozhou,2024-05-31 06:00,19,Good,14.8,1.5,0,1.7,0.5
59,Pingtung,2024-05-31 06:00,17,Good,9.4,5.3,2,0.7,0.5
58,Xiaogang,2024-05-31 06:00,26,Good,5.9,14.5,10,2,4.7
57,Qianzhen,2024-05-31 06:00,30,Good,13.4,8.2,3,0.9,12.2
56,Qianjin,2024-05-31 06:00,16,Good,12.3,7.6,2,0.5,1.4
54,Zuoying,2024-05-31 06:00,20,Good,15.1,5.5,5,0.7,1
53,Nanzi,2024-05-31 06:00,23,Good,6.2,14.2,2,2.7,0.5
52,Linyuan,2024-05-31 06:00,19,Good,13.6,2.7,1,0,0.9
51,Daliao,2024-05-31 06:00,16,Good,4.4,8.9,8,1.2,0.3
50,Fengshan,2024-05-31 06:00,18,Good,13.1,4.8,0,0.1,0.5
49,Renwu,2024-05-31 06:00,20,Good,20.9,4,1,0.2,1.4
48,Qiaotou,2024-05-31 06:00,16,Good,12.3,6.2,2,1.1,0.3
47,Meinong,2024-05-31 06:00,17,Good,16.2,1.5,1,0.8,0
46,Tainan,2024-05-31 06:00,23,Good,17.2,6.1,5,1.2,0.4
45,Annan,2024-05-31 06:00,22,Good,19.6,5.7,4,0.8,0.2
44,Shanhua,2024-05-31 06:00,18,Good,18.1,2.8,3,0.7,0.3
43,Xinying,2024-05-31 06:00,19,Good,21.4,2.3,0,0.8,0.8
42,Chiayi,2024-05-31 06:00,19,Good,22.5,1.9,0,0.7,1
41,Taixi,2024-05-31 06:00,18,Good,22.1,2.3,0,0.6,1
40,Puzi,2024-05-31 06:00,16,Good,21.9,4.4,,1.4,0.9
39,Xingang,2024-05-31 06:00,20,Good,,,,,2.1
38,Lunbei,2024-05-31 06:00,19,Good,17.1,4.2,4,0.4,0.8
37,Douliu,2024-05-31 06:00,23,Good,9,3.6,4,0.8,0.6
36,Nantou,2024-05-31 06:00,30,Good,3.1,4.8,2,1.6,0.2
35,Erlin,2024-05-31 06:00,38,Good,6.2,8.7,9,1.1,1.4
34,Xianxi,2024-05-31 06:00,26,Good,8.1,9.6,5,2.4,0.7
33,Changhua,2024-05-31 06:00,18,Good,14.6,5,4,0.6,0.8
32,Xitun,2024-05-31 06:00,25,Good,6.3,8,8,1.4,0.7
31,Zhongming,2024-05-31 06:00,23,Good,7.7,4.8,6,1.3,1.4
30,Dali,2024-05-31 06:00,19,Good,5.8,7,6,1.5,0.9
29,Shalu,2024-05-31 06:00,21,Good,19.3,5.1,5,1.1,0.5
28,Fengyuan,2024-05-31 06:00,17,Good,16.8,4.2,2,1.2,1
27,Sanyi,2024-05-31 06:00,19,Good,18,0.9,2,1.3,0.5
26,Miaoli,2024-05-31 06:00,36,Good,5.5,7.4,11,2,0.9
25,Toufen,2024-05-31 06:00,32,Good,5.2,4.7,8,2,0.7
24,Hsinchu,2024-05-31 06:00,32,Good,2.5,13.3,9,4.5,0.3
23,Zhudong,2024-05-31 06:00,45,Good,3.9,5,3,1.4,0.8
22,Hukou,2024-05-31 06:00,51,Moderate,4.6,16.6,16,6.3,0.3
21,Longtan,2024-05-31 06:00,51,Moderate,6.4,11.4,11,3.2,0.1
20,Pingzhen,2024-05-31 06:00,52,Moderate,5.1,15,14,2.4,0.5
19,Guanyin,2024-05-31 06:00,44,Good,10.9,11.6,11,2.2,0.2
18,Dayuan,2024-05-31 06:00,49,Good,6.3,19.3,13,1.8,1.2
17,Taoyuan,2024-05-31 06:00,57,Moderate,5.2,17.5,16,4.6,2.5
16,Datong,2024-05-31 06:00,38,Good,4.1,9.9,12,10.6,1
15,Songshan,2024-05-31 06:00,41,Good,6.3,9.1,13,1.8,
14,Guting,2024-05-31 06:00,26,Good,3.8,7.2,11,2.3,1.9
13,Wanhua,2024-05-31 06:00,28,Good,6.4,6.4,10,1.4,0
12,Zhongshan,2024-05-31 06:00,26,Good,6.2,7.6,9,1.3,0.1
11,Shilin,2024-05-31 06:00,41,Good,5.1,9.7,12,1.9,0.6
10,Tamsui,2024-05-31 06:00,40,Good,,16.9,14,2.6,1.8
9,Linkou,2024-05-31 06:00,40,Good,8.4,24.4,17,10.9,0.8
8,Cailiao,2024-05-31 06:00,32,Good,3.9,11.7,12,3,0.6
7,Xinzhuang,2024-05-31 06:00,61,Moderate,4.4,15.7,26,2.2,1.5
6,Banqiao,2024-05-31 06:00,40,Good,4.2,17.1,12,4.3,0.5
5,Tucheng,2024-05-31 06:00,57,Moderate,3.1,12.8,20,22,0.3
4,Xindian,2024-05-31 06:00,36,Good,9.8,4.3,11,1.7,1.2
3,Wanli,2024-05-31 06:00,21,Good,6.3,5,6,1.5,0.3
2,Xizhi,2024-05-31 06:00,47,Good,2.5,10.5,13,15.1,0.6
1,Keelung,2024-05-31 06:00,27,Good,2.9,10.3,9,4.5,0.5
313,Pingtung（fangshan）,2024-05-31 05:00,21,Good,15.7,2.1,0,0.3,0
312,Taichung（Rilana Elementary）,2024-05-31 05:00,19,Good,7.5,10.5,3,1.3,0
311,New Taipei(Shulin),2024-05-31 05:00,53,Moderate,6,5.5,17,0.5,0.3
204,Pingtung（Liuqiu）,2024-05-31 05:00,23,Good,21.6,0.6,6,1.1,0.4
203,Tainan（Madou）,2024-05-31 05:00,17,Good,17.6,2.6,2,0.4,0.1
202,Kaohsiung（Hunei）,2024-05-31 05:00,17,Good,14.6,4.2,6,1.1,1.8
201,Changhua（Yuanlin）,2024-05-31 05:00,36,Good,10.9,5.8,12,1.4,1.6
85,Dacheng,2024-05-31 05:00,15,Good,19.3,1.7,2,0.9,1.2
84,FugueiCape,2024-05-31 05:00,32,Good,20.2,5.2,9,0.1,0.6
83,Mailiao,2024-05-31 05:00,17,Good,22,2.1,3,0.6,0.9
80,Guanshan,2024-05-31 05:00,24,Good,2.3,2.4,8,1.9,0.3
78,Magong,2024-05-31 05:00,25,Good,24.5,4.3,1,0.1,0.7
77,Kinmen,2024-05-31 05:00,84,Moderate,1.6,28.1,33,2,2.2
75,Matsu,2024-05-31 05:00,43,Good,29.9,5.8,19,1,0.6
72,Puli,2024-05-31 05:00,27,Good,5.1,2.3,6,1.5,0.8
71,Fuxing,2024-05-31 05:00,18,Good,15.4,5.2,2,1.1,3.9
70,Yonghe,2024-05-31 05:00,41,Good,6,5.3,15,1.7,0.7
69,Zhushan,2024-05-31 05:00,27,Good,2.8,4.1,10,1.2,0.7
68,Zhongli,2024-05-31 05:00,56,Moderate,5.3,15.3,17,8.2,1.2
67,Sanchong,2024-05-31 05:00,36,Good,4.6,9.9,9,3.4,0.3
66,Dongshan,2024-05-31 05:00,24,Good,2.5,6.2,8,2.3,0.3
65,Yilan,2024-05-31 05:00,16,Good,7.7,3.1,1,0.4,1.3
64,Yangming,2024-05-31 05:00,28,Good,27.4,1.4,4,0.7,0.7
63,Hualien,2024-05-31 05:00,19,Good,4.2,2.9,4,1.2,0.2
62,Taitung,2024-05-31 05:00,18,Good,7.3,1.8,5,1.4,0.6
61,Hengchun,2024-05-31 05:00,25,Good,26,0.5,6,0.6,0.2
60,Chaozhou,2024-05-31 05:00,17,Good,16.1,1.3,0,1.6,0.5
59,Pingtung,2024-05-31 05:00,18,Good,12.7,4.2,1,0.5,0.5
58,Xiaogang,2024-05-31 05:00,23,Good,10.5,10.5,7,0.7,3.3
57,Qianzhen,2024-05-31 05:00,17,Good,16,6.2,3,0.4,6.1
56,Qianjin,2024-05-31 05:00,17,Good,16.5,5.2,1,0.4,0.9
54,Zuoying,2024-05-31 05:00,20,Good,17.8,4.7,5,0.4,1.1
53,Nanzi,2024-05-31 05:00,20,Good,9.6,12.2,3,1.1,0.5
52,Linyuan,2024-05-31 05:00,21,Good,12.7,2.4,3,0,0.9
51,Daliao,2024-05-31 05:00,18,Good,7.2,8.4,6,0.6,0.3
50,Fengshan,2024-05-31 05:00,19,Good,13.9,4.3,1,0.1,0.6
49,Renwu,2024-05-31 05:00,21,Good,20.1,2.9,3,0.1,1
48,Qiaotou,2024-05-31 05:00,17,Good,16.5,4.1,0,0.7,0.3
47,Meinong,2024-05-31 05:00,16,Good,16.2,1,0,0.8,0
46,Tainan,2024-05-31 05:00,26,Good,20.1,4.4,9,1,0.5
45,Annan,2024-05-31 05:00,24,Good,19.9,3.4,7,0.6,0.1
44,Shanhua,2024-05-31 05:00,19,Good,20.9,1.5,4,0.7,0.8
43,Xinying,2024-05-31 05:00,19,Good,22.5,2.3,0,1,0.9
42,Chiayi,2024-05-31 05:00,18,Good,22.3,0.8,0,0.5,0.9
41,Taixi,2024-05-31 05:00,18,Good,20.9,2,0,0.5,1.1
40,Puzi,2024-05-31 05:00,16,Good,18.4,3,,1.2,1
39,Xingang,2024-05-31 05:00,20,Good,22.5,3.9,5,0.7,1.3
38,Lunbei,2024-05-31 05:00,20,Good,18.2,5.5,6,1.4,1.4
37,Douliu,2024-05-31 05:00,23,Good,9.4,3.8,4,0.7,0.7
36,Nantou,2024-05-31 05:00,28,Good,1.7,5.7,1,0.6,0.3
35,Erlin,2024-05-31 05:00,41,Good,12.6,5.3,10,0.3,1.1
34,Xianxi,2024-05-31 05:00,26,Good,12.5,5.9,4,2,0.4
33,Changhua,2024-05-31 05:00,18,Good,8,7.4,5,0.6,0.8
32,Xitun,2024-05-31 05:00,24,Good,4.7,8.7,7,1.5,0.8
31,Zhongming,2024-05-31 05:00,23,Good,10.2,3.9,5,0.7,1.5
30,Dali,2024-05-31 05:00,21,Good,7.3,4.8,6,0.2,0.8
29,Shalu,2024-05-31 05:00,22,Good,12.6,6.5,6,1.1,0.7
28,Fengyuan,2024-05-31 05:00,18,Good,12.8,4.4,3,1,0.8
27,Sanyi,2024-05-31 05:00,21,Good,17.4,0.8,5,1,0.6
26,Miaoli,2024-05-31 05:00,38,Good,2.9,9.1,10,2.5,0.8
25,Toufen,2024-05-31 05:00,34,Good,3,8.5,11,2,0.8
24,Hsinchu,2024-05-31 05:00,33,Good,3.1,10.8,13,1.2,0.7
23,Zhudong,2024-05-31 05:00,52,Moderate,6.5,4.9,18,0.8,1.2
22,Hukou,2024-05-31 05:00,50,Good,9.3,13,15,2.2,0.5
21,Longtan,2024-05-31 05:00,54,Moderate,4.1,10.7,11,2,0.4
20,Pingzhen,2024-05-31 05:00,53,Moderate,3.1,19.8,20,1.6,0.5
19,Guanyin,2024-05-31 05:00,44,Good,9.3,13.1,15,2,0.3
18,Dayuan,2024-05-31 05:00,52,Moderate,3.6,25.2,17,0.8,1.3
17,Taoyuan,2024-05-31 05:00,57,Moderate,0,20.9,22,6.1,3.3
16,Datong,2024-05-31 05:00,38,Good,5,8.4,10,5.4,1.1
15,Songshan,2024-05-31 05:00,41,Good,7,8.9,11,1.3,
14,Guting,2024-05-31 05:00,23,Good,5.9,4,7,1,2.1
13,Wanhua,2024-05-31 05:00,28,Good,7.2,5.8,6,1.1,0.1
12,Zhongshan,2024-05-31 05:00,26,Good,6.8,5.9,5,1,0.1
11,Shilin,2024-05-31 05:00,42,Good,5.4,10,11,0.5,0.6
10,Tamsui,2024-05-31 05:00,38,Good,3.8,17.7,11,1.2,1.6
9,Linkou,2024-05-31 05:00,36,Good,13,18.3,11,2.5,0.8
8,Cailiao,2024-05-31 05:00,32,Good,2.1,13.1,8,2,0.7
7,Xinzhuang,2024-05-31 05:00,55,Moderate,3.9,16.2,20,0.4,1.5
6,Banqiao,2024-05-31 05:00,41,Good,2.6,16.5,15,2.5,0.7
5,Tucheng,2024-05-31 05:00,56,Moderate,1.2,13.2,19,6.5,0
4,Xindian,2024-05-31 05:00,35,Good,7.3,3.2,9,1,1.2
3,Wanli,2024-05-31 05:00,22,Good,3.9,6.1,5,1.1,0.3
2,Xizhi,2024-05-31 05:00,46,Good,1.7,13.7,16,6.2,0.7
1,Keelung,2024-05-31 05:00,24,Good,1.5,10.9,7,2.5,0.4
313,Pingtung（fangshan）,2024-05-31 04:00,22,Good,17.5,1.8,0,0.2,0
312,Taichung（Rilana Elementary）,2024-05-31 04:00,20,Good,8.9,9.3,1,0.6,0
311,New Taipei(Shulin),2024-05-31 04:00,51,Moderate,5.5,6.5,15,0.7,0.4
204,Pingtung（Liuqiu）,2024-05-31 04:00,24,Good,24.4,0.6,7,1.1,0.5
203,Tainan（Madou）,2024-05-31 04:00,18,Good,19,3.2,5,0.5,0.8
202,Kaohsiung（Hunei）,2024-05-31 04:00,16,Good,14.1,6.2,4,1.5,2.6
201,Changhua（Yuanlin）,2024-05-31 04:00,36,Good,9.2,7.3,14,1.2,1.6
85,Dacheng,2024-05-31 04:00,15,Good,20.5,0.9,2,1.1,1.2
84,FugueiCape,2024-05-31 04:00,32,Good,18.1,6,15,0.1,0.6
83,Mailiao,2024-05-31 04:00,19,Good,21,2.2,3,0.4,1
80,Guanshan,2024-05-31 04:00,23,Good,3.7,1.9,5,1.4,0.3
78,Magong,2024-05-31 04:00,25,Good,25.1,3.6,1,0.1,0.5
77,Kinmen,2024-05-31 04:00,83,Moderate,3.7,26,32,1.6,2.7
75,Matsu,2024-05-31 04:00,40,Good,37.5,4.2,17,0.9,0.5
72,Puli,2024-05-31 04:00,30,Good,5.8,2.4,6,1.4,0.9
71,Fuxing,2024-05-31 04:00,18,Good,20.2,3.7,2,1,1.5
70,Yonghe,2024-05-31 04:00,41,Good,7.4,3.8,6,0.9,0.8
69,Zhushan,2024-05-31 04:00,26,Good,3.4,4,7,1.2,0.8
68,Zhongli,2024-05-31 04:00,54,Moderate,3.4,19.2,20,8.5,1.5
67,Sanchong,2024-05-31 04:00,39,Good,6.4,8.8,11,2.2,0.4
66,Dongshan,2024-05-31 04:00,25,Good,2.6,5.8,9,1.1,0.3
65,Yilan,2024-05-31 04:00,15,Good,7,2.7,0,0.5,1.4
64,Yangming,2024-05-31 04:00,28,Good,30,1.5,6,0.8,0.7
63,Hualien,2024-05-31 04:00,20,Good,6.8,1.3,4,0.8,0.1
62,Taitung,2024-05-31 04:00,18,Good,7,2.9,5,1,0.5
61,Hengchun,2024-05-31 04:00,25,Good,29.4,0.5,4,0.4,0.1
60,Chaozhou,2024-05-31 04:00,15,Good,15.5,1.3,2,1.6,0.6
59,Pingtung,2024-05-31 04:00,19,Good,15.5,3.8,2,0.5,0.6
58,Xiaogang,2024-05-31 04:00,31,Good,15.5,8.3,7,0.4,5.4
57,Qianzhen,2024-05-31 04:00,17,Good,21.1,4.5,0,0.2,2.2
56,Qianjin,2024-05-31 04:00,18,Good,19.9,4.3,1,0.3,1
54,Zuoying,2024-05-31 04:00,22,Good,19.8,4.4,4,0.5,0.7
53,Nanzi,2024-05-31 04:00,17,Good,18.5,6.1,3,0.6,0.6
52,Linyuan,2024-05-31 04:00,23,Good,14.4,2.2,4,0,0.7
51,Daliao,2024-05-31 04:00,19,Good,12.5,4.7,4,0.5,0.3
50,Fengshan,2024-05-31 04:00,20,Good,16.8,3.1,0,0.1,0.6
49,Renwu,2024-05-31 04:00,22,Good,22,2.5,3,0.2,1.1
48,Qiaotou,2024-05-31 04:00,18,Good,18,3.2,0,0.7,0.2
47,Meinong,2024-05-31 04:00,17,Good,19,0.8,0,0.7,0.1
46,Tainan,2024-05-31 04:00,25,Good,19.9,4.8,7,1,0.6
45,Annan,2024-05-31 04:00,24,Good,21.5,3.3,6,0.5,0.2
44,Shanhua,2024-05-31 04:00,21,Good,20.8,1.8,6,0.7,0.5
43,Xinying,2024-05-31 04:00,19,Good,20.9,2.3,0,0.9,0.6
42,Chiayi,2024-05-31 04:00,19,Good,25.3,0.9,1,0.7,1.1
41,Taixi,2024-05-31 04:00,19,Good,21.1,2.3,0,0.5,1.1
40,Puzi,2024-05-31 04:00,16,Good,16.8,3.7,,1.7,0.9
39,Xingang,2024-05-31 04:00,21,Good,21.2,3.3,5,0.5,1.2
38,Lunbei,2024-05-31 04:00,19,Good,18,3.6,5,1,1
37,Douliu,2024-05-31 04:00,23,Good,10.8,4.4,5,0.8,0.9
36,Nantou,2024-05-31 04:00,28,Good,3.4,4.3,3,0.4,0.3
35,Erlin,2024-05-31 04:00,42,Good,17.4,3.2,8,0.3,1.2
34,Xianxi,2024-05-31 04:00,27,Good,11.5,6.6,5,1.3,0.3
33,Changhua,2024-05-31 04:00,19,Good,9.2,7.1,3,0.8,0.5
32,Xitun,2024-05-31 04:00,26,Good,5.4,8.1,6,1.4,0.7
31,Zhongming,2024-05-31 04:00,25,Good,8.5,4.6,8,1,1.2
30,Dali,2024-05-31 04:00,24,Good,7.5,4.3,2,0,0.9
29,Shalu,2024-05-31 04:00,24,Good,12,7.1,5,1,0.6
28,Fengyuan,2024-05-31 04:00,18,Good,14.3,4.2,3,0.9,0.8
27,Sanyi,2024-05-31 04:00,23,Good,18.2,1,6,0.9,0.6
26,Miaoli,2024-05-31 04:00,40,Good,0.9,9.7,10,3.3,0.7
25,Toufen,2024-05-31 04:00,34,Good,6.1,6,9,1.3,0.7
24,Hsinchu,2024-05-31 04:00,32,Good,5.4,12,9,1.1,0.3
23,Zhudong,2024-05-31 04:00,53,Moderate,5.9,4.7,14,0.8,0.7
22,Hukou,2024-05-31 04:00,49,Good,15,10.4,13,1.9,0.6
21,Longtan,2024-05-31 04:00,57,Moderate,2.5,12.5,15,1.5,0.5
20,Pingzhen,2024-05-31 04:00,48,Good,3,22.7,21,1.5,0.9
19,Guanyin,2024-05-31 04:00,39,Good,14.5,11.2,17,1.9,0.4
18,Dayuan,2024-05-31 04:00,48,Good,12.1,12.6,15,0.5,1
17,Taoyuan,2024-05-31 04:00,53,Moderate,0,22.7,19,3.8,3.2
16,Datong,2024-05-31 04:00,39,Good,5.7,8.8,12,4.9,1
15,Songshan,2024-05-31 04:00,42,Good,6.5,10.9,9,1.4,
14,Guting,2024-05-31 04:00,24,Good,7.3,3.2,7,0.9,2.1
13,Wanhua,2024-05-31 04:00,30,Good,6.9,7.1,8,2,0
12,Zhongshan,2024-05-31 04:00,29,Good,6.8,7,5,0.9,0.1
11,Shilin,2024-05-31 04:00,41,Good,7.5,10.1,17,0.4,0.8
10,Tamsui,2024-05-31 04:00,37,Good,4.3,19.2,14,0.8,1.7
9,Linkou,2024-05-31 04:00,37,Good,8.8,22.8,12,1.8,1
8,Cailiao,2024-05-31 04:00,34,Good,3.9,13.1,8,0.9,0.7
7,Xinzhuang,2024-05-31 04:00,55,Moderate,6.2,16.1,20,0.7,1
6,Banqiao,2024-05-31 04:00,39,Good,2.3,16.6,12,1.1,0.6
5,Tucheng,2024-05-31 04:00,55,Moderate,3.1,13,20,2,0.1
4,Xindian,2024-05-31 04:00,37,Good,8.2,2.6,12,1,1.1
3,Wanli,2024-05-31 04:00,23,Good,5.3,6.9,6,0.9,0.3
2,Xizhi,2024-05-31 04:00,44,Good,0.6,15,15,13.1,0.7
1,Keelung,2024-05-31 04:00,24,Good,0.9,10.5,8,2.2,0.3
313,Pingtung（fangshan）,2024-05-31 03:00,23,Good,20.6,1.7,0,0.2,0
312,Taichung（Rilana Elementary）,2024-05-31 03:00,22,Good,11.2,7.3,3,0.4,0
311,New Taipei(Shulin),2024-05-31 03:00,51,Moderate,5.6,7.1,14,0.9,0.4
204,Pingtung（Liuqiu）,2024-05-31 03:00,24,Good,25.7,0.7,6,1.1,0.4
203,Tainan（Madou）,2024-05-31 03:00,17,Good,19.4,3.2,5,0.3,0.4
202,Kaohsiung（Hunei）,2024-05-31 03:00,18,Good,17.1,4.8,6,1,1.2
201,Changhua（Yuanlin）,2024-05-31 03:00,35,Good,8.7,8.4,8,1.5,1.5
85,Dacheng,2024-05-31 03:00,16,Good,20,4.1,4,0.7,1.2
84,FugueiCape,2024-05-31 03:00,27,Good,20.1,9.2,9,0.1,0.9
83,Mailiao,2024-05-31 03:00,21,Good,21.9,3.3,5,0.5,1.1
80,Guanshan,2024-05-31 03:00,23,Good,5.2,1.6,4,1.2,0.3
78,Magong,2024-05-31 03:00,26,Good,27.3,2.6,1,0.1,0.6
77,Kinmen,2024-05-31 03:00,81,Moderate,4,27.3,30,1.6,1.7
75,Matsu,2024-05-31 03:00,37,Good,40.1,5.4,11,1,0.7
72,Puli,2024-05-31 03:00,33,Good,7.9,2.1,10,1.5,0.8
71,Fuxing,2024-05-31 03:00,18,Good,21.1,4,1,1.3,4.2
70,Yonghe,2024-05-31 03:00,57,Moderate,7.1,4.6,9,1.5,0.7
69,Zhushan,2024-05-31 03:00,25,Good,3.6,4.7,6,1.3,0.7
68,Zhongli,2024-05-31 03:00,53,Moderate,4,23,20,6.4,2.2
67,Sanchong,2024-05-31 03:00,39,Good,4.1,15.1,12,4.3,0.6
66,Dongshan,2024-05-31 03:00,24,Good,4.7,4.8,6,1.2,0.2
65,Yilan,2024-05-31 03:00,17,Good,9,2.4,1,0.5,1.6
64,Yangming,2024-05-31 03:00,26,Good,30.5,2.3,7,0.7,0.6
63,Hualien,2024-05-31 03:00,20,Good,11.4,1.1,4,0.7,0.1
62,Taitung,2024-05-31 03:00,17,Good,13,2.8,3,1.3,0.6
61,Hengchun,2024-05-31 03:00,25,Good,30.1,0.6,4,0.3,0.1
60,Chaozhou,2024-05-31 03:00,16,Good,14.6,1.3,2,1.8,0.4
59,Pingtung,2024-05-31 03:00,20,Good,18,3,2,0.5,0.5
58,Xiaogang,2024-05-31 03:00,31,Good,20,6.8,6,0.4,1.4
57,Qianzhen,2024-05-31 03:00,17,Good,21.4,5.8,0,0.3,6.8
56,Qianjin,2024-05-31 03:00,18,Good,21.9,4.3,2,0.2,1.3
54,Zuoying,2024-05-31 03:00,26,Good,21.8,4.1,5,0.5,0.5
53,Nanzi,2024-05-31 03:00,18,Good,20.1,7.4,3,0.8,0.9
52,Linyuan,2024-05-31 03:00,26,Good,19,1.8,5,0,1
51,Daliao,2024-05-31 03:00,21,Good,16.9,3.1,4,0.3,0.4
50,Fengshan,2024-05-31 03:00,21,Good,22.6,1.5,0,0.1,0.5
49,Renwu,2024-05-31 03:00,23,Good,24,3.2,5,0.2,1.4
48,Qiaotou,2024-05-31 03:00,18,Good,18.7,3.5,0,0.8,0.3
47,Meinong,2024-05-31 03:00,17,Good,24.3,0.8,0,0.7,0.1
46,Tainan,2024-05-31 03:00,27,Good,20.6,5.3,6,1,1
45,Annan,2024-05-31 03:00,24,Good,21,5.7,6,0.5,0.8
44,Shanhua,2024-05-31 03:00,24,Good,20.5,2.1,3,0.5,0.3
43,Xinying,2024-05-31 03:00,19,Good,19.8,2.6,0,1,0.7
42,Chiayi,2024-05-31 03:00,19,Good,21.9,1.1,2,0.5,0.8
41,Taixi,2024-05-31 03:00,19,Good,20.6,3.8,3,0.5,1.1
40,Puzi,2024-05-31 03:00,17,Good,18.7,4,,1.2,1.1
39,Xingang,2024-05-31 03:00,22,Good,22.4,2.4,5,0.5,0.9
38,Lunbei,2024-05-31 03:00,20,Good,20.6,1.7,5,0,0.2
37,Douliu,2024-05-31 03:00,23,Good,7.5,7.9,5,2.4,1.2
36,Nantou,2024-05-31 03:00,28,Good,4.8,4.8,4,0.4,0.2
35,Erlin,2024-05-31 03:00,44,Good,11.7,7.3,13,0.2,1.3
34,Xianxi,2024-05-31 03:00,28,Good,4.3,9.1,8,2,0.3
33,Changhua,2024-05-31 03:00,23,Good,16.2,5.1,3,0.8,0.6
32,Xitun,2024-05-31 03:00,30,Good,6.8,6.5,8,1,0.7
31,Zhongming,2024-05-31 03:00,26,Good,6.2,6.5,9,0.9,1.4
30,Dali,2024-05-31 03:00,31,Good,8.8,4.6,3,0,0.9
29,Shalu,2024-05-31 03:00,26,Good,18,6.2,6,1,0.7
28,Fengyuan,2024-05-31 03:00,19,Good,19.6,3.6,2,0.9,0.7
27,Sanyi,2024-05-31 03:00,24,Good,20.1,1.5,4,0.9,0.7
26,Miaoli,2024-05-31 03:00,44,Good,0.2,11,10,4.5,0.7
25,Toufen,2024-05-31 03:00,36,Good,6.7,4.5,9,1.2,0.9
24,Hsinchu,2024-05-31 03:00,35,Good,17.4,9.4,9,0.9,0.5
23,Zhudong,2024-05-31 03:00,54,Moderate,8.1,4.6,16,0.7,0.8
22,Hukou,2024-05-31 03:00,51,Moderate,17.4,10.6,17,2.1,0.4
21,Longtan,2024-05-31 03:00,59,Moderate,4.8,15.8,18,4.3,0.2
20,Pingzhen,2024-05-31 03:00,44,Good,4,23.7,15,1.3,1.1
19,Guanyin,2024-05-31 03:00,35,Good,19.3,8.6,19,1.5,0.4
18,Dayuan,2024-05-31 03:00,49,Good,17.8,9.8,16,0.1,1.4
17,Taoyuan,2024-05-31 03:00,49,Good,8,20,22,1.1,2
16,Datong,2024-05-31 03:00,38,Good,4.8,13.3,12,8.6,1
15,Songshan,2024-05-31 03:00,44,Good,5.7,13.6,13,2,0
14,Guting,2024-05-31 03:00,25,Good,7.7,3.6,7,1,2.4
13,Wanhua,2024-05-31 03:00,31,Good,7.5,8.8,6,1.6,0.1
12,Zhongshan,2024-05-31 03:00,31,Good,7.3,10,7,1,0.3
