siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5,no,so2
9,Linkou,2024-05-31 10:00,37,Good,45.9,11.3,14,0.2,0.6
8,Cailiao,2024-05-31 10:00,34,Good,56.8,17.6,16,2.1,1.1
7,Xinzhuang,2024-05-31 10:00,62,Moderate,51.2,14.6,17,2.3,0.8
6,Banqiao,2024-05-31 10:00,50,Good,55.7,14.9,14,2.1,0.7
5,Tucheng,2024-05-31 10:00,62,Moderate,53.6,14.5,15,2.2,0.6
4,Xindian,2024-05-31 10:00,42,Good,50,9.3,17,2,1.5
3,Wanli,2024-05-31 10:00,30,Good,39.7,14.3,15,4.1,2
2,Xizhi,2024-05-31 10:00,44,Good,46.2,17.8,13,3.4,1.7
1,Keelung,2024-05-31 10:00,29,Good,50.4,7.8,6,1.9,1.4
313,Pingtung（fangshan）,2024-05-31 09:00,19,Good,29.9,0.7,4,0,0
312,Taichung（Rilana Elementary）,2024-05-31 09:00,15,Good,25.6,5,0,2.3,0
311,New Taipei(Shulin),2024-05-31 09:00,53,Moderate,20.5,12.4,18,2.2,0.8
204,Pingtung（Liuqiu）,2024-05-31 09:00,19,Good,21.2,1.2,7,1.5,0.4
203,Tainan（Madou）,2024-05-31 09:00,17,Good,19.7,5.2,8,2.5,0.3
202,Kaohsiung（Hunei）,2024-05-31 09:00,13,Good,16.8,8.1,7,4.8,
201,Changhua（Yuanlin）,2024-05-31 09:00,23,Good,24.3,4.5,6,3.1,1.5
85,Dacheng,2024-05-31 09:00,19,Good,28.4,2,0,0.9,1.3
84,FugueiCape,2024-05-31 09:00,40,Good,32.4,9.2,18,4.1,0.6
83,Mailiao,2024-05-31 09:00,19,Good,27.2,2.9,1,1.9,1.1
80,Guanshan,2024-05-31 09:00,24,Good,14.6,1.3,4,1.8,0.5
78,Magong,2024-05-31 09:00,22,Good,22.3,7.6,8,2.7,0.7
77,Kinmen,2024-05-31 09:00,85,Moderate,17.5,17,32,5.4,1.8
75,Matsu,2024-05-31 09:00,52,Moderate,39.9,4.2,17,1.5,1
72,Puli,2024-05-31 09:00,26,Good,15.9,4.5,8,5.3,0.9
